audio_file	reference	hypothesis
spontaneous-speech-kcn-22106.mp3	Ana agder akul akil baraa baraa Akili Milan	Akil al ana ger akul ya akil ya yote alam ayan milan u akil gi ji akiafi bara barau l gi jib ayan fi gildua akil a ana ger ak ana ger akul akil al bi jib afia yan al ma gi jib nana ayan ya yote fi gildu jainsklyatu ayan al gi jib gamru  gi n afia tai al gi jib gildu mai kun kwes yan gldu kun taban zaman kulu akil al giu ta manfa ya akil al tena al min jidi jide tena kan yamda giwenena akil al gi tala fi shamba akil al ma gi tala fi al gi adul maida akil ya al gitala fi shamba tena tamin jidde tena
spontaneous-speech-kcn-22127.mp3	Teriga al ah teriga al madrasa fi kariya tai saadu yal ya yani amurugu zaman milan mon gi gai kidi fi agara madrasa mon gi agara deeni tomon wu fi deeni de ya zatu gi alim terebiya yatu ya fa kede omon gai Mo kede ishi fi be fi mujtamiya ma fi bele yani madrasa gi fata muku ga amurugu ita min kalam al batal gi wedi ita fi kalam al nesiya kalam al kan ta arufu maa te gaaruf kalam al kan te gi soo fi aruf mma ga awun ita te gi soo sunu te gi wasa min uwo	Teriga al w tai gal madrasa f aa ta aadu yal yayan amurgu zama al milan mon ga fi  figal madrasa mon gi agara dn tomon wu fi din de yazatu galim tedebia yatu yafa tebian gai mo kede ishi mo fi be fi mujitamiya ma fi bele ani madrasa gi fata muk giamur gitamin kalam al batal gi eta fi kalam al nesa kalama kan ta arufu ma ta giaruf kalaman kan ta gisof arufu ma gi awun ta gi sosino ta gi wasa mino
spontaneous-speech-kcn-22154.mp3	Teriga Al kweis ya ta aulan akul akil al bi awunu gildu tou yaani akil Al ma gi jibu Ayan baraa baraa Al bi jaa jib no Yani shida Ta tinein yaani kutu sokol AlSaba akan uwo jaa ajusi Yani kuto sokol Al bi jib gurush Al bi ja awunu fi y'all Al Lisa mma agara au Al Lisa gibagara Yani	Teriga al kwes ya taulan akul akil al biwul gildu to yani akil al ma bijim no ayan bara barau al bija jim no yani shida fi ajus to ta tinin yakutu teriga yan d ligo sokol al saba kan  ja ajus bija a no fi jus to yan namna yato ya ku sokol yato al gi jim n gurus al saba kan bija ajuse guruse bija nafo fi ajusito al bija solof mustashfa al bi au no ma yal abisa maruafi ma dus ama yal al fi g agaraea
spontaneous-speech-kcn-22169.mp3	Al gidam to ya jib taalim al gi awun badu al gi amurugu mashakil yani jib wafaka dukur kutu kila kalam dukur sidu al kalagu ita yani rabbana taki al kalagu ita ma chunga yani kutu deeni taki gidam ma kutu ta talata kutu kabila taki ma terebiya taki de ya wai min masha Kalam al gi amurugu mashakil ta kila youm fi batna be	a gidar to ya jibu taalim al gi awun badu al gi amrug mashaki yan jibafaku kur kutu kila kalam ta kutu sidu al kala gita yani rabbana taki al kala gita ma cunga yani kutu din dafi jidan ma kutu tatalata kutu kabila taki ma terediya taki ya wamin masha kalam al gi amuru mashaki takila yom na be
spontaneous-speech-kcn-22190.mp3	Teriga al awun ya taalim awun fi namna ta geeru fikira yani mindset tana batna be fi umma ta tinin amurugu min omon fikira al bara bara gi amurugu fikira al awaja ja mfano ja kelem gal ah governmenti al fi fi bambara de uwo aju ina ma yani kutu omon fi school saa kulu komon kun busy komon kun creative komon kun yan anas ab gi soo sunu gi soo kalam ab bi wedi omon gidam ab kede amurugu fikira bara bara	Teriga wala awun ya taalim awun fi nama ta giru fikra yan mayindi setyal bana befu umma ta tinin amurugu minmon fikra al bara bara kiamon g fikalawaja ja umfanu ja kelengal a gavument al bifu babara de waji nama yani kutumon fi sakul komon kun bize komon kun kretib komon kun yan anasal iso sulu iso kalama g wedumon gidam a kede amuru gi mon fikra barau barau
spontaneous-speech-kcn-22227.mp3	Ta alim al gi saadu usra logo itakum kaman gai takum soo juhudi te kutu mon fi ta alim dastur tarabiya ya dukur mon kaman gi alim fi jede fi nafsi tomon bi ja kun bi nafa Kalam kaman te endis te alim omon mon bi ligo taalim te tujar taalim te malja rua fi maljara dukur afiya tomon nafsi tomon gi kun binafa Kalam mon amsuku ta soo ya sunu	Ta alim al gi sadu usra lugu ita kum kaman g ai tokum so juhudi te kutumon fi ta alim dastur tarabiya ya dukur mon kaman gi alim fi jede binafs tomon gi jakun binafa kalamon ta indis ta alim mon tmon galigo ta alim te tujar ta alim te maljar ua fi maljara dukur i afiya tomon nafs tomon gi kun binafa kalamon a sokul ta sokyasu
spontaneous-speech-kcn-22260.mp3	Libu ab yal gi ah al yal duga gi alab fi umma tai ya libu al gi al gi alimu omon namna ta rakabu namna te chunga be namna tee kuruju nasi namna te gai ma yal te keni ya libu al mon gi alab al na gi ayin lib al mon gi alab mon gi nutu nutu mon gi soo mon gi nutu nutu mon gi nutu labili mon gi gai kan kalas mon gi alim tarabiya te nas dofuru me nas	libu abiyal ga al yal duga galab fi umma ta ya libu al gial al ga alim mon namna ta rakabu namna te cunga be namna te kurujunas namna te gaimayal te keni ya libu al mon gi alab alne g ain libu al mon gi alab mongi nutu nutu mon gi so mon gi nutu nutu munsu laabile mon gi gai kan kalas mon gi alim tarabiya tenas do forumanas
spontaneous-speech-kcn-22290.mp3	Alama al guweri ja ajol endi huzuni ta awulan ya kan uwo endi sokol mafi yani kan sokol fi neita huzuni siya itagi kun ma huzuni zayidi mafi ya gi jibi neita itagi kun ma stress uwo gi fekeri ana bilogo wen Ana bi so kefin kede ana logo Ya fikulu ita gi kun ma huzuni logo ita endi namna mafi teriga yoyote mafi	Alam al gi weri jaajol ende huzun taulan ya kan wendi sokol ma yan kan sokol fi neta huzun tekun ma huzun zaidi malaikan sokol ma ya gi jibu tekul ma stres yan fi ka takul gi feker ana bi ligo wen am bi sokol fin kana ligo yan fi kulu kun ma huzun ligo ta ende nam terigayote
spontaneous-speech-kcn-22307.mp3	Adil yal batna be ya teriga qb ab kede azol soonmo kede kede ab bi awun min mashakil yan adib yal batna be weri nomon sun ya aju uwo sun ya fa al saba bi ja raba omon na usra ab bi ja gidam omon	Adib ayal ba al labe ya telilga ab fa kede azon so kedeme al biawul min mashakil yan adib yal ban na be wede nomon sonya omon aju suniya fa al saba bijarabomon ma usra al bija gidamumon
spontaneous-speech-kcn-22386.mp3	Sokol ab ragi fa kede soo ah kan uwo gi asma gudura to kalas taulan ke uwo ligo amula safa al gi tim ma awun nafsi to min yani stress awun nafsi to min kalam ta shari je uwo ligo amula safa al gi tim ya bi nongus fataran	Sokol amragi fi kedeso kanuga asma fataran tal arkata ya tawulan kunigol amla safal gi tim ma aun nasto min ya nis tres aun nafsto min kalam tashari n o ligo amla safal gitim ya bi nongis fataran
spontaneous-speech-kcn-22429.mp3	Ayan ta typhoid sokol Al gi jibu ya ta aulan aaa moyo Al waskan akili Al maa marakabu Yani waskan aaa moyo Al gi agif finbatna bee au fi sika yaani fi kuki moyo Al waskan ama akili Al waskan Al ta kulu gi jibu typhoid	Ayind tai fod sogor al gi jibu ya taulan a moyo al waskan akili al ma marakam yan wasakan a moyo al gi agi fi bannabe ama fi darjua ama fi sika yan fi kulu waskan moyo al waskan ama akili al waskan al ta a gi raakun no ida tak waskan kamon gi dib taifaide
spontaneous-speech-kcn-22446.mp3	Ayan ta TB al gi jib ya ta awulan waskan ta tinin wedi yan ruwa fi mushtashfa mma dukur abus to ya ruwa fi mushtashfa ligo matibabu to ya bi abus	Wayaan tal tibi sufaal gi jib ya tau lan waskan tatinin wedi yan wedi ruaf mustashifa ma bukuru abusu to ya ruafi mustashifa kede le nigu matibab to ya ma abu
