audio_file	reference	hypothesis
spontaneous-speech-ruc-24730.mp3	Kubanga olugendo luba lunyamulai jenkwaba nenzira ebba jibi namafuta enzira olugendo jenkwaba luba lunyamulai nobweruba olumpi naye enzira ebba jibi ebina bingi omunzira amafuta gabeeyi nebintu ebyakolesya omwekka yoyo akuntwala yabeyi eeh engeri njena mbiba ebyabeeyi kuba njena mba nkumanya ebeeyi yabyo naye yena omusasira kubanga ebintu byabeeyi namafuta gabeeyi olugendo ebina birimu enzira zibi nolwekyo emotoka jo e transport joba otambulireku yona nojisasira nti ekituffu kubanga yena akolesya ebintu byabeeyi omwekka yamwei	Ekbanga olugana luba lunyamula nkwaba nnzirebagiinamauta zira olugena inkwaba luba lunyamula nabalba lumpineyenzirebaibi ebina binomuzira amafutagabeinebintu byakolesya omweka yoyo akuntuala byabeinena n byabikubananaba nkumanw bea ne ynamusasirakubanga ebintu byabeiama futagabeiolugeno ebna lirmunziraibi nalkyamka ansi ouotambulakuyona noisasirantikitukubanga yenakolesya bintu byabeiomweka yamu
spontaneous-speech-ruc-24747.mp3	Enteekateeka naye e Gavumenti elwawo okwikayo kubanga oba gabbawo oba enzira nizo zibba ezibbi awo naye nsaba nti goona galyeitekereitekere k'eri ga mu tawuni ne gavumenti goona negongeramu abasomesa nibabateerawo alawensi ku owanga kubanga boona obasaasira alina e famire bakeera boona kuluma te kubanga tebabba na alawensi nikyo nkumanya naye baalibawaire alawensi boona nibabbaku n'esente zibakulabiri okulabirira nga e famire yamwe nga takulinda nga mbe musaala gwonka kuba nalinda omusaala ayaba okufundikira era nga omusaala tegumaale nikyo okubona nga ebyanyegesya bibba bidyooli	Etekatkaegabamnti lwaokwikao kubanga obaabali obnirani ibeiawonsabani goagaletetkrnigamaunirani gavamnti ona niggiramabasomesa nibabateraw nalaawskua anga kubanga bonabasaiai niaire bakera bonakulumate kubanga tbaanalawnsinkumanya nbalibawlawenisnanb ankusntibakulaikularanga amirenga takulinramusala nka banalindmsalaawakufunik angaomsalanigwmaoboknabyanagasyababioli
spontaneous-speech-ruc-24774.mp3	Kumbanga mba nga tendina security ezikuuma wange abaibi baingi nempiiya gyokuma omu bank olwawo ogyikolesya nogilya oyinza ogyendya naye niyabayo nga gyigale era bank gyisai oku nkumira empiiya zange kubanga nobwifuna ekizibu oyinza okufuba nokimala omu weekend nga e bank tekore naye te noba nayo empiiya oyinza ogikolesya era nogimalawo nga ndowo kyokoremu kyamakulu naye oyinza okwendya okugula ekintu noyabayo nezikuwa naye te noyendya ozijjajjama noyabayo omu bank nezikwima e bank gyisai okunkumira e sente zanga era ngyebalya	Ekuangambainasaulit ikumawanga abaibani nmpiyabikombanka olwaoikolesya nonzo ndiannga noyabayonga waiali r banka isakumbikirempiya zangkubana n nkiziozikuuba noimalaomuwikndi ke banka takoi neta nobana omumpia oinzoikolsera noimalawnga nooimkyamaul niokwnoulikintnaoyaba ombanka nikuant nynaaama noyabayonga waigali banka isokukuumrempiazananiali
spontaneous-speech-ruc-24852.mp3	Omusaiza alina okulya emmere okwomboka omubiri okugeza encwi oba ebyenyanja ebinyeebwa n'ebijanjaalo ennyama amawuli n'emmere ekuleeta amaani okugeza omwogo omuceere amatooke ebiaata aaa alina okulya okubintu ebya vitamini okugeza ebibala ebyo	Esza ainokulamikumb kumubiri okugeza yeniobebnyana binyba biainalo nyama amawuli mrkultamai okugeza mwogumu amato biata aainokuliokubintbataminiokugezabibalayboOOO
spontaneous-speech-ruc-24875.mp3	Abakali beegere okuliisya nga bakwakala omu kwegesebwa ni bafuna empiiya ati abaana ba bwala tibacaafuna nda nga tibacaali kwekira kubba bakumanya buzibu ki obuyinza okuligamu nga bafunire enda nga bacaali bato	Eabakalibegire okuli syangabakakalomkgesbwa nibafunampia aiaba naba bwala ibaauna ndanga bakali kwkiria kbabakumanya uibuibnzaokuliamu ngabafunindagabakyalibatu
spontaneous-speech-ruc-24928.mp3	Zibakwata olwa bujama obwakaliriirye nga takwefaaku kunaaba abandi nga n'ewakuraara nga tayonjezeewo naye abantu ni beega obuyonjo obwekyo obwikiririire okunaaba n'okwesaairyaku akiri n'onaaba n osaairya wokusula nje nkukoba enjunzai zini twabba tuzetangiire	Eibakwataolwabuamwa bwakalirirye ngatakwfakukunaba abaninganiwakulara ngatayonezw naye banunbaygobyono bumobwkire kunabakwesairya aii onaba nosairya buksua nuonumnzainaaibataangiri
spontaneous-speech-ruc-24964.mp3	Atandikira oku myezi mukaaga nayaba omu dwaliro natandika okunywa edagala era na abasawu nebatandika omulabirira okutandikira oku myezi mukaaga era ayabayo emirundi innai kubanga aba ayina baba bayina okumukubiriza nokumupimanga omwana ali atyai ali kusai oba okunywa edagala eryo eryamuyabaku ogondya omubirir gwamwei okubyala okusai	Etandikirokumyezi mukaa nayaba omuwalironatandika okunyia gala ara nabasiabni atandikuomulabiira okutanikirokumyezi mukaga rayabayemirundi naikubanga abaio bababainomukubiriza nokumpmanga omwanaalaaali kusaoba nokunyiagalaramuambakugondya omubirigwamwe okubalokusai
spontaneous-speech-ruc-24998.mp3	Enkola ya byanyegesya eni etumbukire omu ngeri ya kuteekawo byakuroorwaku tugeze okwegesya oku kulima okusai ni bateekawo omusiri ogwa kuroorwaku okugeza pampa nk'oyo ni bateekawo omusiri ogukwegesebwaku oba ente z'amatai niwabbaawo ente ezikuroorwaku oba embuzi naye ng'ezo za kuroorwaku ng'abantu bakukumbaana ni baiza ni beega	Ekolaa byanyagesyenitumbuire omungriyakutekawo bakulu lwaku tugez okgesiokukulima kusai nibatekawomusiri ogwakuo lwaku kugiza amankoo nibatekaomusiri ogukgisiwaku betzamati niwaant zkulo lwakubbui nngzngaakuuowaku ngabantu bakumbana nibazamba
spontaneous-speech-ruc-25025.mp3	Ebyanyegesya bisai era binyamba okubba ombiseera byange ebya maiso nemba kusai kuba nenta noba nga toyina byanyegesya oba tokwakuba kusai kubanga ebyanyegesya okwakufuna omusala ne famire yamu ebe nga eyemereire kusai wenate omusingi gwamu guba gusai n'abaana bamu oba okw'abawerera kusai ate bona obawe enyegesya ejisai omaiso bonate babeku kusai ombufumbo omirimu nombulamu bwansi muni	Ebyanye gesya bisira bnyamba okuba bisira byang bya maiso mbakusaokubanantaonbangat nabanya gesyobatokwakuba kusa kubanabyanya ngisya kakunamusala niamiramu bnga ymer kusa anaomsnwamu uba gusya nabanabam bakwabareratra bnobanye gsya s omaiso anatbaa kusa mbuumba namimu nbulambwansim
spontaneous-speech-ruc-25127.mp3	Okutandika ebiseera bya mabeega enyegesya yali bisai naye enaku zini enyegesya yeyongaire muno naye beyongere okusomesya olulumi lwaiswe iswena lwetubaza omumasomeero kubanga abaana baiswe bazweeka nga tukolesya olulimi lwaiswe naye nibaika okusomero endimi nizikyuka mbaire nkusaba bikyukeemu babegesyengeku endimi zaiswe zetubaza ekka kyaba kyamaani muno obyenyegesya yaba ekyukire nyo dala	Ekutandika esera byayamabeanygesyaalisannakuin nyegesya yonangarmunbgaokusomesa oumirwainalitubazmasomekubanga banabaisbazekatukoladimirwasdaikokusomimineiukamarenkusabnyegesyabyaonabikamgsgkiiaisetbaka abakamanimunbnjegesyaaikiremunoyoala
spontaneous-speech-ruc-25174.mp3	Oba olina okumuwa e besiki nidizi k'omuna Yuganda buli kimwe okukimwikyaku k'omuna Yuganda era netubba omuntu omwe k'omuna Yuganda nebwabba omwana waamu obba olina omuwa besiki nidizi kubanga n'otamufeeku era n'otamulabirire n'ebyanyegeesya n'omutwala omu byanyegesya ebisai e Yuganda ebba ekwab'okwira emabega muno okutandikira omweka yaamu n'omubanywani omubbaga omu famire yaamu	Eboinokumume besikniisinkmunaoganda bulikmwi kmwaku nkomuna anda ra ntbamuntmu nkomuna gana nobaamwanawamu oboino mwe besikinii kubana notamkura natamulabirire ne byanyesa namalambyanyeesyebisegana bkakuremabgamuno okutandikiomwikayamu nobaywanobaa famireamu
spontaneous-speech-ruc-25198.mp3	Biyambireeku nti ensonga ezimwei niziba ziziire omukitundu tugeze okusoma nkokwo nti ati buni omuntu takyasobola kukoba nti ebyo tibikunkwataku lwakuba akiri akuba yakyulireku oba yakisomereku omuntu ati buni akusobola okusoma oba okwewandikiira tibikumala gamwakalaku	Eambireku yesangakansaamitnutukezousmanuktatbunamunttakyasbla kkbantbtikukatabakua aakubayalreku obayakisomereku muntaatbunakusobolkusma bakandkribikumaagamwakalaku
spontaneous-speech-ruc-25345.mp3	Tugobeera muno enteekateeka za gavumenti eziba zikoleibwe oba okulambika kwa gavumenti kwonakwoona kweba erambikiremu omukitundu kyaiswe isweena nikwo tusigikira netwabiraku so tulindiirya e Gavumenti nka neba nga erambikire isweena nimwo tukomya tutyo	Eugaramu nont katkaza gabamni bazikolewe obokulambikwaka gavamnti konaknakweba lambikiremu omukitundu kyaisweswena nuk tusigikira nitwabirako sotuliya gabamninkabana lambikire swena numutukomatutyo
spontaneous-speech-ruc-25352.mp3	E government eyina okuba nga ekugula amatakali buli kitundu singa kikwetagisibwa buli byalo bisatu nekubaku esomero awo ebyanyegesya biba bikwaba kwikira kyarumwei oku mwanjo nti nokongera abasomesa abangi kyikwetagisya nti buli somero lirina okubaku abasomesa abakusoba omwikumi okwira eyigulu wadde kuliku ebibiina mwenda oba ikumi naye kuyina okubaku abasomesa abakwika eikumi ebyanyegesya biba oku	Eanteinokubang gulamatakali buliktunduinaiaiibabulialoisanakubakusmo awe banyiesyabkau kkiraauukumwano tinokwgraasmisaa nkketaantbli somairo linokubakabaomsabamkumokwiraua kuli knmndobankwinokubakabasomsaaikkumimanigeisabaokuma
spontaneous-speech-ruc-25490.mp3	Nje n'ekka yange waliwo benyi nyambireeku okutwala weba kwegeserya abandi nimbaguura okubimwei ebikwetagisirya oba olyawo ebyandiremeserye okugeza nk'ebitabu ekalamu	Eenekayange walobeniyambireku okutalawbakuegeserya abandi nimbaguraokumwibikwetagsebya obolyawi bandirmzageza kiyabu ekalamu
spontaneous-speech-ruc-25501.mp3	Embeera eni yaali ya yakufuna mpiiya era empiiya zini nazifunire luzwanyuma lwa kutunda bitugwa byenali maare eibbanga lya mwaka gumwe nga nkuliisya nabitundire nenfuna empiiya ezikkanya	Eberemi yalamyakufunampia rempiazini ainilzwanyuma lwakutundi bitugwa byaalimaribangalyamwakagumwangankuolisya mabitund ani nami azikkanya
spontaneous-speech-ruc-25524.mp3	Erangi zaiswe zita isatu eimyuki eyakyenju neiraguzu nizo langi zaiswe ezita oku bendera eyaianga lyaiswe elya Yuganda	Eanizaisezitaisatu eymki eyakyunaraguzo langizisezitu kubandira ayanga lyaslyaani
spontaneous-speech-ruc-25567.mp3	Amasomero ga mbyalo gayambire abantu okubanga bakumanya okusoma n'okuwandika nugayamba abantu okubanga bamaite ekikwi ekyabawo emambya okola emirimu nekya okugezaku ejamukono naaa obwomi bwabwe engeri yakwekumamu okugeza nk'obulwaire bwa sirimu nendwaire ezindi eziretebwa omukitundu kyaiswe	Eamasmaogambal gambilabantuobanga bakumanya okusmanukuandika nigayambabantu bana mati akyabawmambya okolamirmu na gaana amknu naobom bwabo ngia umamu ano basirmu nndwera zentba itundu yai
spontaneous-speech-ruc-25578.mp3	Oyina okwaba omwi oyina okwaba omwiraro okwekeberesya oku bulwaire bwona bwona kasita owuura nga oyina obunaki bwona omubiri olina okwaba omuirwaro niwekeberesya ate noba niwekebereserye oyina okwirayo oluzwanyuma lwa banga lya myezi isaatu noirayo niwekeberesya	Enakwaba omu nokwaaomuirwaro kwekeberesya okulre bwona bwona kastowua goina obunakbwona bwona mubii oinaokwaba omwirwal nwekeberesya at nobanibikberesonaokwrayo ouaumalwanga lamisa rayo oniwekeberisa
spontaneous-speech-ruc-25634.mp3	Omubyaire alina omwana oyo okumukwatisya abantu abanjawulo abakumusingaku okugeza abakulembeze bambitundu abakulembeze beba ba madini abantu abatakumanya mwana oyo no mwana batakumanya	Emubyre alina omwan akumukwasya abantu abanaulo abakumusingaku okugeza abakulembe zebamitunu abakulembe ze baba abamadini abantu abatakumanyamwanoyonamwanabantakumanya
spontaneous-speech-ruc-25638.mp3	Emmere eni eyina kusumbibwa kusai nebikibwa kusia ate era n'eliirwa oku masuwani agejuni kusai neba esigeirwo nebikwiba kusai nesanikirwa kusai	Emeennakusubibwakusnebikibwakusatra nelrwa okumazani agemkuseiniisgrabo ne bik bwakusa ni saninkuwakuse
spontaneous-speech-ruc-25641.mp3	Olunaku nkola sawa nka isaatu nkola okuzwa okumambya mpaka sawa nka inai awo nimpumula nimba nyinukiire mmm naba nimala okunaba nindyaku nimala okulyaku nimbasya nimpumulamu	Elnakunkolasawa nka satu nkolokuzokumambya pakasawa nka nawo nipumula nimbanyu nikre aba nimaloku naba niaku imalokulaku nimbasa nimpumulamu
spontaneous-speech-ruc-25649.mp3	Mbe nkyali kutandika kuzibika mu banka olwakuba nti ebanka wenyikaara yindi alai tindiraine nayo	Ebe inali kutanika kuzibika m banka olwakubanti banka gwe nikara idala tindirainenao
spontaneous-speech-ruc-25677.mp3	Begeserye okwidembe ly'abantu omu maramizo gabwe katugeze nti omusaiza niye ayina okulabirira ekka yamwei	Egasyakenbi labantu omumala mizogabwi tugeze i musaiza niaina okulabirirkayamu
spontaneous-speech-ruc-25682.mp3	Obumanyisyo obula obulanga nti omuntu e puresya zamwei ziri igurumu ziri iguru omuntu oyo abba nokutuyana tuyana omuntu oyo abba afuna omugaizo omuntu oyo afuna obulwaire lwaire obumanyisyo bwa bulwaire obundi	Emanis a blangantumunu plesa zamwe iulmriguru munto abatu yanatuyana omun aba aunomgeo muntoafnobw lwe bansy b ablwarobundi
