audio_file	reference	hypothesis
spontaneous-speech-aln-44299.mp3	Jo pwr nder nuk kena nuk di gja C asht ai nuk kena jo nuk kena asnjw gja pwr zotin ju nuk e di Ca wsht fjala po nuk e kuptoj kwt gja pwr zotin Ca me t than tash nukw ashtu po po jo nukw s e kuptoj nuk e kuptoj...	Jo mana nuk kena nuk tigja qa shta nuk kena  nu n ksgj pwrzotinkea J du etia shqee pwrjk nu kuptoj ke t gjadu pwr zoti a me thalshu shto po o lui kuptoj luk kuptoe
spontaneous-speech-aln-44300.mp3	Kopshtin e mbolla kopshtin e kam mbjell domata mallator speca do qep m pwlqen kopshti me kallzu t drejtwn por edhe ktu n Greqi kam ndreq jam n shpi private e baj nji kopsht t vogwl e baj do mallator do speca i baj	e kaphKop shtin kop shiamle do moator dpeca doip m pwlqen kop shqime talzu drejtw po edhe kton greshi kamnd jam shpipwrevate e b n i kop vogwle baj do madhator dospeca do gjanan i baj
spontaneous-speech-aln-44301.mp3	Un pwr zotin me thwn tw drejtwn shqetsohem shqetwsohem i emi asht ma i madh si me ta shpjegu ti kur s kam nonjw gja pwr shembull kam nonj problem nonjw gja shqetsohem shum edhe nuk m pwlqen pwr shembull kur kam probleme e gjana shum...	n pwr zotin e atjshtsoshishetsohem she tesohemiash maima si me tashguti ku  kam nanj gja pwrhemu k nj prble nj gj shtso shum edhe nuk m pwlqe kshe kukam pwrble me gjana pwlshup pwgja
spontaneous-speech-aln-44302.mp3	Po kur isha i vogwl m pwlqejshin kang dhe ashtu kang dhe kukllash kuklla kang kshu pwr fmij kto m pwlqejshin ma shum kang e fmijve t vogla ashtu kuklla	Pokurisha e vokwl m pwlqesh kane ato kane kuklash kukla keanshu pwr fmi to pwlqeshemashma kade tive t voglazo kukla
spontaneous-speech-aln-44303.mp3	Po nuk jan t kwqia micat na pwlqejn si s na pwlqejn micat Po kur ish njw her njw mic shum e bukur me t kallzu tw drejtwn micat shum nuk jan t kwqia po na pwlqejn na pwlqejn micat shum po na pwlqejn po po po	Po nu jan qia micat mirjn na pwlqe sam pwlqen mica o kur ishihr nimi iierniic shu bukure drejtn micat shumnu jan qia Pona pwlqejna pwlqen migjat shm pona bwlqen po po popo
spontaneous-speech-aln-44304.mp3	gjaja ma e bukur ka shum gjana si jan te shpia ime t mira po kam bufen e kam telvizorin e frigoriferet e pwr shemull kam komodinat... qw ulem karriket kam ble nja dy karrika t bukra...	gjoja ma bukur ka shum gjanas jekeshpia ime mira Po kam bufene ka tel vizorine fritherete pwre shembul kam komudina s ulem kai kam blena dy kaika t bukura
spontaneous-speech-aln-44305.mp3	Pwr zotin s mw ka taku me pas pwr avokat edhe njw gja aht se nuk kam probleme me njerzit e nuk dua gja avokat po kur du nanj avukat futem e ma gjwjn njerzit tu pyt me pyt njerzit se kur... nuk kam nanj problem me avokat...	Przoti sataku gjamee paspwravoka asidhj gjase nuk kam pwrblememejezt e nuk nd gja  vokat po kurdunanjevuka futw e ma gj njrzi tupit me njerztadi nuk ka nonj pwroblem ma vokat
spontaneous-speech-aln-44306.mp3	Po makinws di me i dhwn se s kish nga me msu kam marr patendwn e kam marr n Greqi patendwn ka nanj tet vjet qw e kam marr patendwn po di mir me i dhan makins mirboll mir por ruhem di me i dhan makins po po	Po makinw dimi dha eesha kamsu ka marpatedhe knonj asha kam ar ngreqi patedhe ne t vjet e kamarpatedhwn po dim igr makins marbolmi pouhem dim idhan makis po po
spontaneous-speech-aln-44307.mp3	Jo ore n teatwr nuk kam ik se nu kena pas teatwr ater n Shqipri Tash kam ardh unw n Greqi dy vjet kam qw jam n Greqi un ater kena pas ndenj n fshat tu punu jam prej fshatit un katwrdhet e nant vjeC mw bwri fshati katwrdhet e nant vjeC	ore sn ttwr  ka nuk kam hik e nuk kena e pasoatrthe m shqim shqipri Cjash ka mar unna dyvjet kamasi ga mam shingrei dy vjet kam sjeam greio Aatekna pas n ifshat to punu jam prifshat ietn katrthnan veqehojpfshote katwrndan ve
spontaneous-speech-aln-44308.mp3	Po kujdesem pwr Parlamentin kujdesem se Parlamenti asht qeveria jon a kupton Parlamenti i mir merr venime t forta pwr Cdo gja pwr ne i merr vendimet a kupton po mu nuk mw pwlqen Parlamemti n Shqipri nuk mw pwlqen n Greqi m pwlqen se ktu n Greqi jam tu jetu	Po kjdes popoalamntin kjdes mse palomenti qveija ju nakupdo plmnti mi m meven nimett fota pr do gja pwr porne mervon nime t a kupton po duk mw pwlqen m pwrndsqipr pwlqen ngreqi m pwlqentu ngreqi jam tu jotu
spontaneous-speech-aln-44309.mp3	Po C tw... si me ta shpjegu tash pallati pallat ka Cdo lloj pallati e kupton tet kat llogarite qw nw Shqipri ka pallate peswmbwdhjetkatshe Cdio lloj pallate jan shum t mira	PoTah qimendspegutashpallatippalat a zoli pallatie kuton pallatim ashkkaes ekahgjtrn hipri k pallai psmtpes ma tkat n doloi palatja shum  mira
spontaneous-speech-aln-44310.mp3	Ca do msoj do msoj n pun do msoj avash avash pwr shembull nwse tw pwlqen me msu diCka Ca do mwsoje Pwr zotin msojm po e msojm pwr s mbari msojm gjana msojm gjana t vogla gjana t mdhaja po po mwsim po po	a do mson tu msojm puntomsojmevasha vash pwr shembuldo twpwlqeneik so wr zoin soj m pwr smari msoj m gjana sojm gjt buga gja jp po poi si m poo
spontaneous-speech-aln-44311.mp3	un me ta thwn t drejtwn nuk m pwlqen jo jo nuk mw pwlqejn qent as mocet djal i vllait ka qen nuk m pwlqejn qent jo me thwn tw drejtwn As qent as macet	et azu drejtwn nuk mw pwlqen qn nu jo n m pwlqen etas macae gjoli vlajt kaqen gws nuk m pwlqen nuk pwlqen aj  o me u drejtwn a etas macat sok m pwlqen  folkot
spontaneous-speech-aln-44312.mp3	po letra luj po jo me lek a kupton luj letra luj Cdo lloj letwr po jo me lek e kupton luj pwr kam pas luj me kalu orwn po luj letra po jo me lek se lek nuk jan mir me luj me lek se msohesh pastaj dhe bwhet smun-je	Po letra luj pojo me lek pton lujletra lujodhoj letrtpo jo me lekshn lujpwr kam pas luj me kaluorw po lujletra poome le se leknuk jan mir me lujl me lekse msoshpasajdhe bet smunje
spontaneous-speech-aln-44313.mp3	Kurse gjyqtart e mi s jan ata atje nuk kam pas nonj gjyqtar pwr shembull nuk di Ca me t than po gjyqtarwt jan njerwz nuk jan njerwz t kwqinj ven ligjin ven ligjin nw ket nw ket vend gjyqtarwt nuk kam Ca me than pwr ta jan njerwz t mir	ytotmi ama thanatenu kam pasnanj zysto pwr shemu nuk dia methan pogjistjan njerz nu jonjei ven gji ligjinven ligjit nke nket ven ytar nuk kam a me thanm pwrtj njer t mir
spontaneous-speech-aln-44314.mp3	Jeta si m ka ndodh mir e mar a se kam tri fmij dy djem e nj cuc i nimoft zoti i kam mir edhe i du me i pa mir kshtu po gja ma t mir nw kwt jet fmit duijetwn tane e shpin tane ma mira ma	Jeta si kanol mamiramajan si kam tretmi digje mei cu enimon zoti i kam mir edhei dume i pomir sto gjamat mirn qekemij tuj jetwn tane shpin tane a mirama
spontaneous-speech-aln-44315.mp3	Shpresa ime ma e madhe mw t ardhmet asht t jem mir pwr fmijt t kem mir jetwn mos smurem C tw m pwlqej ma shum e madhe me thwn tw drejtwn... mos smurem mos bahem po po	pesa imee madhtame tash ke mir thmi kemiretwn mosmuhem so m pwlqejn ma shume mavetntw dretwnl osu moz ba fo
spontaneous-speech-aln-44316.mp3	Jo jo nuk kena ktu ktu afwr nuk ka jo Ktu afwr nuk kena Po po me thwn tw drejtwn ktu afwr nuk kena asnjw gja ktu afwr	J nuk tkena sho asiojo nuafwr nukka o tfr nuk  kena Po me wt rejte tuafwrnunuk kelasht gjtfwr
spontaneous-speech-aln-44317.mp3	Po edhe telefonin nuk e pwrdori iC djali i vllait e pwrdor telefonin djali i vllait se e kam si meqen djalin tem e kam djali i vllait kam djalin e vllait qw ka njw ai fon edhe ktu se un telefonin e kam pa asnjw send telefon kshtu t thjesht kam po e marr me e pa	Prttelefoni nu e pwrdori igjaliljte pordor teleforin gjol jelajt s kam se me qwn gjolin tem me kam gjolavlajtt kam gjoielajt si knj fotsn pwrvet e kam telefin pakmr pase sen telfon shu tirsht kam m marme e pos
