audio_file	reference	hypothesis
spontaneous-speech-sco-31044.mp3	Aye I’d’ve loved to have been a professional gymnast I used to when I was young do flips but- and cartwheels but no you know professional And years ago we- the opportunities are different nowadays you know we didnae have these kind of a classes to go to But anyway I did take the opportunity when I was in my forties A gymnastics coach of the kids told me I should go to an adult class in Bellahouston So I did I decided to go and um there was a great wee coach Hazel She was professional And she encouraged me- I s- I told her I’d love to do flips She says well you’ve got the physique you’ve got the energy So she was so good at helping me to visualise going into this ball pit- we’re on a trampoline so I’m jumping the trampoline and she's just visualise a dolphin and it helps you flip into the- so you’re flipping into the ball pit What a feeling She was so good you know that encouragement At first I was all over the place Anyway so that was great to get that opportunity	A love o bein a profesonal jamnas I used to e when I was soung o flaps but and art weal’s bit mo you know profesional and yers a go with the oportunites of dfrinever you know we dinnae have these kind of a lasies to go to ut anyway I di take the oportunity whn I was in my fortise a jimnastic cout hf the kids told me aI shuld go to an auo clas in bala hostn So I did ecided to go and then the as a great wee coth hso she was profeasional and she ncouraged me Is- I told har I’d love to te flap she sas we you’ve got the fasic you’e got the nerg so she was so god at helpt me to fisialise gt into thiesbalpat with on a tramplin so I’m jumkin the tramplin she’s disfesialise adolfin and e help she flap in o the- so o fluting into the bolpat what I felin she was so god you know that encouragement h first I was al over the polace anyway so that was great to get that oportunity
spontaneous-speech-sco-31052.mp3	Best holiday I’ve ever been on was in Finland I went up to Finland in February a couple of year ago to see ain of my pals and eh it was just the maist peaceful and relaxing- oh it was marvellous The maist relaxing holiday I’ve ever been on We went curling and it turns oot I’m brilliant at curling I think if you’re Scottish it’s in the bones aye eh brilliant at curling we did loads of hiking but difficult to hike because of the sna’ of course eh and then we went ice fishing and I was sitting in the middle of this big frozen lake minus twenty-seven degrees ice-fishing and I’ve never been mair at peace in my whole life	Best holiday I’ve ever been on was in finland I went up to finland in feburay a couplof year ago to see an my pals and eh It was just the mist peaceful and relacin oh It was marveolos the mist relactin holaday I’ve ever been on we went courlin and it turns ot n brilliant at courlin I think if your sha ashes in the bons ai Eh broliant at corlin wih alas a higken bougt dificult af higt because of the sna of cours eh an then we went ice fishing and I was siting in the midl of this bigfrosen lake minus twentyseven degres ice fishing and I’ve never been mar pain my o life
spontaneous-speech-sco-31055.mp3	One of the stressful things I would experience in a workplace one of my jobs years ago was how people speak to each other You know the stress that people would feel because they had this fear of like a boss coming towards them or people in a different position- they would just crumble and that- I would be stressed for these young people so I would go and challenge them I'd think it was unnecessary I thought don't treat somebody how you don't like treated yourself So thankfully I did always have that courage in places of work where I just thought no- nobody's treating somebody like that- I could not tolerate it so- but it was stressful because you were taking risks as well	Wone ofthe stresfho things a with the experience and I work plase n i my jobs sco was ho people speake to echother you know the stress that people would fel because hehad this feare f like a bogs coming toworse them or people in a differit pousition they oud just crumble and thei-- I would be stress for thes young people so I would go an chalonge them Id think it was un necessary I fo don’t treat sombody ho you don’t like treati yourself o inul iI ’d always have that corage and places a wark where I just fo no- nobody’s treatind someboiy like that and- I could not talerat it so but it was tressful because ou were taking rest as well
spontaneous-speech-sco-31061.mp3	Maist precious object I own is eh ain of my guitars it’s um it’s a guitar I’ve wanted since I was a wee boy eh maybe for aboot twenty-five year or something I’ve wanted this guitar and eh ain of my pals bought it for us for my thirtieth birthday ain of my pals won a bit of money and he thought ken what I’m just going to buy that guitar for him and that’s what he did surprised us with it and I couldnae believe my eyes eh and if my hoose was burning doon that’s the one thing I would run back in and get would be that guitar It’s beautiful it plays amazing and it’s got a lot of sentimental value as well ‘cause my pal bought it for us aye	Mis precious oubjec h on as eh in my gitars it’s um is ae gitar I ’ve onted since I was a wee boy Eh ah maybe for abo twentyfive year or so man ’e wanted this gitar and uh in my pal’s bog- foras for my thirt pirta in my pals I on abo o mone and he thought ke ’m jus’s gona biy that gitar for m an that’s what he did surprised as wee and I couldnae belive my as eh and if my hosh was born in doing tht’s the on thing I wold run back in an t wold be that gitar Ia’s beautiful it plays amaszing insco a lot of say n oemental vallu as wewl os my pal bog- foras ai
spontaneous-speech-sco-31069.mp3	I’m proud of my weans See my kids they have done theirself proud and me proud They have rised above so many challenges in life and honestly it blows my mind because it’s no been easy Especially the education that they got Um they were up against a lot of different classes in life And to fit in and to pr-pretend that you’re this person that you’re no And they had to face that in life and that wasnae easy so I could not be more prouder than what I put my kids into and they taken it on board and um they have achieved so much	I’m prod of my wins se my cuts they have donno say pro n me prod They have wrised up of so many chilenges in life and onestly it bos my mind because it’s no ben easy especally the education that they gogt u they were up against a lot of diferent clases in life and to fitn and to pr-preteaend that you’re ths person that you’re now and they had to faa in life and that was no esy so I could not be mor proudoer than what I put my cis into and they takn on bord andeh they have acheved so much
spontaneous-speech-sco-31073.mp3	I lo- I worked in this hotel years ago and honestly it was amazing ‘cause I’m a people person and it was so life-giving Anyway the thing I really loved aboot it was you know you’re seeing people happy you’re making them feel good But th- the other side what I didnae like was people that you worked with the employees Some of them had these titles right and they would abuse it It was like power trippers and I would always challenge them ‘cause I would look oot for the young and the underdog And that’s the thing I really did not like the way people thought they could treat people because they had this power ‘cause of some status to their title of the job	I lo- I warkt in this hotel eus co and onestly it was amazing t as my people person and it was so lafe gioven me anyway the thing I really love tie but it was you know youus seen people hapy you eet n fe goods but the the other saied wat I dinnae like was people that you warkd with o the emploees som ofthem had these titls right and they woild abus it it was like powr trappers and I wold al wih childd thingse I wold look ot for the young and he unte dog and that’s the thing I really daid not like they wee people for tha o treat people because hey had this power ‘cause I sa m stats to the tatl of the job
spontaneous-speech-sco-31076.mp3	My favourite food is Minstrels so you dinna cook it but what you do is you tak yourself doon to the shop get a bag any of they bags that says “more to share” on it well it’s mair for me to stuff in my pus ‘cause I’ll no be sharing it with naebody So I get a big bag of them eh get a twa pinter of blue milk ‘cause you need to wash doon a’ that chocolate with milk coo’s milk it’s got to be coo’s milk and eh just get nice and comfy set up watching the TV whatever it is and just start battering your pus with a’ these Minstrels and eh dooning the milk basically So there’s no cooking but just maximum enjoyment	My favourite foud is munstrals o you dina cok at but what you do is you tak yourself into the shop get a bug anyf thye bags it sas eh more a shar on it well it’s mair for me to stuf in my pus ‘cause I’lnow be shure that we ned theu so get a big bag of them eh get a twa pinter of blw milk ‘cause you ne o wah oan atha f choclet with milk qose mlk ’s go be cos mlk and eh just gt nice incom fae say oup watching the t whatever it is and just start batter in your pus we a’ thes muonstrals and eh doning the milk basicaly So it’s na a cookin but just maximum enjoiyment
spontaneous-speech-sco-31080.mp3	My favourite film’s Chicken Run and if you disagree with that then there’s something wrong with you ‘cause it’s quite clearly the best film in the world if you ask me Animated chickens I mean what else what else could you ask for that’s just fantastic it’s Aardman that do it so ken them that dae um Wallace and Grommit and eh it’s the struggle the strife and struggle of these chickens that are a’ cooped up and how they want to escape and- and have freedom and live their best lives and I just think it’s absolutely marvellous so yeah that’s my favourite	May favourite film’s checken roun and if ou dis agre with that thnther’soeing nong with ou ‘cause it’s quikte clar the best film nth world av you asked me anamat of checkens I mean what else what eals could ou ask for hat’s just fantastice it’s artman that do it so ken them that they um walis an groma and uh it’s the strugl the strif and trugl of thes checkens that are a’ coped up and how they want to escap and and hof fredom and love their best lifes and I just think it’s absolutely marveolous So hah ht’s my favourie
spontaneous-speech-sco-31124.mp3	Best- that’s a good question how do I try and save money the best way for me to try and save money is to no go to Starbucks so my pal got us recently well last year a couple of year ago maybe into coffee I’ve never bothered aboot coffee I would just waken up in the morning and that’d be me didnae need a kick of energy or nothing like that he got us into the iced coffee and eh that’s been me hooked absolutely hooked and so it was Starbucks is what he introduced to us and that’s where I’ve been going and that’s where I’ve been spending a’ my money So to save millions of pounds I just dinna bother going to Starbucks anymair	Best that’s a good question how do I try an save money the best way for me o try an save money is to no go to star boks So my pal got is recently well last year couplof yer ago maybe into cofe I’venever bothed aboo of cofe I wouls just waken up inthe morning an a b me didna ned e a kick of energy or othng like hat he got s in of the is cofe and eh that’s wen me hooked absolutely hokd and so o starbos is what o n justto ts and that’s wh I’ve ben going an that’s whe Ive ben spending a’ my money so Ia save milions of pouns I just thna bother gointo star bogs anymai
spontaneous-speech-sco-31127.mp3	One thing I wish I’d done that I’ve no done yet but I definitely will do is eh go to Prince’s hoose Prince is my favourite singer and his hoose is in Minnesota in America and eh you could- you could bide in- he had the film Purple Rain and you could bide in the hoose that was in Purple Rain and then go to his actual hoose where he bed and eh you get a big aboot three or four hour tour eh which would be immense and then just be fully immersed in a’ the Prince stuff for the day that would be- that would be dreamboats	Won thing I wish I’ don that I’ve no don you but I definitely wel do is ah go o princes hos prine is my favourite singr and his hoses in minasoa in america and eh you kould- you kculd bit on- - e had the film porpal rain and you could bit an the hosethit was in porpal ran and then go hais actual hos w he baid and eh you get big thre or four aou tor eh whach would be imense and then just be fully marsed in a the pin stuf of the day I would be- a It would be dreambors
