audio_file	reference	hypothesis
spontaneous-speech-rwm-57259.mp3	hanisa nguko kowa ba ngbeku ndibasuna li jibheti kibubhisiku kitinisa kandi kibuhoki ndiba kionga kandi kibuduwagebhei andulu kima njo nabo beyokiye nibalo na gonzasi sini sini	K m mmmmmm a a a a a a a a aim m m a a a a a a ammmmmmm m mmmmmmm m a a a m i
spontaneous-speech-rwm-57262.mp3	Guba kokowa na mwani abhuyambi bhakpa nanga bhatandiki sasula fizi ndia bhaniki ndiabho ka masukulu bhabhasumbi dhudhu ndiekina kandi bhakpa bhaliki ndabho ndia abhongili kimui	K a a a a m i a a a i a a a m m m m m m m m m m m m m m a a a a m a m a a a a a a a a aioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioioio
spontaneous-speech-rwm-57264.mp3	Bhaki takatakana bizibu bia nabho bhaki lwalaga ndyala njo kadi nadwali njo bhaki kabhaga	m a a a a a a a ama m mmmm a a a a a a
spontaneous-speech-rwm-57265.mp3	Ka ngongwa mbili ndiasu kalibe bizibu na moti ndia bhakali na bhasika ndia bhakikoliliagaku nanga bhakali na bhasika kikilikaga imamoti ka sidha sidhana kandi na bhakali nabho bhakiyaga ka gulupu sa bisa na kwehoza	K a a a a a a i a a a a a a a amam mmamamamimm mmm m mma i aia a a am a a ma a a a a a aioioioioioioioi
spontaneous-speech-rwm-57266.mp3	Bhaniki ndibhasu egesabho sa asili kibhupesiage nsimo na mulingo nesi koliliagaku pesiana nguko ngenyabho na bhangbheku	m a a a a a a a a a a a mm a mmmm m m m a a a a a a a a a i
spontaneous-speech-rwm-57267.mp3	Ndia akidhuwa muikili mabhonga abhuokanyia ndiabha abhuikilia ali zibe eti aibi bizibu ndiabho kandi atunge nesiyo nesi akitoka konyelabho ka bizibu ndiabho njo dumbi okana abhe bei sobhe sobhe saki nabho	K a a a a a a a a a a a a a m m a a aia a a a a a a a a m ioioioi
spontaneous-speech-rwm-57269.mp3	Nanga libho ali bwomezi kandi kalibho aliku kima akigbaga mibili ndiasu kima mindia kiyambaga mbili ndiasu akilikaga ka libho	m a a a a a a a a a m mmmm a a a a a a a
spontaneous-speech-rwm-57270.mp3	Bhakoli ndibhakikolaga ka ka kima sabwomezi bizibu ndibhakyenaga ndia keteketa bhakpa bhakibikaga bhesiyabho nibhamadha na ndibhekina kidia bhakikoliliyaga mubazi ndibhakitugaga akibhaga ndia kamadhi na ndiakina namikia sente ndibhakibhupesiyaga kamadhi	K m a a a a a a a a a a a a a a m m m m a am a ma am a a a a a a a a a a a a a a a a a aioio
spontaneous-speech-rwm-57273.mp3	Bhakilikaga nabho imamoti kandi ali buzunanizibwa ndiabho yambako nanga bhakilikaga Imamoti	B a a a a i a m mmmmm maa a a a a a
spontaneous-speech-rwm-57303.mp3	Nikiyaga ka ima nihumuleku dakika mamadha busumi ndiekina nikiyaga aa ka kinabilo nioge aa busumi ndiekina dhe nikidhetaga	m a a a a a a a a m mmmmmmm i a a a a a a a a a mm maaioioi
spontaneous-speech-rwm-57315.mp3	Nabeni ogietagisa wogisage na libho mabena kudhakia ogisai obise ome ogole na pasi kudhakia golai obise kulungi ololage dou moti kedha dou bhali andulu olole ndiekina	Kia a a a a a a a a a a a a a a a m a a m m m m m m m m m i a a a a a ai a a mm i
spontaneous-speech-rwm-57321.mp3	Ndie nkikolaga nkiyaga ka tiko nibala ndie nkisobola hongelaibe niya ka katale na mikia sente ndiamo nisumba lieli ndie nkitoka bisaibe hongela muhendo ndia akitota dhakia emi na bhaniki ndibhamo	K a i a a a a a a a a a a m m m mmmmm m m mamiaiammaaa a a a a a a a a mmmm i
spontaneous-speech-rwm-57353.mp3	dhakiabhle bizibu ndiasu makanga tongana akyetagua lika nikikibuduabe bangbeku ndibha bhakitoka hanulilasu na bhesu nikiki bhuhanulilya kizibe eti kiokania andulu bizibu ndia kigodilia inji inji injo ingililiasu sini	K a a a a a a a a a a a i iaia amam m m a mm m m i a a a a a a a a a a m i
spontaneous-speech-rwm-57361.mp3	Ka kweyambiya lieli ndia kudhedhi sini-sini osemelelu ziba eti osemelelu sukusa kindia okweyambilia kandi otungi libho magenenuka kandi owambili ka kikalo mabhonga andulu ozibe eti lieli injo kabidha akukudhedha kandi nawe oliye nosemelelu	Ki a a a i ia a a a a a a a a a im m mm m m ma a i i i i a a a a a a a i i
spontaneous-speech-rwm-57367.mp3	Nesiyo ndia nkpa asemelelu okiliaku makulu kedha kima poni ndia aleukanio asemelelu abhe na nkia kalediyo nkia lediyo ndiaki akintoliaga ndiaka kona-na-kona poni kedha aiba kima poni ndia aleukanio ka nsi poni	K i a a a a a i a a m m m m mmmmmmmm a a a i a a a a a a i i
spontaneous-speech-rwm-57373.mp3	Hhh ndiadhu bhakpa biabho bhakakozese nguwa ndia alibe sebhalisiyo ndia kateketa atembia ndia kebhali ekietagisibwa lika nolia kucajinga masnalaji buli ka kyalo poni kaliku	B a a a a a a a a a a a a a a a a a a m m m m m m m mm m m m a m a a a a a a a a maoio
spontaneous-speech-rwm-57374.mp3	Mbula ka dhaka tolo poni ndie kikolga nkiesaga ka inji nilika na bhaniki ndibhamo dumbi kiamba mikia lieli ndia ali ka inji dumbi kilia imamoti lindua mbula nasi	K a a a a a aia a a a a mmmam m m ma ama a a m a a a
spontaneous-speech-rwm-57383.mp3	Humahuma kenge kutukembe subha ndabho ndyako ndyokuteketagha kolai ali teketa saabha kudhakiya ku saabha dhumbi yohoga keiso bhenjo ndibhali na ndabho ndyabho ki ndia bhakinyelaga bhateteka yeyambabhe bhanyela	K a a a a a a a a a a a a a m m m m m m m maim m m m m m m m a a a m m a a a a a a mmm m a a aoioioioioio
spontaneous-speech-rwm-57439.mp3	Bhikintakia nkap nali ka bbakisia mulemi ndie kikinkola bhesu kikidaka keyongela kinduwe menjo dumbi kimbale nkpa midia ali bhia bhotuaki aonge ndie naye	ma a a a a a a a a a a a ammm m a i a a i a a a mm i
