audio_file	reference	hypothesis
spontaneous-speech-kcn-22106.mp3	Ana agder akul akil baraa baraa Akili Milan	Akil al anager akul ya akil yote kalam ayan milan wu akil gi jibakila fi bara barau al gi jib ayan fi gildu as akil al anager akana ger akul akil al bi jibu afi ayana al ma gi jib nana ayan yote fi gildu ja nskilyatu aan al gi jib gamrafi s afiya tai al gi jibu gildu ma i kun kwes yan gildu kun taban zaman kulu akil al bi kun tamanfaa ya akil al tena al min jidijidi tena kan yamda gi wenena akil al gitala fi shamba akil al ma gitala fi al gi adul ma ida akil yana al gitala fi shamba tena ta min jidijidi tena
spontaneous-speech-kcn-22127.mp3	Teriga Al kweis ya ta aulan akul akil al bi awunu gildu tou yaani akil Al ma gi jibu Ayan baraa baraa Al bi jaa jib no Yani shida Ta tinein yaani kutu sokol AlSaba akan uwo jaa ajusi Yani kuto sokol Al bi jib gurush Al bi ja awunu fi y'all Al Lisa mma agara au Al Lisa gibagara Yani	Aeriga al kwesi ya taulan akul akil al bau gildu to yan akil al ma bi jib n ayan bara barau al bija jib no yani shida fi ajus t ta tinim yakutu teriga nandi lgo sokol al saba kan ja ajus bija auno fi jus tyan namna ya t yaa kusokol yod al gi jib no gurush al saba kan bija ajus uruja bija naf fi ajusi to al bija sg fi mustash f albaun mayal abdisa marua fi madrus amayal al fi gaagala de atANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANA
spontaneous-speech-kcn-22154.mp3	Al milan tomon ma endis kubaniya kalam fi umma nas sia yan ya azol seme anas milan ma aju neta mandeleo yani seme ya kubaniya fi umma milan tomon gi aju ita logo ita endis kan youm ab rabbana nongus min ita kalasi te kun sunu batal yani gi aju ita fi saa al ta fi batal Kan fi rabbana fata neta le uwo fata neta ja munu jibu Kalam milan ya wai min sabab al gi nongus kubaniya fi umma taki tai	A milan domon men kubaniya kalam fi uma nassia ya giaju azol sen nas milan ma ajunita mandelyan sena ya kubaniya fi uma milan domon gaajita loge teende kan yma arab ala nongus ninita kalash te kunsunu batal yan gaajita fi saa alta fi batal kan raba na fataneta le u fataneta jatamnu jib kalam milan ya wai misaba bal g nngus kubania fi uma tat
spontaneous-speech-kcn-22169.mp3	Barnamij ta alim anas kubar awun waze fi aruf stamil me sim mon saade agder wonus me yala tomon fi be te bara	Asofa ala kede ana so yani abus boda min adiana fzamna alum ya lugo dawa ama yani gavmenti na teriga ta abus boda yaa di mina musktnet yani katimba al gi abus boda min galgal al fgo dawa l gavmenti fg dawa kalas a namna al ana ager abus mo bda min adiana zaman ta lumANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANA
spontaneous-speech-kcn-22190.mp3	Lib al yal gi alab fi ummah tayi libu al gi amsuku badu ma terebiya tomon yani ma terebiya tomon ma dasturi tomon yani lib al gi alim omon terebiya tomon sun ya aju fi terebiya tomon terebiya tomon gi raba kefin ma hafiz lib ab gi jib hafiz terebiya tomon ma dasturi tomon fi ummah tomon	Alibu al yal gi alafuma tai libu al gaiskub al ma terebia tomon yani ma terbiya tomon ma dasur tomon yani llib al gi a alim mon terebiya tomon lks suniya ajif terebia tomon terebiya tomn gi giraba kefin ma hafiz lib al gi jib al gi weri namrada hafiz terebiya tomon ma dasr tomon fi uma taomon
spontaneous-speech-kcn-22227.mp3	Adil yal batna be ya teriga qb ab kede azol soonmo kede kede ab bi awun min mashakil yan adib yal batna be weri nomon sun ya aju uwo sun ya fa al saba bi ja raba omon na usra ab bi ja gidam omon	Aadib ayal badna be aa teriga ab fa kede azol soo kede edal bi awul min mashakil yan adib yal banna be wede nomon suniya mon aju suniya fa al saba bijarab omon ma usra al bijaa gidam monANANANA
spontaneous-speech-kcn-22260.mp3	Madrasa ta mahal fi namna al taalim athar to jib geeru yani jib geeru fikira te anas yani badul fikira ta anas min kun fi awiri arija omon gi noor yani amurugu omon min duluma jib omon fi noor de ya atha ma ma mastakbal fi umma	Aadrasa ta mahal abalamd taalin aar too jib geru yani jib geru fikra ta anas yan badu lfikra ta anas min kunf awir arju omon fi fi nuryan min amrigo ma min duluma jia fi nurdea asar tma maa mastabal fi uma
spontaneous-speech-kcn-22290.mp3	Ah akil wesif teriga te akil al ita gi beri ya akil yoyote al gi awun nafsi taki gi mma bi jib neta madhar yoyote ama bi jib neta ayan fi gildu ama bi jib neta ayan yoyote ab bi jib neta problem fi gildu yani akili al gi awun afiya taki al mma bi jib neita athar al batal	Ah akil wes teriga ta akil ta al ita gi fadu ya akil ote al gi awun nafsi taki gi ma bijib neta madara yote ama bijimneta ayan fi gildu aa bi jibneta ayan yt al bijib problm neta fi gildu yan akil algi awun afiya taki al ma bijib nesa asar al batalANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANANA
spontaneous-speech-kcn-22307.mp3	Taalim gi raba be gi jib fahma naa muja fi mujtamiya mujtamiya yan gi raba anas anas gi wasa fi sika al ma al mma gi raba anas al gi arija anas wara yani gi amurugu a anas min fikira te awiri gi wedi anas fi fikira al gidam al bi raba anas anasbi raba bele al gi raba	A taalim gi raba be gi jib fahmana mujita fi mujitamia itamiya yan gi raba anas ana gi wasab fikara al ma gi raba anas fikra al garja anas warayan gi amurg anaz fikra ta awiri g wede anas fikra al gidam al biraba anas al biraba bele akaal bi raba
spontaneous-speech-kcn-22386.mp3	Ayi ana endis ham kalam alim terebiya bara bara gi weri nana sunu ya ana aruf sunu ya ana aruf ma wu sunu bi aju ke ana awun sunu ya bi aju ke ana zidu ana bi aruf ma ana kabila kam barau barau ma terebiya tomon fi bele al ana fogo	Ai ana endi ham kalam alim derbia bara bara guwerinana sunia ana aruf suniya ana aruf ma u suniya biaju kana amurgu u suniya baju kana zidu ana bi aruf ma ana kabila kam bara barau ma terebiya tomn fi bela al ana fog
