audio_file	reference	hypothesis
spontaneous-speech-bew-20800.mp3	Kalo ayé sering membacé atau mendengarkan sejaré-sejaré pahlawan-pahlawan kité maupun nasional maupun yang orang-orang Bétawi yang dahulu-dahulu kite memperjuangkan bangsé negaré indonesia ini cukup dan cukup menyentuh hati Kité sebagai penerus-penerus bangsenyé jangan sampe keluar dan engga mau tau sejaré-sejaré untuk bangsé dan pahlawan-pahlawan kité Kadang-kadang pada di zaman sekarang hari ini banyak-banyak orang yang gamau tau dengan sejaré dari dulunya hingga sekarang ini sampe sekarang ini kita bisa begini Kadang-kadang anak sekarang gamau tau dan memikirkan diri sendiri Siape kité dari mané kité dan tanpa perjuangan mereka kité juga engga akan bisa seperti ini engga bisa akan merdeka dari pendahulu-pendahulu kité yang membawa kemerdekaan Indonesia dan lebih maju lagi	Kalo ayé sering membace atau mendengarkan sejare-sejare palhawan-pelahawan kite maupun nasional maupun yang orang-orang betawi yang dala dahulu-dahulu kite yma perjuangkan bangse negara indonesia ini cukup dan cukup menyentu hati kite sebagai penerus-penerus-bangsenye jangan sampe keluar dan gak mau tau sejare-sejare untuk bangsa-plan-palawan kitkadang-kadang pada dijaman sekarang hari ini banyak banyak orang yang gak emau tau dengan sejare dari dulunye ingga sekarang kite ini siapa sekarang ini kita bisa begini Kenang kan anak sekarang ga mau tau dan memikirkan diri sendiri siape kite dan dimana kite dan tanpa perjuangan mereka kite juga gak akan bisa seperti ini ga bisa akan merdeka dan pada dahulupa dahulu kite lah yang membawa kemerdekaan indonesia dan lebih maju lagi
spontaneous-speech-bew-20805.mp3	kégiatan anak muda sekarang ya paling kalo gadé kérjaan nyé ya begitu maén gitar bégadang toh bagiannyé cowo kalo yang bagiannyé céwé paling juga mondar-mandir naék motor jalan kesono jalan kemaréh dari sono dari kemaréh emang gitu-gitu doang itu éntar dié ngumpul ngumpul sama temen ntar kadang-kadang ngerujak baréng kadang-kadang dié makan baso bareng terus kalo buat yang rémaja ya itu paling maén-maénan masak-masakan maén bonékaan kalo émpat tali kadang maén umpét-umpétan apa ajé yang kiré-kiré dia senang hatinyé	Ketiatan anak muda sekarang ya paling kalo nga ada kerjanya ya begitu maen gitr pegadan tuh bagiyang cowa kalo yang bagiyang c ya paling a begitu mondar mandir tu naek motor jalan sonoh jalan kemale rerik sono dari kemar yaamanakapuan begitu tah dia moberreme temen-temen ta kadang kadan di ngerujak bareng kadang-kadang dia makan baso bareng terus kalo yang buat terema ja ya itu paling kada maen maenan maen ansakan maen puanekaan talo empat tali kadang-kadang dia maen  empet umpetan apa ja dah yang kira-kira dia seneng atini
spontaneous-speech-bew-20807.mp3	Kalo kité untuk berjalan semisalkan kité mau pergi kemané gitu itu tanam kan di hati sebelum kita jalan yaitu tujuan kita arahnye kemane ya kita harus berdoa dulu ya paling penting supayé kita dijauhi dari marabahaya di jalan semoga selamet sampe tujuan yang terpenting itu yakin pada diri sendiri dan kita harus berdoa dan berdoa	Kalo kite untuk berjalan semisalkan kite mau pergi kemane t ita utanamkan di hati sebelum kita jalan yaitu tujuan kita aranya kemane ya kita harus y berdoa dulu itu yang paling penting supaya kita dijauhi dari mara bahaya di jalan sebaga selamet sampe tujuan yang terpenting itu yakin pada diri sendiri dan kita harus berdoa dan berdoa
spontaneous-speech-bew-20809.mp3	Untuk jenis taneman yang ayé pernah tanem Itu ada pohon manggé terus pohon peté nah kalo pohon peté itu emang kesukaannye orang-orang Bétawi gitu Itu ciri khasnyé terus pohon jambu pohon singkong dan pohon pepayé Itu ajé mungkin tanem-taneman yang pernah ayé tanem	puntuk jenis taneman yang ayé pernah tanem itu ada puhun manggé terus pohon peté nah kalo puhn pete itu emang kesukahannya orang-orang betawi ituitu ciri hasnye terus pohon jambu pohon singkong dan puhun pepayéi itu aje mungkin tanem-taneman yang perneh ayé tanem
spontaneous-speech-bew-20811.mp3	Kalo bisa ayé keluar negeri sih banyak yang pengen ayé sabe kaye Jepang itu kan Amerika terus yang deket-deket aja dah tuh Singapur kata orang-orang kayak Singapur kan deket tuh biayanya lebih murah Kalo ke sono ya pengennya ya itu beli-beli barang-barang mahal gitu kan beli barang-barang yang enak diliat tuh yang enak dibawa	kalo bisa liburang keonoge si banyak bonget tuh ya pengen aya sabeh kaye jepang tukan amerika terus yang dekat ajada tuh singapur kata orang-orang si singapurkan dadeket tuh diayénya lebih murah kalo ke sono ya pengennye yaitu beli-beli barang-barang yan mahal gitu kan di barang-barang yang enak diliat teh yang bibawa
spontaneous-speech-bew-20813.mp3	Kalo saya sih sukanya liburan ya di pantai kan hawanya enak adem liat pemandangan liat ombak ngeliat aér-aér laut dah tuh ama pasir-pasir dah tuh ya paling ya gitu-gitu doang jalan-jalan ke arah mondar mandir abis itu udah makan Kalo dibuat naik gunung takut naik gunung capek apalagi saya orangnya mah ngga suka naik-naik gitu apa-apa takut liat ketinggian saya mah paling enak mah liburan di pantai aja udah	Kalo saya si sukanya liburan ya di pantai kan hawanya enak adem tu liat bembananan liat ombak liat ara laot itu ama pasir paasir tu ya paling ya begitu gitu duyan jalan sona jalan gal a menaremande dah abis begitu udah makan kalo liburan diburagan takut naik buaya cape apalai sema orangnya engga suka naik naik begitu apa-apa takut inat ketinggian sema oangnya n enak anga liburan dipantai aja udah
spontaneous-speech-bew-20814.mp3	kalo ayé tidur si biasénye ya jém sembilanan karna apé ayé kan orang pedagang dagang kelontongan jadi itu bangun adé yang beli adé apé yang kaga ya kita tungguin ajé biasé ajé yang naménye orang jauh meh bégitu setelah itu kalo enggak ada pembeli baru déh ayé tidur jém sembilanan udéh tidur baru dah besok paginyé bangun lagi buat kerjé seperti biasényé	Kalo ayé tidur siya biasanya ya jem sembilanan karena ape ayé kan orang pedagang dagang kelontongan ya begitu Nungguin dulu ada yang beli ape ada yang kaga ya kita tunggui dulu biarsa aba a namanya orang janon begitu Nah stelah itu baru kaga ada pembeli baru dah ayé tidur jam sembilanan gitu-tidur baru udah pisak paginya bangun lagi buat pkeja seperti biasanya
spontaneous-speech-bew-20816.mp3	Jambu aér jambu biji salak trus buah nangka semangka melon banyak déh buah-buahan di sini yang sering dimakan tapi tu yang yang buah buahan yang dulu itu tuh yang sekarang udéh suseh juwêt juwét sekarang nyarinyé susah banget jaman dulu wéilêh juwét banyak bener itu tinggal mungutin doang di kebon orang dikantongin dêh ampê padê gêtaan ituh	Jambu aèr jambu biji salap terus buan nangka semangka melon banyak deh buah-buan sih yang sering yi makan tapi tu yang buah-buan yang dulu itu tu yang sekarang udah susah juêt juêt sekarang nyarinya susah benget jaman dulu e juêt banyak benerip tuh tinggal mnutin doang di kebuan orang di kanto nidh ape pada getaan itu
spontaneous-speech-bew-20817.mp3	Kalo mendidik anak muda zaman sekarang mêh biar menjaga lingkungan ya itu kita bilangin 'Hêh tong elo tuh tuh jagê tuh kebersihan jangan buang sampah sembarangan tanemin tuh pohon biar ijo tuh jangan seenaknyê ajê loh buang-buang sampèh sembarangan nebang-nebangin pohon lo mau nanti lo kebanjiran kampung kita sendiri' Jadi orang mêh tong kudu benêr jadi orang mêh	Kalo mendidik anak muda jaman sekarang mah biar menjaga lingkungan ya itu kita bilangin e tong lo tu tu jaga tuh kebersian jangan buang sampe sembarangan tanemin tu pohon biar ijo tu jangan seenaknya aja lo buang-buang sampe sembarangan nebanga nebangin pohon lo maun anti lo kebanjiran loh kampung kita sendiri jadi orang mah tong ya kudu bener jadi orang mah
spontaneous-speech-bew-20817.mp3	Buah yang sering dipaké di masyarakat salak pisang yang murêh-murêh itu biasanya nyari yang murêh yang banyak isinya kan biar kêbagian semua Kayak semangkê tu mureh tu cuman sekilonya goceng Salak apalagi tu seiketnya cuman goceng sêpanggulan maleh Orang kampung mah begitu emang nyari yang murêh banyak yang penting kebagian semuanya Kan enak tuh jadi tetangga-tangga kebagian ngerasain	buage yang sedanya pake di masyarakat salak isang yang mureh-mureh itu biasa nyari yang mureh banyak isinye kan biar kebuagian semua kaya semangke tu mureh itu ma sekilanya goceng salak apelan itu seiketnya emen goceng sepanggulan maleng orang kamum gitu ya mang nyari yang murêh banyaknya ntin kebuagian semuanya kan enak tu giadanya itutetangga kebuagiang rasain
