audio_file	reference	hypothesis
spontaneous-speech-sco-31044.mp3	Aye I’d’ve loved to have been a professional gymnast I used to when I was young do flips but- and cartwheels but no you know professional And years ago we- the opportunities are different nowadays you know we didnae have these kind of a classes to go to But anyway I did take the opportunity when I was in my forties A gymnastics coach of the kids told me I should go to an adult class in Bellahouston So I did I decided to go and um there was a great wee coach Hazel She was professional And she encouraged me- I s- I told her I’d love to do flips She says well you’ve got the physique you’ve got the energy So she was so good at helping me to visualise going into this ball pit- we’re on a trampoline so I’m jumping the trampoline and she's just visualise a dolphin and it helps you flip into the- so you’re flipping into the ball pit What a feeling She was so good you know that encouragement At first I was all over the place Anyway so that was great to get that opportunity	Ay Id I loved to bein a professional gymnast I used to when I was yon to flips but and cat weels but mo you know professional and years ago we the opportunities or different neverdas you know we dinna have these kind of or classes to go to but anyway I did take the opportunity when I was in my forties a gymnastic coche the kids told me as sho got to an adolt class an belahusten So I dids I decided to go and em there was a great wee coach hazo she was professional and she encouraged me a- I told her I’d lifde the flip she says whell you got the fisice you got the inergy so she was so good it help me to visualise geng into this bulpit wir on a trampling So Im jrumping the trampling shes disvisualise adolphin and it helped she flip into the so your flitting into the Bulpit what I feeling She was so good tou know that encouragement an first I was all over the place anyway so that was great to get that opportunity
spontaneous-speech-sco-31052.mp3	Best holiday I’ve ever been on was in Finland I went up to Finland in February a couple of year ago to see ain of my pals and eh it was just the maist peaceful and relaxing- oh it was marvellous The maist relaxing holiday I’ve ever been on We went curling and it turns oot I’m brilliant at curling I think if you’re Scottish it’s in the bones aye eh brilliant at curling we did loads of hiking but difficult to hike because of the sna’ of course eh and then we went ice fishing and I was sitting in the middle of this big frozen lake minus twenty-seven degrees ice-fishing and I’ve never been mair at peace in my whole life	Best holiday Ive ever been on was in finland I went up to finland in february a coupl of year ago to see animy pals and eh it was just the mist peaceful and relaxing oh it was marvellous The mist relaxing holiday I’ve ever been on wI went Curlin and it terns oot in brilliant at Curlin I think of your scottishis ind the bons aye Eh Brilliant at Curlin with didlods of hie kin But difficult to hite because of the sna’ of course eh and then wI went ice fishing and I was sirtin in the middle of thi pig frozeng lake minos twenty-seven degrees ice fishing and I’ve never been mert pasing my hol life
spontaneous-speech-sco-31055.mp3	A typical day for me is- so I watch the grandsons every noo and again and honestly they keep me fit So I get up every day and what a typical day for me is- I’m in a wee routine you know I get up I keep myself active you know I’m an organiser so I’m always on top of everything And then I’ll go and get the grandkids fae school or nursery and then I’ll go to the skateboard park and then I sometimes think I’m still twenty and I skateboard with them- gave myself concussion the last time I was there so I’m no doing that in a hurry And I go to the swing park with them and I run ab- y-you know it’s really lovely just to have the- the time to spend with your grandkids that there’s no pressure You’re there and you’re at ease you’re at peace So that’s my typical day	I typical day for me is so I watched the grandsons I’very din on again and honestly they keep me fit So I got up everyday and mat a typical day for me is I’m in aw e roteen you know I got up I keep myself active you know I’m er organiser so I’m always in to opa everything and en I’ gon o get to grandkids fa school or nursery and then I go to the scapeboard park and en a some tines think I’m sol to into and a skapeboard wah them gave myself congratuing the last time I was hersom bo doing that ny horry And I go t the ing park with them and a runna bit y- you knowt it’s really louvely just of the- the time to spend with your grandkids tut there’s no pressure you’re there and you’re at ease you’re at peace so that’s my typical day
spontaneous-speech-sco-31061.mp3	I like to try and save some money on things that are- like say for example eh heating’s very expensive the noo but I just feel I’ve got a big onesie I’ve got jogging troosers with fur inside Do you know that way I know it sounds crazy but I just feel- Also I think people go over the top buying too much I always say less is blessed so I’m very economical that way And I think a- again it’s because when you’ve been brought up with a big family you’ve had a big family you appreciate the small things in life so I’m quite good at saving	I like to try and save some money on things that are likes safe for example eh heatin’s very expensive tin of but I just feel ’ve got a big wons a I’m get joggin to s ins wa fores do that way I know at the sm’s crazy but I just feel also I think people go fror the top bind to much I always say less is blessd so I’m very economical that way and I think you - again it’s because when you’ been brought up with a big family and you’ve had a big family you appreciate the small fhings in life so I’m quite good at is save
spontaneous-speech-sco-31069.mp3	Maist precious object I own is eh ain of my guitars it’s um it’s a guitar I’ve wanted since I was a wee boy eh maybe for aboot twenty-five year or something I’ve wanted this guitar and eh ain of my pals bought it for us for my thirtieth birthday ain of my pals won a bit of money and he thought ken what I’m just going to buy that guitar for him and that’s what he did surprised us with it and I couldnae believe my eyes eh and if my hoose was burning doon that’s the one thing I would run back in and get would be that guitar It’s beautiful it plays amazing and it’s got a lot of sentimental value as well ‘cause my pal bought it for us aye	Mis precious object eh own is eh in af my guitar’s it’s um as a guitar I’ve wantid since I was a wee boy Eh Eh maybe for aboot twenty-five year or something I’ve wanted tis guitar and eh an my pal’s bought it for is for my thirty oth berty in af my pal’s one abot a money and he thought kome at I’m just going te bu that guitar for him And that’s what he did surprised is wee it and I couldna believe m it is Eh and if my hoose was burn and doing that’s the one thing I would run back ind and get would be that guitar it’s beautiful it plays amazing and it’s got a lot of sentimental value as well ‘cause my pal bought it for is aye
spontaneous-speech-sco-31073.mp3	Worst technological advancement or piece of technology I would say is these daft smartwatches or smertwatches if you’re being funny Smartwatches that eh tell you how you’ve slept cause what a load of keech that is a load of keech and folk buy them and think its dead important to ken how you sleep and ken if you’re getting a good rest and a’ that well what- what do folk do with that information after that ken what I mean it tells you didn’t sleep well last night and then that reprogrammes folk’s minds and they think right well I’ve no slept well so I’ll be tired the day rather than just seeing how they actually feel for the day So smartwatches load of keech	Wart’s technological advancement or piace of technology I would say as these difd smartwatches or smirt watchers ife you’r been funny Smart watches that eh tell you how you’ve slept ‘cause what lo da kich that is a Lo do kich and folk by them and no think o noh it’s dad important to ken how you sleep and kin if you’re gettin a good rest and a’ that Well what modo folk do with information after that come t am mean it tells you you dinna sleep well last night and then that re programms folk’s minds and no think right wel I’ve no slip well so e’ll be tired to day rather than just see ang how to actually feel for the day So Smart watches Lo da kich
spontaneous-speech-sco-31076.mp3	One of my favourite books I loved was The Astonishing Powers of Emotions My doctor recommended it years ago and one of my daughters found it for me We couldnae get it but she got it on Amazon Once again thanks for the internet Anyway this book was priceless She says to me “the book’s for you mum and only you” ‘cause when I read a book it’s no aboot the person that I- that I’m putting up that’s wrote the book it’s aboot I get the person ‘cause they understand how I’m wired And The Astonishing Powers of Emotions it’s upstream come downstream and float your boat	ane of my favourite books I loved was the astonishing powers of emotions my doctor recommended it years ago and an of my daugters found it for me we couldnae get it wit so go rot on amazon once again thanks wer thin tirnit anyway this book was pliceless she says to me the books for yomom an on lo you ‘cause when I read a book it’s no aboot the person- that I’m putting up it’s wrote the book its aboot a get the person ‘cause they understand how I’m wild and the astonishing powers of emotions at’s upstream come down stream and flogt your bot
spontaneous-speech-sco-31080.mp3	AI’s- what’s my thoughts on AI It’s a good ain ‘cause eh- it’s taking over the world and abody’s feared of it and I dinna think really there’s anything to be feared of Folk are like scared of haeing Alexa devices in their hoose and that ‘cause she’s aie listening well of course she’s aie listening but what’s anybody saying in their hoose that’s interesting enough for Mr Bezos and the rest of them to listen to and get your- what are you up to ken what I mean what’s folk up to that they think’s so interesting that Bezos or the rest of them are going to- are going to gie a hoot ken what I mean So AI that’s the way it’s going bring it on let’s do it if you cannae beat them join them eh	A Ay’s what’s my thoughts on A aI it’s a good in ‘cause eh it’s taking over the world and have thes far do it I dinnat thik there’s anything relly to be fardo folk or like scardo a hain alexs he devices in their host ing that ‘cause she’s aye lisning We of course she’s ay lisning but what’s anybody saying in their host it’s intrested enough for mster Basos an the rest of them to listen to and get your what you up to come it meen whatr- what’s folk up to that they thinks so intresting that Basos or the rest then ’r gong to ar going to gie you hoop come it a meen So A aye that’s the way it’s going bring it on Let’s do it u cana bat them join them eh
spontaneous-speech-sco-31124.mp3	The job I’d really like to have where I’m at just now is- over all my experience over the years you know I’ve got so many skills but the main thing for me would be helping people mentally that cannot let go of things Like I’d be a declutterer expert put it that way ‘Cause I’ve always- I’ve always hated clutter I think it’s a statement of mind and I know people struggle with it and it can cause depression and different things but I would love to have a group- a team of people ‘cause I’m good at delegating to help them to help people that cannot um declutter They’ve just got clutter in their life	The job I’d really like to have wer I matchis nte is overom experience over the years you know I’ve got so many scils but the main thing for me would be helping people mentally that cannot let goi things like- I be a declitterer expert purit that way ‘cause I’ve always- I’ve always a de clitter I think it’s a statement If mind and I know people struggle way and they can cause depression in different things but I would love to- have a group- a team af people ‘cause I’m god at delegating to help them to help people that cannot em declitter he’ve disgrit clitter in their life
spontaneous-speech-sco-31127.mp3	The skill I would maist like to learn would be just to be a mechanic that’s what I would like to d- to ken athing there is to do with cars athing there is to do with motors ‘cause I seem to aie just be spending millions of money millions and millions of money on my motor and eh there’s aie stuff going wrong with it and then you’ve got to book it tak it to the garage and then they charge you through the nose for a’ the work that needs done to it And I just think if I could do this myself I’d save millions of time and millions of money so that’s what I would like to- that’s the skill I would like is to- to ken athing that there is to ken aboot motors Basically be a mechanic	skill o woud mislike to learn would be just to be o mechanic That’s what I would like to do to ken ahind ther is to do with cars Ahin ther is to da weth motors ‘cause e seent my id just be spending millions of money Millions an millions of money on my motor Eh there’s ice stuff going round with it and then you’ve got a bookiin tacket to the garage and then the charg you through the nose for a’the workinnis doneto and I just think I wecodo this mysell id save millions of time an millions of money So That’s what I would like to eh that’s the skil I would like is to to ken a’hind it ther is to kin aboot mot ors basically be a mechanic
