audio_file	reference	reference_raw	hypothesis
spontaneous-speech-aln-44299.mp3	Jo pwr nder nuk kena nuk di gja C asht ai nuk kena jo nuk kena asnjw gja pwr zotin ju nuk e di Ca wsht fjala po nuk e kuptoj kwt gja pwr zotin Ca me t than tash nukw ashtu po po jo nukw s e kuptoj nuk e kuptoj...	Po, mana, dokumenta kena, po more, bajm dokumentat e gjanat i bajm pwr s mari, po, po, marrim adhja dhjamonis, edhe ... punojm, punojm, i bwjm tana letrat, i kena ba letrat krejt, nw greqishten e vjetwr [?], po, po, po. 	jo mena nuk kena nuk digja qashtaoa nuk kena jo nuk nuk kjosi gja pwr zoti nuk kena jo duke di qaqeti por  nuke kuptoj kegja uke pwr zoti qa pe taltashuko ashtu po jo luke kuptoj luke kuptojet
spontaneous-speech-aln-44300.mp3	gjaja ma e bukur ka shum gjana si jan te shpia ime t mira po kam bufen e kam telvizorin e frigoriferet e pwr shemull kam komodinat... qw ulem karriket kam ble nja dy karrika t bukra...	po mor, a mson gjuhn e huj e, si s e mwson gjun e huj, po, pwr zotin, e msojn gjun e huj, kan msu... Un nuk kam, kam dy fmij,   e tre fmij kam, tre tre t mdhej kam, dhe jam katwrdhet e nant, katwrdhet e nant vjec jam, e i msojn fmija, katwrdhet e nant vjeC Ca me ba me msu	gojama bukur ka shum gana si jankeshpai memira po kam bufene kam televizorin e friferete pwr shembu kam komodin aceulem karri kam plena dj karrikat bukura
spontaneous-speech-aln-44301.mp3	Puna s mw pwlqen hiC me t kallzu t drejtwn un nuk pwlqej punwn qw ban gruja pwr shembull pun qw ban gruja ime nuk m pelqen pwr shwmbull si shkon e lan shpija gjana niuk m pwlqen me la shpija me thwn tw drejtwn Tjera pun m pwlqejn nuk kam nonj problem	Jo. pasha zotin, nuk luj muzik, jo pasha zotin, jo nuk luj muzik se muzika, nuk mw shkon muzika se ... eee... un pwr veti qw kur kam luj muzik njw her kam qen... jam njw mosh e madhe more... jam katwrdhet e nand vjeC, nuk lu, kam nipat, kam nepat e senet e kam djalin e vllait e gjanat... jan nepat....  	puna si luk pwlqen hiq me t ka du dreten muun luk pwlqen puna si ban m ban gruja pwr sheu pun si ban gruja ime nuk m pwlqejn pwr sheul si shkon lan shpia gjana nuk pwlqen me la shpia met ka du dret tira pun m pwlqen nuk kam daj problem
spontaneous-speech-aln-44302.mp3	Kafsh kafsh ktu ku rri un ka qenj maca qenj e maca kam ma shum me thwn t drejtwn po ktu ku rrij un shum qej e shum maca...po mace dhe qej kashum pwr shwmbull ka pas nga dy pwrdit ka qej dhe mace	Po, pasha zotin, e di, se kur hasha un, kur hasha at-here se un kam, jam katwrdhet e nand vjeC, kur hasha   ushqim, e hasha ashtu ushqimin me..., thuje mor ushqimin e ...  buk me groosh, e, me grosh, ushqim me grosh, at-here ka qwn grosha..., e mblidhsha n arr groshwn, ere,     e mblidhsha e hashna groshwn pwr s mari groshwn si a ... 	kafs kash ze kurrion ka saj maca qej maca kama shum e ma tu kurrion ka shum qej e shum maca po maca de qej kas shum po seu kam pa ge na dy pwrditsase edhe maca
spontaneous-speech-aln-44303.mp3	Po makinws di me i dhwn se s kish nga me msu kam marr patendwn e kam marr n Greqi patendwn ka nanj tet vjet qw e kam marr patendwn po di mir me i dhan makins mirboll mir por ruhem di me i dhan makins po po	Jo, ore, n teatwr nuk kam ik se nu kena pas teatwr ater, n Shqipri. Tash kam ardh unw n Greqi, dy vjet kam qw jam n Greqi un, ater kena pas ndenj n fshat tu punu, jam prej fshatit un, katwrdhet e nant vjeC mw bwri fshati, katwrdhet e nant vjeC.	Po makinwt dimi dhan  qasha kamsu ka marr patete kanaCqasha kam marr nGreqi patete kanatet vjet se ka marr pateten po dimi gram makins mar boljo kmer po ruhem dimi dhan makins po po
spontaneous-speech-aln-44304.mp3	Po tash Ca me t than pwr ligjet e Shqipris e n Shqipri ven tim nuk e di se un kam un shkoj kanjher nw nji vit shkoj rri nji jav nuk e di Ca ligjesh kan atje n Shqipri tash i kam harru ma mir t kallzoj ligjet qw rri ktu si ligjet e Greq... eee Shqipris	Kanga jeme e preferume asht ajo e atere qw kam qwn i madh ... i vogwl, kur isha i vogwl, qe muzik, muzik kshtu muzik,  m pwlqen kto muzik me Cifteli, po, m pwlqen shum me kallxu t drejtwn atere kam pas qwn  muzikant i fort, po. 	Pur tasqamet than pwr ligjwt e e shqipri vettim luke di s nuk kam un shkoj ka her ni vit shkoj rrik ni jall nuk wdiqa ligje kanatje shqipritesh i kam harru mo me mir t katoj ligjet nji rri ktu si ligjet   shqipris
spontaneous-speech-aln-44305.mp3	Pwr zotin s mw ka taku me pas pwr avokat edhe njw gja aht se nuk kam probleme me njerzit e nuk dua gja avokat po kur du nanj avukat futem e ma gjwjn njerzit tu pyt me pyt njerzit se kur... nuk kam nanj problem me avokat...	ushqimi jem kur isha i vogwl pwr zotin s'kena pas ushqime atere, se ushqim ater ka qwn, nuk kishim sa m ushqimi si fukaraj, buk e lakna hashna, lakna t regjme, ashtu lakna, buk e lakna, hashna zushna lakna, hashna, po, po, po kena qen i vogwl ater	Pwri zoteskataku gjame me pas pwr avokat as idhoj gjae se nuk kam probleme me njerzit e nukndoa gja avokat po kur du naj avokat fut emagjon njerzit tupit me pt njerzit akdik sekur nuk kam doj problem me avokat
spontaneous-speech-aln-44306.mp3	un me ta thwn t drejtwn nuk m pwlqen jo jo nuk mw pwlqejn qent as mocet djal i vllait ka qen nuk m pwlqejn qent jo me thwn tw drejtwn As qent as macet	Takim me doktora, kena pas njw doktor atje m fshat, m fshat kena pas njw doktor, mbyllsha takimin, kur ishnja pwr shembull shum t smur, atere kam pas djalin e vllait un, ,,, n Greqi, edhe i thoshnja .. a kupton... 	u met katu drejtwn nuk mw pwlqen Cajt nuk jo nuk m pwlqen Cejt as macat se gjal vlajt kash qen  nuk m pwlqen nuk m pwlqen Cajt jo me kotu drejtwn as qejt as macat ja nuk mw pwlqen e folkot
spontaneous-speech-aln-44307.mp3	Kurse gjyqtart e mi s jan ata atje nuk kam pas nonj gjyqtar pwr shembull nuk di Ca me t than po gjyqtarwt jan njerwz nuk jan njerwz t kwqinj ven ligjin ven ligjin nw ket nw ket vend gjyqtarwt nuk kam Ca me than pwr ta jan njerwz t mir	Sporti na pwlqen sporti, na pwlqen sporti m rregull a, sport tash shofim sport, tash jam bo i madh un, sho sport, Olimbiakosi a ktu n Greqi, jam n Greqi Olimbiakosin e shof Olimbiakosin, me t thwn tw dtrejtwn Olimbiakosin e shoh, po. Po, po, Olimbiakosin po. 	zyshtore mi Cam e than arte nuk kam pas naj zyshtar pwr shemu nuk di Cam e than por zyshtor jan njerz nuk jan njerz qi  gjin ven ligjin knket ven zyshtar nuk kam sam e than pwr tjan njerz t mjer
spontaneous-speech-aln-44308.mp3	po e pwrdori... nuk pwrdori kompjuter s di nga kompjuter un telefonin pwrdori ma shum kompjuterin nuk e pwrdori se nuk e disha punwn... po kompjuterin nuk e pwrdori shpesh jo jo nuk e pwrdori shpesh me thwn tw drejtwn kompjuterin jo kompjuterin jo	Autori jon, autori jem i preferum, se un jam i vjetwr, jam shum i vjetwr, ashtw Kazan .. ai si kam pa njw film, ka qwn ai, si e ka emrin ai, eee Stathi, Stathi, ai filmi i Stathit, besoj pwr Stathin besoj se pwr Stathin mw pwlqente shum me pa film me Stathin, 	Po pwrdor nuk pwrdori kompjutwn sdib  n telefoni pwrdori mashum e ma se kompjutin nuk e pwrdori s nuk e diso telefonin pokmpuin nuk e pwrdori shpesh jojoe pwrdori  shpesh e odotwn kompjuter jo kompjutin jo
spontaneous-speech-aln-44309.mp3	Po pushime s mw pwlqen kurrkun se nuk kam lek me shku pwr pushime me kto lek qw marr ke puna pwr me hangwr me pi ku kam koh t shkoj pwr pushime xhanwm Jo me kallzu t drejtwn s kamw s kam shku pushime as kam ndwr mwnd tw ik me pushime	Ca do msoj, do msoj n pun, do msoj avash avash, pwr shembull nwse tw pwlqen me msu diCka, Ca do mwsoje?  Pwr zotin, msojm, po e msojm, pwr s mbari msojm gjana, msojm gjana t  vogla, gjana t mdhaja, po po, mwsim, po, po, 	po pushime s pwlqer grkun se nuk nuk kam lek me shku pwr pwrshime is aiq a dal me me Chto leksi marrke puna pwr me har me pi ku kam ko skoj popushime pwr gjana mopw katu drete s kam as s kam shku pushimas se kam ne men mik pwr porshime
spontaneous-speech-aln-44310.mp3	po letra luj po jo me lek a kupton luj letra luj Cdo lloj letwr po jo me lek e kupton luj pwr kam pas luj me kalu orwn po luj letra po jo me lek se lek nuk jan mir me luj me lek se msohesh pastaj dhe bwhet smun-je	votojn njerzit pwr shembull, voton, un kam votu se kam votu ngahera qysh me Enver Hoxhwn, se jam i, qysh me Enver Hoxhwn kena pas votu me Enverin athere, katwrdhet vjet, katwrdhet e pes vjet pwrpara, kam pa e ashtu, i maj mend tw votojn njerzit, votojn, pwr partia, Cdo lloj partie tash, tash kan dal shum parti	po letra luj po jo me leke umtan luj letra luj Cedhoj letren po jo me lek oshun lujm pwr kam pas luj me kaluoren po luj letra po jo me lek si lek nuk jan mir me luj me lek sim sosh pastaj edhe pet smunje
spontaneous-speech-aln-44311.mp3	Po msimi ma i mir qw m ka pwlqy dhe mu kur kam qwn at hera wsht edukata po t kesh t mwsojsh edukatwn wsht msimi ma i mir i jets edukata wsht si me ta shpjegu shum msim... se t jep edukat t jep t folmen...	Ekonomin mir e kena pwr zotin me thwn tw drejtwn	Po msimi maj mir i mazim nka pwqi demu ku kaqaat hera wsht edukata po t kish msosh edukaten wsht msimi maj mir i jet edukata wsht sim me tashpeu shum simsn e tjep edukat jep mefol me eteum popu
spontaneous-speech-aln-44312.mp3	Pwr shwndetin tim kujdesem... s ka njeri qw nuk kujdeset pwr shwndetin e vet po un kujdesem se s ha pwr shembull s ha gjana ambwlsiina nuk ha gjana qw nuk mw pwlqejn a kupton dhe pwr ruhem shwndetit	A, po. Nuk di Ca me t than se, kshi kshillat qw kisha me dhan shokve, po, shokt t jen mir, Ca kshilla qw me u dhan shokve, ... t jen mir pwr veti, zoti i rujt, Ca me than... Po	pwrswdetin dim kojdesim skanjej si nuk kojdes pwr shnetin e vet poum kojdeswm se sa pwrshemull sa gjana amisina e gjana nuk ihanuk m pwlqeja ptoln edhe pwrruhemw shnetit
spontaneous-speech-aln-44313.mp3	Po edhe telefonin nuk e pwrdori iC djali i vllait e pwrdor telefonin djali i vllait se e kam si meqen djalin tem e kam djali i vllait kam djalin e vllait qw ka njw ai fon edhe ktu se un telefonin e kam pa asnjw send telefon kshtu t thjesht kam po e marr me e pa	Po, me pi, pi shum, pi raki shum, m pwlqen rakia me pi shum raki, po, raki, po rakin e pim, e pi, raki, njw dit kisha marr  kshtu raki shum me pi raki, po. 	et telefoni nuk e prtori hi gjali vllajt e pordor telefonin gjali vllajt se e kam simi qwn gjolin tem me kam gjal e vllajt kam gjoli e vllajt sikanaj fon errojtus un pwrvet e kam telefonin pak kamwr prase sen telefon shut tisht kam pa mar me e pas
spontaneous-speech-aln-44314.mp3	Pwr zotin Ca kam me than historin e shokve ... tash s maj men gja se un pwrpara kam qen n koperativ kur kam qwn tu punu n Shqipri n kooperativ n ora nxhana nw Shqipri kur isha kur pata ardh n Greqi kur kam daln Greqi e mrapa kam qen martue kam...	Po, n shkoll shkojn n shkoll, kalamajt shkojn n shkoll, msojn, vijn n shpi, mirboll, mirboll mwsojn, po, po pwr zotin mwsojn, mirboll, mirboll msojn, por jo me m ba qefin, nuk ma bajn. 	Por zotws qakametan itine shokaswtetesht muj men gjas ku pwr para kam qwn komparativ  kam qen tu pulun Sqipri pur doshan komparativ nara nsera ngjana n sqipri kurisha kur pa del n Greqi kur kam del Greqi mrapa kam qen martue kam
spontaneous-speech-aln-44315.mp3	Ca jemi tash A dini nonjw emwr yllit apo ylli Po dim po Ca me t than tash un Ca kam me t than un ty tash a din pwr me dit dim po po Ca	Po, kujdesem pwr Parlamentin, kujdesem se Parlamenti asht qeveria jon, a kupton, Parlamenti i mir merr venime t forta pwr Cdo gja, pwr ne i merr vendimet, a kupton, po mu nuk mw pwlqen Parlamemti n Shqipri nuk mw pwlqen, n Greqi m pwlqen se ktu n Greqi jam tu jetu.	Ca emrtash adini ndojnje emr dit apodhe po dim poapet tha tashor pua kamet tha t a di pwrvedit dip poposa
spontaneous-speech-aln-44316.mp3	Ajo qw mw shqetson Cdo gja mw shqetson politika nuk ka politik t mir nuk ka shtet shteti edhe mw shqetson shum mw shqetson Pwr kwt pun nuk ik u anej nuk m pwlqen t ik pwr Shqipri nuk ka shtet	Pwr zotin, po, kalamajt lujn pwr shembull me lojra telefona, se jan e gjana lujn n telefon, po, lujn  n telefon, kalojn, bajn, Ca ke me u than, fwmij jan ata. 	Pojo me shetson Cdo gja me shetson politika nuk ka politik mir nuk ka shtet shteti edhe nuk mshetson shum pshetson pro ket pun nuk hiku ane nuk pwlqen tiks pwr sipri nuk ka shtet
spontaneous-speech-aln-44317.mp3	Tradita jon asht me t thwn tw drejtwn atje n fshat kur qesha me Cifteli qw wsht kur bi Ciftelia t thjeshta shum a pak me Cifteli a kupton me Cifteli po...	Mish kam marr ditwn e ... di her nw jav marrim mish pwr shembull, me tre fmij ku ke ma mish, marr t ejten, ham mish, e t hanwn, si ham mish, dy her n jav, dy her n jav ham mish.	tradita jon asht et katu drejten a qem fshat kur qeshna me qeftili h kurpikte qeftelia qeshta shua ma me qeftili ruten me qeftilio
spontaneous-speech-aln-44318.mp3	Po Caja m pwlqen Caja Cai m pwlqen Caja e ma shum e marr Caja kur pi Caj nganjher se pi Caj shpesh m pwlqen me marr ma shum m pwlqen Caja e malit ajo e malit asht e bukur asht ma e mir e malit Caj e malit Caj e bukur e fort shum	Po edhe telefonin nuk e pwrdori iC, djali i vllait e pwrdor telefonin, djali i vllait, se e kam si meqen djalin tem e kam, djali i vllait, kam djalin e vllait qw ka njw ai fon, edhe ktu se un telefonin e kam pa asnjw send, telefon kshtu t thjesht kam, po e marr me e pa. 	Po qaja na m pwlqen qaja ash Caj m pwlqen Caja e ma shum e ma qaja kur pi qaj ka her se pi qaj shpesh m pwlqen ma shum e ma mw pwlqen qaja malit aja malit ase bukur wsht ma mire malit qaj malit qaje bukur fort shum
spontaneous-speech-aln-44319.mp3	Por tash qw kto ushqime nuk jan...	Mana s kam nevoj pwr rroba se ... rrobat s mw qesin .. se kam fmij, kam tre fmij.... nuk  e kam pwlqim rrobash, ca t jen, sill njw pal rroba t thjeshta, nuk kam asnjw problem. 	Por tash si dhushim nuk jan tw kaskata si karta pwr me ha otosh a w mu maharuna tomgoeea wzie wdetui dei osu amu edhesema uk olash uk jefriia ata erea
spontaneous-speech-aln-44320.mp3	Sikur e thash njw her se nuk jan gja t sigurta kto uinbanka t sigurta bankat e i bankat e nukw nuk jan gjana t sigurta jo	Pwr zotin, kam pwlqy, C do me than tash, un mw ka pwlqy, s kam shku un.. se m ka pwlqy, m ka pwlqy  Sandorini, Sandorini kam qwn njw her, qesh me tw tre fmit, qe m pwlqen, se diku tjetwr s kam qwn, n Shqipri n Greqi s kam qwn kund tjetwr, jo, s kam qwn kwrrkund, vetwm deri nw Santorin kam qwn.	sikuruthoshtinher se nuk jan gjalt sigurt ato t banga sigurt bangate t ban uku nuk jan gjolat sigurta jo
spontaneous-speech-aln-44321.mp3	Po n shkoll shkojn n shkoll kalamajt shkojn n shkoll msojn vijn n shpi mirboll mirboll mwsojn po po pwr zotin mwsojn mirboll mirboll msojn por jo me m ba qefin nuk ma bajn	Pwr zotin, Ca kam me than historin e shokve .... tash s maj men gja, se un  pwrpara kam qen n koperativ, kur kam qwn tu punu n Shqipri, n kooperativ, n ora ... nxhana nw Shqipri, kur isha, kur pata ardh n Greqi, kur kam daln Greqi e mrapa kam qen martue, kam... 	Pur shkoll shkoj shkoll kaa maj shkojn shkoll msojn vin shpij mar boll merboll msojn po po pwrzote msojn mar boll mar boll mwsojn po jo bashapme ba m qefin nuk ma bajn por fot shom
spontaneous-speech-aln-44322.mp3	at-here ka pas lloj lloj smun-je Cdo lloj smun-jesh kishte ka pas pwr shemull nj smun-je... athere ka qwn shum smun-je zgjebja morra Ca s ka pas po...	Kurse gjyqtart e mi  s jan ata atje, nuk kam pas nonj gjyqtar pwr shembull, nuk di Ca me t than, po gjyqtarwt jan njerwz ... nuk jan njerwz t kwqinj, ven ligjin ... ven ligjin nw ket nw ket vend gjyqtarwt, nuk kam Ca me than pwr ta, jan njerwz t mir, 	athera ka pas tolloj smunje  kaelloj smunje shkishte pwrshemsa dodi smunjer kishte ska pas pwr shemn di smunje shu kapas ather y kaqusu smunjezepja q morra Ca skapas o
