audio_file	reference	hypothesis
spontaneous-speech-sco-31044.mp3	Aye I’d’ve loved to have been a professional gymnast I used to when I was young do flips but- and cartwheels but no you know professional And years ago we- the opportunities are different nowadays you know we didnae have these kind of a classes to go to But anyway I did take the opportunity when I was in my forties A gymnastics coach of the kids told me I should go to an adult class in Bellahouston So I did I decided to go and um there was a great wee coach Hazel She was professional And she encouraged me- I s- I told her I’d love to do flips She says well you’ve got the physique you’ve got the energy So she was so good at helping me to visualise going into this ball pit- we’re on a trampoline so I’m jumping the trampoline and she's just visualise a dolphin and it helps you flip into the- so you’re flipping into the ball pit What a feeling She was so good you know that encouragement At first I was all over the place Anyway so that was great to get that opportunity	I e e e o o o o o o o o o t e o t t t t t e s t o o t t t t t t t t t e e e e e o t e t e e e e o e e o o e e o o e e e o t i e e e e t e e t e e oo e t t t o t t t t t o ooo o o t t t o o o t t t t t t t e o ooo o o o t t t t t t e
spontaneous-speech-sco-31052.mp3	A typical day for me is- so I watch the grandsons every noo and again and honestly they keep me fit So I get up every day and what a typical day for me is- I’m in a wee routine you know I get up I keep myself active you know I’m an organiser so I’m always on top of everything And then I’ll go and get the grandkids fae school or nursery and then I’ll go to the skateboard park and then I sometimes think I’m still twenty and I skateboard with them- gave myself concussion the last time I was there so I’m no doing that in a hurry And I go to the swing park with them and I run ab- y-you know it’s really lovely just to have the- the time to spend with your grandkids that there’s no pressure You’re there and you’re at ease you’re at peace So that’s my typical day	e o o o o o oo o t t t o o o o o e t o t t t t t o t t t t e t t o e e e e o e o t e t t t o t e t t t t t e t t t t ooooo o e t e t o e e o oo e e e e e t I I I I I I I I I I I I I I I I I I I I I I I
spontaneous-speech-sco-31055.mp3	One of the stressful things I would experience in a workplace one of my jobs years ago was how people speak to each other You know the stress that people would feel because they had this fear of like a boss coming towards them or people in a different position- they would just crumble and that- I would be stressed for these young people so I would go and challenge them I'd think it was unnecessary I thought don't treat somebody how you don't like treated yourself So thankfully I did always have that courage in places of work where I just thought no- nobody's treating somebody like that- I could not tolerate it so- but it was stressful because you were taking risks as well	e e e o o o t t t o o o oo o t s t t t o o t t t e e t t t t oo o t t t t o o o t t t t t t t e e t oo t t e t t t t t e e o o e e e e t oo t t e e t t e e e e e
spontaneous-speech-sco-31061.mp3	When I was young with- growing up with my siblings my dad- because we came from the boxing family- my dad would put me in a ring when I was young with my brothers to fight Could you believe that Anyway it helped me to be- 'cause I was a tomboy with five brothers and then I've got a twin so if there was anybody bullying my twin I was always told to sort them out So really I had to always win the fights But growing up with my brothers I would try my best to win a fight because I was determined 'cause my dad made me feel “you can do it hen you can do it”	I e o o e e o oooo e e e o e o o t t t e e t e e oooo t e t t e e ooooo o o o o e t e o e e e ooooooooo o t t t o o t t e e e e e e e
spontaneous-speech-sco-31069.mp3	I lo- I worked in this hotel years ago and honestly it was amazing ‘cause I’m a people person and it was so life-giving Anyway the thing I really loved aboot it was you know you’re seeing people happy you’re making them feel good But th- the other side what I didnae like was people that you worked with the employees Some of them had these titles right and they would abuse it It was like power trippers and I would always challenge them ‘cause I would look oot for the young and the underdog And that’s the thing I really did not like the way people thought they could treat people because they had this power ‘cause of some status to their title of the job	I e o e e e e o oo e e oo t e e e o o o o o t t o t e t t t t t t t t t t o o o t o o o oo o o o o e t t t t t o o t o t t t t t t t t t ooo t t t o ooo e e e e
spontaneous-speech-sco-31073.mp3	One of my favourite books I loved was The Astonishing Powers of Emotions My doctor recommended it years ago and one of my daughters found it for me We couldnae get it but she got it on Amazon Once again thanks for the internet Anyway this book was priceless She says to me “the book’s for you mum and only you” ‘cause when I read a book it’s no aboot the person that I- that I’m putting up that’s wrote the book it’s aboot I get the person ‘cause they understand how I’m wired And The Astonishing Powers of Emotions it’s upstream come downstream and float your boat	e e e e e e e o o o o e e e t t e e e e e ooo e e e i t t t e t t t o o e t o t o o o o e e e e e t o o o o t t t t e e e t I
spontaneous-speech-sco-31076.mp3	I think there’s a lot of damage being done on the internet in the past um years to the world and you know false information’s been given and people have taken it literally They’ve not went really to the source They just take it as face value because- and it’s quick access to get this information and it’s ruined a lot of people’s lives and reputations Um and I think that is the sadness of how quick people can get that access	e e e e e e e e o e e e e e o t e e e o o o t o o o o o o t i oo e e e t o o t t t t o o o o o e e o o o e e t o o o e
spontaneous-speech-sco-31080.mp3	My perfect weekend like ideal dream weekend would be going up to Shetland my favourite place in the whole world eh doing a bit of hill walking bit of- bit of hiking that’s my dream eh right along the cliffs there unbelievable and eh chilling oot in my campervan taking it easy chilling oot peace and quiet naebody bothering us just suiting mysel and then eh Prince the singer comes back fae the dead and gies us a- a private concert That would be perfect for me	oooo o o e o e e t e e e e o o t e e t t ooo t t t e e e o e o o o e o o e t t e oooooooo e e e
spontaneous-speech-sco-31124.mp3	My favourite film’s Chicken Run and if you disagree with that then there’s something wrong with you ‘cause it’s quite clearly the best film in the world if you ask me Animated chickens I mean what else what else could you ask for that’s just fantastic it’s Aardman that do it so ken them that dae um Wallace and Grommit and eh it’s the struggle the strife and struggle of these chickens that are a’ cooped up and how they want to escape and- and have freedom and live their best lives and I just think it’s absolutely marvellous so yeah that’s my favourite	e o o o o t e t o t t t t t o o e e o ooo t t e t t t ooo t o e e e e e e e e o o o e t t e e e o e ooooooo t e e
spontaneous-speech-sco-31127.mp3	My job is being a- a voice director for audio books so we get voice talents in folk with nice voices eh to read millions of books and millions of stuff and I direct them and mak sure they’re pronouncing things right and sticking to the script and doing it at the right pace and no going too fast no going too slow making sure it’s just fine and eh I love it ‘cause it’s no that much effort but we get to hae a braw laugh ‘cause folk that are voice actors are a’ eh braw fun brilliant fun aye So I get to hae a laugh it’s aie a good laugh	oo e o o o e o o o o t e e e t o e e e t t t e e o o e e e o o e e e oo e e e e e e e e o e e ooo e e t
spontaneous-speech-sco-31137.mp3	I love spending my money on my kids and my grandkids knowing if I’m gonnae get something that makes them really happy I just love- I also love buying boxes because I always have this thing ‘cause I’m an organised person I love seeing containers that are neat and small that I can pack things away you know that’s just- it’s just got great space where-	I e e o t t t e oooooo i o t e o o oo t t e e oo e o o t e oo t t i t ooo o o o o o o o o o o o o o o o o o o o o e e
spontaneous-speech-sco-31142.mp3	That’s quite a hard ain but I would say probably the best night oot I’ve ever had was eh I went to see Prince ken the singer Prince went to see him and then after the gig we went to this nightclub eh that was- they just played Prince a’ night basically So I’d ready went to the best gig of my hale life and then went to this nightclub this was when I was still young enough to actually go to nighclubs and no just look like an old sausage ay Eh Went to this brilliant club and they just played Prince a’ night and I was in my element steaming and in my element and just haeing a bra time	e e e e e o e e e e o t t e e o e t e t e o oo e t e e t t e t e t t e t e e o t e e t t e t t t t o o o o e t e e e t t
