audio_file	reference	reference_raw	hypothesis
spontaneous-speech-mmc-21692.mp3	À jñíñi mí b'üb'ü ná ná ndíxu ñe ná b'ë̌zo yá mí xîrabi mí sìpji ná xútǐ'i pézheji k'e nú b'ë̌zo jyâsm'a má mâ'a k'o k'a të́jë mí pá'a dyá tjǜ'ü zà'a k'a rá dyä̀t'äji ngǔm'ü jé mí pë́pji k'a të́jë Nú ndíxu mí kjë́jmé à k'a ngǔm'ü mí 'ä̀t'ä jñôna mí pà'a k'a ndáreje pa pédye b'íjtu pero 'ë́jë ná pá'a k'a mânk'a nú b'ë̌zo rá mâ'agö k'a të́jë rá má pë́pjigö pero rí né'egö rá... rí pó't'ü rá ñgôñi rá ndájmé k'a rá síbi má yá sä̀kjü rá jñônabi k'a nà xí'i k'a nú ndíxu já'a má pë́pji 'e rá jó'o rá pó't'ü nú ngôñi 'é gó 'ë́jë k'a nú pá'a dyá k'o jyâs'ü gú kjö̌gü dyéje ndíxu k'o mí pá'a k'a ndáreje má pédyebi k'a ná xí'i k'a nú ndíxu jmó'o k'a ndáreje má péjñi b'íjtu k'a nà mâ'a k'a nú ndíxu nú b'ë̌zo í'o dyá rá mâ'agö tä̂'tk'o jñôna porque rá 'éñi xí'i rá mí jñôna Mójo nà ndájme dyá rá mêts'i kjâ'a ná... má nú ndíxu pero dyábi mbó'te k'a nú ngôñi k'a ró jyês'ü k'a ná jyês'ü k'a nú síbi k'a nú s'ä̌b'ä k'a ná só'o k'a ná móji k'o yó mí ri xúdyo má péjñí k'a ndáreje ná rá mój 'ë́je k'a nú ndíxu gú chó'tk'a nú s'ä̌b'ä dyábi dyábi ñéjme porque nú jñóna gú síbi gú ñó'o k'a má ndá nú ndíxu Ah pjéxôra ngó dyá 'íxi rá má sä́jä dyá 'ṓjtjō nú ngôñi k'a ró pó't'ü jé gó máma k'e mí né'e rú sà'a nú ngôñi ngék'o rá pó'tp'ü nú ngôñi Ná ngá'a ná ngá'a nú xé'xo rá kjâ'a dyá k'a pjéxora 'ùña má rá sä́jä rá sângü rá mbéjkue pjék'o rá xípji k'a ná má'a nú ndíxu k'a ná ch'éch'e nú jñá'a k'a nú tíjue'e k'a mí b'ǚb'ü nánk'a k'a rá mbájtu k'a nú tíjuezhi pjék'e xêr k'a ñé'e pa xá'a 'éjk'e í í ndzhôñi k'a xêmpk'e í séñi nânk'a nú ndíxu dyábi sígö ná jó'o mó'ne 'o dyójpjk'ü nú ndôñi k'a nú tíjué'e xípji s'óstü pa ín ndzôñi ngék'o rá 'éjpk'e í jñí'i k'a rá jñé'e gá xútǐ'i gú ngós'ü k'â'a nú zák'a nú ndôñi nú jñǘ'ü nú mó'n'e núx... ndíxu dyójk'ü nú ndôñi nú nú tíjué'e k'a ná jyês'ü k'a ná jyês'ü k'a síbi para que dyá ró mbǘtji nú jmó'o nú tíjué'e para que ró 'ù'u k'a nú sódya ró sí'i Má mú sä̀'ä k'a nújnú b'ë̌zo k'a nú xîra nú juíñi yó 'ùnga nú jmó'o kja ná xípji jñôña mientra rá má ndûgö ó ndéje k'a méje dyá rá méts'k'o porque 'ṓjtjō ndé k'a rí sí'i nú ngé já gú dyä̀tk'ä k'a nú ngé'e k'a nú mójmo k'a nú mbéjchin'ü o mbǚrü rú ñônk'a nú b'ë̌zo nânga jó'o gá nú tíjué'e pjé 'ṓjtjō jânga mâ'a nú ndó'o jā́ndā mâ'a k'a ngôxti nânk'a mânk'a k'a nú b'ë̌zo 'ṓjtjō k'a ín ch'íjué'e xé gá má dyá dyá bá kích'i rá ñôjmé Nánga kjâ'a nú xânga nú b'ë̌zo né'e ró ñójk'a nú ngé'e k'a ná máma Pájpa jé mbǚrü b'ǘnk'o má'a tá'a dyá gí ñójk'o züngü ñes'k'o ín ch'íjué'e k'a ná jyó'o k'a nú tíjué'e nú b'ë̌zo jyés' k'a nú jmó'o gú jyôd'ü k'a ná'a dyá gú chójt'ü dyá rú mbára ngé k'a nú tíjué'e k'a dyábi 'ùnü rá mǜ'ü rú zí'i Kja ná mújte k'a nú b'ë̌zo ró jyón'i k'a nú ndíxu o pójtk'a nú ndíxu gó mâ'a k'o dyájtk'a nú ndzhôgü mí xíbu mbári jângé rá mbá'a jé go jók'ü të́'ë k'o mí jôrü para pjék'o gú mbéx k'a nú ndíxu 'ú jmá'a k'a nú ndíxu nú k'a gú chôjtji gú 'ṓjtjō dyájkja gú chôjtji k'a nú ndíxu Ngéjnu jñá'a k'a pézhi à jñíñi k'a nú jñá'a e Juliana	K'o rí 'ä̀t'äjmi yó m'ayôrü e María...  Nú mbáne rí 'ä̀t'ji ná míxa	N jñí mí b'ǚb'ü ná ndíxuñná b'zo yá mí xráaí mí síii ná xuti pxei k'e n b'zo jsmáa mámák'okja téje mí pa yátüza k' rá dyä̀t'üjingm'ü je mí pjik'atéje nndíxu mí 'jmée  k'ngm'ü mí ä̀t'äjñônáa mí pa k'ndrje mí papdye b't pro gó éje ná pa k'a mánk'aa n b'zo rá mágo k'aa téje rá mápjigo pro rí négo rá rí pt'ü ná ngôi rá ndjme 'a rá síiíi máñá rá säk' rá ñônáaí kjaná xk'a n ndxo j mápjij rá jóorá pt'ügó n ngôñi g  éje k'  nú padya k'o gó jsä gó kjogüdyéje ndxi k'o mí pak'ndríije ró má pdye kj'aná xiji k'a n ndx  mák'andrij rá mápjñii bíto k'aná mán'aa n ndx n b'zo  yá dyá rá mág á ä̀t'ojñôná jrqe rá j xra rá néñáônáa máójo ná ndjme yá rá mti k'ná máanndxu pr  yá í mbtük'aa n ngôñi k' rá jäsä k'a ná jäs'ä k' nú síií k' nú säb'ä kj'ná zoü kjaaná m'ji k'o yó m  rí xuji gó mápjñi k'a ndrj námám éje k'a n ndxo kgó gó côtk'a n säb'ü yá  í yá í ñjme prq n jñôná gó szii yó dyo k'aná má n ndx  j pjxo rá ùngo dyá   xáa máa rá säjä yá  otjo nú ngôñ k' rá ptü dégo mámákq mí néró áa n ngôñi ngék'o rá ptuü n ngñ náng máng'a nd xxo rá kjadya jxo rá ùa máa rá säjä rá zngü rá mb'ue jek'o rá xiii k'aná má nndx kjaná chnche g ñnk'a ná tije k'a mí b'üb'ü náng kjaná mátk'a n tjaxiji k'e xk'añjaxa rá k' ndzôñi rá xmk'e síñi nánk'a n ndíx yá bí síib' rá g ná jóo mnée gó dyôk'ü n ndôñk'a n tije xj tsospáa índzôñe ngék'o rá ' í ñí kjaná dyä'a n xuti gó ngôsk' zak'a n ndôñi ó jñü n m'né nú ndx dy'ü n ndôñi nú n tije kjaná jäs'ä kjaná jäsä kaasiii paara gq dyá rá b'üti gó mb n tje paara kq rá ùnk'a n zóyá rá zi má ms'äk'a n nú bzo k'a n xraa gó jñi gó ùnk'aa nú m'ôjü k'aná xiii ñôna  mndra k' rá mátg'  ndééje k'amáëje yá rá msk'o prqe jo ndéj k'a rí si nánga g jñuük'a n ngék'a nmb'mü k'aná mbäb'ük'a nbche gó mbürüg ñônk'a n b'zo nánga jónk' n tije ôtjo jânngá mán  n jng' mák'angxi nánga mánk'a n bzo otjo k'a íchijje jxeáa máadya yáa bá qichi rá ñô'e nánga k'aná jñnxnk' n b'zo ó  néró ñôk'aa n  ngé kjaná mámá paapa j b'ürüb'ünk'o á ta dyáa rí ñôk'azängs' íchijje k'aná jônk'a ntijek'a n b'zo g jsk'a nm'ôjü g jôrü k'a ná dyágó chôt'ü yá gombráa ngék'a n tjje k'a yá í nü ró m'jü rá zi kjaná jtütk'aa n b'zo ró jôjnik'a n ndxo g tk'a n ndíxü á mátuü dyák'a g ndzhôg'ü níxi gó  mbíi jngéá má dígojk'ütk'omíjóoü áá pjk'o g mbxk'a n ndíx gó gó mák'aa n ndxu nnk'ará chôti ó jo dyák'ag chtik'a n ndx ngénú jñk'a pxi  jñi k' nú jñe janá
spontaneous-speech-mmc-21716.mp3	M'a dyár gó m'â'agö àjñíni gú lleva jângó rí b'ǚb'ü rá m'â'a rá... rá kájk'ü metro k'a sä̌'tä Servatorio desde dyá gó rá jm'â'a kájk'a nú flecha k'aj para à Xônxua camión Zitácuaro Rá m'âgd'a à Macho de Agua jângo b'ǚb'ü ná jó'o jângo rá ndéxe yó të́'ë b'ǚb'ü ná parada Desde gó dyà té'b'e ná... ná flecha k'a ndó pága m'â'a à Xácale À Xácale 'éje pa ndzhójtjo yó flecha dyà ró ndóró ndójdye gá m'â'a à Macho de Agua jä̌'b'ü ná Xácale k'a nú terminal flecha k'a sǘ'ütjü dyá à nú San Mateo	Hângé gá yët'ji nú séncho k'a síjàjñini 'ät'i kjṓ'ō ndécho k'a ná s'íb'órëcho ñé'e k'a ná ndzíró's'a chámbaji 'ötü rá ts'âpji rá tedyü dyà m'ará të́'ë yó dyü'ü 'éxíspjiji jiâsmaji 'ispiji ndéje para t'ë'ëza kídyü'ü. Ke se té'e k'o rá dyù 'ët'ëji k'a jiârü dyàm'a nòdya hó'o dyéró ngünüji, dyá ró jiês'eji ná xôma pa ji'ó'o nájp'a hök'ü zájk'o 'ngóraji para que ná ndárajo m'ayájtja ná hó'o yágá kjíjmi yágá yá n'êrází yó té'e dyàró mbás'äji k'a 'añéjp'üji nú tújk'ünú k'a ná té'jto k'a rá t'á'a, nú kjára ts'âpji yó 'íxpji kjonújiârü. Dyàm'ará xí'ichi k'a mügü séncho k'a yándá'a rá ts'âpji rá ts'âts'aje rá së́dyi	N má yágóo mágo jñí  n dyá jngorí b'üb'ü rá mbáa  rá mák'k' nú mo k' s'ätü ssroro ndésdy k' rá má k'k'a nú pcha k' pa xôxua k' ñ ítur rá máágü mácdgua jngob'üb'ü ná ó jngodágündéxdy te b'üb'üná para  ndésdy k'rá tb'e ná ná pcha k'nd pag má x'ale xk'aljepndzôo n  yó jcha yá ró trndztj g' má máchdgu b'ün  xk'alek'a n tín nú jcha k' sätü dya n  smáto
spontaneous-speech-mmc-21720.mp3	Yó Santiaguero k'o nêm'e à San Mateo este yá mbíb'ë̌zoji ñejo tántë́'ë k'o yá ná së̌zhi gá pès'ü ñe tǐ'i Pjë́b'iji ná ná flauta ñeja támbo í b'ǚb'üji nú capa k'a pǘb'üji k'a ná mbája ndó kjèzheji kjèzhe k'a ná mbája núji ó espada ngé yá k'o zä̌näk'o í ñejo tjū́s'ü núji ná bandera k'a b'ǚb'ü ná Siño të́'ëji ná Siño k'a xíji Santiago ngék'o ñóji Santiaguero nêm'eji má má mbáxua k'a mbéjchujn'ü yá mí b'ë̌zo k'o nêm'e ñe tǐ'i	Nú tjṓmëchi kjuá'a este... yá ch'ā́spaji levadura ngéjo tjṓseme k'a yá sö̀b'ü xíspiji párëhë k'a ná xíspiji nú tjṓseme para b'ǚndzü ts'ák'ajmá chándaji ó levadura ó ngéjo Royal, y 'árro jiäzi ná ndájme k'a rá b'ündzü, desde k'ó yárú'u yä'tji nú tjṓmëchi ndá k'â'a té k'a 'änteji yó dyë́'ë ñ'é'e nú ts'íjkuá'a k'a rá ndísp'iyo ndó'o. Nú kjáxiji nú tjṓmëchi kjuá'a k'a ocupágöji má áñima, ñestjo má áñima 'äjt'äji k'a nu tjṓmëchi k'a rá	N yó nagro k'o néém sámáto stedymbi b'zji ñjóo tne k'oo yá ná zzgá pbzñtii b'iji ná ná ua ñjn tm b'üb'üji nú'pa  k' pb'üji k' námbja ndokzji kjze k' ná mja üji ó saa ngédy k'ozünük'o ñjo tnzü üjii ná ándérá k'ab'üb'ü ná íño tëji ná ío k' xiji nago ngék'ojñji ngro néém'ji má mámxua k' bchjnü ymbi bzok'o némñti
spontaneous-speech-mmc-21721.mp3	Yó ndä̂jnä k'o té à jñíñi ngéjo... ó alcatraz ñéjo róxaxí de Castilla ñeje ná k'a xîji mûxa ndä̂jnä Ndé té ó... ó kjṓntjo k'a ngǔm'ü k'a ná jó'o para 'äpjäjmé yé má gí sentío Ngéko té nú... à... b'ûnk'o yá té k'o ndé yó ndé'me ó lad'yo la kja yó tjí'i kja yó tū̀jmuji kja nú tjí'i para yó gástots'ats'éji kjânt'i k'a síño ngéko té à jñíñi k'o yó ndä̂jnä	Nú ñěch'e k'andàp'ágö àjñíni ngé nú kṑjtṑ k'a ná hó'o pára 'àñátja ñem'a senti kònája dyé má k'a mbéjkue mí nà 'üm'ü péjme. Nú kás'ôra ndônt'i rá mbéye nú ts'írë̀jë k'a rá ndébiji 'ka ná xálo. Máji yó rá jiës'eji yéré ná síji ts'ímp'a ngék'o rá jögü k'a nú pénk'aná'ü k'a náha. Mi ná jó'o nú ñéch'e ñú'u 'ókṓtjō	N yó ndäjnük'o t jñi ngéjo   kaaas nñjo róxxi é k'asia nñéje ná k'axii m'xndäjü ndé t  kjônt k'ngm'ü k' nájóo paara üemée ñmág sni ngék'o tn  b'ünk'ody  tk'o ndééme  adoák'a yó ti k' yó tm'üi k'anti paara yó gsos'jj k'nik' ío ngék'ot  jññ  k'o yó ndänü  i
spontaneous-speech-mmc-26534.mp3	'À ná vez gá gó pítsiji má k'â'a mí... ní xútǐ'igö gó ndṑk'ü dyéje 'o tǐ'i k'a mí ch'í'i pjâd'ü né mí tjǒb'i pjâdü Eh ró... ró b'ǘgü t'ó'o má k'a índzǔm'ü ró d'ásü ná k'ôt'ǘ k'a í mí k'o píts'i rí xiji k'o ró ndák'a sū́bi nù í ró b'ǚgü ró s'ǘk'ü k'a nù ngǔm'ü k'a mí mbéchk'etjo nú ngǔm'ü mí tìdyo mí k'o pítsk'o ndéxi k'o ró ná k'ásüji	Gu xö̌rü go ró ́jwězhi mi kjá ja na kjö̀sü pá rò sö̀rü p'edye rò xi kjū̌'ū ko'o k'o yo tjǖmü ko ya mí kja chi pá rò p'éxe 'ǐ í nge ko rà xòd'ko rò jwë̌zhi nu jnú kjö̀s k'â xiji xín kwas'ü ó nge jo ó lómiño gé kó rà xo kjū̀ ró ró jwë̌zhi p'e ke ró xík'ü k'a ya mi t'ë́ćhi a kè ró péx nájo jángo tsí mí kapkaji ijá nge ma mó'kü ji ga tsi kjü ngé ko nuja rí rí pë̀chi rá jwë̌zhi 'í'i xi chi yo yo tě yo yo né k'a rá jwë̌zhi ni k'a rá xö̀rü 'weke má ji na s'o ka rí 'ä̀t'ä ídya ngètsko ko yo té yo'o yò má rá jo kjö̀sü d'íne ngwara xö̀rü ji	N ná b'sk' g ps'iji má kj mí mí xutigo gó ndäk'ä yéje   ti k' mí  chpjadüí í tägui pa ü ró ró b'ügü k' mák'aínzumü ró dá'ü ná k'tük'a mí k'ps'i í xkjo ró ngk'aszüíin ró b'ügü rá zä̀t'ük'  nngu'ü k'a mí b'chitonngu'ü mí tóo mí kpsk'o rí xk'o r ngk'azüji i
spontaneous-speech-mmc-26535.mp3	Este... rí 'ä̀t'ä mândresi para... para... rá kjöt'a yó xë́dyi	'À ná vez gá gó pítsiji má k'â'a mí... ní xútǐ'igö, gó ndṑk'ü dyéje 'o tǐ'i k'a mí ch'í'i pjâd'ü né mí tjǒb'i pjâdü.  Eh, ró... ró b'ǘgü t'ó'o má k'a índzǔm'ü ró d'ásü ná k'ôt'ǘ k'a í mí k'o píts'i rí xiji k'o ró ndák'a sū́bi nù, í ró b'ǚgü ró s'ǘk'ü k'a nù ngǔm'ü k'a mí mbéchk'etjo nú ngǔm'ü mí tìdyo, mí k'o pítsk'o ndéxi k'o ró ná k'ásüji	N  rí ä̀tä mánsi p ra para  rá ta yó xyi i
spontaneous-speech-mmc-26537.mp3	Jângé rí sä̀'t'ä àjñíni rë̌'ë té'gü ré ch'á'a zǐndzi gá m'ân'u àjñíni	Yó Santiaguero k'o nêm'e à San Mateo, este yá mbíb'ë̌zoji ñejo tántë́'ë k'o yá ná së̌zhi gá pès'ü ñe tǐ'i.  Pjë́b'iji ná, ná flauta ñeja támbo, í b'ǚb'üji nú capa, k'a pǘb'üji k'a ná mbája, ndó kjèzheji kjèzhe k'a ná mbája, núji ó espada ngé yá k'o zä̌näk'o í ñejo tjū́s'ü núji ná bandera k'a b'ǚb'ü ná Siño, të́'ëji ná Siño k'a xíji Santiago ngék'o ñóji "Santiaguero", nêm'eji má, má mbáxua k'a mbéjchujn'ü yá mí b'ë̌zo k'o nêm'e ñe tǐ'i	N ngé dí't jñi í tgca znzi k má jññ oo
spontaneous-speech-mmc-26538.mp3	Yünüji yó jñôna pará 'ujni yó mbáne	Yó ndä̂jnä k'o té à jñíñi, ngéjo... ó alcatraz, ñéjo róxaxí de Castilla, ñeje ná k'a xîji mûxa ndä̂jnä.  Ndé té ó... ó kjṓntjo k'a ngǔm'ü k'a ná jó'o para 'äpjäjmé yé má gí sentío. Ngéko té nú... à... b'ûnk'o yá té k'o ndé yó ndé'me ó lad'yo, la kja yó tjí'i, kja yó tū̀jmuji kja nú tjí'i para yó gástots'ats'éji kjânt'i k'a síño, ngéko té à jñíñi k'o yó ndä̂jnä	küji yó ñná para uji ó mni
spontaneous-speech-mmc-26540.mp3	Má yá gó zǜnü pá k'a rá tùjmuji nú zàn'a rá... rá juë̌ch'i yó ndzhǘnü rá... kjóspjüji yó ngú nú ndé'e yá ró jînti'i este... cupágoji dyéje ngéjma jñú'u k'o jñûndá kjóspiji yó... yó mbóka yó jyèk'ü ñé nú tòpjü k'a ná zü̂'ü b'ǚb'ü ná jyè ró k'â'a ngék'a k'â'a 'ö'b'i yó nújnú Dyá ró dyé'e ná b'ë̌zo k'a rá ndä̂jnä para xôrbüji nú juā́jmā y yá yá pá'a k'o nú té k'o yó ndéch'o ñéjyo kjǚ'ügö tújmuji mângé o tjṓ'ō pero mángéjó ndéxü ó ndéxü ó ngé chícharo eh... nátjo dyépji gó péb'iji má ñêxtjo k'a 'é'e nú tòpjü ñe k'a base yó ndéxi ó ngéjyo chícharo k'ö́d'üji Mânge ndéxi xípjiji pjǒrüji mângé chícharo ndé pǒrüji pero mângejo tjṓ'ō ñejo ndákjü nújma tújmuji nú má cupáji ná pǔnk'ü té k'o gi ñeje 'ǚnüji pá'na kja 'ä̀t'ä ó ndéch'o ó kjǚ'ü pero ngejyó ndzhǜrnü ocupagoji má jyóngé pjâdül ndé yé b'i pjâdül má jyó nátjo pjádül ndék'o k'a ndùjmuji k'o k'a juā́jmā	M'á kjá'a mí píts'i que ró m'á kja mí xút'ǐ'i, mí píts'i k'a nú mbéxôma k'a rá m'adyámü ndzhǚgü nú mbéxôma porque mí 'örü ts'ájmé mbára 'é'ji má bá rá à Bṓndo, ñě'm'e tá'a, rá jká méts'e k'o mbé ná ngǔmü y mí píts'i nè'e b'ǚb'ü porque ná bëzo k'a'a mí kítch'i kja yó ngǔmü rá má'a mâ'a píxu ndíxu. Ñê'e má mí ndzhǜd'ü kja má mí pjö̀rü mí... mí sö̀gü yó kjíjmi y yó xíska ñá'm'e yó kjíjmi. Porque mí so'o ngéko yá mí mí kjǜgü mí tö̀'t'ü k'o yó kjíjmi k'a jñí'i	N á yá  g zän paak' rá tmüji nú znáa rá juchiji yó ndzünü rá nôsüj yg'o nndé yá róüji stek'pgojii yéje ngé' jñk' ynda k'ösji yó yg'ok'a ná jükj'ü ñj tôjü k' ná s'ü b'üb'ü ná jro k' ngédyák' ôb'ü yó  yá ró yáe ná b'szok'a rá ndäjü para xôüji n jujma  yág pag'o yó ték'o ǜt'ä yó ndécho ñéjyó kj'üü k' tjüji mángj tō pro mángéj ndëxü o ngéchcharo  náto ytui k'o ppiíi májñxok'an tôjü ñk' áss'ü yó ndéëxü  ngéjó chcharóo k' pdüj mángéndéxü xexijiji püji mángéchcharóo ndé pdüji pr mángjo to  ñjo ndjü nmá tumüji má n mák'paji ná pnjü té '  ñéje jüj pala ná k' jüpaa ná k' ǜt'ü  ndéchok'o  kj'üü po ngéjó ndzünk'okj'pgoj omájóongépaü ndédyëji pdümji   nátjo paü ngé'gá ndui k'ok' juam
spontaneous-speech-mmc-26541.mp3	Yó artesanía k'u póji k'a jñíni k'o 'ä̀'tji ngéjo ndáxídyó 'ä̂'tji k'o yó xîdyó yó ndë̌ch'ü jêmeji 'ànxaji mbéch'iji k'a ña ñěm'eji k'a ná ngátji k'a të́'ë k'a ngá mbéji 'ö́ndáxi yó jñé'e ó... ó ndzǖ̂t'ü ñéjo m'ájté k'u 'ä̀t'äji nú ngóp'a pòji à Xônxua pòji ná pǔnk'üji pa pòji à Xônxua ó ngéja Morelia pa pòji k'a feria mí jǐngua ñáxtjo k'a àjñíni mí pòji ts'ak'á yó të́'ë k'o yá mí pë́ch'i rá dyä̀'tä pero nú'dyé dyà gí pòji ná jë̀'ë m'a 'ö̀ri jângé má b'ǚb'ü feria k'o pa... k'o rá mèzhe tùni ná pǔnk'ü pa pòji dyàrro ndzhóji Ngéko 'ä̀t'äji àjñínigö	K'á jñíni b'ǚb'ü ó lugar kò sagrado pa ndá ó pa xôrüji nú ts'ák'á'a k'a níts'imi 'ö̀ngéje k'a o ts'ícapilla, 'ä̀tp'äji yó mbáxua ñéhe jângó pë̀dyëji yó b'íjtu yó sí'iño, b'ǚb'ü ná jó'o juájm'a k'a pë́s'e ndéje... dyà hë̌si rá sí'i ó animále k'a ndéje 'ok'ejo k'o rá para m'ámbíño b'íjtu, nâxto yó b'íjtu yó siño gó p'émbeji m'ádyagúzü yó mbáxbaji. Ñéje k'a b'ǚb'ü ná të̌hë k'a 'ä̀t'i nîxa 'ë́ñë pa 'ö̀rüji pòho k'a dyàra xū̀'ūt'i yó porque 'éñe míxi ró 'ö́ndéje para ngó nú téje m'áráxû'u mbéje nú dyä̀rä rá pjántëjë gó m'ajñíni ñë'ë rá ts'ǜntü yó të'ë, ngéko 'ä̀tp'äji nú míxa, míjingóme 'ä̀t'pjüji k'a mí k'ǜgü pero gúdyà dyàjk'a 'ä̀t'äji porque tu mirá juínch'i ngéka m'ajñíni dyàjk'a rí mângo dyàjk'a rá pö'ö ndéje k'a ná p'ônkü	N yó artzni k'opj jññi k'oo ä̀ti ngéjo ndxiyo ä̀tik'o yó xdyo yó ndchü mji xaji pchji kj ná ñmji k' ná ngtik'atra kj'a ná mbji 'o ndxi dyo ñjo  ndüt'ü ñjo má pk'o ä̀t'äjii nk'o pa pji xôxua pj ná pnjü papji xôxua  ngéj mrl paa  pj k' ria mí ngua ñáxok'a jñiii mí pji ndkj tk'ody mí pchi rá yät'ä pro ndyyág papi náj má äíijngé b'üb'ü ra k'o pa k'oo rá mze tujii ná nk'ü p p pj yá róndzj ngék'o ä̀täj jñiñi k'o i
