audio_file	reference	hypothesis
spontaneous-speech-rwm-57259.mp3	hanisa nguko kowa ba ngbeku ndibasuna li jibheti kibubhisiku kitinisa kandi kibuhoki ndiba kionga kandi kibuduwagebhei andulu kima njo nabo beyokiye nibalo na gonzasi sini sini	Anisa nguko kowa bhangbeku ndibhasu ali ziba eti kibhubisiku kitinisa kandi kibhuoki ndabha kionga kandi kibhuduage bei andulu kima njo nabho bhehokeu nibhali nagonsini sini
spontaneous-speech-rwm-57262.mp3	Guba kokowa na mwani abhuyambi bhakpa nanga bhatandiki sasula fizi ndia bhaniki ndiabho ka masukulu bhabhasumbi dhudhu ndiekina kandi bhakpa bhaliki ndabho ndia abhongili kimui	Gguba kokowa na mwani abhuyambi bhakpa nanga bhakpa bhatandikisasula fizindia bhaniki ndiabho ka bha sukulu bhakpa bhasumbi dhodhu ndiekina kandi bhakpa bbhaya liku dabho niabhongili kimuikimiNBNGNGNGNGNGNGNGNGNGBGBGBGBGBGBGBGBGBGBGBGBG
spontaneous-speech-rwm-57264.mp3	Bhaki takatakana bizibu bia nabho bhaki lwalaga ndyala njo kadi nadwali njo bhaki kabhaga	Bhakitaka takanaga bizibu nga bhula sa mibazi nabho bhakilwolaga ndwala njo kandi bakitaka takanaga nanka bhalwali injo ba kijumagabho
spontaneous-speech-rwm-57265.mp3	Ka ngongwa mbili ndiasu kalibe bizibu na moti ndia bhakali na bhasika ndia bhakikoliliagaku nanga bhakali na bhasika kikilikaga imamoti ka sidha sidhana kandi na bhakali nabho bhakiyaga ka gulupu sa bisa na kwehoza	Ka ngonguwambili ndiasu kalibe biziuzibu na moti ndia bhakali na asika ndia bhakikoliananga kangongwambili ndiasu bhakali na bhasika kikilikaga imamoti ka sida sidhana kandi na bhakali nabho bhaikiyaga ka gulupusa bisa na kwehozaKKKK
spontaneous-speech-rwm-57266.mp3	Bhaniki ndibhasu egesabho sa asili kibhupesiage nsimo na mulingo nesi koliliagaku pesiana nguko ngenyabho na bhangbheku	Bhaniki ndibhasu ibhwegaso sa asili kilikage imamoti nabho kibhupesiage nsimo na mulingo nsini bakikoliliagaku na pesiana nguko ngenyabh na bhangbeku
spontaneous-speech-rwm-57267.mp3	Ndia akidhuwa muikili mabhonga abhuokanyia ndiabha abhuikilia ali zibe eti aibi bizibu ndiabho kandi atunge nesiyo nesi akitoka konyelabho ka bizibu ndiabho njo dumbi okana abhe bei sobhe sobhe saki nabho	Ndia akidhua muikili mabhonga abhuokania bhakpa nibhabhuhikililia ali zibe eti aibi bizibu ndiabho kandi atunge nesio nesio akitoka konyelabho ka bizibu ndiabho injo dumbi baokana abhebei sobhe sohesaki nabho
spontaneous-speech-rwm-57269.mp3	Nanga libho ali bwomezi kandi kalibho aliku kima akigbaga mibili ndiasu kima mindia kiyambaga mbili ndiasu akilikaga ka libho	Nanga libho ali bwomezi kandi ka libho aliku kima ndi kakigbaga mbili ndasu kima nindiakui yambaga ambili ndiasu akilikaga ka libho
spontaneous-speech-rwm-57270.mp3	Bhakoli ndibhakikolaga ka ka kima sabwomezi bizibu ndibhakyenaga ndia keteketa bhakpa bhakibikaga bhesiyabho nibhamadha na ndibhekina kidia bhakikoliliyaga mubazi ndibhakitugaga akibhaga ndia kamadhi na ndiakina namikia sente ndibhakibhupesiyaga kamadhi	Bhakoli ndia bhkolaga kaka klima sa bwomezi bizibu ndia bhakiena ndia kateketa bhakpa bhakibugagayabho bhamadha na ndibhekina kindi bhakikoliliaga mubazi ndia bhakitungaga kamadi na ndiekina kia senti ndiabhakibhupesiaga kamadi
spontaneous-speech-rwm-57273.mp3	Bhakilikaga nabho imamoti kandi ali buzunanizibwa ndiabho yambako nanga bhakilikaga Imamoti	Bhakilikaga nabho imamoti kandi ali buzunaniza ndia bho yambago yambaga bhakpo nia na bizibu ananga bhakilikaga nabho mamoti
spontaneous-speech-rwm-57303.mp3	Nikiyaga ka ima nihumuleku dakika mamadha busumi ndiekina nikiyaga aa ka kinabilo nioge aa busumi ndiekina dhe nikidhetaga	Nikiyaga ka ima nihumuleku dhaki ka mamada osumi ndiekina nikiyaga kakinabilo nioge osumi ndiekina de nikidhetaga
spontaneous-speech-rwm-57315.mp3	Nabeni ogietagisa wogisage na libho mabena kudhakia ogisai obise ome ogole na pasi kudhakia golai obise kulungi ololage dou moti kedha dou bhali andulu olole ndiekina	Kikilia na beni okptagisa ugisage na libho mabena kodhakya ogisai obise omi ogole na pasi kodhakia golai obise kulungi toli ololage dou mmoti kehe dou bhali andunundiekina
spontaneous-speech-rwm-57321.mp3	Ndie nkikolaga nkiyaga ka tiko nibala ndie nkisobola hongelaibe niya ka katale na mikia sente ndiamo nisumba lieli ndie nkitoka bisaibe hongela muhendo ndia akitota dhakia emi na bhaniki ndibhamo	Ndie ikikolaga nkiyaga ka tiko ndibala ndia kisobola ongilaibe niya kakatale na mikia sente ndiamo nisumba lieli ndia akisobola bisaibe ongila muhendo ndie kili nai ka inji ndia akidhakia emi na hakpa na bhaniki ndibhamo
