audio_file	reference	hypothesis
spontaneous-speech-ukv-31397.mp3	kenda na tinda ŋutu' koŋon ama nagon koŋon na nagon ŋutu' aje pu na ŋutu' ŋaŋarakindi jur lo yi parik yi kulya ti kelen ŋutu bubulö tukurukindö koko kulya ti kelan	kenda na tinda ŋutu koŋön ama nagon koŋön nagon ŋutu ajo puna ŋutu ŋarakindi jur lo 'baparik i kulya ti kelan ŋutu bubulo tukurukindyo koko kulya ti kelan
spontaneous-speech-ukv-31402.mp3	duté ti kenda kune a tindu ŋojik kaá i goŋ ko pusok i tó sukulu ama nagoŋ ŋojik jore kegá parik nawate ko luwaliyan a tó pirit kenet	petesi ti kenda kune a tindu ŋojik kaŋ agboŋ kopusök 'bitu i sukulu ama nagon ŋojik jore ka parit na wate ko luwan liyan a to ipirik kenet
spontaneous-speech-ukv-31412.mp3	ti nan tugu'uki 'börik yi konda ma kitajin na 'di'dik ns 'di'dik nagon tikinda mugun niyo' na gboŋ yuyuk tomurrk ti nana konye' pokin yi wörö wörö najo anyen tikinda rima kunu boŋ yi pirit nageleŋ	ti nan tukuluki 'börik i konda na kitajin na 'di'dik na 'di'dik nagon tikinda mugun niyo nu boŋ yuyuk woto murek ti nan konye pokin yi wörö wörö na jo anyen tikinda rima kunu boŋ yi pirit na keleŋ
spontaneous-speech-ukv-31421.mp3	kune piritön kune gboŋ kuru lo jonda junya a ko ŋutu' lo gboŋ yu kulu wörö ko nya'da tindi ŋutulu ko moka na junya 'boŋ ŋutulu kulo anyen a moka junya ti ko wöröni ko kamuka	kune piritön kune gboŋ ko kuru lo jonda junya a ŋutu lo gbon yukulu wörö ko nya'da a tindi ŋutulu moka na junya 'boŋ ŋutulu kulo anyen gboŋ a moka junya ti ko ko wöröni ko kamuka
spontaneous-speech-ukv-31446.mp3	yee nan a met de molu kenda na tetenda ŋerot na gboke liyaŋ ko ŋutulu lo kenda kulo a poonda yi pirit na geleŋ ko teili geleŋ yi todindö na kulo ŋojik lo'di'dik kulo todinesi' na'but ti kenda a koko töke tök ŋojik köti	ye na na medi molu kenda na petenda ŋirot na goke liyaŋ ko ŋutulu lo kenda kulo waponda i pirit na geleŋ ko teyili geleŋ i todindö na kulo ŋojik lo di'di kulo todinesi na'but ti kenda a koko toketök ŋojik köti
spontaneous-speech-ukv-31448.mp3	kikolin logoŋ jur lo a tokita i pujá nagoŋ di midijin kune pupu kenda na 'but na ko sidä ba ŋutulú ko gwiari lo'but kase midijin ni ko gwiari lo'but logoŋ lo 'but i jur ni ŋutulú kadekade kokon	kikonin logon jur lo a tokita i pujö nagondi midijin kune pupu kenda na'but na ko si'da na ŋutulu ko gbiyari lo'but kase midijin ko gbiyari lo'but logon kata i jur ni ŋutulue'de kokon ku
spontaneous-speech-ukv-31449.mp3	kenda na a ŋarakinda yi meda na gboloŋ kogboŋ ŋutu lo kenda lo gbe'de gboŋ kata ko metesi' najo yi loki na gbiliŋet lonyit ko yeyeesi' na kolorok nagon nye to'durjiri mede nayit ko jur	kenda na a ŋarakinda i meda na gboloŋ kogboŋ ŋutu' lokenda lo gbede gboŋ kata ko metesi na jo i loki na gbiliŋet lonyit ko yeyeesi na kolurok nagon nye to'durjiri mede nanyit ko jur
spontaneous-speech-ukv-31460.mp3	nan tiju 'börik ko mede nio anyen gboŋ a moka ko malaria i kikölin ka'de ka'de togeleŋ mede na ŋutuu kulo liŋ toto i tandaruajin kata tomirek piöŋ nagon liliwatu i diliö ko i supalan 'di'diya kaŋo tomusala döru lo gboŋ i borni kulo 'bitö kaŋo	nan tiju 'börik ko mede niö anyen gboŋ a muka ko malaria i kikolin ka'de ka'de togeleŋ mede na ŋutu kulo liŋ totoyi yi tandaruwajin kata tomurek piyoŋ nagon di liwatu yi diliyö ko yi supajin 'di'diya kaŋo tomusala doru lo gboŋ yi borni kulo 'bitö kaŋo
spontaneous-speech-ukv-31479.mp3	sukuluöt kuwe bgoke ni kune ŋarakinda ŋojik logon bgoŋ ko yeyeŋesi kase i pipilet na kenda kune ŋarakinda kilo ŋojik ko todindö na kutuk lose i kurundö 'bura ŋo nagon ko a ko kurun 'bura i engilsi ni kune	sukuluwöt kuwe gbokö ni kune ŋarakinda ŋojik logon goŋ ko yyoŋesi kase i pipilet na kenda kune ŋarakinda kilo ŋojik ko todindö na kutuk lo se ikurundö 'bura ŋo nagon koko a kokurun i iŋgilis ni kune
spontaneous-speech-ukv-31508.mp3	kenda a lwogu i jonda na moret ko toyiŋakin kayaŋ i gboke ni kogboŋ ŋutu lo kenda kulo deneden ŋo na'but ko ŋo naron a koko 'dok gbe kata ko yeiyesi ti ponda pirit nageleŋ i gboŋ ko petesi na'but na to'duröni jur ko gboke lose lo	kenda na a logu i jonda na muret ko toyiŋakin kayaŋi gboke ni kogboŋ ŋutu' lo kenda kulo deneden ŋo na'but ko ŋo naron a koko'dok begboŋ kata ko yeyesi i bonda pirit nageleŋ i petunda na petesi na'but na to'durönikin jur kode gboke loselo
