audio_file	reference	hypothesis
spontaneous-speech-cgg-51557.mp3	Nibireeta amakorero omu byanga byaitu biyamba abantu ebeetoroire emyanya kufunamu emirimo bakagira eki baakora bakabona kwegasira	Nezereta omu kurero omu maana beiti kugira ngu abantu abeetooriize omwana kufuna omu emirimo bakagira eki baakora kuba tatuyamba
spontaneous-speech-cgg-51559.mp3	Hakaija enkora ya sora omu byaro hamwe n'amashanyarazi ku garikubura abaine bakozesa soora kandi abarikuba batagiine bahemba etaara zaitu zaaburaijo z'amajuta ga parafiini	Atiiza enkura ya soora ebyaro amaburi amasenya kugira kubura abeine soora omu kwekye soora kandi abarikuba batabiimu bahunde etaarabintu baaburiizwe z'amajuka gaaba arafiimu
spontaneous-speech-cgg-51561.mp3	Endeeberera y'abantu abakuru omu byaro ekateganisibwamu niba niba niba nibabonabona kubura ow'okubareebereera ahabwokugira ngu abantu baingi bakairukira omu matawuni kuronda oku bareebeho n'okuronda emirimo	Ombeeeberera y'abantu abakuri omu byaro ekatugani sibwamu nibaba nibaba nibaba nibabonabona kubura abokubaheberera ahabwokurya ngu abaana baingi bateerukangira omu matawuni kuronda oku baraba bebone kuronda emiriko
spontaneous-speech-cgg-51564.mp3	Ahabwokuba ku orikuba otahaire kitiinisa ebintu eby'abandi n'ebyawe nabyo tibikaahebwa kitiinisa Omuntu ashemereire kuba naaha ekiinisa ebintu bya mugyenzi we nk'oku arikwenda ngu ebintu ebye beheebwe ekitiinisa abantu abandi	Ahabw'okuba oku bakahera ekitiinika ebyo byabandi n'ebyawe n'abikubi kaaheera bikizika nta ashemereire kuba naasha ekitiinika ebintu byamu byajwe nk'okwara kuba ndamwe n'egyere n'abyo kuba bikizika abantu abantu
spontaneous-speech-cgg-51566.mp3	Abanyadiini bakozire ekintu ky'omuhendo beegyesize abantu oku bashemereire kuba nibajwara n'obuyonjo... kireeteire abantu kuhindura aha mitwarize yaabo	Abanyadi bakozera ekisike muhendo kwegyesa abantu oku bashemereire kuba nibajwara n'oburunja obuzibu nk'udwara kurya kireitiire abantu kutindura emizwarira yaabo omu kurya ngu ayo
spontaneous-speech-cgg-51567.mp3	N'okuboreka rukundo kandi n'okuboreka ngu kuba n'akakooko ka siriimu tikoyobuhemu kandi tugwomuheru gwensi kandi kubahamiza ngu nibabaasa kubaho kumara obwiire bwingyi omunsi tukiirira hiihi nabo tukabakunda	Okuba oreeka rukundo kandi n'okuba oreeka ngu kuba n'akakooko ka kirimu kihemu kandi turwemu ya rubwensu kandi kuba hamiza nuba barikakubaho kumara obwire bwengye omu kwibiraho ebi nabo tukabakunda
spontaneous-speech-cgg-51574.mp3	Obwire bwangye obutari bw'emirimo nyenda kugira ngu mbe ndi ahantu hahunami kugira ngu ohuumuzemu ebiteekateeko ahabwokugira ngu obwonko nabwo nibuba nibwenda kuhuumuraho	Obwire bw'endibu butari bw'emirimo kugira ngu mbwenu y'ahaati ahabw'enami kugira ngu ahabw'omuzika eziteekateeko ahabw'okugira ngu ahabw'onkonarwa ngu zwanu bw'etarikukumuraho
spontaneous-speech-cgg-51580.mp3	Ahabwokuba nikikuyamba kumanya amagara gaawe oku geemereire kandi kikuyamba kweyongera kwerinda obutakwatwa akakooko ka siriimu	Ahabwokuba nikikuyamba kumanya amagara gaawe kubyemerindo kandi nikikuyamba kwerenda kweringa ekatwaka okakoroka kiri
spontaneous-speech-cgg-51581.mp3	Ahabwokuba ebintu ebi barikuba nibakugambira nibaaba baabirabiremu kandi barikubimanya obumwe nikiyamba kubahurikiza kugira ngu obundi kikaakutangira obuta obutaraba omuri ebyo ebi baarabiremu barikukura	Ahabwokuba ebi ebi ebarakuba niwa kugamira n'obu baaba barabiremu kandi abarikubemanya obumwe nikiyamu ahabwokuba orikuba kugira ngu obumwe nikika kutangira obuta obutaraba omuri ebyo ebi baaba barabiremu barakuba
spontaneous-speech-cgg-51582.mp3	otakagiire omu kitanda omu kitanda oshemereire kubanza waashaba kugira ngu Ruhanga akugwjegyeze kurungi kandi akurinde kandi abaase kukwimusya kugira ngu oze orundi orunaku	Akagiire omu kikanda ashemereire kuba nza waashaba kugira ngu Ruhanga kuguregyeza kirwa njikanda kuhindwa kandi waase kuhindwa kugira ngu arenda abaronda orana
