audio_file	reference	hypothesis
spontaneous-speech-ukv-31397.mp3	kenda na tinda ŋutu' koŋon ama nagon koŋon na nagon ŋutu' aje pu na ŋutu' ŋaŋarakindi jur lo yi parik yi kulya ti kelen ŋutu bubulö tukurukindö koko kulya ti kelan	kenda na tinda ŋutu koŋön ama nagon koŋön nagon ŋutu a jo puna ŋutu ŋarakindi jur loa parik 'bi kulya ti kelan ŋutu bubulö tukurukindyö koko kulya ti kelan
spontaneous-speech-ukv-31402.mp3	yäkesi kata nagoŋ ŋutú raraji i diŋit na wörö ko ŋo wöriayet lo ŋutú liŋ kega parik kulya ti totorotu na arabat ko ŋutú wäkän ko wörä na jore	yöŋesi kata nagon ŋutu riyoryörji i diŋit na wörö ko ŋo wöriet lo ŋutu liŋ kiga parik kulya ti 'do'dorutu na arabat ko ŋutu kokon ko wurö na jore
spontaneous-speech-ukv-31412.mp3	ŋutu jore moka junya i kikolin jore parik ama kulye kikolin kase gwon na nagan do tibublö tetenda na mugun inot ama nagon ko do tetenda mugun inot i diŋitan liŋ do ti bulö moka junya	ŋutu jore moka junya i kikölin jore parik ama kule kikölin kase a gboŋ nagoŋ do tibulö tetenda na mugun i nut ama nagon kodo tetenda mugun i nut i diŋitan liŋ totibulö moka junya
spontaneous-speech-ukv-31421.mp3	kenda na a ŋarakinda mede niyo' na yi diniki' na ŋariyesi' kaŋ gboke ni nagoŋ to'durönikin jur a tikinda ŋutuu kulo kuwe gboke ni a den lilija na ŋo' na 'but ko naron ko kikolin kade kade' logoŋ ŋutu rugini kulya yi gboke lwölwöŋ mörö	kenda na a ŋarakinda mede niyo na i diniki na gayeresi kaŋ gboke ni nagon to'durönikin jur a tikinda ŋutu kulo kuwe gboke ni a den llija na ŋo na'but ko naron ko kikolin ka'de ka'de logon ŋutu rugini kulya i gboke lölöŋ mörö
spontaneous-speech-ukv-31446.mp3	kikolin logoŋ mede niyo' na a liwaki' yi ŋutu ti jur mi kulo aa todinikindö na ŋojik yi 'durundö ki yi kiko' lo'but ko jujuwesi' na'but a ko konda na ŋo nagoŋ na'but memeta ko jur lo lo'but a jondi miret ko ŋutu' mede ni	kikolin logon mede niyo na a liwakiŋirt i jur ni kulo a todindikindö na ŋojik i 'durundö kiko lo'but ko jujuwesi na'but a ko konda na ŋo nagon na'but memeta ko jur lo a lo'but aa jondi miret ko ŋutu mede ni
spontaneous-speech-ukv-31448.mp3	yee nan a met de molu kenda na tetenda ŋerot na gboke liyaŋ ko ŋutulu lo kenda kulo a poonda yi pirit na geleŋ ko teili geleŋ yi todindö na kulo ŋojik lo'di'dik kulo todinesi' na'but ti kenda a koko töke tök ŋojik köti	ye na a mei molu kenda na tetenda ŋeron na gboke liyaŋ ko ŋotulu lo kenda kulo a ponda i pirit nageleŋ ko töyili geleŋ i todindö na kulo ŋojik lo 'di'dik kulo todinesi na'but ti kenda a koko töketök ŋojik köti
spontaneous-speech-ukv-31449.mp3	kikolin logoŋ jur lo a tokita i pujá nagoŋ di midijin kune pupu kenda na 'but na ko sidä ba ŋutulú ko gwiari lo'but kase midijin ni ko gwiari lo'but logoŋ lo 'but i jur ni ŋutulú kadekade kokon	kikönin logon jur lo a tokita i pujö nagon die midijin kune puku kenda na'but na ko si'da na ŋutulu ko gbiyari lo'but kase midijin ko gbiyari lo'but logon kata i jur ni ŋutulu ka'de ka'de kokon ku
spontaneous-speech-ukv-31460.mp3	'busan na suwe na ŋutuú ko kilo winikä na gaju ŋutú i moka na reto logoŋ kega parik ŋo gboso reto lo moga ŋutuú na wate i piritän ti gbakiyat ti mokosi	busan na suwe na ŋutu ko kilo winikö na gaju ŋutu i moka na reto lobot kega parik ŋo gboso reto lomoga ŋutu na wate i piritön i kbakyat n ŋo
spontaneous-speech-ukv-31479.mp3	jujuwesi' nagoŋ um ŋaŋarakidi i lo kayuŋänit lo a kiko logon ilo kayuŋänit ti todiniki ŋiro kulya ti kwakwadu anyen ŋiro lo kukujena ŋun a tomurek jujuwesi' kune' nagon 'ntitikin kune aa gboŋ ko julin lo'but logon a joŋadu lepeŋ i pirit naron	jujuwesi nagon ŋaŋarakindi loka yuŋönit lo a kiko logon yi loka yuŋönit todinöki ŋiro kulya ti kwakwaddu anyen ŋiro lo kukujönö ŋun a tomurek jujuwesi kune nagon titikin kune a gboŋ ko julin lo'but logon a joŋadu lepeŋ i pirit naron
spontaneous-speech-ukv-31508.mp3	ko nan derjar 'döt naŋ nan nyanyar parik kega parik a ŋete nan 'de'dewunda nan tikindi koloŋ 'bösit a nan 'bidi'bidö aun ŋerjiŋerjá nan laalalaju um tikindi piyon um 'bukäkindi gbalaŋ na kuku na ti pupurukin 'burá um tindi ŋete na a jone jo a nan yurjiyurjä di 'borot ko köyimöt	kon nan derja 'döti nagon nan nyanyar parik kega parik a ŋete nan 'de'deunda a nan tikindi koloŋ gbosida nan 'bidi 'bidö ŋerji ŋerja a nan da lalajuŋ tikindi kiyoŋ wööndi 'bara na kun ti pupurökin 'bura an tindi ŋete na jone jo a nan yiurjö di 'borot ko köyiumöt
