audio_file	reference	hypothesis
spontaneous-speech-bxk-47921.mp3	Omundu wekumutambo nowenya khumuyeta onyala wakhunga babandu khusyalo niyokhwikhale mala baa bachanga bachangila omundu oyo chisendi nomundu oyo anyola khu anyola buu bubwangu	Omundu ekumutambo nekhwenya khumuyeta khunyala wakhunga babandu khusyalo niye khwikhale mala baa bachanga bachangile omundu chisendi omundu wanyola khu wanyola khubwangu
spontaneous-speech-bxk-47928.mp3	Musyalo khukhwikhoya chisiku necholile chefuraa aaa nga krisimasi nende chichindi chifwanakho chiryo yani bandu balala bachichanga mubukhino babandi khwechanga busa mumatuli kefwe nekhunywakho kamalwa matiti babanywakho babandi bacha mumakanisa bacha baa bekhoyela eyeyo	Khusyalo khukhwikhoya chisiku nicholele chefula aa nga krismasi nende chichindi chifwanakho chiryo yani badu balala bachichanga mubukhino babandi khwichanga busa matuli kefwe nekhunywakho kamalwa batiti babanywakho babandi bacha mumakanisa
spontaneous-speech-bxk-47933.mp3	Khuchuma ikholanga ekasii aa iyebyasara bititi ngaa nobone nendikho nende khawoteli nenga walekhile ebyo ekholangakho nende byebulimi nenyolakho sindu sititi	Khuchuma khulanga ekasii aa yebyasara bititi ngaa obone nendakho nende ngawoteli nenga walekela ebyo khulanga nende byebulimi nga onyola musindu sititi
spontaneous-speech-bxk-47955.mp3	umwami yesi kenyikhana warekeresha babandu bewe sikila niye aaa obarangilila ari noharekeshe tawe aba somanya nibo orangirira tawe sikila nibo orangilila benyikhana bakhubolera newamanya ubayeta oryena butinyu siina nibwo bali ninabwo	Omwami yesi kenyikhana warekeresye babandu bewe sikila niyo ee aa obarangilila ali nokhale kesi tawe abasomanya nibo olikhorangilila tawe sikila nibwo orangilila benyikhana bakhubolela nebamanya oba yeto orye nabwo butinyu sina nibo bali nabwo
spontaneous-speech-bxk-47959.mp3	Khawukha khamunyafu aa basawo bakhubolelanga bari kenyikhana wepimisya ngoli omunda yekimyesi kitaru	Khawukha kha munyafu aa basoba khubolela nga bari kenyikhana bwepimisya buli omuda yekima esi kitaru
spontaneous-speech-bxk-47967.mp3	Chekapu yabuli mbuka yani aba wipimisya buli mbuka sikhuyeta wamanya afiya niyo olinayo elabutinyu sina nibwo onyolile mubu mubulamu bwo ela olakhola orye butinyu bwakhangu wabutila khangu wabukholakho nga bukhayimba tawe	Chekapuya bulimbuka yani aba kwipimisya bulimbuka sikhuyeta wamanya afye nio olinayo ela butinyu sina nibwo nyolile obwo mubulamu bwo elaa olakhola orye butinyu bukha wabutila khangu wabukholakho nga bukhayimba tawe
spontaneous-speech-bxk-47971.mp3	Babana kiminiongo bekhalanga nebasakhulu abulalakho basakhulu nebabapila chindikha abundi wabakelesyela nga khukhola kimikholo aa syekhunow syekhubonelakho kimikholo nga kyesikhebo nekyolile babana khuba nabo ela babona byesi bakhulu bakhola	Babana kiminiongo bekhala nga nebasakhulu aa abulalakho basakhulu nono babapila chindikha abundi babakelesela nga khukhola kimikholo aa syekhunyowo syekhubonelakho kimikholo nga chiesikhebo nicho olile babana khuba nabo ela babona byesi bakhulu bakhola
spontaneous-speech-bxk-47978.mp3	kawaita nochakhukona ngokhakona taa fwe besisecha aa khwamanyilila aa khulotangakho anjje nekhuchelewelekho khunyola basoleli nga bakonile namwe babana lakini obachekakho nomalile obata wabenyusya mwalombakho asii wesinga nocha khukona	Kawayida nocha khukona khukhakona taa fubesisecha aa khwamanyele khukhlotangakho wachina khukerewekho khunyola basoleli bakonile nima babana lakini obachekakho omalile obata wabenyusya mwalombakho asii khwesinga nocha khukona
spontaneous-speech-bxk-47983.mp3	Bilyo bimala nga sekhuli nabyo taa aba khuchichanga busa khukulanga busa khusoko yani sikhulu kasita wabamo nelimotole chisendi nicho waba omanya oli onanyola syakhulya sikila mumatuka khusoko khosi bibamo	Bilyo bimala nga sekhuli nabyo taa aba khuchichanga busa khukulanga busa khusoko yani sikhulu kasi taa wabamo neli emotole aaa chisendi nicho basi obwo manyolile nanyola syakhulya sikila omaduka khusoko yosi bibamu
spontaneous-speech-bxk-47994.mp3	Babandu baba nende buri mubandu oba burye mubandu babanabo khubakhongelesya khwabakhola busale ngawabakholele busale mala wabakhola baba nebumanyilifu nine omundu niye babane nabo balimo nekumwiyikino ari babandu abobo nga sekhubarafwirakira tawe khubakelesyila busa kalaa khukhwola nga nibamanyila	Babandu baba nebuli mubandu buba burya mubandu babanabo khubakhungilisya khwabakhola busale khwabakholele busale mala wabakhola baba nebumanyilifu nende omundu nabo babene niye balimo niye kumwikino ala babandu abo obo baso khubarafwilakila tawe khubakelesyela busa kala khukhwola nebamanyila
