audio_file	reference	hypothesis
spontaneous-speech-bxk-47921.mp3	A eliwo bitima birambisyibwa nende kamani ke inchini yani kamafura aa chabawo chi chindika necho chabombile ebyo nabyo byosi bikhola biryo sikila binyala khucha mubyalo khungila chintiti esi emotoka ekhaba taa pili sekenyikhana yanyola batecha bakali neya niyarura musifwo taa wakhaba mulala nekhusuta mala yasuta nebisu bisutwa byowo	Ba a a ba kha k bk bna bnn ka kiii k ba na ba i k kakik n niii na k na k k kh bkiakii ba kk ka k kaiiin na kka ka k kkiiikkaka k biii bik ka bba
spontaneous-speech-bxk-47928.mp3	Byakhulya byosi aa chisiku chino bichilakho nende chikemiko sikila byekhulima bikali sana bikendela khufwatilayisa nende chikemiko chekhufuyilakho chechindwale Abundi kenyikhana bulayi nokhatekha taa basingakho bulayi sana mala belakho aa nekhutekha khwosi watakhulya bibisi taa	Ba a ka kh ka ka ka k ka k kkii kna kaka na ka kaka kiiiiiiii ka k k bikk kkka kaakai n ka kkkka k ka k kb k ka
spontaneous-speech-bxk-47933.mp3	Babandu baba nende buri mubandu oba burye mubandu babanabo khubakhongelesya khwabakhola busale ngawabakholele busale mala wabakhola baba nebumanyilifu nine omundu niye babane nabo balimo nekumwiyikino ari babandu abobo nga sekhubarafwirakira tawe khubakelesyila busa kalaa khukhwola nga nibamanyila	Ba a ba ba ka baba kaa baba ka ba bl kalba bin kiii baba ba na baa ka b kaikikkak kiiiiii kaba ka kakaa baka k kba kn kn b k n ka
spontaneous-speech-bxk-47955.mp3	Bya soshyo midiya biyushanga bukhwale chisiku chino ndi bakhasi balekha khula khufwayo babami babwe nebabana bebilila bye munju balabilila-balondelela chisiimu bela khulusiimu bebilila byomwana	Ba baka khaa na i ka ka kiiiii kkiiiiiii bana k kka kkakibi ni bl i ka na k k l b nb bkka
spontaneous-speech-bxk-47959.mp3	Omusali womwana ofwana aryo emulanga imuwa kamakesi indi alole bakansala bayete omwana omusoleli wewe nakhalolile bakansala taa ayile omwana yuno mwisikuli sye aleyi amurusye busa mu mu mubikosi bisyalimo bisyamanyanile ninabyo	B kb ba na kaa n bai ba k niiiib k knka k n kk kana na ba ba kk nii ka bak na na na nk n k na k k kkn k b ka k b ba
spontaneous-speech-bxk-47967.mp3	Bukosi bwekhungudo papa serekari mukhubirira mubasikari babwe ba trafiki sebakholanga lelo ekasii bulayi tawe bandu batrafiki bano yani kasita obanyolila kitu kidogo omundu okhali treyinidi khulukuto yani kakhakhola kamakoso ata sebaa seba mudisipulina tawe	Kaa kaka bkiakiiiii ka kkna knkbii kana kka ka kakkkiiikak kna baa k ikna kkkkiiab na kkkakiii knkka
spontaneous-speech-bxk-47971.mp3	Kwancha okhoya waba ofunikha mala warekeresya nisyo owasyowo akhuloma obata mwarebana mularebana kasita mwaba mukanikhana nemufukilisyana yani elomo komyunikesyoni komyunikesyoni enamala yakhalikha aba butinyu bwecha	Ba kakha ka ka biiniii ka kka ka ka ka kaiikanakna nninikak niinnk na nn kii ka bka kiiiia
spontaneous-speech-bxk-47978.mp3	Engeli endayi yekhurumikha yekhurumikhila intanenti mushalo indi iye khu yi ye khuyima embuka khwakipa tayimu khwalondelela embuka bulayi nono khwayenjelakho bibindu byekamasomo kenyikhana khuendelee khuryena nekhwacha intanenti yino lakini bibindu byatikitoko bino birareranga kamakhuwa mungo	K khnhi ka iiiii n ka kha kha kha bha bana nla k kh kk ka a kh n k k kkhiiina ka ka ka kha n ka k kanaa nk bk k khkha kaka n khana kha ka kh kkiaiaiaia
spontaneous-speech-bxk-47983.mp3	Khubayanga chimbusi khubayanga chikhafu khubayanga kamakhese khubayanga chipuusi khubayanga chimbwa nende chingokho nende kamapata nende bibindi bikali sana	Ba aka kala ka kaa baiiiii ka ka ba ba na bl k n b kaa
spontaneous-speech-bxk-47994.mp3	Khawukha khamuniafu Aa khakhoya bandu belinda nga bubwiyikinwa esi bayesanwa babwe pili bandu baba nebepimisya buli nyinga yembuka fulani ili bamanya sitatasi chabwe	Baaa ka k k ka kii na kiika kaka niika kaka kakk k k k a
spontaneous-speech-bxk-48047.mp3	Munjju mwange nenyikhana embune neye mala esiimule nekamechi nesabuni nga namalile khusimula ne kamechi nende sabuni nengonangona mungaki muno nendushamo lububi bindu byosii bibingilamo bikhali bilayi taa nekhupaka lufumbi neruramo munjju mwange mwarama mumiliyu nekhala nga nasangalile	B n ii na ka c na na nika na na ka n na ka na na kin b kk ka bk kkknkkk nakbana kbkkk kk nkn nn k n k kk n na
spontaneous-speech-bxk-48061.mp3	Omundu wekumutambo nowenya khumuyeta onyala wakhunga babandu khusyalo niyokhwikhale mala baa bachanga bachangila omundu oyo chisendi nomundu oyo anyola khu anyola buu bubwangu	Ba ki kh kakki binaka kkiii k k kni kna naka k ka kiiiii n k kabkaia
spontaneous-speech-bxk-48070.mp3	Khwenyikhana khwara chiretyo mubirekere byefwe wakila babekhali bamanya bibilikhuchililila mubyalo nende musibala syosichana kakila norawo eretiyo basakhulu nebalosi bosi balasa balawulilanga baloba busa khunywa kamalwa nebamela taa mala barekeresya bili khuchililila musyalo	B kanha kana khaiika kk b kk kknk knk k blk k bk khanab knkias biii i ka bk k na na bab kkkn bkibibana kkbkkakka
spontaneous-speech-bxk-48121.mp3	umwami yesi kenyikhana warekeresha babandu bewe sikila niye aaa obarangilila ari noharekeshe tawe aba somanya nibo orangirira tawe sikila nibo orangilila benyikhana bakhubolera newamanya ubayeta oryena butinyu siina nibwo bali ninabwo	Ba kk ka ka kana kn ka b bk bina kkha n k kk bii bi nna na baknbi b kk k bk n k n a b b n ba
