audio_file	reference	reference_raw	hypothesis
spontaneous-speech-cgg-51557.mp3	Okuguma nitubyoza kandi nitureeba ngu twamara kubikozeesa twashukamu amaizi ningashi byaba bitari by&amp 'amaizi kugira ngu buri kanya harimu ebintu byokukozesa n&amp 'okubyoterera omuri ebyo ebitari by&amp 'okushukamu amaizi obaase kubireka biri ebiyonjo	Nibireeta amakorero omu byanga byaitu biyamba abantu ebeetoroire emyanya kufunamu emirimo bakagira eki baakora bakabona kwegasira.	Okuguma nitubyozya kandi nitureeba ngu twamara kubikozesa omwe twashukamu amaizi engashi byaba bitaribyamaizi kugira ngu burikaanya harimu ebintu by'okukozesa n'okubyoterera omwe bbirkuba bitari ba by'okushuka mu amaizi kugira ngu kkibaase rek kubireka birya ebiyonjo
spontaneous-speech-cgg-51559.mp3	Oburemeezi obumwe kutambuza nka zaabaasi obwire obwingi obumwe nka nyekiro baasi yaafuna obuzibu aha muhanda obumwe nimubeera staaka kandi kibareetera obumwe mwateganisibwa habwokugira ngu obumwe nibuba buri nyekiro kandi	Hakaija enkora ya sora omu byaro, hamwe n'amashanyarazi ku garikubura abaine  bakozesa soora kandi abarikuba batagiine bahemba etaara zaitu zaaburaijo z'amajuta ga parafiini	Oburemeeza obumwe otambuza nkazaa baasi y'obwiro bwingi obumwe nka nkiro baasi yaafuna obuziba ha muhanda bumwe nomu mbeera sitaaka kandi kibareetera obumwe mwatiganisibwa ahabwokugira ngobumwe nobuba buri nikiro kandi otaine ngere ndaijo yoona yorikubaasa kutamburamu
spontaneous-speech-cgg-51561.mp3	Ahabwokuba omubiri gwaitu ogu nk'okuturikwikiriza omu byahandikiirwe gukakorwa omu itaka kandi kutukuba tutagunaabire buri eizooba obumwe guhoooongooka kubi gugwisa kubi batahi baitu so omuntu ashemereire kuba naanaaba buri eizooba kugira ngu agume ari omuyonjo	Endeeberera y'abantu abakuru omu byaro ekateganisibwamu niba niba niba  nibabonabona kubura ow'okubareebereera ahabwokugira ngu abantu baingi bakairukira omu matawuni kuronda oku bareebeho n'okuronda emirimo. 	Ahabwokuba omubari rwaita ogo k'okuturukwikiriza omu byaha ndeiki rwe gukakorwa omuitaka skuturikuba tutagunaabire buriiz ooba obumwegu guhunuuka kubi ngugwisa kubi bataahe baituso me nutashemereire kuba naanaaba buriizooba kugira ngu agumari omuwa
spontaneous-speech-cgg-51564.mp3	Intaneeti nituba tubaasa kugikozesa omu magara gaitu g'obutoosha obumwe kugira ebitwayegaho nk'eby'amagara nk'eby'empindahinduka y'ensi hamwe n'ekindi okumanya ebirikubaho omu ihanga ryaitu kugira kituyamba tuba kubaasa kugira oku twayetwariza	Ahabwokuba ku orikuba otahaire kitiinisa ebintu eby'abandi n'ebyawe nabyo tibikaahebwa kitiinisa. Omuntu ashemereire kuba naaha ekiinisa ebintu bya mugyenzi we, nk'oku arikwenda ngu ebintu ebye beheebwe ekitiinisa abantu abandi.  	Nintaneti tubaasa kugikozesa omu magara gaitu k'obutoosha obumwe kugira ebitwayegaho k'ebyamagara nk'eby'empinda hinduka y'ensi amwenekindi okumanya ebirikubaho omu ihanga ryaitu kugira mukituyambaokutubaase kugira okutwayetwariza
spontaneous-speech-cgg-51566.mp3	amapapaari emiyembe ovakedo ebyo nibyo bijuma ebiboniire ebirikuhingwa omu Uganda	Abanyadiini bakozire ekintu ky'omuhendo beegyesize abantu oku bashemereire kuba nibajwara n'obuyonjo .... kireeteire abantu kuhindura aha mitwarize yaabo ... 	Amapapaari emiyembe ovacedo ebionu by'obijuma ebiboneire ebirikuhingwa omu Uganda
spontaneous-speech-cgg-51567.mp3	Okubahwera okubaasa kubaheereza ebyo ebi barikweteaga kandi n'amunonga kubigiza haihi tukabooreka ngu obureema tibuteebaasa nabo nibabaasa kukora ekyotari murema arikubaasa kukora we nk'omuntu obwire obwingi nk'omu by'obwegyese	N'okuboreka rukundo kandi n'okuboreka ngu kuba n'akakooko ka siriimu tikoyobuhemu kandi tugwomuheru gwensi kandi kubahamiza ngu nibabaasa kubaho kumara obwiire bwingyi omunsi tukiirira hiihi nabo tukabakunda.	Okubahoera okubaasa kubaheereza ebyo ebibarikwetaaga kandi namunonga kubaigiza haihi tukabooreka ngu oburema tuuteebaasa nabo nibabaasa kukora ekyo ekyo otarimurema arikubaasa kukora obwiro bwingi nkombyo bwegyese
spontaneous-speech-cgg-51574.mp3	Kuturikwongyera kubamnya ngu abakaikuru hamwe n'abagurutsi nibabateekamu obwesigye bw'okumanya ngu haine baingi ebi barikumanya ebi barikureeba obumwe ebi tutarikumanya nikyongera kubaheereza amaani n'okumanya ngu baine omugasho omu magara gaitu	Obwire bwangye obutari bw'emirimo nyenda kugira ngu mbe ndi ahantu hahunami kugira ngu ohuumuzemu ebiteekateeko ahabwokugira ngu obwonko nabwo nibuba nibwenda kuhuumuraho	Tuturikongyera kubamanya ngu n'abakaikuru bagurusi kandi tukabateekamu obwesigye bw'okumanya ngu baine baingi ebibarikumanya nebibarikureeba obumwe eitwe tutarikumanya nikyongyera kubaheereza amaani n'okumanya ngu baine omugasho mu magara gaitu
spontaneous-speech-cgg-51580.mp3	Abakazi abamwe nibabonabonesebwa munonga abashaija baabo ahabwokubateera n'okubabonaabonesa Kandi obumwe n'abaishiki abamwe nibakwatwa bakiri bato ahabwokubeihwabeihwa obuntu-ntu buri aho obutarikubagasha nyensya	Ahabwokuba nikikuyamba kumanya amagara gaawe oku geemereire kandi kikuyamba kweyongera kwerinda obutakwatwa akakooko ka siriimu	Abakazi abamwe nibabona banesirwamunonga abashaija baabo ahabwokubateera n'okubabona abonesa kandi obumwe n'abaishiki ahabamwe nibakwatwa abakirobato ahabwokubaihwa baiba obuntu ntoburyaho obutarikubagasha gyensi
spontaneous-speech-cgg-51581.mp3	Ebitongore by'obwegatsi n'ebibiina nibireetaho emirimo ahabw'okugira ngu kubarikweterana baagira eki baatandikaho obumwe kiyambaho kugira ngu kyareetera abantu abandi emirimo kandi baagira eki baakora	Ahabwokuba ebintu ebi barikuba nibakugambira nibaaba baabirabiremu kandi barikubimanya obumwe nikiyamba kubahurikiza kugira ngu obundi kikaakutangira obuta obutaraba omuri ebyo ebi baarabiremu barikukura	Ebitongoro by'obwegatsi n'ebibiina nebireeta emeruma ahabw'okugira ngu kubarikweteerana baagira ekobaatandikaho obumwe kiyambaho kugira ngu kyareetera abantu abandi emerumu kandi baabo niki baakora
spontaneous-speech-cgg-51582.mp3	Ahabwokuba ku orikuba otahaire kitiinisa ebintu eby'abandi n'ebyawe nabyo tibikaahebwa kitiinisa Omuntu ashemereire kuba naaha ekiinisa ebintu bya mugyenzi we nk'oku arikwenda ngu ebintu ebye beheebwe ekitiinisa abantu abandi	otakagiire  omu kitanda omu kitanda oshemereire kubanza waashaba kugira ngu Ruhanga akugwjegyeze kurungi kandi akurinde kandi abaase kukwimusya kugira ngu oze orundi orunaku	Ahabwokubakubokuba taheere ekitiimisa ebintu ebyabandi n'ebiabona ebitimikahebe ekitiinisa omutashemereire kuba naaha ekitiinisa ebintu ebiramo byaziwe nkookuarikwendana n'ebme nabyo taheebwe ekiiine abantu abandi
