audio_file	reference	hypothesis
spontaneous-speech-led-64034.mp3	A dho ley nyi vi tsì ya nyi ni dhi nà ya ngǎ nyi nì dhi nà a dho ley nyi vi tsì nyi ra mí nga à dho ley nyi vi tsì nyi njǎ ŋangá à sà ndèy mí nga nyi ra thì ŋǎchú nyi dho tsònì njuw ŋǎchú nyi dho rà ddawa dzà nyi nì nyi njey ŋachú fú nì wá nì ndèy nyi dhokpa ley mí lò ò	À dha ley nyi vi tsì a nyi nì dhi nà ya gǎ nyi nì dhi nà à dhay ley nyi vi tsì nyi ra mí nga ley nyi vi tsì nyi njǎ ŋǎnga à sà ndèy mí nga nyi o thì ŋǎchú nyi dho tsò nì njuw ŋǎchú nyi dho rà ddǎwà dz nyi njěy ŋǎcjú  fú nì wá vi ley nyi i td ney wá fú lò ò
spontaneous-speech-led-64042.mp3	Ma dzz nì ru ddey ma ró ma dzz nì zǎ mà njúw nì mà tsò ddìnga mà nyu nì nyû mà ra nì Ddra dza ndèymí ngís-djú-nga nà mà njúw nì mà tsò ddìnga ó mà dzz nì soddà mà mà mbr nì	Mmà dzz nì rù tdey ma ró mà dzz nì zǎ mà njúw nì mà tsòw ddìngǎ mà nyǔ nì nyû mà ra nì Ddrà dzǎ ndèymí ngíssdjúnga nà mà njúw nì mà tsòw ddìngǎ mà dzz nì sódda màmà mb nìM
spontaneous-speech-led-64044.mp3	À léy mà chuw mbr à léy màdhí nzòw somú ddí ney màdhí nzòw déy nyǔ'wiy nà à déy nyǔ'wiy mbr chùwdha mî nà à léy mà dhí nzòw mà ddí mà déy lǎní mà dhí nzòw nà wá à lêy mà dhí bbakà ó nga à dhiy mà ss mà dhí bba kà ó nga gbè njàddí ndrǔ dhí bbakà ó nga ní chú gbè à lêy mà dhí mà déy mà thíy nà lǎní déydha ngéy ní nà	À léy mà chuw mbr à léy màdhí nzòw sò dí ney màdhí nzòw déy nyǔ'wiy nà à déy nyǔ'wiy mb chùwdha mí nà à léy màdhí nzòw mà ddí mà déy lǎní màdhí nzòw nà wá à léy bbakǎ ónga à dhiy mà s màdhí bbakǎ ónga gbè njàddí ndrǔdhí bbaka ónga níchú gbè à léy mà ddí mà déy mà thíy nà lǎní téydha nga níÀ
spontaneous-speech-led-64045.mp3	Ma dho tdrà nzǐ fú ndrǔ ddá ì zz̀ má ì chùw nì ma dho tdrà fú ndrǔ rǎ ddǎwà ì ddey ndaní fú ndrǔ tsǐ fú bǐy ná thǐ ma dho tdrà njǎddî fú ndrǔ pbǒ yadha cha ka tdrà fú ndru dhò fú pbǒ nì ndeyró lò ka dey ngǎ fú ddiy dzzdjú	Ma dho Ddrà nzǐ fú ndrǔ ddá ì zz̀ meyì chùw nì ma dho Ddrà fú ndrú rǎ ddǎwà ì ddey ndèy ró fú ndrǔ tsǐ fú bbiy ná thi ma dho tDdrà djà ddî fú ndrú bbǒ ìyǎdha cha ka tDdrà fú ndrǔ dho fú ndrú pbǒ nì ndey ró lò ká déy ngǎ ó ddiy dzzdjúM
spontaneous-speech-led-64046.mp3	Klǎklǎ ní tuw à léy nì nzǐ mùtùkárì bbiynì lǎní tuw ó à léy nì bbalè déy nì grr̀ nà à léy nì à ji nì bbalè wá nì dèy kass̀ tsò ró bbalè thó ì jaket nà rain kòt na à léy nì bbalè rónga déy nì shú à léy nì dhi ddí nyá nì fú ji mí sâ nà à léy nì malaria ddí nyá nì fú ji mí	Kǎklǎ ní tu à léy nì nzǐ mùtkári bbiy nì lǎní à léy nì bbalè déy nì grr̀ nà à léy nà ji nì bbalè wá nì déy ka sstsò ró bbaèlè tho ì djǎke nà rǐnkot nà à léy nì bbalè rónga déy nì shú à léy nì dhiǐ ddí nyá nì fú dji mí sâ nà à léy nì màlárya ddí nyá nì fú dji míá
spontaneous-speech-led-64047.mp3	Ndaní à léy mà déy lǎní mà làyi nà ndaní à léy mà déy bbalè mà kǎ ddiy ddí zž ney ndaní mà rř mà ndaní mà déy màtsò gba ddǐngǎ dhi mí sâ mà nà ngǎ ngǎjìní lò déy ngǎ mà déy mà rř ney mà njúw mà tsò ddí ngǎ lò ní nzǐ à mbǎ ngéy ní lò jì ngéy ngéy ní mà mà kàó fú lò chú léy nì mà déy lǎní bbalè ní mà kàó	Ndaní à léy mà déy lǎní mà lǎy nà ndaní à léy màdí bbalè mà kǎó ddiy ddí zz̀ ney ndaní mà rř mà ndaní mà déy mà tsò gba ddìnga dhiy mí sâ mà nà ndaní ngǎ ngǎjìní lò déy mà kǎó mà déy mà rr ney mà njúw mà tso ddí ngǎ lò ní nzǐ  mbǎ ngéy n lò jìngéyngéy mí nì mà kà ó fú lò chú léyà nì ji mà déy lǎní bbalè ní mà kà ó
spontaneous-speech-led-64048.mp3	À ji à nyǔ djǔrúgi kàlangà nà nì à ji à nyǔ bbì cha ngǎsíya ní a ji à nyǔ shu cha ddí ka rì kàlangà nà nì à ji à nyǔ ǒw těy bbiy	À ji à nyǔ zuwrógi klǎnga nà nì à ji à nyǔ bbì cha ngǎsiya nî à ji à nyǔ shu cha ddí kari kalǎnga nà nì à ji à nyǔ ǒwtey bbiy
spontaneous-speech-led-64049.mp3	À dho ley bbalè dho klǒwklǒw ní dza ss̀ à dho ley bbalè dho ìdhí nzòw cho sùkúl ò à dho ley nga nyùdha ddí dho dey lǎní dzakǎ à dho ley njàli dho tdiytdiy ní lò jì njèy ndèy bbá	À dho ley bbalè dho klǒw klǒw ní dza ss à dho ley bbalè dho ìdhí nzòw cho skúl ò à dho ley nga nyùdha ddí dho dey lǎní dza kǎ à dho ley njǎli dho tdiytdíy ní lò jì njèy ndèy bbá
spontaneous-speech-led-64050.mp3	Ndaní à bbíy mà ró djùw ò lǎ ní nzǐ ma chǔw dhi ngengéy ní dhi jì nì ney fu ndèynì fú dda ò luw nì ndaní nzǐ mà chǔw fú dhi mà mbř fú dda à kwó mà ró jùw tsò lǎní ya nyi nì ney ngengéy ní dda jì nyâ ddrǒ à nì jǐ màtsǐ ŋánì cha màdho mbr nì ndèydho màró jǔw ó nga kwo lǎní mà kà ó nì	Ndaní à bbíy mà rá juw ò lǎní nzǐ mà chú dhi ngéyngéy ní dhi jì nì ney fu ndèy nì fú dda ò luw nì ndaní nzǐ mà chǔw fú dhi mà mb̌ fú dda à kwó mà rá juwtsò lǎní ya ney ngeyngéy ní dda jì nya drǒ  ji mà tsǐ ŋá nì cha màdha mbr nì ndèydho màdhomà ró jǔw ó nga kwó lǎní mà kǎ ó nì
spontaneous-speech-led-64051.mp3	À léy bbalè sà ì ngǎ njí nì ddiy dho à léy bbalè ngû gbúdjá ní à ley bbalè ngû njày ddá ní à lêy ngǎ njí nì ddiy dho à ley bbalè sò ddí nzá ngǎ bbalè nì nyǔ'wiy nà bbalè nì dey ddíyà nú fǔchú fǔchú ngǎ njí ní fúddiy chú sà bbalè vǐy ddí yà ngǎ ngǎ fú ndrú vi njèy nì lò nì ndèy fú ro	À lêy bbalè sà ì ngǎ njí nì ddiydho à lêy bbalè ngû gudyá ní à lêy bbalè ngû njèy ddá ní à lêy ngǎ njí nì ddiydhò à lêy bbalè sò ddí nzá ngǎ bbalè nì nyǔ'wiy nà bbalè nì dey díyà nú fǔchú ftsú ngǎ njí ní fúliy chú sà bbalè vhǐy ddíyà ngǎ ngǎ kdrú dhi njey nì lò nì ndeyo
