audio_file	reference	hypothesis
spontaneous-speech-sco-31044.mp3	Aye I’d’ve loved to have been a professional gymnast I used to when I was young do flips but- and cartwheels but no you know professional And years ago we- the opportunities are different nowadays you know we didnae have these kind of a classes to go to But anyway I did take the opportunity when I was in my forties A gymnastics coach of the kids told me I should go to an adult class in Bellahouston So I did I decided to go and um there was a great wee coach Hazel She was professional And she encouraged me- I s- I told her I’d love to do flips She says well you’ve got the physique you’ve got the energy So she was so good at helping me to visualise going into this ball pit- we’re on a trampoline so I’m jumping the trampoline and she's just visualise a dolphin and it helps you flip into the- so you’re flipping into the ball pit What a feeling She was so good you know that encouragement At first I was all over the place Anyway so that was great to get that opportunity	ay  tI loved h being a professional gimnas I used to ee wen I was yung do flips but an cart wells bet mo do you know professional and years ago with the opportunities of different niverdas you know we dinna have these kind of our classes to go to but anyway I did take the opportunity when I was in my forties I gymnastic coca the kids told me as sh goto an adolt class and belahusting So I dids I decided to go and them there was a great wee coch hazel she was professional and she encouraged me as I told ar Id livdi to flip she says whell youve got the fhisic youve get the inergy so she was so good it helped me to visualise gi into this bullpit wir on I trampling so ’m jump ing the trampling she’s dis visualise Idolphing and it helped she flip into the so you’r flitting into the bulpit what I feeling She was so good tou know that encouragement and first I was all over the place anyway so that was great to get that opportunity
spontaneous-speech-sco-31052.mp3	Best holiday I’ve ever been on was in Finland I went up to Finland in February a couple of year ago to see ain of my pals and eh it was just the maist peaceful and relaxing- oh it was marvellous The maist relaxing holiday I’ve ever been on We went curling and it turns oot I’m brilliant at curling I think if you’re Scottish it’s in the bones aye eh brilliant at curling we did loads of hiking but difficult to hike because of the sna’ of course eh and then we went ice fishing and I was sitting in the middle of this big frozen lake minus twenty-seven degrees ice-fishing and I’ve never been mair at peace in my whole life	Best holiday I’ve ever been on was in finland I went up to finland in february a couple of year ago to see inimy pils and eh it was just the mist peaceful and relaxing oh it was marveless the mist relaxing holiday I’ve ever been on wI went Corlin and it terms ot tem brillian it corlind I think of your scottishes and the bons i Eh Brilliant at Corlind with dodlos of hikin boght difficulty hite because of the Snaw of course eh and then wI went ice fishing and I was certin in the middle of the spig frozeng lake minus twenty-seven degrees ice fishing and I’ve never been mar it pasing my hel life
spontaneous-speech-sco-31055.mp3	One of the stressful things I would experience in a workplace one of my jobs years ago was how people speak to each other You know the stress that people would feel because they had this fear of like a boss coming towards them or people in a different position- they would just crumble and that- I would be stressed for these young people so I would go and challenge them I'd think it was unnecessary I thought don't treat somebody how you don't like treated yourself So thankfully I did always have that courage in places of work where I just thought no- nobody's treating somebody like that- I could not tolerate it so- but it was stressful because you were taking risks as well	one of the stressful things a wod th experience and I work place but n amagia ears ago was how people speak to each other you know the stress that people would feel because they ar this fear a yo like a bose comming towards them or people in a different possession they wod jis crumble and tha- that I would be stress for these young people So I would go and challenge them I think it was unnecessary I fought don’t treat somebthyng how you don’t like treatag yourself So thankf ike Id always have that courage and places I work where I just fought no nobdis treating somebthing like that a if I could not tolerate it so but it was stressful becauseyou were taking rest as well
spontaneous-speech-sco-31061.mp3	Maist precious object I own is eh ain of my guitars it’s um it’s a guitar I’ve wanted since I was a wee boy eh maybe for aboot twenty-five year or something I’ve wanted this guitar and eh ain of my pals bought it for us for my thirtieth birthday ain of my pals won a bit of money and he thought ken what I’m just going to buy that guitar for him and that’s what he did surprised us with it and I couldnae believe my eyes eh and if my hoose was burning doon that’s the one thing I would run back in and get would be that guitar It’s beautiful it plays amazing and it’s got a lot of sentimental value as well ‘cause my pal bought it for us aye	Mis Presiasobject e own is eh in af my guitars it’s um as a gitar Ive wantid since I was a wee boy Eh eh maybe for aboot twenty-five year or somethn I’ve wanted this guitar and um in  my pal’s bought it for us for my thirtieth birthy in of my pal’s on about a money and he thought ke wat I’m just going to bae that guitar for him and that’s what he did surpraised is wee it and I couldnat believe myt is Eh and if my hoose was bunn and doing that’s the one thing I would run back ind and get would be that guitar it’s beautiful it plays amazing and I’s got a lot of cent of mental value as well cause my pal bought it for is I
spontaneous-speech-sco-31069.mp3	I’m proud of my weans See my kids they have done theirself proud and me proud They have rised above so many challenges in life and honestly it blows my mind because it’s no been easy Especially the education that they got Um they were up against a lot of different classes in life And to fit in and to pr-pretend that you’re this person that you’re no And they had to face that in life and that wasnae easy so I could not be more prouder than what I put my kids into and they taken it on board and um they have achieved so much	I’m proud o my wins see my cats they have done therself proud an me proud they have rised above so many challenges in life and honestly it blowese my mind because it’s no bein easy especially the education that they got Um they were up against a lot of different classes in life and to fitin and tote pretend that you’re this person that you’re know and they had to face that in life and that was no easy so I could not be more prouder than what I put my cats oun to and they takeng it on board and em they have achieved so much
spontaneous-speech-sco-31073.mp3	I lo- I worked in this hotel years ago and honestly it was amazing ‘cause I’m a people person and it was so life-giving Anyway the thing I really loved aboot it was you know you’re seeing people happy you’re making them feel good But th- the other side what I didnae like was people that you worked with the employees Some of them had these titles right and they would abuse it It was like power trippers and I would always challenge them ‘cause I would look oot for the young and the underdog And that’s the thing I really did not like the way people thought they could treat people because they had this power ‘cause of some status to their title of the job	I lot I workd ing this hotel years ago and honestly it was amazing becaus Ima people person and it was so life given anyway the thing I really loved aburt it was you know just seing people happy youand meet them feel good but the the other side what I dinna like was people that you wat to waod the employees some of them had these titles right and theye would abuse it it was like power trappers and awood d al w chalng things awold look it for the young and the under dog and that’s the thing I really did not like theye we people fought e to treat people because they had this power ‘cause you same states to the tipe of the job
spontaneous-speech-sco-31076.mp3	My favourite food is Minstrels so you dinna cook it but what you do is you tak yourself doon to the shop get a bag any of they bags that says “more to share” on it well it’s mair for me to stuff in my pus ‘cause I’ll no be sharing it with naebody So I get a big bag of them eh get a twa pinter of blue milk ‘cause you need to wash doon a’ that chocolate with milk coo’s milk it’s got to be coo’s milk and eh just get nice and comfy set up watching the TV whatever it is and just start battering your pus with a’ these Minstrels and eh dooning the milk basically So there’s no cooking but just maximum enjoyment	My favourite food is minstrols So you dinn a cook ut but what you do is you tak yoursel doun to the shop get a bag any of they bags tat says eh mor ashare on it well it’s mere for me to stuff ing my puss ‘caus I’ll kno be sharing that we need do So get a big bag of them eh get a twa pint or a blue milk ‘cause you need to wash o donof that choklete we milk Coose milks got be coose milk and eh just get nice and come fie set up watching the tve whatever it is and just start batter in your puss we are these minstrols andeh doining the milk besit ley So it’s no a cooking but just maximum enjoyment
spontaneous-speech-sco-31080.mp3	My favourite film’s Chicken Run and if you disagree with that then there’s something wrong with you ‘cause it’s quite clearly the best film in the world if you ask me Animated chickens I mean what else what else could you ask for that’s just fantastic it’s Aardman that do it so ken them that dae um Wallace and Grommit and eh it’s the struggle the strife and struggle of these chickens that are a’ cooped up and how they want to escape and- and have freedom and live their best lives and I just think it’s absolutely marvellous so yeah that’s my favourite	My favourite film’s chicken run and ive you disagree with that and there’s somethin non with you ‘cause it’s quite cleari the best film in the world iveyou asked me animate o chickens I mean what else what else could you ask for that’s just fantastic it’s artmon that do it So ken them that do um wollis on growm it and ehh it’s the struggle the strife and struggle it is chickens that are acoped up and how they want to escape and and have freedom and love their best lives and I just think it’s absolutely marveleus So eh that’s my favourite
spontaneous-speech-sco-31124.mp3	Best- that’s a good question how do I try and save money the best way for me to try and save money is to no go to Starbucks so my pal got us recently well last year a couple of year ago maybe into coffee I’ve never bothered aboot coffee I would just waken up in the morning and that’d be me didnae need a kick of energy or nothing like that he got us into the iced coffee and eh that’s been me hooked absolutely hooked and so it was Starbucks is what he introduced to us and that’s where I’ve been going and that’s where I’ve been spending a’ my money So to save millions of pounds I just dinna bother going to Starbucks anymair	Bish that’s a good question how do I trying save money the best wife or me o trying o save money is to no go to starbox So my pal got as recently well last year a coupl of year ago mabe int to coffee e’ving ever bathered o boot coffee I wos just waking up in the morning and that od bee mee didna need a a kickof energy or nothing like that he got as intof the icet coffee and eh that’s bein me hooked absolutely hooked and so I was starbox is what ho intreduced u tois and that’s wheye I’ve been going and that’s wheye ’ve been spending o my money So I save millions of pounds I just in a batherr going to starbox anymer
spontaneous-speech-sco-31127.mp3	One thing I wish I’d done that I’ve no done yet but I definitely will do is eh go to Prince’s hoose Prince is my favourite singer and his hoose is in Minnesota in America and eh you could- you could bide in- he had the film Purple Rain and you could bide in the hoose that was in Purple Rain and then go to his actual hoose where he bed and eh you get a big aboot three or four hour tour eh which would be immense and then just be fully immersed in a’ the Prince stuff for the day that would be- that would be dreamboats	one thing I wish had done that I’ve no done yet but I deferently wel day is eh goto princes house princees my favourite singer and his houses in minnesota in america and e you could you could buid in he he had the film purple rein and you could bid in the house it was in purple rein and then go to his actual house were he bid and e you get big boot three or four hour toor eh wich would be immense and then just be fully imerse an a the prince sdtuff of the day that would be that would be dreamboats
