audio_file	reference	hypothesis
spontaneous-speech-hch-31312.mp3	Ne nemaama tukaarieya mayéʼa ʼaixɨ nepɨrekaʼerietɨya nepenekatemaawíetɨya haitɨari paɨ mepɨkateʼuhukai ʼariké ke ri ʼiikɨ kiekari ya ʼaneme pɨtiʼatɨa hiikɨ ya tepɨteʼuhu hiikɨ tukaari tepuweewíxime Paɨ xeikɨ́a	Ne nemama tukari emayaʼa ʼaixɨ nepɨreka ʼerietia nepenekateemawiatɨya ne haitɨa ri mpameɨkateeuhukai ʼarikeikeri ʼikɨ kiakariyaʼa nemepɨtiʼatɨa hikɨ ya tepeeuhuhikɨ tukari tepuweewixɨ pɨxɨ
spontaneous-speech-hch-31313.mp3	Ne xewítɨ nemaré pɨtitiweewiwakai tuupiíte ʼɨɨrɨɨ́te pɨtitiweewiwakai mɨɨkɨ kɨmaana pɨtikumɨnékai mɨpaɨ pɨtikuhariupanekai	Nexewitɨ nemare titiweewiwakai tsuupite ʼurute tititiweewiwakai mɨkɨ kɨmana tikumɨnekai mupɨ ti ti pwaiti tikuariupaneka
spontaneous-speech-hch-31314.mp3	Ne neteukari pɨnetsiʼukahauxi mɨpaɨ waníu tiuheinɨka tiutahɨawarieka ˀayumieme Xaureme pɨnetiuterɨwáxɨ waníu nemɨkatikuuyenikɨ waníu ʼaixɨ nereuʼeríetɨ nemuyeikanikɨ	Neeneteeukaari wɨnetsiwɨkaauxi mɨpaɨ waniu tiuheinɨka tiutaaɨ wariekɨra ʼaimeme xaurememenetiteerɨaxɨ waniu emɨkatikuyenikɨwaneu ʼari nereuʼerietɨne nemuuyeikaanikɨ
spontaneous-speech-hch-31315.mp3	Ne ʼikwai pɨnetsinake nekie timieme ʼaixɨ mɨɨkɨ pɨtiwaɨriya nekie mɨrexuawe naakarite kéʼuxate keri mɨɨkɨ ʼaixɨ pɨreuʼerieka paɨ petikwatɨ́	Neʼikwaipi netsinake nekietimieme ʼaixɨ mɨkɨ tiwaɨriya nekiemerexuawe nakarite kieʼuua te keri mɨkɨ ʼaixɨ prewʼerieka paɨpetikwatɨ
spontaneous-speech-hch-31316.mp3	ʼUuwa pɨkatixuawe eh takie timieme ʼuuwa tepɨtehayeʼeriwa eh te... te... te... te... paapá ʼik... ʼik... ʼik... ʼikú paapayari mɨɨkɨ te... tepayeʼeríetɨkɨka pero ʼuuwa eh pɨkatixuawe ʼuuwa pɨtiumawe Paɨ xeikɨ́a ejem	ʼuapɨkatixuawea takie timíeme uua p tepayeʼeriwa etetepapa ʼikupapayari mɨkɨte tepayeʼerietɨkɨkapexu ʼua e katixuawe ʼua tiumawe paɨxei
spontaneous-speech-hch-31317.mp3	Hɨ tepɨkatemate teiwari mɨtiweewie eh mɨɨkɨ taweewiya rixɨ́a tepɨteʼakumaté eh ne nepɨtimate ʼetsiwa ʼɨpari nemutaweewíeni nepɨyɨwe y luego kuuka nemutatsaaní nepɨyɨwe Paɨ xeikɨ́a ejem	wu tepɨkatemate teiwari mɨtiweewie mɨkɨ taweewie ɨrixɨ tepɨteakumatee ne nepɨtimateetsiwa ɨpaari nemutaweewie newyɨweti ixuau puka nemutatsaaninewyɨwe pɨɨxei
spontaneous-speech-hch-31318.mp3	Mɨɨkɨ nepaapa pɨneutiutiʼɨkitɨa wátsiya ke mɨtiwátsitɨre ke mɨtiweewiwa ʼɨpari mɨɨkɨ pɨnetiutiʼɨkitɨa nemɨtimaatenikɨ ta waníu ne mɨpaɨ	mɨɨkɨ nepapa winetiutiʼɨkitɨa watsiya kiemtiwatsitɨre kemɨtiweewiiwa ʼɨpari mɨɨkɨ winetiutiʼɨkitɨa nemɨptimatenikɨ tawanune mɨpɨ
spontaneous-speech-hch-31319.mp3	Xɨari ri tepɨkateʼayexeiyani ʼaana hipátɨ mepɨtehatɨtɨmaiya ri ʼipaɨ waʼaátɨ pɨreuyewexime ri takiekari paɨ xepɨkaʼaneni hiikɨ tɨɨrí xemunúnuiwa xetenayexeiyani Paɨ xeikɨ́a	xɨaririi tepɨkateayexeiane ʼaana hipátɨ mepɨtatutɨmaiari paɨ uʼatɨ reuyeweximeritakiakari paɨxɨ pɨkaaneene hikɨ tɨrixemenunuiwa e tenayexeiane paɨxei
spontaneous-speech-hch-31320.mp3	Ne nemanukatsie naitɨ pɨrexuawe naitɨ pɨretuiya yekwá haxi keʼuxa weuráixi mepetuiya tixaɨ pɨkareuyewetsé	Ne nemankatsie naitɨpɨrexua we naitɨ pɨretuiya yakwa haxi kieʼuuxa wauraixɨ mepeetuiya pixɨxepɨka reuyewetse
spontaneous-speech-hch-31321.mp3	Méripai tɨ tihaɨtɨriyaame pumawekai hiikɨ ri pɨxuawe muuwa pemɨtiʼatiʼɨnieni pɨyɨwe tihaɨtɨme pemɨtikwaká pepɨtiʼaxeeriríeka hiikɨ naitɨ pɨtixuawe	Méripaitɨ teautɨriyamepumawékai ʼiikɨripɨxua we mua wemɨtipwatiʼunieneweyuwe teeutɨme pemɨtikwaka pepɨtiʼaxeririeka ʼikɨ naite pɨtixua
spontaneous-speech-hch-31322.mp3	Ne méripai tɨ nepɨtikuʼeriwákai nepɨtinetaʼɨ́kitɨanikekai pero nepɨkaʼuyɨwekaxɨa maana nepaapa tumiini pɨkaʼuyemanakai 'ayumieme ri nepɨkatiunetaʼɨ́kitɨa Mɨpaɨ xeikɨ́a	nemeripaitɨ neppɨtikuʼeriwaakai nepɨtineta ʼuɨkitɨ́a nikiakai pexu neppɨkaʼuyiuwekaxɨa maana nepapa tumi nepɨkawayemanakai ʼaimiemeri nepɨkatiunetaʼɨkitɨa mɨpaɨxeika
spontaneous-speech-hch-31323.mp3	Mɨɨkɨ puyupápatutɨani mmm maxa xeeníu mɨɨkɨ pemɨti... pemɨtiweiyawenikɨ ʼeetsiwa ʼipaɨ pemɨrakumaikákɨ pemɨtiheinɨwenikɨ mɨpaɨ	mɨkɨ pɨyupapátutɨani maxaxeniu mɨkɨ pe et pemɨtiweyyawenekɨ hetsuai pɨɨ pemɨnaakumaikaakɨ pemɨteinuwenikɨ mɨpa
spontaneous-speech-hch-31324.mp3	Waɨríyarika ʼuuximayátsika pukaxeiya teiwaritɨ́a eh xapáte pɨtiyukuʼíwawa ʼɨ́kiyate mɨɨkɨ ʼaana ke ri eh ʼaana ʼuuximayátsika pepɨxatɨ́arieni pepɨtitaʼiiwa	waɨrieri ka ʼuuximayatsika pukaxeiya Teiwaritɨa xapatii teukuʼiwawa ʼɨkiyate mɨkɨ ʼana keeriʼana uximayatsika pepɨxatɨariene pɨtita ʼiiwa
spontaneous-speech-hch-31325.mp3	Ne kémari nepunanai tetɨ́ata mieme eh nepɨkaʼuyewékai eh hiikɨ ne... nepunenanaíri ke ri ʼariké ke hiikɨ ne... nepuyewe ʼaixɨ nepɨreukupiine hiikɨ Paɨ xeikɨ́a	nekema ri nepunanaitatɨatamíeme ri nepɨkauyeweakai iikɨ ne nepuneenanairikeri ʼarikeike ikɨ ne nepuyeweʼaxi nepɨreukupiineikɨ paɨxei
