audio_file	reference	hypothesis
spontaneous-speech-tob-34711.mp3	Da laqtaxanaxaq so huau qalquionecpi eta Ietaqta ndoteq añaxaicpi qaica qa ivecteq qaiqa ca saha'non ndoteq da lasapachaxa na naa' cahuataguet na n'te nache uxute nottesheguem nañamaxateq ihehiamaxatiguiñe na loquianaxate l'cheqneq enauaq na lentaxanaqte caiqa ca l'lia cailaque ndoteq ualeq na nenaxa shiguiaqpiolec cataq napaxaguena na da huoo' qa adaqtq ioctaha da ahesa unoleq so laqtaca so qaitataleq ipaqchegue cata huoo' na canchiguiñe nache vanhuachegue camachaqatee' na nollecolec ca eca canclaxachegue cam machiguiñe lamaeeq so naa' caica so canbane so laceguee' ca la maeeq huoo'	Aa aqtanac so huau qaquedoxonecpi eda' itaqta ndotec añaxaicpi qaica cueñiuettac qaica ceeta sanon ndotec rda lasapachaxa huo yena aiata'aguet na nte nache oxote notta sheguem na iamaxatac iamatrapiguiñ na loquiaxanaqa'te lcheuenec enauac n mo'onataxana piolec qaica ca llaqailaique ndotec n hualec na n'onaxa siguacpiolec qataq napaxaguna na da huo'o  ca'adaqtac nachi iqta'aesa onolec laqtac soqaiatatalec nache ipacchigui qata huo'o naqaiachiguiñi nach qanaxaachigui qamachaqcata' qaiachiguiñi nana lecolec qaqa qancolaxat chigui qaqmachiguiñi huo ra na maic sena qaca saqanauo n'ca lasheuoli alaxaye renamag ta'arac huo
spontaneous-speech-tob-34712.mp3	Yem ima' hua'auchiguiñi le'enaxat Chaco yem eye ima' Chaco iaqaqta qaialoqta ra napo huo'o naxa ra nvi' ne'ena napo iapagaq qataq ra huotaique auot nache iataqta anac ne'ena napo igo'pe ra aulota'aguet cha'aye napalñi ne'ena napo	Aemma' hua auchiguiñi l le'enaxatchaco yem eye ima'chaco iataqta qaialoqqta' ra napo huo'o naxa da nvi' ne'ena napo iapaga qataq da huotaique auot nache iataqta anac ne'ena napo ico'oppe da auolota'aguet cha'aye napalñ ne'ena napoA
spontaneous-speech-tob-34713.mp3	Na ilogue nam chaalataxac nache na huo'o ra nateteguet nam nauochaxaua nache huo'o ana lqataco ra am enega enac iataqta qaica ca l-lla auacona ra ana paxaguetac auo'onaxan mashe am qaiachaxatega se'eso no'on nqaic ye na'aq auaiamaxatec ca napaxaguenataxanaxac so qarataxala'	Aa ilo'oguenam chalataxac nache na huo da nateiteguet na anuochaxaua mache hueena lqataxaco da'amenega enac itaqta mqai ca ca lla auocon' da napaxagueta' auonaxan mashe amqaiachaxatega seso no'on nqa'aic ya'ana' aua iamaxatte ca lapaenataaxanac so arataxala'A
spontaneous-speech-tob-34714.mp3	Aiem iataqta lta'araic ra ñaquitaxac cha'aye nam ena qatataxala'pi huo'o ra la'aqtac ra huo'o que'eca ltaunaxanaxac ra que'eca qaica ca lo'onatac nache huo'o que'eca anacta no'onataxanaxac nam ena enauac na shigaxauapi qaica ca lo'onatac nache huo'o ca lo'onatac	Aiem iataqta lta'araic y da ñaquitaxac cha'aye namena qarataxalapi huo da la'aqtac ra huo'o  queca ltaunaxanaxacc da que'eca qaica ca l'onatac nache huo'o  que'eca anacta no'onataxanaxac namenenauac na shiiaxuapi qaica ca lo'oatac nache huo'o ca lo'onatacA
spontaneous-speech-tob-34715.mp3	Dam i'ot da nqochoxo da chalataxac da cam qadqaya da selaqa'a nache huo'o da nqochoxo cha'aye sa selaqa'a nache ñiqonaxa nimitaxaique qadañiuanaxaic da qaica ca machacqa nache huo'o de'eda qadamaic huo'o da machiguiñi da shenaqta cha'aye no'oita cam eca qadqaya i'ott da qadqochoxo	Aam i'ot da nqochoxo da chalataxac da camqarqaia rasaselaqa'a nache uo'o ra mqarqochoxo cha'aye saselaqa'a nache ñiqonaxa ñimitaxaique qaq ra ñauanaxai da qaica ca machaqca nache huo'o de'eda qaramaicc huo'o da machiguiñi da shenaqta cha'aye no'oita cam eca qarqaia io'ot ra qarqochoxo
spontaneous-speech-tob-34716.mp3	Souaxat da ivita da ýaguec so ñitonaxac da ñauane' so ýaqaýañicp enauac se'eso huetaña so laponaxac nache huo'o na qaioqtegue da sa ñauane' qaq iviteega se'eso laponaxac nache ñauane' enauac na ýaqaýañicpi machiguiñi	Aoaxat da ivita ra iaiec se ntonaxac ra ñuane' so ixaianecpi enauac se'souetaña so laponaxac nache huo na qaioqte ra s ñauane' qa'arivitega seso laponaxac che ñauaneenaxa ixainpi qanche i machiguiñicA
spontaneous-speech-tob-34717.mp3	Aýem da selo'ogue da ýioguiaxac nache sa ishet da camachaqca sachec ndotec da sachec nam ne'ena no'oita nallec sa ishet da ýaguec que'eca toue qataq ne'ena nallec qaica ca ýataqta huetaigui ne'ena l'cheta	Aýem da selo'ogue da io'oguiaxac nache saishet da camachaqca sachec dotec da sacheu na ena no'oita nallec saishet daiague que'ecatoue qataq ne'ena nalc qaica ca iataqta huetaiguene na lchetaA
spontaneous-speech-tob-34718.mp3	Aja' anam paxaguenaxaquipi eesa iotta'at na na'aqtacpi huo'o ana pilagá qom wichí guaraní nam huapiguiñalo nam souaqta'	Aa' ada mpagu naquipi esa iotta'a na naqtecpi huo'o na pilaga qom viche hhuoarani namuapiguiñalo na msouaqta'A
spontaneous-speech-tob-34719.mp3	Hua' yim 'ima' da huo'o que'eca shiýaxaua ileetapigui' sa no'oilec nache qaidoua cam eca shiýaxaua natannaxanaq nache pa'aiguet da 'yahuo'o ca lata eda dam eda yim qadma' saq ýit da huo'o ca shiýaxaua sa no'on nache qaýiaxana que'eca natannaxanaq	Aua' imima' a huo'o  queca shiaxaua iletapigui sa noilecc nache qairou'a cam eca shiaxaua natannaxanaq nache pa'aiguet daiahuo'o cam lata' era rdamerda yemqarma' saxai da huo ca shiiaxaua sa no'o nache qaiaxana que'eca natannaxanaq
spontaneous-speech-tob-34720.mp3	Naua i'aqtaqa qom l'aqtaqa chegaqaiguilo soua iquerodoxonqa qataq so iapi qaq naugui nas ñauanaxaic na doqshe l'aqtaqa nataq'en chita'ague ñapaxaguetegalo	Aaua iaqtaqa qom laqtaqa chiqailo so icoroxonaqa ataq so iapi qaq nayi na ñauanaxa na doqse laqtaqa nataqen cheta'ague da ñapaxaguetegaloA
spontaneous-speech-tob-34721.mp3	Sa'amaqten da oonolec da lo'ogoýaxac na piguem qaica ca l-lla	A sa'amaqten da onolec da lviac na piguem qaica ca liaA
spontaneous-speech-tob-34722.mp3	Aiem ra io'ot ca ilagaxayec qataq samachiguiñi ra huo'o na io'onatac yo'oqchigui so'onataxatac cha'aye re'era ionataxanaxac ñaquittaguet ra huo'o ca saconguet anoq lasheue	Aýem da io'ot ca ilagaxayec qataq samachiguiñi da huo na i'onatac yoqchigui so'onataxatac cha'aye reeda ionataxanaxac ñaquitta'ague da huo ca saconguet a noq lasheueA
spontaneous-speech-tob-34723.mp3	Qomye aiem lta'araic ra ñaquitaxac na nactrauo vi'iye cha'aye anaqta na qalota ona onatacpi	Aomyeaiem ltaraic da ñaquitaxac na na rauo viishe cha'aye anata na qalota onaonata'api
spontaneous-speech-tob-34724.mp3	Aýem da huo'o cam iqataxat taia cam eca ñauochaxaua da qoýoqta ca hueta'a nache onaxaic da ýaýamaxaañi ca luennataxa	Aiem da huo'o  cam ñiqataxac taia  cameca ñauochaxaua ra qoioqta ca hueta'a nache onaxaic ra iaiamaxañi ca luennataxaA
spontaneous-speech-tob-34725.mp3	Aiem iataqta ram era lapaxaguenataxanaxac aso iate'e ra auque'e ishet ra hua'auñi ra auioi na arhuaxaye era lapaxaguenataxanaxac	Aiem iataqta damera lapaxaguenataxanac ca so iate'e a auque ishet da huo'auñi da aioina arhuaxa'aye ira da lapaxaguenataxanacA
spontaneous-speech-tob-34726.mp3	Se'eso na'a'q ýoqta yiqopita da so'onataxaatapigui som n'omaxa taq so l-lla eeta' latomaxa cha'aye qalota na ishet da au'ot na maiche yi'oqchihui ad'onatacpi	Aeo a ioqta oqopita ra sonataxata piue so nomaxa taq sa yata latomaxa cha'aye qalota na ishet da auot nmiche oqchigu aronatacpiA
spontaneous-speech-tob-34727.mp3	Comi na natannaxanaxapi comi huetaielo nache huetaie ñe aviac qaq naye da ñahuanaxa na doqshec nataqaen saxaua ñe natannaxaqui	Aomi na natanaxanatpi qoiueta ailo nache huetaaie na iaq qaq naiet da ñau'onaxa na mroqshe nataq en saxauañe natannaxaqui
spontaneous-speech-tob-34728.mp3	Na lyia naqtahuo ñeñiamaqtaxaguet cha aye ñecoñaca na ioquiaxaneqpi maye qaiotta ye hueteña Ñamaqtec	Aa lla n'aq natauo iaiamaxat ta'aguet chaye ñiqona ca iqaiañicpi maye qoioqta ye vueta'a ñamaqtacA
spontaneous-speech-tob-34731.mp3	Sa'amaqten ra onolec re'era lviaxac na piguem cha' huo'o ra qaioqtache ra nvi' so nala' laco'oña	Aamaqten da onolec ne'na loguiaxac na piguem cha' huo da aiottache da nvieso na la lacoñaA
spontaneous-speech-tob-34735.mp3	Se eso nalleq da saishet da collec nache eso cayo lapat cha aye huoo na lalegue nache ishet naqchet	Aeso nalec a saishet raiaguec da na qolec che'so ca iolapat ha'aye huo'o na lalague nache ishe ra mnaqchetA
spontaneous-speech-tob-34746.mp3	Cam eca shiguiac ishet da nlo ishet da pioqolec qataq que'ecatai elec llalec	Aameca shiguiac ishet ra nlo ishet da pioqolec qataq que'ecatae ele' lalec
spontaneous-speech-tob-34759.mp3	Enac da napaxaguenataxanaxac iuen da auioi' na adhuaxa'ye da aumat dam ad'onataxanaxac	Aac da napaenataxanac iuen da aui na alhuaxaye da amat ram aro'onataxanaxacA
spontaneous-speech-tob-34763.mp3	Yi imaa' da huoo' ca shiaxauapi da iletapigue huoo ca ilohogue cam iaiaten na nata'	A ma da huo'o ca shiaua iletapigui huoo ca ilogue cam iaiaqten na nataA
spontaneous-speech-tob-34770.mp3	Aja' nache eetec qomye yoqopita	Aja' nacheetec qomyeq yoqopitaA
