audio_file	reference	hypothesis
spontaneous-speech-meh-29383.mp3	Suu jiani ni a kue'e tuni tiñu sa'a daja de jini ñuu daja jɨn... ñivɨ sa tyinei daja axin na'in xu'un sava ke'en daja na'in a ɨjɨn na'in tata jini ñu'un daja yukuan kuvi a taji daja nuu ñu'un jen nuu kue'e a yaji daja Tyi jɨn... Iyo suku vi daja satiñu da jen ntuvi... ntuvi xu'un daa jen ntu kunei daja sa'a kue'e daja Itu ntu kunei da kaka kue'e daja Na tata ka... na tata kafe daa ɨjɨn... tikuitɨ daa nutyi suu kuvi daa sa'a daa maa tun ju Ntuvi xu'un jen ntu kuvi sa'a kue'e daa ma jen sava Suni kuaan sama iyo nuu ñu'un daa jen iyo kukue'e Savi kuun kukue'e tatyi kukue'e jen xinɨ'ɨ tuku a satiñu daja suu suu a maña'nu ka'vi maa xu'un de a iyo xu'un de sia'un nuu daa e tyinei daa tyinei xu'un a daa sava ɨjɨn... kaka kue'e daja itu daa suun nti'vɨ sava su kinoo tan yaku ka kuvi ni daja niñɨ kaji daa tyi suu maa... maa nuu ni vi a kuvi a jini ñu'un da je da nutyi va daa A yukuan vi a jini ñu'un da tun iyo nuni iyo nutyi iyo yɨkɨn iyo e suu de daja kuteku daja kua'an nee daja nuu nee daja katyi o suu da yukuan kuvi a jini ñu'un jin suu tyu yukuatyi tu iyo xu'un jen tyunaa daja ñivɨ tyinei da jen kukue'e tiñu sa'a daja	Suu jianini ni a kue'e tuni tiñu sa'a daja de jini ñu'un dajajɨn ñivɨ sa tyinei daja axin na'iin xu'un sava ke'en daja na'iin aɨjn na' iin tata jini ñu'un daja jen yukuan kuvi a taji daja nuu ñu'un jen nuu kue'e a yaji daja tyijɨn iyo su kuvi daja satiñu daj jen ntuvi ntuvi xu'un daja jen ntu kunei daja sa'a kue'e dajaɨ itu ntu kunei daja kakɨn kue'e daja j natata ka da tata ɨjɨ kafe daɨjɨn tikuitɨ daa nutyi suu kuvi daja sa'a daja maa tunjɨn ntuvi xu'un jen ntu kuvi sa'a kue'e daja majan jen sɨɨn va suni kua'an sama iyo nuu ñu'un ya'a jen iyo kukue'e savi ku kukue'e j tatyi kukue'e jen xinɨ'ɨ tuku ajn satiñu daja so ɨjɨn suu a maa ña'nu ka vi maa xu'un di a iyo xu'un de sia'a o nuu daja tyinei daja tyinei xu'un vuan daja sava ɨjɨn kakɨn kue'e daja itu daja jen ɨ suu ntivɨ sa va su kintoo tan yaku ka kuvi ni'i daja niñɨ kaji daja tyi su 'maa maa nuni vi a kuvi a jini ñu'un daja jin daja nutyi yukuaan da da yukuan vi a jini ñu'un daja tun iyo nuni iyo nutyi iyo yɨkɨn iyo jen suu nee daja kuteku daja va a jɨn nee daja nuu nee daja katyi o see su da yukuan kuvi a jini ñu'u  jin suu su yukuan tyi tun iyo xu'un jen tyunaa daja ñivɨ tyinei daja jen kukue'e tiñu sa'a daja
spontaneous-speech-meh-29384.mp3	Ah... sa'a dani kuvi a tun iyo iin tuno'o jen su tee nee tiñu kuvi a... ah... kɨ'ɨn ityi nuu ne'ya ja nasa... va sa'a ja sava jɨn... na ne'e jen yujin ya'a tun iin tuno'o kuvi ji Tun iin tuno'o numi ni kuvi ji Tee nee tiñu kuvi da ɨjɨn yoso ityi nuu detun a kuvi tyinei... ñivɨ sɨɨn ñuu de suu... Kua'an tyinei soma ɨjɨn... suu tun na naa kuvi majan na iin tuno'o kuvi ji tun iin tuno'o ña'ni ta'an axin a... ɨjɨn nkani ta'an vi ji suu tee nee tiñu kuvi a a sa'a... tava yujin a detun iin a jɨn... a... ni'i nee kuvi ji nee maa jan suu ɨjɨn... ñivɨ satatan kuvi a kutu'va kua'an je na nee je maa sava kɨ'ɨn jɨn nuu kutatan jan yukuan nasaa kuaa iyo maa yujin jen yukuan iyo ñivɨ... jɨn... nee sikɨ majan	A sa'a vani kuvi a tun iyo iin tuno'o jen sute netiñu kuvi a ajɨn kɨɨn ityi nuu ne'ya ja nasa nasa va sa'a ja sava j nane'e jen yujin ya'a tun iin tuno'o kuvi ji tun iin tuno'o numi kuvi ji te netiñu kuvi daɨ yoso ityi nuu de tun a kuvi tyinei ñivɨ sɨɨn ñuu de su kua'an ja tyineei somaj su tun nana kuvi maa ja na iin tuno'o kuvi ji tun ni tuno'o ña'ani ta'an axin ajn nkani ta'an vi sute netiñu kuvi a a sa'a ta va yujin ya'a de tun iin ajɨn a ni'i nee kivi j sekuenta nii nee maa jan su jɨn ñivɨ sa tatan kuvi a kutu'va kua'an jen nane'e majan sa va kɨ'ɨn jɨ nuu kutata ja yukuan nasa kua iyo maa yujin jen yukuan iyo ñivɨ jɨneesikɨ maajan
spontaneous-speech-meh-29386.mp3	Suu jɨn... jianini ni kuvi a va'a tyi a iyo iyo ñu'un iyo ityi iyo nuu kutatan ñivɨ iyo ve'i kutatan ñivɨ iyo jɨn... kue'e nu iyo... kaa nkanta iyo ñuu ya'a jen suva'a iyo ve'i tyi tyinei yɨ jɨn Tyi kaan o vitan na nkuvi de ntuvi ñu'un Tee yoo tanu'u Iyo ñu'un ve'i yoo jen nkaa o tyi niyo maa Jin suvi ji vi a tyinei da na'i a tiñu sa'a o jen kun tɨɨn nuu ve suni tyinei jitu iin kaa viji jini ñu'un ñuu jen suu tyinei jen sa suu... jianini ni a va'a iyo kuva'a iyo nuu nuu da a... a kumani a... kumani ñuu su vitan tyi ankanta ja iyo jen ya'a sukuan kunini	Suu a jianini ni kuvi a va'a tyi a iyo iyo ñu'un iyo ityi iyo iyo nuu kutatan ñivɨ iyo ve'i kutata ñivɨ Iyo kue'e nuu iyo kankanta iyo ñuu ya'a jen su va'a iyo jo tyi tyineiji tyi nkaan on vitan na nkuvi de ntuvi ñu'u ve'i o tanuu o  iyo ñu'un ve'i o jen nkaan on tyi ni'i o majan Tisuvi vi a tyinei na'iin a tiñu sa'a o jen ktuun nuu o de suni tyineiji tuun iin kaa vi ji jini ñu'un ñu'un jen suni tyineiji jen saa su jia nini ni a va'a iyo jo va'a iyo nuunuu daɨ a a kumani a kumani ñuu ya'a su vitan tyi a nkantaja iyo o jen va'a sukuan kuni ni
spontaneous-speech-meh-29387.mp3	Ajɨn... Kaa niyo jɨn... ityi a na'a kava nsa'a daja kue'e nantiñu ɨjɨn maa vii nsa'a daja tyi niyo ñivɨ jɨn axin iyo taka vitan nakuvi ntu jini va'a ni soma ɨjɨn... niyo da nsa'a ñunu jen nsa'a jɨn... da yutun ñantiñu da jin xinikɨ daja Sava nsatiñu daja Jen ti... ɨjɨn... a ka'an o tu'un stila arado jin yugo jin na nanika yutun ñan... ñantiñu jiantiñu jin xinikɨ ɨjɨn... nsa'a maa ñivɨ maa ja Da jɨn na ya'vi va suu ñe'e da maa ntava da naa sava nsa'a daja da... ɨjɨn... ñunu daja nika jin da jen a vii ka iyo ntañu'un Kuvi da iin xixi kunu tyi sa'a maa daja isa daja jen sa'a da so'o da sa'a daja Nijin daa tyi maa jen kuatyi... ɨjɨn... iyo jen nijin da maa nuu vijin	A A niyo jɨn tyi a na'a ka va nsa'a daja kue'e nantiñu ɨjɨn maa vii nsa'a daja tyi niyo ñivɨ jɨn axin iyo da ka vita na kuvi ntu jini va'a ni soma ɨjɨn niyo daja nsa'a ñunu da nsa'a jɨn da yutun ñantiñu daja jin xinikɨ daja sava nsatiñu daja jintijɨn a ka'an o tu'un stila arado jin ɨn yuko jin nanani ka daa yutun a ñantiñu jiantiñu jin xinikɨ ɨjɨn nsa'a maa ñivɨ majan da jɨn na'a yavi kuan su ñie'ne daja maa jen tava daja naa sava nsa'a daja da jɨn ñunu daja nika jin daja jin a vii ka iyo ntañu'un kuvi daa xixii kunu tyi sa'a maa daja isa daja jen sa'a daja soo daja sa'a daja niji daja tyi maajen kua'a tyi jɨn iyo jen niji daja maan nuu vijin
spontaneous-speech-meh-29388.mp3	Nsikɨ ni na na yuu na yutun na na'a yutun nitakaa ni Ntuvi niyo iin maa sikɨ ni sukuan kuaiyo vitan tyi ke'en daja kuya'vi a sikɨ de vitan... de da sa ña'nu ni tyi ma a ña'nu ni vitan jen ɨjiɨn suni nitakaa ni na'a yutun ɨjɨn maa nta'an ka ini ni sikɨ ni kuvi palatiyu kaan dani iin a sikɨ dani yutun vi ji jiani daja majan jen tyiso nijin daja inka yutun sikɨ jɨ jen kaan da yavi sava sava yutun yukuan yoso xini yutun iñɨ nityi ɨjɨn yoso dani xini i... iyo yo xini ah yutun yoso nijin yukuan jen jiko tiyo dani jiko tiyo dani va nee vii vii maa va'a vi yukuan nuu ni maa vii nkuvi ɨjɨn A nsikɨ ni yukuan	Nsikɨ ni na nayuu na yutun na na'a yutun nitakaa ni Ntuvi niyo iin maa sikɨ ni sukuan kua'a iyo vitan tyi vitanke'en daja kuya'vi a sikɨ o dvtan de da sa ña'nu ni tyi maa a ña'nu ni vitan jen jɨn Su nitakaa ni na'a yutun ɨjɨ maa nta'an ka ini ni sikɨ ni kuvi palatiyu ka'an dani iin a sikɨ dani yutun viji jiani daja maa jen tyiso nijin daja inka yutun sikɨ jen ka'an daa yavi jen sava sava yutun ñuu kuan yoso xini yutun ñi nityi jen ɨj yoso dani xini iiin iyo iyo xini a yutun yoso nijin  kuaan jen jiko tiyu dani jiko tiyu dani va ne vi vi maa va'a vii kuaan nuu ni maa vii nkuvi jɨ a nsikɨ ni yukuan
spontaneous-speech-meh-29389.mp3	A taji tata ta taji dani kuvi mm... itu itu jiin je jie'e itu vaxi itu va jiɨkɨn dani nu... nutyi sava kene nityi yute a yaji dani axin jijiaa je nake da maa tyukuan dani ku viji ɨjɨn da yaji dani ya ikuee dani da natyi suni ɨjɨn yɨkɨn Taji dani tiɨkɨn sava kene yɨkɨn Taji dani ɨjɨn nutyi lava tikuitɨ vi tata yukuan vi da tata kene nuu nee dani ya'a Tyi na iyo ka na tata ɨjɨn sɨɨn kiji kene yatyi Da yukuan ni kuvi da tata kene nuu viji ya'a	A taji da tata taji dani kuvi jn itu itu jin jen jie'e itu kua xiin itu uan jiakɨn dani nuu nutyi sa va kene nityi yute yaji dani axin jijia jen nake'en dani matyu va'a dani kuviji ɨjɨn a yaji dani yai kuee dani da natyi Suniɨ yɨkɨn taji dani tiɨkɨn sa va kene yɨkɨn Taji dani  nutyi lava tikuitɨ vi a da yukuan vi da tata kene nuu nee dani ya'a Tyi na iyo ka natata j sɨɨn kiji kene yatyi da yukuan ni kuvi da tata kene nuu vijin ya'a
spontaneous-speech-meh-29390.mp3	Suu a kaji da yɨkɨn kuvi a sa'a o tyityiyo da yɨkɨn yute da naña yute da... jɨn... Naiin titɨ vixin naiin a vita de sa'a o tyityiyo jen... ɨjɨn tyu'un in ñejin luli de sia'a o nuu da kuatyi tun maa kuatyi vi de maa yɨkɨn vi detun a kuaan kue'e nuu kutyi... ɨjɨn suni saa ni sa'a o jen so sia'a o da titɨ vixin yukuan kaji i ɨjɨn nakete noo yukuan tyu'un o nuu iin ñejin luli jen yukuan Kunee kaji a ini ñejin a ini ko'o nasa kuaa kuvi maa a sia'a o nuu ju Suu jɨn... sukuan de ko'o va'a sava ntɨɨn kue'i maa ja	Suu a kaji da yɨkɨn  kuvi a sa'a o tyityi'yoo da yɨkɨn yute da na ña yute daɨn na iin titɨ vixin na iin a vita de sa'a o tyityi'yo o jen ɨjɨn tyu'un ini iin ñɨjin luli de sia'a o nuu da kuatyi tun maa kuatyi vi d maa yɨkɨn viji de tun a kuan kue'nu jn tyi ɨjɨn suni saa ni sa'a o jin so sia'a o da titɨ vixin yukuan kaji ji jɨn nakete nuo yukuan jen tyu'un nuu iin ñejin luli jen yukuan kunee kaji'a ini ñɨjin a ini ko'o na sa kua kuvi maa a sia'a o nuu jun soj sukuan de koo va'a a sa va ntɨɨn kue'i majan
spontaneous-speech-meh-29391.mp3	M iyo kue'e saa ñuu ni soma iyo saa a sivɨ katyi ki ni kue'e ke'in nuu saa iyo ñuu ni Iyo kuili iyo... saa tyii iyo sa...saa na'ma liyo a vii ka saa vi liyo yukuan tyi a tutu ju kuni o sa'a ja sa kanaji san... na'yu ju jen vii tyu'un jun tatyi ji ka'an ja kuaa to a kuaa tu'un a tutu kuaa tu'un a jita jen... Yukuan kuvi a saa vii so'o tun jini o iñɨ tyiji ku'u	Iyo kue'e saa ñuu ni somajɨ Iyo saa a sivɨ katyi kini suu kue'e ke'in nuu saa iyo ñuu ni Iyo kuili iyo saa tyii iyo saaɨ sa na'ma liyo a vii ka sa'a vi liyo o kuaa tyi a tutuju kuni on saaa sa kanajin sa na'yuju jen ɨj vii tyuju tatyi ji kuatua ka'an a kuatua kuatua tutu kuatu a jita jen j yukuan kuvi a sa'a vii so'oo tuun jini o ini o tyi ku'u
spontaneous-speech-meh-29392.mp3	Iyo tiñu sa'a da... da tee su... tiñu sa'a da tee kuvi a taji daja nuni... ɨɨ... sava jia'a ka da itu daja ɨjin... Su tiñu nuu ku'u kuvi a sa'a da maa tee ɨjɨn... Nee da xi'na katyi maa da tee ni satiñu nuu ku jen da ña'a a nkinoo vi'i de kuvita tyi a kua'an sakayu jin ntuvi ka ntuvi ka satiñu... nee nu'un tee je nee nu'un ña'an tyi nkajie'e daja sa'a da nuvi mmm nuvi nuu sa'a ntaka dani Nnn Sava tyinei ta'an daja	Iyo tiñu sa'a daja da tee suu tiñu sa'a da tee kuvi a taji daja nuuni sa va jiakɨn daja itu dajaɨ su tiñu nuu ku'u kuvi a sa'a da maa teeɨn nee da xi'na ka tyi jn maa da tee ni satiñu nuu ku'u jen da ña'an nkino ve'i deko vi tatyi a kua'an saka yu jin ntuvi ka ntuvi ka satiñu nenu'u tee jen nenu'u ña'a tyi nka jie'e daja sa'a daja nuvi nuvi nuu sa'a ntakaja ni Sa vatyi nei ta'an daja
spontaneous-speech-meh-29395.mp3	Suu kua'an da kene daja kua'an ke'en tiñu sa'a ke'en tyu'un ke'en ɨjɨn... nku kue'e ñɨvɨ kua'an nejika ne inka ka ñuu ne yata nute axin maa Ñuu Ko'yo ya'a soma ɨjɨn kua'an daja ne sikɨ da kuaan daja sava ɨjɨn... ni'i daja xu'un kuteku kuya'vi daja jen ɨjɨn... sa de teku ñɨvɨ ve'i daja ɨjɨn... kua'an vaji daja ne iyo da iyo kaa iyo daja kua'an ka sɨɨn su Sukuan kene daja kua'an	Suu kua'an daja kene daja kua'an jie'e tiñu sa'a jie'e tyu'un jie'eɨjɨn nkukue'e ñivɨ kua'an ne jika ne inka ka ñuu ne yata nute axin maa ñuu ko'yo yaa soma ɨjɨn kua'an daja ni sikɨ ka kua'an daja sa vaɨn ni'i daja xu'un kute kuya'vi daa jen jɨn sa de teku ñivɨ ve'i daja  jɨn kua'an vaji daja ni iyo daja iyo kaa iyo daja kua'an kaa sɨɨn so sukuan kene daja kua'an
