audio_file	reference	hypothesis
spontaneous-speech-ttj-59754.mp3	Abantu b'omu kiikaro kyaitu batunda ebirimwa byabo kutunga sente baliisa nk'ente embuzi empunu enkoko baihamu sente zaabo abandi basuubura ebintu ebitali bimu kwihamu sente abandi bakozesibwa omu makorro g'amajaani n'amasamba ha mpero y'okwezi basasurwa empeera yaabu	Abantu b'omu kiikaro kyaitu batunda ebirimo byabo kutunga sente baliisa nk'ente embuzi empunu enkoko baihamu sente zaabo abandi basuubura ebintu ebitali bimu kwihamu sente abandi bakozesebwa omu makorro g'amajaani n'amasamba ha mpero y'okwezi basasurwa empeera yabo
spontaneous-speech-ttj-59755.mp3	kirungi muno okuganikiza abaana baitu abato habwokuba enganikyo abaana beegeramu ebintu bingi abantu aba ira baakozesaaga enganikyo kandi baine amagezi maingi okuruga omu nganikyo ezi	Kirungi muno okuganikiza abaana baitu abato habwokuba enganikyo abaana beegeremu ebintu bingi abantu abaire abaakozesaaga enganikyo kandi baine amagezi maingi okuruga omu nganikyo ezo
spontaneous-speech-ttj-59758.mp3	Okutema emiti mu kicweka ky'owaitu kireeta empindahinduka y'obwire habwokuba emiti niyo ereeta enjura kandi obu batema emiti omusana gujwa emiyaga eteera ebyokulya esiisa amaju n'ebintu bindi bingi eby'obuhangwa	Okutema emiti omu kicweka ky'owaitu kireeta empindahinduka y'obwire habwokuba emiti niyereeta enjura kandi obu batema emiti omusana gujwa emyaga eteera ebyokulya esiisa amaju n'ebintu bindi bingi eby'obuhangwa
spontaneous-speech-ttj-59761.mp3	Kovidi ekatabangura bbiizinesi za bantu entaito habwokuba abantu abaingi baakiraga kwiha akasente omu bbiizinesi abantu baatunga obulemeezi bwingi baalema n'okurolerra amaka gaabo habwokuba niyo ntaahya yonka ei bakaba baine so abaingi bakee lengaho kujumbira omu kugenda kulima n'okuliisa kumaraho ekizibu ky'okutatunga sente	Kovidi ekatabangura bbiizinesi z'abantu entaito habwokuba abantu abaingi bagerega kwiha akasente omu bbiizinesi abantu baatunga obulemeezi bwingi baalema n'okurolerra amaka gaabo habwokuba niyo nyontansha yonka ebi bakaba baine so abaingi bakeelengaho kujumbira omu kugenda kulima n'okuliisa kumaraho ekizibu ky'okutatunga sente
spontaneous-speech-ttj-59762.mp3	Omu bwire bwange obw'okuhuumura rundi obw'obugabe nkira kugonza kukora muno emirimo ey'okulima n'okuliisa habwokuba nakyo kiri kimu ha kintu ekirukwongerereza entaahya yange nk'omuntu omu maka gange	Omu bwire bwange obw'okuhaumura rundi obw'obugabe nkira kukonza kukora muno emirimo ey'okulima n'okuliisa habwokuba naikyo kiri kimu ha kintu ekirukongerereza entansya yange nk'omuntu omu maka gange
spontaneous-speech-ttj-59764.mp3	Kintu ky'omugaso muno okunywa amaizi buli kiro habwokuba amaizi nubwo bwomeezi kandi omuntu tosobora kwomeera omu mubiri gwawe hatarumu maizi nikyo bagambira ngu amaizi bwomeezi ha muntu	Kintu ky'omugaso muno okunywa amaizi buli kiro habwokuba amaizi nubwo bwomeezi kandi omuntu totusobora kwomeera omubiri gwawe hatali mu maizi nikyo bagambira ngu amaizi bwomeezi ha muntu
spontaneous-speech-ttj-59769.mp3	Ediini ekoonyiireho abantu omu Uganda okurora nibahinduraho enjwara n'okugaruka mu njwara eyaitu eya kara okuleka enjwara embi eya hati ei enyakwizire ey'abaana kusanga nibajwara engoye ezitasemeriire omwana naaruga omu ka n'omuzaire naamurora obu barukuhika omu maramizo nibalengaho okutebeza kandi n'abantu basoboire okuhinduraho engeso zaabo baagarukayo kuserra enjwara yaitu eya kara nkooku Tooro twajwaraga	Ediini ekoonyiireho abantu omu Uganda okurora nibahinduraho enjwara okugaruka mu njwara yaitu eyakara okuleka enjwara enu eyahata enyakwizire ey'abaana okusanga nibajwara engoye ezitasemeriire omwana naaruga omuka n'omuzaire n'amurora obu obarukuhika omu maramizo nibalengaho kutebeza kandi n'abantu basoboire okuhinduraho engeso zaabo baagarukayo kuserra enjwara yaitu ekara nk'okutooro twajwaraho
spontaneous-speech-ttj-59776.mp3	Obunaku omu kicweka kyange omu by'enyegesa kirozere ngu abazaire abaingi tibarukufaaho ekintu ky'okusomesa kukiteeka ha rukarra rw'okubanza nibabanza kuhambya ebintu ebindi eby'ensi okukira kusomesa abaana baabo kandi twongera kulengaho okwegesa abazaire banu nukwo basobole okutwara eby'enyegesa omu maiso n'okukirora nk'ekintu ekikuru omu bintu byona	Obunaku omu kicweka kyange omu by'enyegesa kirozire ngu abazaire abaingi tibarukufaaho ekintu ky'okusomesa kuteeka ha rukarra rw'okubanza nibabanza kuhambya ebintu ebindi ebi ensi okukira kusomesa abaana baabo kandi twongera kulengaho okwegesa abazaire banu nukwo basobole okutwara eby'enyegesa mu maiso n'okukirora nk'ekintu ekikuru omu by'enyegesa
spontaneous-speech-ttj-59785.mp3	Kwegesa abaana okutamu abantu ekitiinisa n'ebintu byona eki nikirengaho okukozesa abaana omu masomero okubasorooza tukabaikaliza tukagenda okubahabura ha burungi obw'okuheereza ngana ekitiinisa kukira muno nk'abantu abakuru omu maka noosanga abaana saaha zinu tibakyaheereza bazaire baabo ekitiinisa noobu arukutangaana omuntu mukuru tarukumumanyirra ngu atangatangaine omuntu omukuru ntulengaho okwe kuteererra abaana baitu okuraba mu masomero n'omu nkurato ezindi ezirukuba niiteekanizibwa omu byaro	Kwegesa abaana okutamu abantu ekitiinisa n'ebintu byona eki nitulengaho okukozesa abaana mu masomero okubasorooza tukabaikaliza tukagenda okubahabura ha burungi obw'okuheereza ngana ekitiinisa kukira muno nk'abantu abakuru omu maka noosanga abaana saaha zinu tibakyaheereza bazaire baabo ekitiinisa n'obu arukutangaana omuntu mukuru tarukumumanyirra ngu atangatangaine omuntu
spontaneous-speech-ttj-59788.mp3	Abantu baitu mu ihanga lyaitu linu erya Uganda nibasobora kuteekaho emiringo enu kurora oburwaire bwa siliimu butararangire nukwo kwikara n&amp 'omukazi omu kandi okamugumiraho kandi tukakozesa obupiira bwa kalimpitaha kandi tukaikara ntwekebeza buli kaire buli kasumi oburwaire obu nubulema kusaasaana mu bagenzi baitu abandi mu Uganda	Abantu baitu mu ihanga lyaitu linu erya Uganda nibasobora kuteekaho emiringo enu kurora oburwaire bwa siliimu nutaraarangire nukwo kwikara n'omukazi omu kandi okamugumiraho kandi tukakozesa obupiira obwa kalimpitaha kandi tukaikara ntwekebeza buli kaire buli kasumi oburwaire obu nubulema kusaasaana nibagenzi baitu abandi mu Uganda
