audio_file	reference	hypothesis
spontaneous-speech-kcn-22106.mp3	Ana agder akul akil baraa baraa Akili Milan	Ak lana ger akul ya akil ya yote kalam ayan milan wu akil gi jib akila fi bara barau al gi jib ayan fi gildu as akil al ana ger akul ana ger akul akil al bijib afiya ayan al ma gi jib na ana ayanya yote fi gildu jaanskil yatu ayan al gi jib gi amru gi nais afiya tai al gi jibu gildu ma kun kwesi yan gildu kun taban zaman kulu akil al gi kun tamanfa ya akil al tena al min jidi jide tena kan yamda gi wene na akil al gi tala fi shamba akil al ma gi tala fi al gi adul maida akil yan a gi tala fi shamba tena ta min jidjde ten
spontaneous-speech-kcn-22127.mp3	Ah taalim taalim ta ah yani ta daktari yani mustashtfa gi weri ja kum ja gal wala minsh bana mani gi ligo batna bada shar talata ama aruba shar talata ama shar aruba mara wai kede uwo abidu hafidh uwo nafsi to yani hafidh nafsi de kefin ke uwo abidu adul uwo ke uwo aruf ja kwamba kalas saa yoyote weledu kala ja yani adul marifa sunu ya aju uwo sun ya fa kede uwo soo al kabla youm de Tim kede uwo kun logo uwo adul nafsi to uwo kala fi ma kila sokol to falata al bi awun uwo	A altaalim ta yani ta daktar yan mustashtfa g wer ja kwamba jagal bada minsh ban malgu ligo bina shar tala ta am aruba shar talata ama shar aruba mara wai kede  abidu hafidh nafsi to yani hafidh nafsi de gafin kuo abidu adul uwo kuw arub jakwamba kala sayo te weledu kalaja yani adul mmarifa sunya aj wo sunya fi kede aso al kabla yomja tim kede uwo kun logo adul nafsi to wo kalafi ma kila sokol to falata al bi auno
spontaneous-speech-kcn-22154.mp3	Teriga Al kweis ya ta aulan akul akil al bi awunu gildu tou yaani akil Al ma gi jibu Ayan baraa baraa Al bi jaa jib no Yani shida Ta tinein yaani kutu sokol AlSaba akan uwo jaa ajusi Yani kuto sokol Al bi jib gurush Al bi ja awunu fi y'all Al Lisa mma agara au Al Lisa gibagara Yani	Teig al kwesi ya taulan akul akil albi awu gildu to yan akil al ma bijim no ayan barabarau al bija jim no yani shida fi ajus to ta tinin yaakudum teriga yangi  ligo sokol al sabaa kanuw ja ajus bija au no fi ajusi to yan namna yato ya kutu sokol ya to al gi jim noo gurush al saba kanw bija ajuse gurush je bija na fo fi ajusi to al bija sono fi mustashfa al bi au no mayal abisa ma rua fi madrus ama yal al fi gi agarad
spontaneous-speech-kcn-22169.mp3	Kalama ta so Al Ina endi ta so Bess ya kutu uwo falata kelem nauwo yala kede uwo ruwa ruwa fi mustashfa Yala kan uwo arija somolin ja saan	Kala ta so al ina endis kan na ina ajol al endi TB bes ya te ku too falata kelem nowo weendis tarua fi dictar fi mustashfa kan w gi gwo fi mustashfa de ya kalam ab semi dukuru fi mustashfa ana biim nu kalam al biso fi gi wo dukuru kan kalasi wo tala fi mustashtfa ina ja bina duniya te ta to ina endis te wo nus now kelem nowo kalam je wowedede endis to soo jede kubaya towo endis ta gaibara jede jede we endis ta abladawa kan wo di g fi mustashtfa kalam ayan de gi pona gi pona kan ta ksul shereya te dicta
spontaneous-speech-kcn-22190.mp3	Agder tamli ta awun yani teriga ta awun nafsi taki min muswiba ta prostate ya abidu tamam nafsi taki bediri ke ta aruf afiya taki gi doru kefin sun ya aju uwo wu kanb ta bi ligo kan te endi sun ya neta soo kabla uwo raba uwo jibu mustakbal tan ama uwo jibu ayan al ma bi agder tib uwo de ya teriga te awun ta min musi muswiba ta prote ta prostate	Agi der ta habita awun yani finga awun nafsag min musiba ta prosteti yaa abidu ta mam nafs tak bedir keta aruf afiya ta ki gi doru kefin sun ya aju ukan ta bi ligo kal te endi sunya aju ke ta so kabla wo raba wo jibu mustak baltan amo jibu ayan al ma bi agder tibo de ya teriga ta awun ta mil m musiba ta ra prostt
spontaneous-speech-kcn-22227.mp3	De wai min sokolin Al hatarvta ligo musiba ta HIV Ta aulan joozu ta Al maa tim Al raba ta tinin jurub Yani asurub bangi asurub merisa yaani asurub sokol Al muku taki Kun jevta langaba ya gi jibu musiba ta ligo hiv	Ai mi sokol a fal ta ta ligo sokolia musiba ta hechayi fi ya taulan jowoju al mafa ain alima tim ta tinin an juru asl ma bangi asul merisa alg yan tumiya sokol iyoju al gigeru fikra taki al fi giji fikara taki kun je talam gaba miso to ya gi lji ta i kalam fi ligo musiba ta hecayie
spontaneous-speech-kcn-22260.mp3	Taalim athar taalim fi nafsi tai taulan uwo geeru hal tai yani geeru hal tai ma familia tai ma anas tai ma mujtamiya tai fi namna ab yatu gi amurugu ana min sika an awaja gi amurugu ana min gai saki yani kutu ana saa kulu an kun active an kun ma bidi ta sokol Kalam al bi raba ana bi raba family tai ma bi rabanma umma tai	Talim  af taalim fi nas tai kalal wo giu hal tayi yan giuu hal tayi ma familiya tai ma anas tayi ma mujitaniya fi nam nabiyatu gi amur gi ana min fikir ala waja gi amur gi ana min gaisaki yan kutu anas akul an gun aktiv an gun mabidi ta so kalam al biraba ana biraba familiya tai ma biraba umma tayi
spontaneous-speech-kcn-22290.mp3	Dor ta aulan ya kan yala amla safa min madrasa umon kala fi bee de ya wakti Al walidein gi limu yal toumon Walidein gi wedi yal toumon fi madrasa	Iou taulan yaala yala amon a safa ani madrasa amon kalafi be de ya wakti al waliden gi lim yal tomon fatanamon taalim ta bana be jaku riju tatinin we limu fi madrasha aga ain agur agara weliden weje yala tomon fi madrasa fi agara deni tomon ma terebiya tomon
spontaneous-speech-kcn-22307.mp3	Ana safir fi bele baraubarau aa bele ta aulan ya ana ruwa fi Nairobi bele ta tinin ana ruwa fi tanzania yaani bele barua bele tinein dolde ya ana ruwa fogo ma fi sudan al sabab tou jere gus maisha al bi geeru hald tayi ma ans tayi ta batna bee	Ana safir bele barau barau  bele taulan ya ana rua fi nairobi bel alta tinin ana ruaa fi tanzaniya yani bele barab bele tilin dol yazad ana ra fogo ma fi sudan al sabab to jeregus maisha al bi geru hald tai ma anas tai binna be
spontaneous-speech-kcn-22386.mp3	Ayi ana endis ham kalam alim terebiya bara bara gi weri nana sunu ya ana aruf sunu ya ana aruf ma wu sunu bi aju ke ana awun sunu ya bi aju ke ana zidu ana bi aruf ma ana kabila kam barau barau ma terebiya tomon fi bele al ana fogo	Ai   anendi ham kalam alim terebiya bara bara gi werin ana sunuya ana aruf suniya ana aruf ma wu sun y abi aju ka ana murugu wu sun ya abi aju ka ana zidu ana bi aruf ma ana kabila kam bara barau ma terebiya tomon fi bel al ano fogo
spontaneous-speech-kcn-22429.mp3	Taulan te bi wedi kila bada tau abidu taulan ta gi wedi kila bada usbu tinein dukuru kan kalas ta gi ja abidu wedi kila bada shar talata	Tal an tebi wedu kila bada tababidu talan ta gi wedu kila bada subutinin dukun kan kalas ti gi ja abid wedu kila bada sharu talata
spontaneous-speech-kcn-22446.mp3	Wayi ya jurubana milan ta tinin nafas ab yani nafas al deiga naf nafas de nafas al gi tala boyi yani nafas to kan ja deiga me jurubana	Ai yaajurubana milan ta tinin nafas  ab yan nafas al deiga na nafas de nafas al gitalabwo yan nafas to kan ja deiga ma jurubaana
spontaneous-speech-kcn-22515.mp3	Ragi kan gi fataran sa sa fi kalam al uwo endis te soo aju uwo akul seme uwo gi amula safa ya kaman gi kun kwesi noo fataran de gikun logo uwo endi fikira ya kan uwo baakul seme uwo bi uwo bi soo sun uwo bi amula safa	Rg kan gi fataran  kalam alendis te soo aju wo akul seme wo gi amula safa ya kaman gi kun kwesino fataran de gi kun logo wendi fikira ya kan wo bi akul seme uwo bi wo bi sosun wo bi amula safa
spontaneous-speech-kcn-22543.mp3	Ai ke kaharaba fi kariya tai fi wu de wai sokol de ya wai min sokol de ya so wai min sokol ab raba area ma bele	A akaara bafi aliya taifi de wai mi sokol je ya waim msokol agde ya so wai ma sokol gi raba edia ma bele
spontaneous-speech-kcn-22569.mp3	Nam taalim awun fi namna te geeru fikira ta binadum fi jumiya namna al binadum kede wasa fi kalam al ta awari kede uwo soo kalam al bi nafa al bi raba uwo raba family me ab bi raba bele to	Nm taalm aun namna ta gioru fi karata binadu fi jumiya namna al binanub kede wasaf kalam al taawiri kede uoso kalam al binafa al birabu raba faam le ma biraba bele to
spontaneous-speech-kcn-22584.mp3	Alim anas lim anas bakan wai ma kutu faida ta Kalam yani jib kidima al geeri me anas	Alim anas lim anas makan wai  kutu faida ta kalam nan jib kedim al gerina anas
spontaneous-speech-kcn-22599.mp3	Walai fikira tai Kalam ta bank ma zaidi kalam ana ya ma zol ab gi thmiya bank zaidi	Kn anai keai kalam ta bang ma zaidi kalam ana ya az wel al ma gitumiya bian g zaidi
spontaneous-speech-kcn-22641.mp3	Hakikisha to logo ana rua fi mustashtfa kede rua tamam le sudur de werim nana fi sudur	A akigisha to nu gi ana ruwa fi mustash kede ruwa tamam lei so bute welim sonya  il
spontaneous-speech-kcn-22661.mp3	Kila Kila kan gildu gi waja ana endis ta ruwa kaan ruwa kashif nafsi tayi	Kila kila kan gi lug waja n ni tarua kana ra kasif nafs
spontaneous-speech-kcn-22679.mp3	Ai mon gi wedi furusa sawa sawa kalam de ya taalim al fa fi umma	Ai   mongi ed fursa sawa sawa kalam de ya taalim al faa fi umma
spontaneous-speech-kcn-22699.mp3	Saakulu check nafsi taki yaa alama Al adil	Saa kul cheki namstat ya alama aladil
spontaneous-speech-kcn-22738.mp3	Nadafa kun nedif sa a sa arboshirin	Na dafa kun nedif saasa arubushi
spontaneous-speech-kcn-22755.mp3	Kalam al milan ana aruf milan	Tela ga milan an aruf milan
spontaneous-speech-kcn-22785.mp3	Youm wai wai youm wai wai	No wai wai yom wai wai
spontaneous-speech-kcn-22795.mp3	Hal ta raha sokol al jibu ta aulan bele kan kweis bele fogo galgal maa yani raisi ta bele amsuku bele seme galgal maa yani kaman kan afiya taki seme wede ya wai namna al hal bi kun seme	Al taraha sokol al jibu taulan bele kan kwesi bele fo gal gal ma yani raisi ta bele kan bi ramsuku bele ma seme ma aman yan gal gaal ma dusman ma de ya waimin sokol al gi dib raha fi bele kaman kan afiya taki seme afiya seme a yani teeni sokol yote al bagi awu nafs taki al gi rabeta nafs taki ma yal taki ma familiya taki wede ya waimin sika taraha al kwes
spontaneous-speech-kcn-22811.mp3	Al milan tomon ma endis kubaniya kalam fi umma nas sia yan ya azol seme anas milan ma aju neta mandeleo yani seme ya kubaniya fi umma milan tomon gi aju ita logo ita endis kan youm ab rabbana nongus min ita kalasi te kun sunu batal yani gi aju ita fi saa al ta fi batal Kan fi rabbana fata neta le uwo fata neta ja munu jibu Kalam milan ya wai min sabab al gi nongus kubaniya fi umma taki tai	A  tomon nang kubaniya kalam fi umma nasiya ya agi aju a azol sene kanasa milan ma ajunita mandelo yan sene ya kubaniya fi umma milan tomon gi ajita logo tende kan yoma arabana nongus minita kalash te kun sunu batal yan gi ajita fi saa al ta fi batal kan  rabana fatane ta lee wu fatane ta jata munu jibu kalam milan ya wai misabab algi nongusu kubaniya fi umma ta gita
spontaneous-speech-kcn-22841.mp3	Barnamij ta alim anas kubar awun waze fi aruf stamil me sim mon saade agder wonus me yala tomon fi be te bara	Sk lalkaabire anaso yan abus booda min aji ana fi zama galum ya lgogo dawa ama yan gavumenti mamna terega ta abusu booda yaaji mena mosketonet yan katimba al ga abus booda min gal gal al figo dawa la gavumenti ki togolaa kalas ya anamna al ana gen abus mon booda min aji ana zaman talum
spontaneous-speech-kcn-22877.mp3	Kalam al kubarin te deen soo fi umma tena taulan raba deen tomon deen tena tomon tena me te anas kulu ta tinin ya geeru fahma yan amurugu fahma tena min fikira ta al kan te awiri arija fahma tena fi sokol al adil ma aruf sabab sunu ya ina fifi duniya in me sabab sun ya jib ina wu saba nare na fi wen wu saba ne gi rua wen wu ina gi rua kefin	N alkubarintedin zofi umma tan ya taulan raba gini tomon gin tena tomon tena mata anas bim ta tenan ya geru fahama yan agi fahama tena men fikara ta al gan ta awiri ja fahama te na fi si kaal adir ma arufu sabab senu ya ina fi fi duniya in u sabab senya ji bina u saba nar ina fi wen wu saba na gu ra awen ina gi ruakifi
spontaneous-speech-kcn-22910.mp3	Teriga al awun ya taalim awun fi namna ta geeru fikira yani mindset tana batna be fi umma ta tinin amurugu min omon fikira al bara bara gi amurugu fikira al awaja ja mfano ja kelem gal ah governmenti al fi fi bambara de uwo aju ina ma yani kutu omon fi school saa kulu komon kun busy komon kun creative komon kun yan anas ab gi soo sunu gi soo kalam ab bi wedi omon gidam ab kede amurugu fikira bara bara	Terig awal awun ya taalim awun fi nama ta giru fikra yan maindi se toyal bana be fi umma tatinin amu rugu min mon fikra al bara baraa kamon g fikra al awaja ja umfanu ja kelenga al a gavmenta al be fi bambara de wajina ma yan kutu mon fi ksaakulu komon kun bize komon kun kretib komon kun yan anasal bisozolu giso kalama wedu umon gidam al kede amu rugi mon fikra bara bara
