audio_file	reference	hypothesis
spontaneous-speech-koo-50679.mp3	Obusama bukaleka abandu abomo bulhambo ibaghana erithunga ebindu ebiwene ibaghana erisoma ndeke ibaghana erirya ndeke ibaghana nerihimba ndeke neribya omwa buholho bwabo ngoku batholere	Obusama bukaleka abandu obwomwabulhambu ibaghana erithunga ebindu ebiwene ibaghana erisoma ndeke ibaghana erirya ndeke ibaghana nerihimba ndeke neribya omwabuholho obwabu ngakubatholere
spontaneous-speech-koo-50680.mp3	Byamabirileka abandu ibabya banakwa kandi ibaghana erithoka erikolha ebyabanzire omwa buyingo bwabo	Byamabirileka abandu ibabya banaku kandi ibaghana ithoka erikolha ebyabanzire omwa buyingo bwabu
spontaneous-speech-koo-50681.mp3	Yikabeghesaya emitse eyitiwene kandi eyaleka ebikala nabandu omwabulhumi	Yikabeghesaya emitse eyithiwene kandi yaleka ibikalha nabandu omobulhume
spontaneous-speech-koo-50682.mp3	Ghukabitakanizaya ndeke iwabitheka kwaliko iwalinda ibyahya ndeke iwabihukulha iwabirya	Ghukabitakanizaya ndeke awabitheka okwaliko iwalindibyahya ndeke iwabihukulhu iwabiri
spontaneous-speech-koo-50683.mp3	Wukabya imuwamathunga obuthuku obuwene erikoleramu ebya wanzire	Ghukabya imuwamathunga obuthuku obuwene erikoleramu ebyawanzire
spontaneous-speech-koo-50684.mp3	Thukakoleseya amaghetse irihaghu okwa syanyusi isiri hakuhi nethu eryuthangirara gho mo malima omo mughulhu thukabya ithunemulima	Thukakolesaya amaghetse erihagho okwasyonyusi esiri hakuhi nethu eryuthangirirawa omwa malima omo mughulhu thukabya ithune mulima
spontaneous-speech-koo-50686.mp3	Iwalya ebyalya ebiri mo ekyirisya kandi ibwaleka erirya ebyalya ebiri mo maghutha manene kutsibu iwalya ebyalya ebya ghukayirimira omo malima waghu	Iwalya ebyalya ebirimu ekyirisya kandi iwaleka erirya ebyalya ebirimu amaghutha manene kutsibu iwalya ebyalya ebyaghukayilimira omwa malima wawu
spontaneous-speech-koo-50688.mp3	Bakabulhawa esyosente esyeribawathikya neru ibathwamo ibakolha obusingiri ibwatsandya emibere yabo	Bakabulhawa esyosente esyeribawathikya neryo ibathwamu ibakolha obusingiri ibwathandya emibere yabo
spontaneous-speech-koo-50689.mp3	Rikaleka omundu inayiponakandi imibiriyiwe iyaghana nerighenda ngokwayisunzire kundi ibwa akabya inamathebwa	Likaleka omundu inayipona kandi nemibiri yiwe iyaghana eyaghenda ngokwayisunzira kundi ibwa akabya namathebwa
spontaneous-speech-koo-50691.mp3	Bakakolangana ne gavumenti I bathuhikyaku obubalya hakuhi ne wethu Kandi ibaletha amalwaliro hakuhi	Bakakolhangana negavumenti ibathuhikya kububalya hakuhi ne wethu kandi ibaletha amalhwabira owa hakuhi
spontaneous-speech-koo-50692.mp3	Thukayibweka esyambulho omwabanywani bethu isyathuwathikyaa eribathwala omomathendekero	Thukayibweka esyombulho omwa banywani bethu isyathuwathikya eribathwalha omwa mathendekero
spontaneous-speech-koo-50693.mp3	Thukasyoghaya omu amaghetse ne sabuni obuli saha syamakyina isabya isinahenirye obulikiro	Thukasighoya omwa maghetse ne sabuni obuli sighasyama kyina esyaleka eribya isinahenirye okwa buli kiro
spontaneous-speech-koo-50695.mp3	Thukabalholererako omwamibere eyihundukireho okwabu abiwene eribaha obuwathikya neribaha ebindu ebya bule	Thukabalholhererako omamibere eyihundukire okwabu abiwene eribaha obuwatikya neribaha ebindu obyabule
spontaneous-speech-koo-50696.mp3	Thukalya ekyerigholho wabirighunza iwasaba neru iwayakesya	Wukalya ekyerigholho iwabirighunza iwasaba neru iwakesya
spontaneous-speech-koo-50697.mp3	Banganakolha obulime ibakolha nemibiri eyobuyonjo ngeryoya esyanjimba eryoya esyabakuli neriramya omukama	Banganakolha obulina ibakolha nemibiri yo buyonjo ngeriwesya anjjimba ngeriwesya bakuli nerirama omukamu
spontaneous-speech-koo-50698.mp3	Bakasatha omupira ibigha nama ah hothole ibigha nerikania na bandu ndeke	Bakasatha omupira ibigha namahotole ibigha nerikania nabandu ndeke
spontaneous-speech-koo-50699.mp3	Erikalha na bandu ighunabasi ndeke kandi iwikalha nabu omu bughuma ndeke kandi imwabya imuna sene omu malhambo wenyu	Erikalha nabandu ighuna bressi ndeke kandi iwikalha nabo omubuhuma ndeke kandi imwabya iwunasema omwa malhambo wengi
spontaneous-speech-koo-50701.mp3	Atholere inyakolha engulhakulhana omwa bulhambo neriletha obuholho omwa bulhambo neribugha ndeke nabattaka bomubulhambo obwo	Atholere inakolha engulhakulhana omwabulhambo neriletha obuholho omwabulhambo neribwandeka enabataka bomwabulhambo obwo
