audio_file	reference	hypothesis
spontaneous-speech-el-CY-37427.mp3	Η άποψη μου η τεχνολογία την τελευταία δεκαετίαν αναπτύχθηκεν αρκετά σε σημείον που μπορεί να βελτιώσει την καθημερινήν ζωήν των πολλών ξεκινώντας που την ιατρικ΄ην μαζίν με τες διάφορες μηχανές που μπαίννουν μόνον η βελόνα μέσα στον άνθρωπο εεε χωρίς να χρειαστεί κάποια επέμβαση τζ̆αι φτάννοντας μέσα στο σπίτιν του καθενός Εεε για παράδειγμαν οι συσκευές που καθαρίζουν μόνες τους ή η γνωστή Αλέξα που αν έσ̆εις την κατάλληλην επένδυσην σε έξυπνες στα εισαγωγικά ηλεκτρικές συσκευές μπορεί να τες λειτουργήσει με απλά την φωνήν σου ή ακόμα σε βιομηχανίες εεε όπου εργασίες παλιά έπρεπε να γίνουν που έναν άνθρωπον πλέον γίνουνται πολλά πιο αποτελεσματικά τζ̆αι πολλά γλήορα εεεμ που απλά μιαν μηχανήν το οποίον όμως φέρνει μας στον κίνδυνον της τεχνολογίας ο οποίος είναι η μείωση ανθρώπινου δυναμικού σε χώρους εργασίας Έναν αρκετά καθημερινόν τζ̆αι συχνόν παράδειγμα εν' οι τράπεζες που κάθε εβδομάδαν κλείει τζ̆' άλλη	αποψήν μου η τεχνολογία την τελευταίαν δεκαετίαν αναυτήχθι γα ένα αρκετά σε σημίον που μπορεί να βελτιώσει την καθημερινή ζωήν των πολλών ξεκινοντας που την ηατρική μαζί με τες διάφορες μηχανές που μπαίννουν μόνον η πελώνα μέσα στον ανθρωπο χωρίς να θειαστεί κάποια ατεμβαση τζαι φτάννουντας μέσα στο σπίτιν του κάθενός για παράδιγμαν ι συσκευές που καθωρίζουν μόνες τους ή γνωστή αλέξα που αν έσ̆εις στην κατάλληλην επένδησην σε έξυπνες στα ισαγωγικά ηλεκτρικές συσκεβές μπορεί να τες λειτουργήσει να πλατηνφωνή σου ή ακόμα σε βιομηχανίες όπου εργασείες φαγιά έπρεπεν να γίνουν του έναν άνθρωπο πλέον γίνουνται πολλά ποιο αποτελεσματικά τζ̆αι πολλά γλίωρα  που απλά μιαν μηχανή το οποίο νομοσφέρνει μας των κινδήον της τεχνολογίας ο οποίος είναι η μίωση ανθρώπινου δυναμικού σε χώρους εργασίας έναν αρκετά καθημερινόν τζαι συχνόν παραδιγμα εν' ι τράπεζές που κάθε ευδόμαδα κλειτζ̆αι άλλη
spontaneous-speech-el-CY-37434.mp3	Σίουρα οι ανθρώποι διαφορετικών ηλικιών χρησιμοποιούν την τεχνολογίαν διαφορετικά λόγον του ότι όταν είσαι πιο μιτσής εν έσ̆εις τες ίδιες ευθύνες ή επίσης εν ι-ξέρεις πώς να λειτουργήσεις μιαν συσκευήν πιο προχωρημένα εμ νναι συνήθως σε πιο μικρές ηλικίες χρησιμοποιούν την τεχνολογίαν για πιο χαλαρές δραστηριότητες όπως τα παιχνίθκια τζ̆αι σε πιο μεγάλες ηλικίες νναι μεν μπορεί να παίζουν πάλε παιχνίθκια εεε αλλά επίσης χρησιμοποιούν τες για να μπορούν να πληρώσουν λοαρκασμούς ή για να ενημερωθούν για διάφορα νέα κουτσομπολιά εεε και τα λοιπά	Σύγουρα οι ανθρώποι διαφορετικών ηλοικειον χρησιμοποιούν την τεχνολογίαν διαφορετικά λόγον το ότι όταν είσε πιο μιτσίς εν' υσ̆εις τες ειδίες ευθύνες ή επίσης εν ι-ξέρεις πώς να λειτουργήσεις μιαν συσκεβήν πιο προχωρημέναν εμ νι συνήθως σε πιο μικρές ηλικίες χρησιμοποιοούν την τεχνολογίαν γιαμ πιο χαλαρές δραστηριότητες όπως τα παιχνήθκια τπαι σε πιο μεγάλες ηλικίες νεμεν μπορεί να παίζουν πάλλη παιχνίθκια ε αλλά επίσης χρησιμοποιούνταες για να μπορούν να πληρώσουν λο αρκασμους για να ενημερωθούν για διάφορα νέα κουτσον πογιά ε και ταληπά
spontaneous-speech-el-CY-37442.mp3	Μια τεχνολογία η οποία με κάμνει να ανησυχώ έτσι λλίον ιδιαίτερα εν' το γνωστόν το AI Ο λόγος που με ανησυχεί έννεν' επειδή έσ̆ει καταχωρημένες τζ̆εινες ούλλες τες πληροφορίες μέσα αλλά επειδή ο κόσμος νομίζω μαθαίννει πλέον τζ̆αι πάει απευθείας σε τζ̆εινον Εννοώ χάννουσιν τες δεξιότητες στο να κάμουσιν μιαν έρευναν στο να μπορο΄υν να ξεχωρίσουν τες καλές τζ̆αι τες έγκυρες τες πληροφορίες που τες μη έγκυρες Εεεμ νναι ανησυχεί με παραπάνω το γεγονός ότι ο κόσμος πλέον εξαρκιέται που το ΑΙ αποκλειστικά για ό τι ερώτησην έσ̆ει	Εμ μια τεχνολογία η οποία καμνειμαεεν ανησυχώ ετσι λίον ιδιαίτερα εν' το γνως τόν το εάϊ ο λόγος που μι ανησυχείν εννεν επειδήν έσ̆ει καταχωρημένες τζ̆ίνεσου λλες τες πληροφορίες μέσα αλλά επειδή ο κόσμος νομίζω μαθαίννει πλέον τζ̆αι πάει απαευθίας σε τζ̆είνον εννώ χάννουσιν τες δεξιότητες στο να κάμουσειν μιαν έρευναν ε στο να μπορούν να ξεχωρήσουν τες καλές τζαι τες έγκυρες τες πληροφορίες που τες μι εγγευρες εμ ναι ανησυχείμαι παραπάνω το γεγονός ότι ο κόσμος πλέον εξαρκέται που το εάϊ αποκλιστικα για ότι οη ερώτησιν έσ̆ει
spontaneous-speech-el-CY-37445.mp3	Προσωπικά αρέσκει μου πολλά το χρώμαν πράσινον μια συγκεκριμένη απόχρωση του πράσινου το κυπαρισσίν το οποίον χρώμαν αρέσκει μου παραπάνω να το βλέπω ή να αγοράζω αξεσουάρ με το χρώμαν τζ̆είνον Όσον αφορά για άλλα χρώματα που μ' αρέσκει να έχω στον προσωπικόν μου χώρον αρέσκει μου το καφέ το μπες̆ εεε τζ̆αι το μαύρον Αυτά	Προσοπικά αρέσκει μου πάρα πολλά το χρώμαν πράσινο μια συγκεκριμένη απόκρεση του πράσινο το εκιβαρσί ε το πιο χρόμαν αρέσκει μου παραπάνω το βλέπω ή να αγοράζα ξεσουar με το χρώμαν τζ̆ίνο όσον αφορά για άλλα χρώματα που μου αρέσκει να έχω στον προσωπικόν μο χώρον αρέσκει μου το καφέ τον πέsh εν τζ̆αι το μάδρον αστά
spontaneous-speech-el-CY-37447.mp3	Εμμ εγώ τζ̌αι η μάμμα μου μοιραζούμαστεν τα οικονομικά έξοδα σπίτιν μας εεε πληρώννουμεν πληρώννω εγώ έναν πιο μικρόν ποσοστόν που το ενοίκιον το νερόν το ρεύμαν πληρώννω τα δικά μου προσωπικά έξοδα τζ̌αι άμαν χρειαστεί κάπου-κάπου μπορεί να ζητήσω κάποιαν χρηματικήν βοήθειαν εμμ νναι αλλά συνήθως εν περίπου εγώ πληρώννω λλίον πιο λλία που τα μισά τζ̌αι η μάμμα μου τα παραπάνω	Εμ Εγώ τζ̆αι πάμμα μου μιραζούμαστεν τα οικονομικά έξοδα σπίτηνμας  πληροννουμεν πληρώννω εγω ένα πιο μικρόν πόσοστον που το εν ικείον το νερόν το ρεύμαν πληρωννω τα δικά μου προσωπικά έξοδα τζ̆αι αμαν χρειαστεί κάπου κάπουν μπορεί να ζητήσω κάποια χρηματική βοήθεια μ ν αλλά συνήθος εν περίπου εγώ πληρωνω λλίον πιο ολλοία που τα μισά τζαι ηπάμμα μου τα παραπάνω
spontaneous-speech-el-CY-37461.mp3	Το πιο μεγάλον δώρον που μου έκαμεν κάποιος το οποίον ήταν τζ̆αι το πιο πρόσφατον ήταν όταν έφυα που τον τελευταίον μου εργασιακόν χώρον Εκάμασιν στην ουσίαν μιαν φωτογραφίαν που αποτελείτουν που πολλές φωτογραφίες που ούλλους τους ανθρώπους που εδουλεύκαμεν μαζίν τζ̆αι ήταν οι πιο αστείες μας στιγμές που είχαμεν περάσει τζ̆αι θεωρώ οτι ήταν το πιο ωραίον τζ̆αι το πιο μεγάλον συναισθηματικά δώρον που έλαβα ποττέ που κάποιον	Το πιο μεγάλο δωρον που μου έκαμεν κάποιον στο οποίον ήταν τζ̆αι το πιο πρόσφατο ήταν όταν εφια που τον τελευτίον μου εργασιακό χωρο εμ έκάμασιν στην ουσίαν μια φωτογραφίαν που αποτελεί τουν που πολλές φωτογραφίες που ούλους τους ανθρώπους που δουλεύκαμεν μαζί τζ̆αι ήταν οι πιο αστιες μας στιγμές που έχαμεν περάσει τζαι θεωρω ήταν το πιο ωραίον τζ̆αι το πιο μεγάλοείναι συστηματικά δωρον που έλαβα πυ τθεπου κάποιον
spontaneous-speech-el-CY-37464.mp3	Όταν ήμουν εγώ δημοτικόν είχαμεν ξεκινήσει να μαθαίννουμεν την αγγλικήν γλώσσαν στην πέμπτην τάξην του δημοτικού τζ̆αι μετά στο γυμνάσιον εξεκινήσαν μαζί με την γαλλικήν γλώσσα Τωρά απ’ όσον γνωρίζω τα αγγλικά αντί που την πέμπτην τάξην μαθαίννουν τα τα μωρά που την πρώτην τάξην του δημοτικού λογικά για να μπορούν να εξοικειωθούν που μιαν πιο μικρήν ηλικίαν	Οταν ήμο εγώ δημοτικόν είχαμε εξεκινήσει να μαθαίννουμεν την αγκλική γλώσσα στην πίμπτην τάξην του δημοτικού τζ̆αι μετά στο γυμνάσιο εξεκινήσαν μαζί με την γαλλική γλώσσα τωρα όπωσο γνωρίζω τα αγγλικά αντί που την πίμπτην τάξην μαθαίννυν τα τα μωρά που την πρώτην τάξην του δημοτικού λογικά για να μπορούν να εξικιωθούν που μιαν πιο μικρεν η λικία
spontaneous-speech-el-CY-37468.mp3	Που ήμουν μιτσ̆ιά εεε περίπου στην ηλικίαν του δημοτικού άρεσκεν μου να θκιαβάζω παιδικήν λογοτεχνίαν συγκεκριμένα είσ̆εν μιαν συγγραφέαν η οποία άρεσκεν μου πάρα πολλά η οποία έγραφεν κάτι παρόμοιον εεε με το βιβλίο «το ημερολόγιον ενός σπασίκλα» αλλά στο γυναικείον δηλαδή ήταν το ημερολόγιον μιας κοπέλας εεε ή διάφορες εγκυκλοπαίδειες αυτά	Που ι μου μιτσ̆ια περίπου στην ιλικιαν του δημοτικού αρέσκε μου να θκιαβάζω παιδική λογοτεχμεία συγκεκριμένα είσ̆εν μια συγκραφιαν η οποία αρεσκε μου πάρα πολλά η οποία έγραφεν κάτι παρόμιον με το βιβλίον το ημερολόγιον ενός παθύκλα αλλά στο γυνικίο πλάγαν το ημερολόγιον μιας κοπέλλας  ι διάφορες υνκικλοπαίδιες αυτά
spontaneous-speech-el-CY-37469.mp3	Εν θεωρώ ότι εν' εύκολον να ξεκινήσεις μιαν επιχείρησην στην Κύπρον ε λόγον του ότι εν' μια χώρα που οι Κυπραίοι εν έχουν μεγάλον κεφάλαιον εν' κυρίως οι ξένοι που έρκουνται τζ̌αι μεινίσκουν στην Κύπρον που έχουν τα λεφτά τζ̌αι κάμνουν επιχειρήσεις τζ̌αι μετά αννοίουν επιχείρησην της επιχείρησης τζ̌αι πολλαπλασιάζουν τα λεφτά τους αλλά κυρίως οι Κυπραίοι 'ντάξει πολλά δύσκολον να μπορέσεις να ξεκινήσεις μιαν επιχείρησην θέλει πολλύν πείσμαν	Εν θεωρώ ότι είναι ευκολον να ξεκινήσεις μιαν επιχειρηση στην Κύπρο  λόγον του ότι ε' μια χώρα που ι Κυπραίοι εν έχουν μεγάλον κεφάλαεο εν' κυρίως ι  ξένει που έρκουν ται ζ̆αιμινίσκου στην Κύπρον που έχουν τα λεφτά τζ̆αι κάμνουν επιχειρήσεις τζ̆αι μεταννίουν επιχείρησην της επιχείρησης τζ̆αι πολλά πλασιάζουν τα λεφτά τους αλλά κυρίως οη Κυπραίι ντάξει πολλά δύσκολον να μπορέσεις να ξεκινήσεις μιαν επιχείρηση θέλει πολλύ πλησμα
spontaneous-speech-el-CY-37470.mp3	Μιλώντας για την παιδικήν μου ηλικίαν εεε θθυμούμαι ότι η μάμμα μου για έναν μεγάλον διάστημαν ήταν άνεργη ο παπάς μου συνέχειαν έλειπεν που σπίτιν Εεε τζ̆αι γεννικά ήταν αρκετά αυστηροί τζ̆αι οι θκυο μαζίν μου έκλαια σχεδόν κάθε μέρα για τα μαθήματα που έπρεπεν να κάμω	μιλώντας για την παιδικήν μου ηλικία θυμωμαι ότι η μάμμα μου για ένα μεγάλουν χρονικόν διάσστημαν ήταν ανέρχει ο παπάσμου συνέχεια λύπεν που το σπίτη τζ̆αι γενικά ήταν αρκετά αυστηρή τζ̆αι οι θκιομαζή μου έκλεα σχεδον κάθε μέρα για τά μαθήματα που έπρεπεν να κάμω εμ
