audio_file	reference	hypothesis
spontaneous-speech-pne-15186.mp3	Amik pitah kelunan mipe amik tong penusah ineh tai ngan ketua kampung amik tai ngan ireh jau tuak umerk amik ineh tai pani menyuk yah pani menyuk eh barak ngan kat kelunan mipe amik tolong monak dan neh sen dan neh rigit nak kurek nak lomah pelusen jah rigit jah use ineh jalan ineh cara ayuk mani tolong menyuk amik pepipe ngan kelunan	Aank pitak keluna mipek amik tong pun ua neh tan na tuak kameun amik tan an ireh jau tuak umu amik ineh tai panik munuku yah panin munuk eh barak ngak k kelunan mi amik tolong monak dan neh sie danen neh it neh kuleuk nah nanma pun si nae jan ligit pe ja usa Ineh dalan neh sanah ayuk manik tolong mik manik pip pen k noak
spontaneous-speech-pne-15191.mp3	Akouk kira'k yeng yeng kat barang lobuk sukat manouk kelunan bawai sekulah tetap eh pun jin tinen tamen neh eh mipe eh menyuk eh tai sekulah perajin eh sekulah berajan ineh baruwk neh mojam ineh baruwk neh rajin yeng eh jah barang lobuk	Yak kir k yeng yeng kak balang lokuk sukat manouk kelunan b ba sekulah teta eh pun jin tinan tamen eh eh mitek eh mene u eh tai seulahk peaen ieh seulahk perae inenh bareuk neh mojam ineh barek neh agin yeng eh jak barang u ukhkhkhkhkhkhkhkhkhkhkhkhkhkhkhkhkhkhkhkhkhkhkhkhkhkhkhkhkhkhkhkhkhkhkhkhkhkhkhkhkhkhkhk
spontaneous-speech-pne-15193.mp3	Dan tai melakau- tai melakau ineh ayuk tai nevalau konep sat konep yeng jian konep pane Ngan neh awu panouk nek tajak keh tai pitah yak jalan ayuk mukuk sedirik ayuk mukuk petiken Menyalau konep sat ineh konep pane ineh Ineh pukuk ayuk tai melakau	Ynk ta lak u ta lakauk nak e neh aneuk konek sat konak yeng jian konaek panen ngan ayu panuk ie tadai petai pita ak jan ayuk mukuk snidi ayuk mukuk peita menak konek sat ineh konek panen ineh ineh pukuk ayik ta aak
spontaneous-speech-pne-15197.mp3	Yeng pun inak boken yah ayuk tai nyelogen ayuk mukuk tai peteken pani ngan kelunan ngan sik yah anak yah lakeik dan amik Juk petiken sumak tai lak Juk lah lak than lak tanak lak bek tai duah amuh keh toleuk use amik ineh keh tai	Pn pun inak bokgn ak yu uk melenonun tai e uk tai pien k panin ngah kuluna ngan sit ka alak ek au damik juk petiten sumat ta lak juk lah lak tunan ak tanak lak uluk tai duah amu kek tolok ke usan amik uk ani i e ekhkhkhkhkhkhkhkhkhk
spontaneous-speech-pne-15200.mp3	yeng pun le'terk konak le'terk eh tan kik siget langit eh bi mengase tong awa tong tilung pe'pauk ngase tong lasan Pun ate ireh main bon pun ate ireh main takraw ineh peh bareng de'kuk ireh lalek mojam	Ak pun litek konak itek eh tan kik siket lagit eh eh bi measu tong a tong ti en poe p yu mngasau tong lasan peate reh main bon patau reh manin ta ker ineh pe aran ineuk re lali aah
spontaneous-speech-pne-15202.mp3	Akuek pogeng ayuk ijin mopuk ayuk ijin- ayuk tv ayuk pon ayuk speka ayuk ineuk Jah yah boken konak tok solar ineh semua Yah ineh bii pongah ayuk kik	Yak poten ayuk ijen mouk ayuk iji ayuk tvi ayuk pon ayuk speh ayuk inouk jah yeh ban e kote solah ineh semu a y ayik n b png a uk ikhkhk
spontaneous-speech-pne-15202.mp3	Akeuk pongah maneuk beg pongah maneuk bukui Bukan naneuk kik tinen kik maneuk Akeuk suma manyam Keh kek borat keh kek taleik beg ineh abin vey beg vey bukui ineh pongah nanyam kik pongah neuk kik	Yuk ponga manouk bek ponga manuk bukuk mkak manouk kik tinen kik manouk akouk suman m anan keh kek borak kik kek talei bik ineh avik be bek eh bukuk ineh pengan anag kik pengoanouk kik
spontaneous-speech-pne-15207.mp3	Tai lak banget ineh yeng ineh lalek jiak DeKuk neh lipag bareng sukat pelangui bareng sukat keleterk dalem dan yeng melakau dirin be'ek tuek Pun Dan neh lak be'ek be'ek ineh sukat menoset sukat pelangui dalem Bareng pun lipag neh	Yek la angin neh n h yeng ineh neh lalek jiak ukuk neh likak barang sukt pelagun arakg sukt elkt pong dalem dan yeng lakau din bek toe un deh danen n h lak bek bek ineh sukat menosat sukat pelagen dalem barek un likak h ah
spontaneous-speech-pne-15211.mp3	Ijin daven tv pon Kat barang ineh kebosau kik bi neh ateg neh Dekuk neh pun karen Karen ineh sukat mematai kelunan Makin inouk dan ireh anag ayuk pon ayuk tv ayuk barang ineh bi	Ai dadun ti pon kak barang ineh kebosah k kik bi anit neh dukuk neh kuk kaen kanan ineh sukat memata kelunan ak k inouk dan anak ayuk pon ayuk ti ayuk barang iyeh ik
spontaneous-speech-pne-15218.mp3	Nak pun bengosak ulouk bengosak amik tai daleh ireh roti neh yah jiak yah sukat yah mojam...ineh du'kuk neh avik tong daleh ireh niah neh set yeng eh avik daleh ireh urip kik la dalem konep kik eh jiak neh ineh...	Ynk u unogah a ulouk ngjak a amik ta lak laleh ireh rote neh yah jiak yah sukat yah mojam ineh neh uk neh avik tong daleh ireh iah neh sat yah avik nlah daleh ireh uret kik la daleu konu kik eh jiak ne iehk
spontaneous-speech-pne-15222.mp3	Akouk koluk maen badminton maen bola tampar koluk maen football inouk eh jah nan pemain Jah sumak akouk yeng mojam main pong Manouk manouk leterk keh tue	Ynk koluk main bin min n koluk main bolak taman koluk manin pun lu inouk h jan nan uk manin jah suman akouk yeng megjam mayin pon manouk manouk ltek ke kek
