audio_file	reference	hypothesis
spontaneous-speech-bxk-47921.mp3	A eliwo bitima birambisyibwa nende kamani ke inchini yani kamafura aa chabawo chi chindika necho chabombile ebyo nabyo byosi bikhola biryo sikila binyala khucha mubyalo khungila chintiti esi emotoka ekhaba taa pili sekenyikhana yanyola batecha bakali neya niyarura musifwo taa wakhaba mulala nekhusuta mala yasuta nebisu bisutwa byowo	Baytimailaisia nendekamanikini yani kamafuaaandika neucbombienenoboiolabio sekilainyalakucamubyalo nilainditi esimuokkaata ili siknyika naanyola ataakali noonoaromusifuawakaamulaa nekhosua asuaniisab
spontaneous-speech-bxk-47928.mp3	Byakhulya byosi aa chisiku chino bichilakho nende chikemiko sikila byekhulima bikali sana bikendela khufwatilayisa nende chikemiko chekhufuyilakho chechindwale Abundi kenyikhana bulayi nokhatekha taa basingakho bulayi sana mala belakho aa nekhutekha khwosi watakhulya bibisi taa	Bahulyabosi aa sikusino ichilakho nende tikemiko siilabykhulima ikalisana ikenilahufaanendeikmiko khufuylakho ecindali aundi enyikhanauanoatekhata asingaasana maablakho aanekhuekakwsiatakhulyaisita
spontaneous-speech-bxk-47933.mp3	Babandu baba nende buri mubandu oba burye mubandu babanabo khubakhongelesya khwabakhola busale ngawabakholele busale mala wabakhola baba nebumanyilifu nine omundu niye babane nabo balimo nekumwiyikino ari babandu abobo nga sekhubarafwirakira tawe khubakelesyila busa kalaa khukhwola nga nibamanyila	Baanu baba neui muanu aui muanu aana kubakhonglisya kwakhulausaaleakholebusale aakaa nmanyilifo nenomundu nao aene nalimnkmkioaabanu aoo akhuarafilalatae uakelesauskalakhulaniba manyia
spontaneous-speech-bxk-47955.mp3	Bya soshyo midiya biyushanga bukhwale chisiku chino ndi bakhasi balekha khula khufwayo babami babwe nebabana bebilila bye munju balabilila-balondelela chisiimu bela khulusiimu bebilila byomwana	Bassonia yusyanga ukhale isiku cinondi bakhasi balekakulehufayo baban baen baana bebilila byemuno baailila balondelelacisimo elahuusimu beili laboma
spontaneous-speech-bxk-47959.mp3	Omusali womwana ofwana aryo emulanga imuwa kamakesi indi alole bakansala bayete omwana omusoleli wewe nakhalolile bakansala taa ayile omwana yuno mwisikuli sye aleyi amurusye busa mu mu mubikosi bisyalimo bisyamanyanile ninabyo	Bomusali omwanouanao emlaemoa kamakisi inalolebakasaa bayete omwanomusolioo naoleleakasaletaaile omwana sikuli lei amussammksi bisali mobisamanyanile milekaaik maa anyoli biksi ila
spontaneous-speech-bxk-47967.mp3	Bukosi bwekhungudo papa serekari mukhubirira mubasikari babwe ba trafiki sebakholanga lelo ekasii bulayi tawe bandu batrafiki bano yani kasita obanyolila kitu kidogo omundu okhali treyinidi khulukuto yani kakhakhola kamakoso ata sebaa seba mudisipulina tawe	Busibwkuuto aseklikubiira askao babaafiki sakhoangaleleasiulatawi andu aafiki ono yneanyoaktoi omunulinifuuuto nkhoakamakoso atasa muisiulnaawe
spontaneous-speech-bxk-47971.mp3	Kwancha okhoya waba ofunikha mala warekeresya nisyo owasyowo akhuloma obata mwarebana mularebana kasita mwaba mukanikhana nemufukilisyana yani elomo komyunikesyoni komyunikesyoni enamala yakhalikha aba butinyu bwecha	Baa ywaba ufunikha mala warerisa isosyakuloma obaa mrebanamularebana asa mwaba mukanikhana nemufukilisanyani iomokomnikesonikomnikesoemaliakhalikha aabutinyuweca
spontaneous-speech-bxk-47978.mp3	Engeli endayi yekhurumikha yekhurumikhila intanenti mushalo indi iye khu yi ye khuyima embuka khwakipa tayimu khwalondelela embuka bulayi nono khwayenjelakho bibindu byekamasomo kenyikhana khuendelee khuryena nekhwacha intanenti yino lakini bibindu byatikitoko bino birareranga kamakhuwa mungo	Binakhuunakuumia enai sao ku uyeiukaapaakandeelaukaokhwance lakuiiikasowenyakanakhuwedelekhua okhuwcauetatani ndiatitukolaaaakhua
spontaneous-speech-bxk-47983.mp3	Khubayanga chimbusi khubayanga chikhafu khubayanga kamakhese khubayanga chipuusi khubayanga chimbwa nende chingokho nende kamapata nende bibindi bikali sana	Bubayanga imbusi ubayanga cikafu khubayanga kamakese ubayanga iusi khubayanga ibwa necingokho nikamapata niiinibikalisana
spontaneous-speech-bxk-47994.mp3	Khawukha khamuniafu Aa khakhoya bandu belinda nga bubwiyikinwa esi bayesanwa babwe pili bandu baba nebepimisya buli nyinga yembuka fulani ili bamanya sitatasi chabwe	Bafu a khaanublindanga muuikinwa isuaesanwaabweili anuabanibepimisaulinyinga ebukafulani iliamanyesa tasabwesoamanya
spontaneous-speech-bxk-48047.mp3	Munjju mwange nenyikhana embune neye mala esiimule nekamechi nesabuni nga namalile khusimula ne kamechi nende sabuni nengonangona mungaki muno nendushamo lububi bindu byosii bibingilamo bikhali bilayi taa nekhupaka lufumbi neruramo munjju mwange mwarama mumiliyu nekhala nga nasangalile	Bumai enyaka neelise maloleeameineesaanaalilekhusiameiiesaonaamuakmonedusamoli induboiklaikhalilata nekhuakamluineuumo muumai maaaenkhaaasa
spontaneous-speech-bxk-48061.mp3	Omundu wekumutambo nowenya khumuyeta onyala wakhunga babandu khusyalo niyokhwikhale mala baa bachanga bachangila omundu oyo chisendi nomundu oyo anyola khu anyola buu bubwangu	Bomunu kmutamo nekwnyakhuomuyeta onyla wakhunga aandu usyalomykhwikalemalaa bacangaacangilomundu ochisendi omudu anyolauanyolakhu bwamo
spontaneous-speech-bxk-48070.mp3	Khwenyikhana khwara chiretyo mubirekere byefwe wakila babekhali bamanya bibilikhuchililila mubyalo nende musibala syosichana kakila norawo eretiyo basakhulu nebalosi bosi balasa balawulilanga baloba busa khunywa kamalwa nebamela taa mala barekeresya bili khuchililila musyalo	Benykaakwaret obirekere byfe wakla babali bamanya bilikhuitiila mualo nimusia lasosiaakla noaeeo basakhuli i siaaalaulilanga aloakhunasaamaeneameaa malabarekeisya bilikhuitila musalo
spontaneous-speech-bxk-48121.mp3	umwami yesi kenyikhana warekeresha babandu bewe sikila niye aaa obarangilila ari noharekeshe tawe aba somanya nibo orangirira tawe sikila nibo orangilila benyikhana bakhubolera newamanya ubayeta oryena butinyu siina nibwo bali ninabwo	Bmwamiesiknyikhanareklesabandu bewe sekla nie a obarangililaalinukhaekesiawi abasomanya niuhoranili tawi sekla nibu rangilila yina akhuoolila nwamayoayetoautinyusia nibobalinao
spontaneous-speech-bxk-48127.mp3	umwami ali nende khurekeresha babandu bewe sikila kenyikhana amanye chishida che babandu bewe musisinja shewe nyo siisi sikile abayete kila chishida chabwe	Bai alinende khukrisyababanu bewe sikla nyikhana amanye ciia ibaanu bewe ssia sewenoikili aayetia isida cawe
