audio_file	reference	hypothesis
spontaneous-speech-top-21770.mp3	Nak kin pulataman pulux nachu lilakgapaskan muxusipi xtachiwin luwan Polutla lakgachixkuwikán sikulán tapakuwi La Asunción nikula kilhtsuku ja[UNK]e tamaxtumit paxkua ne talakatitayana nak pusikulan takpuxkún tsuku tapukipula tumin nak chiki pulataman nachuna taputsa tinakakgetaya sikulan ne nata natamakgtayanan la xanat chu pala natlawakán pinila mole wanikan xtachiwin luwan laktsiyunajli lakgpuskanitni ta[UNK]an taswakga pin limakxtun chu natsukukan ta tamuju chow kamawikan lakchixkuwin ne ta tawali tsukswit wama tsukswit likaxtlawanankán xlakakilhtin sikulan na chuna ana ni ya sikulán tsukukan putsakan ne chixku nalhkuyu limapankgan ama cohete na putsakan tinatatlakgnan wa chima lax xtalakgati lajkgolon makgán música de viento na wilapá tatantlí lakga lakgtsitsekge tantlin uyu takgchokgonankan ankan tiyakan sikula nán nak tun chiki xlakata natakgchokgonan liputum pulataman tlakgtiyakan nama sikulan nalinkan chi nak pusikulan nachu an ti ama tlawa ama xtachiwín es dios wa chi padre putsakan ti ama akpuxkun xakata na lhawan li lanka pulataman nachu tamaxtumikan xalakatunu ne kilhsu kilhtsutalamana wakg ta'an limakxtum uyu xlismalankgan tawila este tatsalanan kawayu takgamanan wakax chu tlakgnamaka xli stiswanitachi wi tlakgnanin xlakata titanputum tatantli lipaxaw na lakgachixkuwimaka sikulan akxn chi chamajá est este stiswankgonit uyu lakgaxkgakgama tsukukán tlawakán lhkuyukán amá wanikán torito uyu tsuku laktsalanantapuli nak ana chi pupaxialhni nak Polutla xlakata lipaxaw na lakgo ja[UNK]e paxkua ixpaxkua sikulan La Asunción	aki aaa a akaaaa i i aa akak i aaak a i ik aak aa aakai ak aak u i ak i aaaaa aa inakakaa a aaaaaaaa aaaaaaii a a i akiia ak ai aaaaiia aakkaaa aaaiaak n ai aaa iaaaa akiiik aa i u aka i a aaaaaaa aakaaiaaakan aaaaaa akaaaa a aaaaaa aaaakaaaii ak aaaaa akaaka i aaaaakaa aaakikaaaaiaaia iak kaa iaaaaaaa i a aa akaiak akaaaa aaaaa aak ia aaka i i aaaaaaaaiak i aaaa a aaaaaaaaaaaaaa akaaaaa i i ia akaa kaaiiaa aa aa aaka akakkak iaaa akaaaa aaa i aaa i akaaa i a a ak aaaaa aa kaaaa
spontaneous-speech-top-32451.mp3	Akit kuentaja kimakni akxni kmakgpaxa xlakata tlan ninakinchapa tatat nachuna ktakuentaja lata kgota chuchut xlakata ninakinchapa tatat nachuna tu katsuntin la ju´u akin makgalaya nipxi kgoxkgewa manta chu lakchajan akxni ta´an nak katukuxtu akxi chi ana nak katukuxtu xkgajkgonita chipina nak akgxtakga makgpaxa makxapakana xlakata pala ya skgatinat o la laktlawana nak tsujtijia tawilana kitsistankanin la wakax akgchinchi tawila nama wanikan xkapa para namaktayayan chi nama xkapa pus namakgpaxkan xlakata nitu nachapayan laktsu tasapulit nachuna kakxila para kalhtukunin nani kama´an xlakata nakilhtuku nila nakmakla chu akit kuentaja ki makni	a aiaa a akaaaaaiaaaa aaaaaaa aaiiakiaaa a a i aa iaa i a a aaa iaaaa aa i aakaaaaa akaaaaaaaaa ai aaaaak ii aa aaanaaaaaai aaa a aaaaaaa a aaaa aai ak aa a ak aaaa aiaaa kaai ai iaaaak ai aaaiak n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n
spontaneous-speech-top-32454.mp3	Akit akxni kamajaxa pues pala kamalatahuila pues pus kan nak kin corredor nak kin sillon nak pulatawuilh entonces kama tahuila chi gkama kgotnan chi quin chuchut pala wi xa limunax pala wi xa laxis xa papaya xa tutawui o tamahuanit nachu kama tlahua kin chuchuth pala senama o loknan y kama haxa nak kin putama mapasi kin pulakahuan y kama akshila kin programa ne ma kit lakathi y chipala lhkakanan snun latahula nak kiltin y kotnan chi chuchut laxhis o limunash chu chu akit jaxa o kama lhtata chu akit haxa	ai aaa aaaaaaaa ak akiiiai aa aaaa aaaaaa ii i aa a aaa a aaa a aai aa aa aaaaa i ia aaaaiii aka aiiaaaakiakaiiiaaaka aa akiii aaaaaa i aa i aa i a aaia a akaa iakiaaaaaaaaa a i a
spontaneous-speech-top-32455.mp3	Akit klakgati tawa wanikan wati putsakan xpakgen sekgna nachuna xaliwa paxni skitit pakglhcha tinipin xpupukan xa sekgna witi lapu chu lakchukukan laktsu laktsu lakglhkgomakan min skitit chu makchaya min tinipin pakglhcha xlakata naswakgakan chu lakglhkgomakan xatalakchukun liwa xapaxni makgchikan makatunu uyu tankapikan xatlamank chu talhkgoyokan akgtun hora akxni lakakatsiya chanita tlana makutukan Akit klakgati snun xatamakchichin	a akaiaaaaiaaa akaaaka aa a aaa iiiaa iiii a a iia ak aak ak aaaa iii a iiiiiaa aaaaaaa akaaaaaak i aaa akii aka aaia aaa aa aak aak ai aiaaaaa ai akai aaak n n n n n n n n n n n n n
spontaneous-speech-top-32457.mp3	Akgchuchutstapu takgxuyujun taswakgestapu tachula lhkakastapu taswakgeakunkalin nachuna taswakge talhse paklhchapin taspuyujun xaskun tamakgnin pinila wati puxwekg talhtsila xamaklhtukuniwa chu xastapu pulaklh xa malhat chu xa stapu papukgo nachuna klakgati xpakglhat nipxi chu lakgchilix	ak a ak aaaaaaa aaaaaaaaaaa a aaaaaaakaa a a aak iiii a aia aak i aa aaaa aaaaaa a akai aa i akii
spontaneous-speech-top-32458.mp3	Ana´ nik lakltlawan kin pulataman lan tijia katilanka tayana lak lanka kiwi nachu lata ktlawama kakxila ixpipelekg skgawit tuta chu katilanka nachu wilapa akgtun ktsutijia ana´ nitanu putlaw wata talaklh tlawan wata ti kgalhi akchinchi chu xtakgatkga nak ama tijia mas skgawiwi wima tawilana kgiwi ni ni lakgakganankanit wili lanka kakiwi nachu tasikgo pupunu	aai akaaaakii aaaaiiaaii aaka a aaaaaak a ai aaiiaaa aa ii aania aaakaa iaaiiaki akaaaaaaaaiaaaa iaaaaaaai aaaai aaa a ai u n n n n n n n n n
spontaneous-speech-top-32460.mp3	Jé kinliktsu xaklakgati kakxila nikula matlawaninankan chu katsinilh nachu kgalhiya kin putlaw najkatsinilh matlawani bibivleta moto chu autobus lan takatsi	ii akakaiakiai aaaaaa aa aii a aiiii aaai aaaaa ii aa aaaa
spontaneous-speech-top-32461.mp3	Pus akit kamputum alakatanu este paxi akgnán kamputun lakapaxnán kamputun nikulá ama para tantasi niku kamputun porke akit wata lakatum tanuma tanputum nak me tutu nak metro lakgalhna nikulá ma amá tasi para lan	ia aaaa a a aaaa i aaa aiiika iaaaka a a ak aaaa aaaaiaaa n
spontaneous-speech-top-32462.mp3	Akxni kin laktsu xwanitaw ix akxila nak kin pulataman xlakata xwi lhuwa kiwin laklanka kiwin takuxtu xtatlawa lajgkgolon niti ix mawaka ama´ wanikan xkapaxikan xawat lajgkgolon xtalakgkuxtunan xtamakala manta nak katukuxtu nachu nix wi lhuwa putlaw nak tsu ktijia ix laktlawankan witi ix kgalhi ix akgchinchi xlin nak ix katukuxtu nak ix chiki o tu xlin nak akgxtakga ti sakgnan ana xmawakga nachu wilapa ti´ix chitnankan xtakgalhi puchitni xchankan chankat chi kin pulataman tunuta tuta wija lhuwa putlaw wi laklankga tijia nachu kgalhiya pupaxialhni wilakaja tilankga chu laktsukaman yan tachiwinanputun kintachiwinkan la ja´e tutunakú wakg ti talila nama laktsu likan laktsu puchiwin chi tunu kakilhtamaku la'e tamakgastakgnama lakchajan lakchixkuwin sokg tatamakgaxtokga niti nilakatitun talamana wachi makgan xakakxila lipaxaw xtalatama lajgkgolon chu litalakgapasni chi lilakgaputsa lata tastakmana laktsukaman	a iak i aaai aaaaaa i i akaa ak aaaa iii aaaaa aaiaaaaaa aaak aaaaaaaaaaaka aa ii a aak ii akaaaiika aki i aa a a ii i akaaiaaaaaaaa aaaii a aai aaa i aaa a a a akaaii a a a a i akaiiaa ak aaa a a i a aaa ak aaiaiaaaaak iaaku i aiaaaaaaaaaaaakaaaak aaaa a iiiakaii aaaaa iaaakak iaa aaaaaa iaaaaa aa aaaaaaaaakka
spontaneous-speech-top-32464.mp3	Ana´ niklama tayana tluwa kiwin nelan tastaknit lakgmakgan ama´ akit ne kakxilhnit ju´u nechankan laktsu puksnankiwi lhkakankiwi talaxkga nachu kakxila ana nitawakga xipa ixkiwi chalankan lan tastaka nachuna wi matlukg nawilapa wanikan kapulin kgalasni chu nawilapa wanikan chirimuya nachu makgalakan ne kiwin tayana o ne likuchinankan tasun nachuna wi tunu ne lakati litawaka xanat kgeskga wachi litasputla skururujaka chalankan tastaka nachu wi skururujaka wilapa akgxixitjaka lankgajaka y tu akin namakalaya matakuxtunanin ne lanka tastaka chalanka kukalhilh nachu este wilapa tapakuwi lhpaw y katuwa laktsu tawaka smukukanchaw wachi ama´ tapakuwi ix tachiwin luwan mango	aa aaaa akii aaaakiakaaaaa i k ii aaak i aaaiiaaaaaaa ka aaniaa a aaaaaaaaa aaa aaaa aiiaaa aaani ii a aaaa i n i i a a akaiii aa a iia a aaaa akaaaaaaaaa aaaaaaaaaaaaaaa aaaaaakk i aaaaaaa aa aaaaaaaaa aaak aaak a aa a iaa t n n n n n n n n n n n n
