audio_file	reference	hypothesis
spontaneous-speech-sco-31044.mp3	Aye I’d’ve loved to have been a professional gymnast I used to when I was young do flips but- and cartwheels but no you know professional And years ago we- the opportunities are different nowadays you know we didnae have these kind of a classes to go to But anyway I did take the opportunity when I was in my forties A gymnastics coach of the kids told me I should go to an adult class in Bellahouston So I did I decided to go and um there was a great wee coach Hazel She was professional And she encouraged me- I s- I told her I’d love to do flips She says well you’ve got the physique you’ve got the energy So she was so good at helping me to visualise going into this ball pit- we’re on a trampoline so I’m jumping the trampoline and she's just visualise a dolphin and it helps you flip into the- so you’re flipping into the ball pit What a feeling She was so good you know that encouragement At first I was all over the place Anyway so that was great to get that opportunity	ay tI loved o being a professional gimnast I used to ee ben I was Jong de flips but and cart wels bit mo do you know professional and years ago we the opportunities of diffirint neverdis you know we didnto have thece kind of our classes to go to but anyway I did take the opportunity when I was in my fortis I gymnastic coc e the kids told me as sho got an adol class ind belahustin so I dads I decided to go and them there was a grat we coach hasol she was professional and she encouraged me as I told ar Id livd i te flip she says whill youv got the fisice youve get the energy so she was so good it helped me to visualise ginginto this bulpat wer on a trampling so me jumping the trampling she’s disvisualise adolphing and it helped she flip into the so you’red flitting into the bulpit what Ie feeling she was so good o know that encouragement and first I was all over the place anyway so that was great to get that opportunity
spontaneous-speech-sco-31052.mp3	Oh- my- I love my- I love my wee Jackson That was my wee French papillon my wee dog But he- he passed away two years ago but do you know he’s- he was just so protective towards me He also- ‘cause I was always- if I was at work or I was buzzing aboot- I would sit doon at night and he would make sure he pounced on me to get me thinking “Oh that’s me I’ve got her noo” Anyway one of my daughters would say “you’d think you bored him” as if he was my child – he was just lovable But anyway he passed away So my pets are my grandcats and my granddog I’ve got a wee dog that um one of my daughters have got and I’ve got two cats two other daughters have got And I’ve grown to love the cats I’m no a cat person but I’ve grown to love them and my other wee dog	oh my I lof my I loft my wee jacks n niwas my we for enge pa po and my we dog but ether you passed a way two years ago but you know  he was just so protective towards me e al so because I was always that if I was it work ar I was butin about I waus sit din it naight and he would make sure he poundsed on me to get me thinking o ats me Ive gotn e anyway in of my dogs woud say you think you bogt him sv o was much ild he was just loveable but anyway he passed a way so my pints are my grand cats and my grand dog Ive git I we dog Um in of my dogts of gont Ive got two cats to other doghts of wort and I’ve grown ill of the cats Ime now I cart berson t I’ve grown ill of them and mother we dog
spontaneous-speech-sco-31055.mp3	A good party for me is really letting your hair doon right Dancing a' night karaokeing doing limbo dancing – just having great fun you know everybody just joining in Having fun the great atmosphere you know just letting your hair doon - that’s it It’s eh- for me it’s the music as well The music’s got a big part in it and the company the people that’s there - that makes it So if it’s a celebration whether it be a birthday you know like a big birthday for me it’s who comes to it that’s happy for you and you know you can just be yourself You just don’t need to- life’s too short to be somebody else so when it comes to a big occasion – be yourself	a good party for me is really liking a herding right dansing a night carrooching dong lumbow dansing just having great fund you know everybody jis joyng in ind having fun the great atmosphere you know just likeing you terting thit sih it’s Eh for me it’s o music as well the music’s got abik partnert and the company the people that’s there that makes it so if it’s a celebration whether it’ be a buffdey you know lat abik buffodey for me it’s who comes to it thit’s happy for you and you know you can just be yourself you just not tink o you likes to short to be somethil so when it comes to a bik occasiong be yourself
spontaneous-speech-sco-31061.mp3	One of the stressful things I would experience in a workplace one of my jobs years ago was how people speak to each other You know the stress that people would feel because they had this fear of like a boss coming towards them or people in a different position- they would just crumble and that- I would be stressed for these young people so I would go and challenge them I'd think it was unnecessary I thought don't treat somebody how you don't like treated yourself So thankfully I did always have that courage in places of work where I just thought no- nobody's treating somebody like that- I could not tolerate it so- but it was stressful because you were taking risks as well	woneo thes traceful thinks I wit the experience and I work place won imaginab t earse ago was how people speak to each other you know the strace that people would feel because theyad tis fear ar you like a bos comment towards them or people in a defirint possession they were just crumble and that that I would be strace for these young people so I would go and challenge them I think it was unnecessary I thogh don’t treat somethyng how you don’t like treatige yourself so thankful tike tId always have that courage and places I worke where I just fought no nobodys treating something like that an if I could not tall i it it so but it was traceful becaus you were taking rest as well
spontaneous-speech-sco-31069.mp3	The- the biggest moment of joy that I’ve had in my life is when I went to see Prince for the first time two-thousand-and-eleven went to see him at this festival and eh I think Tinie Tempah was on before him Tinie Tempah who is a load of keech and absolute murder and I wouldnae wish him on my worst enemy for anybody to hae to listen to him but he was on first and then Prince came oot and he played for aboot twa and a half hours three hours something like that and eh when he did Purple Rain I just gret I was greeting my eyes oot for probably days eh but it was tears of joy ken joyful greeting definitely the best moment of my life	the the biggest moment I joy that I ave head in my life is when I went to see prince for the first time two thousandand eleven went to see him at this first of all and ee I think tainy temper was on before him tiny temper who is a lod af kikh and absolute murtir and I woudn the mush him on my worst enemy wer anybody hat a lesson to him but he was on first and then prince came out and he played for about twana half aurs three ors someing like that and e when he did partle riing I’s just gret I was greting my is ut for  probably days e but it was tears of joy kaind joyful grating definitely the best moment if my life
spontaneous-speech-sco-31073.mp3	One of my biggest fears for the future would be social media – the effect it’s got on young kids ‘cause I’ve got my two young grandsons and I just feel you’ve got to be on top of it constantly because there’s so much It’s like having a predator in the home sometimes It’s got its advantages but it’s also quite dangerous for young people that’ve got access to a lot of danger on you know social media that can have an effect The way they can take things personal with maybe being the bullying side so that’s one of my biggest fears for you know the- the younger generation for the future	one of ma big is feels for the future would be social media the affect it’s got on young cads ecas ’ve got matori young grandsons and I jus feel you’ve got to be untopit constantly because there’s so much it’s like having a play t to home sometimes it’s got at’s advantages but it’s also quite dangeross for young people that have got access to a lot of danger on you know social media that can have n affect the way that can take things personal wve miby been the billing side so that’s on of ma big is faers for you know the the younger generation for the future
spontaneous-speech-sco-31076.mp3	One of my f- favourite teachers was in primary school She was so cool She’d take no nonsense right but I loved her ‘cause she had a motorbike She would c-come to school every day in her motorbike and I loved- she was just a pure rock star but she was elderly but I had this- I’m no- I’m- this sounds like ageism here but ‘cause you’re young you think somebody in their forties is really old or fifty so you’re young and you think oh my god she is so cool but she was great She was good at encouraging you I always remember that but she would- I- I would look up to that teacher She was so good	wenni my fet favourit teachers was in primrisco she was so co she’d take no nonsense rite bat I lovder caus sead a mot arboit she would  com y school avter dan ar mot arboit naw of she waud just ar poors rocksta but she was elderly but  there’sd I’m nhog I’m tis sons lie o dis m ye but because you’re young you think something in the fortinstis id really older fifty so you’re young you think o my god she is so co but she was great she was good to encouraging you Id remember that but she woud- I I would look up to that teachers she was so good
spontaneous-speech-sco-31080.mp3	My favourite film’s Chicken Run and if you disagree with that then there’s something wrong with you ‘cause it’s quite clearly the best film in the world if you ask me Animated chickens I mean what else what else could you ask for that’s just fantastic it’s Aardman that do it so ken them that dae um Wallace and Grommit and eh it’s the struggle the strife and struggle of these chickens that are a’ cooped up and how they want to escape and- and have freedom and live their best lives and I just think it’s absolutely marvellous so yeah that’s my favourite	my favourite films chicking rune and ife you dis agree with that then there’s omhing nong with you ‘cause it’s quite clearly the best film in the world ive you asked me animatete chickins I mean what else what else could you ask for that’s just fantastic it’s artman that dey it so kan them that they em wals and grom at and eh it’s the struggle the strife and struggle it es chickins that are a coped up and how they want to escape and and hove freedome and love thir best lives and I just think it’s absolutely marvelless so eh that’s my favourite
spontaneous-speech-sco-31124.mp3	Growing up with my parents when I was young there was a lot of good memories but my twin was my mammy’s favourite so she was a bandit to me right But see my daddy I was his sweet pea he loved me He made up for the love that my- ‘cause my mother- you’re trying to find your identity when you’re young right you’ve got a mother telling you she wants you to be like your twin and I’m like oh my god it’s hard enough trying to find your own identity never mind wanting to be like somebody else But my daddy he made up for that- but I’ve got really good fond memories of my parents you know they did d- they were just lovely They tried their best	grown up with my parents wand I was young there was a lot of good memories but my ting was my mamy’s favourite so she was abandant to me right but sey my daddy I was e sweet pe he loved me he made up for the love that mat cause my mother you’re tried to find your identity win your young right you’ve got a mother telling you he went she o be lik your ting and I’m like a my god it’s hardly enough rie to viind your on identity a never mined wt o be like some of tels but myy daddy he made up for that but I’ve got really good fond memories of my parents he know the that rat they were just lovely they tried ther best
spontaneous-speech-sco-31127.mp3	Best- that’s a good question how do I try and save money the best way for me to try and save money is to no go to Starbucks so my pal got us recently well last year a couple of year ago maybe into coffee I’ve never bothered aboot coffee I would just waken up in the morning and that’d be me didnae need a kick of energy or nothing like that he got us into the iced coffee and eh that’s been me hooked absolutely hooked and so it was Starbucks is what he introduced to us and that’s where I’ve been going and that’s where I’ve been spending a’ my money So to save millions of pounds I just dinna bother going to Starbucks anymair	bit that’s a good question how do I tring save money the best wife for me o trying save money is to no go to starbox so mapal got as recently well last year a copl of year ago maybe  int ta coffee I I’vint ever bathered to boot coffee I wod just wacking up in the morning and that wod be me didn  need a a kicko energy or nothing like that he got is int of the ice coffee and e that ’s been me hooked absolutely hooked and so I was starbox as what he inteduced et is and that’s wheye I’ve been going and that’s whye I’ve been spending an my money so I save millions of pounds i jus theng a bather going to starbox anymere
