audio_file	reference	hypothesis
spontaneous-speech-tob-34711.mp3	Da laqtaxanaxaq so huau qalquionecpi eta Ietaqta ndoteq añaxaicpi qaica qa ivecteq qaiqa ca saha'non ndoteq da lasapachaxa na naa' cahuataguet na n'te nache uxute nottesheguem nañamaxateq ihehiamaxatiguiñe na loquianaxate l'cheqneq enauaq na lentaxanaqte caiqa ca l'lia cailaque ndoteq ualeq na nenaxa shiguiaqpiolec cataq napaxaguena na da huoo' qa adaqtq ioctaha da ahesa unoleq so laqtaca so qaitataleq ipaqchegue cata huoo' na canchiguiñe nache vanhuachegue camachaqatee' na nollecolec ca eca canclaxachegue cam machiguiñe lamaeeq so naa' caica so canbane so laceguee' ca la maeeq huoo'	Da laqtaxanaxac so huau qalquioloxonecpi eeta' itaqta ndotec añaxaicpi qaica cam ihuettac qaica ca eta' saanon ndotec da lasapachaxa huo'o yena' qaiata'aguet na nte' nache oxote nottashiguem na iamaxattac ýaýamatrapiguiñi na lloquiaxanaqa'te lchequenec enauac nam lo'onataxnaxatpiolec qaica ca l-llaqa ilaique ndotec na huaalec na nonaxa shiguiiacpiolec qataq napaxaguena na da huo'o ca l'aqtac nache yaqta'am eesa oonolec al'aqtac som qaiatatalec nache ipacchigui qataq huo'o na qaiachiguiñi nache qanuxaachigui qam achaqcata' qaiachiguiñi ye'ena' na llecolec qaq qanqlaxatchigui qaq machiguiñi huo'o da namaic yena qac ca sa qanauale'aca lasheuoli qalaxaye danamaia lta'araic huo'o agui
spontaneous-speech-tob-34712.mp3	'Aja' aso luaxai nche nacheso asa'aso nataq'en chec co'ollaxa na Qom asa'aso lqo qataq aso lacheugue nache lioxonaxaqui na alpi yi huaña da deioxon aso luaxai nche qaiauot cha' qaica ca yioqchigui aloq yi na'a'q nam Qompiolec	Aja aso luaxai che nachaso se'eso nataqa'en chec qo'ollaxa naqoma sa'aso lqo qataq aso lacheugue nache lyoxonaxaqui nam alpi yiuaña da dioxon aso lhuaxai che qaiauot chena' cha qaica ca oqchigui aloq  nam qopiolec'i
spontaneous-speech-tob-34713.mp3	ra qainataxalec so nallec nache qainat asa aso ilotegue ñi nmenaxanaxaqui ra neguetoñe lasheue ra ila'a ra nalotalec nache iache enauac ca qaiuetaique yem lma' cam lhuenec ca nallec	Da qainataxaalec so nallec nache qainat asaaso ilotegue ñim menaxanaxaqui da negueto ñi lasheue da qila'a da nalotalec nache iache enaua ca qaiuetaique yi lma' cam lhuene ca nalec
spontaneous-speech-tob-34714.mp3	Hua' cam l-lla na'a'q huo' cam so'ot i'onatac cha'aye dam i'onataxanaxac naxa aýem ño'oxoosheguem na nma'pi noýicpi nacheda da ýi'onataxanaxac nache sehuatta'agueta que'ecaua na'axa'te da so'onataxan nacheda cam so'ot ýi'onatac	Aua a  l-lla na'aq huo'o cam so'ot ý'onatac cha'aye dam ionataxanaxac naxa aýem ñoxosheguem na nma'pi noýicpi nacheda dam i'onataxanaxac nache seuatta'agueta que'eca hua n'axa'te da so'onataxan  nacheca camso'ot i'onatac
spontaneous-speech-tob-34715.mp3	Eye imaa que eca alo chetaague da roc o' nache huoo' ca l'lia lcalya la nohole lasoro co latee nache enaguaq na da cailotegue ca aca roc o' da qaica qamchaca nachalataxaq	Yi ima' aca aca alo da cheta'ague daico'o nache huo'o aca'aca l-lia lqaia lasodo lcote qolate'e nache enaua naua pa'aiguita da qailotague aca aca alo da cheta'ague da ico'o qailo'ogue da qaica camachaqca damn chataxac
spontaneous-speech-tob-34716.mp3	Da l'aqtaxanaxac som hua'au qadhuo'pi ecta' onoolec da látaq ñi'ñi qaiatalec nache qai'ot qatac qaica ca hua'axaia na doshe l'aqtaqa ndotec Qom	Da laqtaxanaxac som huau qarhuo'pi ta' oonolec da laqtacñiñi qaiatalec nache qaiot qataq qaica ca huaxaia na doqshe   n notaqaa
spontaneous-speech-tob-34717.mp3	Aýem yiqopita da so'ot que'eca noýic da ño'oxosheguem qataq onaxaic dam dam eda onataxanaxac cam eca noýic l'o	Aýem yiqopita da so'ot que'eca noýec da ñ'oxoshegom qataq onaxaic dam dam eda onataxanaxac cam eca noýic o'o
spontaneous-speech-tob-34718.mp3	Aiem ra io'ot ca ilagaxayec qataq samachiguiñi ra huo'o na io'onatac yo'oqchigui so'onataxatac cha'aye re'era ionataxanaxac ñaquittaguet ra huo'o ca saconguet anoq lasheue	Aýem da i'ot ca ilagaxayec qataq samachiguiñi da huo'o na ionatac yo'oqchigui sonataxatac cha'aye de'eda ionataxanaxac ñaquita'ague da huo'o ca saconguet aanoq laheueei
spontaneous-speech-tob-34719.mp3	Qom aýem ýi nache sauotaique ñimatic ñisooñi cha'aye som eso i'onataxanaxac ýataqta sapa'atta so pa'atrec vi'i'ye	Qom ýi nache sauoteque ñimatic ñi so'oñi cha'aye som eso ionataxanaxac ýataqta sapa'atta sompatre viiye
spontaneous-speech-tob-34720.mp3	Qom ivita da aýem ýi nache sauotaique da aýem qaiatalec nam souaqta'a qadma'	Qom ivita' da aýem ie ye sauotaique da aýem qaiatalec nam  souaqta'a alma'
spontaneous-speech-tob-34721.mp3	Aiem ca naa iataqta onaxaiq ña cashen da ivita ca iñoxoqui nache iallona na igualpi nache iquiaxahuapi	Aýem ca na'at ýataqta onaxaic  da ivita que'eca iañoxoqui nache ýaionat enauac na iuarpi nache iqui axauapi
spontaneous-speech-tob-34722.mp3	Comi na natannaxanaxapi comi huetaielo nache huetaie ñe aviac qaq naye da ñahuanaxa na doqshec nataqaen saxaua ñe natannaxaqui	Qom na natanaxanaxacpi qomi huetaguilo nache huetaye na viaq qaq naýe da ñauanaxa' nam doqshe nataq'en saxau'a añi natanaxaqui
spontaneous-speech-tob-34723.mp3	Na lyia naqtahuo ñeñiamaqtaxaguet cha aye ñecoñaca na ioquiaxaneqpi maye qaiotta ye hueteña Ñamaqtec	Na l-lla na'aq natauo ýaýamaxattaguet cha'aye ñiqo'ona ca iqaiañicpi maye qoioqta yiueta ñañamqaqtac
spontaneous-speech-tob-34724.mp3	Ayem iataqta ñeqopita ra salectaua ca laponaxac na qom huo'o na laponaxac na rasotaxaicpi qataq na iaiaten ana nviquepi	Aýem ýataqta yoqopita da salectaua ca laponaxac na Qom huo'o na laponaxac na dasotaxacpi qataq na ýaýaten ana nviqupi
spontaneous-speech-tob-34725.mp3	Aja' so pa'atec naxa'ate ra salleta'a se'eso naniguishe cha aso naiñic llale mashe sogote huo'o na lauoxo taq huo'o so naniguishecpiolec iottat'at nam lauoxo	Na a sopaterec naxate da salleta'a se'eso nañiguishetsh aso naiñec llale mashoxote huo'o na lauoxo taq huo'o so nañiguishecpiolec iotta'a nam lauoxo
spontaneous-speech-tob-34726.mp3	Nam ralaxaic no'onatac saiaten nache na ñoxosheguem na n-iec da imetom ra ime na noyec nache anac ra sa'amen cha huo'o na maiche la'amnaxac na noiec	Na dalaxaic n'onatac saýaten nache na ñoxoosheguem na nýec da imetom da ime ñi noýec nache ataxanaac da saamen chaq huo'o na maiche l'amnaxat na noec
spontaneous-speech-tob-34727.mp3	Da ivita ca iañoxoqui nache huo'o ca siiaxaneuga ca iqaiañecpi so'otac ca qaraponaxac qataq qarquiaxac lta'araic	De ivita'a ca i'añoxaqui nache ahuo'o ca siýaxaneuga ca ñaqaianecpi sootaq qa qadaponaxac qataq qarquiaxac  ltaraic
spontaneous-speech-tob-34728.mp3	Na la'ashaxac na ñaqpiolec nache ana huo'o ra qaio'ot ana queloque qataq huo'o na io'ot ana lalachiqui	Na la'ashaxac na ñaqpiolec nache ana huo'o da qaiiot ana queloque qataq huo'o na iot ana lalyiui
spontaneous-speech-tob-34731.mp3	Aiem yeqopita ne'ena quiyoc lo'oc qataq na chiguishe lo'oc	Aýem yiqopita ne'ena quiyoc qataq na chiguishe l'oc oc
spontaneous-speech-tob-34735.mp3	Enac da napaxaguenataxanaxac iuen da auioi' na adhuaxa'ye da aumat dam ad'onataxanaxac	Nna r napxaguenataxanaxac iuen da auýe na aduaxaye da  amat dam aaaxac
spontaneous-speech-tob-34746.mp3	Cam huotaique huo'o ca imenec na ima' nache nahuole qataq lapat nauoc	Coama huotaique da imenec na ima' nache nauole qaltaq lapatna n auoqoc
