audio_file	reference	hypothesis
spontaneous-speech-led-64034.mp3	A dho ley nyi vi tsì ya nyi ni dhi nà ya ngǎ nyi nì dhi nà a dho ley nyi vi tsì nyi ra mí nga à dho ley nyi vi tsì nyi njǎ ŋangá à sà ndèy mí nga nyi ra thì ŋǎchú nyi dho tsònì njuw ŋǎchú nyi dho rà ddawa dzà nyi nì nyi njey ŋachú fú nì wá nì ndèy nyi dhokpa ley mí lò ò	À dha ley nyi vi tsì ya nyi nì dhi nà ya ngǎnyi nì dhi nà à dha ley nyi vi tsì nyi rǎ mí nga dhalé nyi v tsì nyi njǎ ŋǎnga à sà ndèy mí ngǎ nyi ho thì ŋǎchú nyi dho tsòw nì njuw ŋǎchú nyi dho rà ddǎwà-dzà nyi njěy ŋǎchú fú nì wáho lèy nyi ì te nìy wá fú lòkó
spontaneous-speech-led-64042.mp3	À ji ndrǔ gwiy dùdú ní nzòw Ddrà mí lò nà a ji ka dhǒ njàddí lò mí ngǎjìní nga fú nzòw dhò a ji ka bbú ddiy má cha nzòw nì jǐ nì nzòw dho a ji ka ndrŕ nzòw chow li ró njǎddǐ à jì ka cho nzòw rǎ sùkúl ò	À ji ndrǔ gwíydùdú ní nzòw Ddrà mí lò nà à jǐ ka dhǒ djàddí lò mí ngǎjìní nga fú nzòw dho à jǐ ka bbú ddiy mácha nzòw nì jǐ nì nzòw dho à jǐ ka ndrŕ nzòw chow li ró njàddí à jǐ ka cho nzòw ra sùkul ò
spontaneous-speech-led-64044.mp3	Nyû má cha drǒ ma jì ma dho rì ma dho kùwkùw ní ma dho rì ma dho rì chì nà ma dho rì kungálá nà ma dho njàddí rì ngǎ chì ní ddí ma dho nyù fǔchú ddí ma dho bey béy ní kàss nà ddí ney wánì ddiy jì ní ma dho rì ney ma jùw ónga jì ní chú ddi ney	Myû má cha drǒmà jì ma dho rì ma dhi kùwkùw ní ma dho ma dho rì chì nà ma dho rì kónglá nà ma dho njaddí rì ngǎ chì ne ddiy ma dho nyù fǔ chú ddiy ma dho bey bbéy ní kàss nà ddí ney wá nì ddi jì ma dho rì ney ddè ma jùw ónga jì ddiy ní chú chú ney
spontaneous-speech-led-64045.mp3	Ndaní à léy mà déy lǎní mà làyi nà ndaní à léy mà déy bbalè mà kǎ ddiy ddí zž ney ndaní mà rř mà ndaní mà déy màtsò gba ddǐngǎ dhi mí sâ mà nà ngǎ ngǎjìní lò déy ngǎ mà déy mà rř ney mà njúw mà tsò ddí ngǎ lò ní nzǐ à mbǎ ngéy ní lò jì ngéy ngéy ní mà mà kàó fú lò chú léy nì mà déy lǎní bbalè ní mà kàó	Ndaní à léy mà déy lǎní mà ley nà ndaní à léy mà déy bbalè mà kǎ ddiyddí zz̀ ney ndaní mà rrr mà ndaní mà déy mà tsòw gba ddǐnga dhi mí sâmà nà ndní ngǎnga jìní lò déy mà kǎ mà déy mà rr ney mà njúw mà tsòw ddí ngǎ lò n nzǐ à mbǎ ngéy ní lò jìngéyngéy ní nì mà kà ó fú lò chú léy à nì ji mà déy lǎní bbalè ní mà kà ó
spontaneous-speech-led-64046.mp3	À jì ma rǎ dròdró ní ndrǔ dè ndrǔ bbú ma dhò lǎní bblǒ thíy à ngúw mí jǔw cha ma dho dey ndanà lǎní nì cha ma dho ndanà ma rónga pbò lǎní nì chú ngéyngéy ní lò dho nzǐ ndanà ma thíy sà nì ndaní ma ká dey ndanà lǎní nzǐ ma ká nga ddey ndìy nzánà ma rà li thíy mí dhi chùw	À jì ma rǎ dròddó ní ndìydrǔ dèy ndrǔ bbú ma dhò lǎní blǒ thíy à ngú ma jǔw cha ma dho dey ndanà lǎní nì cha madho ndanà ma rónga pbò lǎní nì chow ngéyngéy ní lò vi nzǐ ndanà ma thíy sà nì ndaní mà ká dey ndanà lǎní nzǐ ma ká nga ddey ndìy nsánà ma rà ddiy thíy ní li chùw
spontaneous-speech-led-64047.mp3	À dho ley bbalè dho klǒwklǒw ní dza ss̀ à dho ley bbalè dho ìdhí nzòw cho sùkúl ò à dho ley nga nyùdha ddí dho dey lǎní dzakǎ à dho ley njàli dho tdiytdiy ní lò jì njèy ndèy bbá	À dho ley bbalè dho klǒw klǒw ní dzass̀ à dho ley bbalè dho ìdhí nzòw cho skúl ò à dho ley nga nyùdha ddí dho dey lǎní dza kà à dho ley njàli dho ddiy bdíy ní lò sì njèy ndèybba
spontaneous-speech-led-64048.mp3	À léy bbalè sà ì ngǎ njí nì ddiy dho à léy bbalè ngû gbúdjá ní à ley bbalè ngû njày ddá ní à lêy ngǎ njí nì ddiy dho à ley bbalè sò ddí nzá ngǎ bbalè nì nyǔ'wiy nà bbalè nì dey ddíyà nú fǔchú fǔchú ngǎ njí ní fúddiy chú sà bbalè vǐy ddí yà ngǎ ngǎ fú ndrú vi njèy nì lò nì ndèy fú ro	À lêy bbalè sà ì ngǎ njí nì ddiydhò à lêy bbalè ngû gbú djá ní à lêy bbalè ngû njèyddá ní à lêy ngǎ njí nì ddiy dhò à lêy bbalè sò ddí nzá ngǎ bbalè nì nyǔ 'wiy nà bbalè nì dey ddíyà nú fǔcú fùcú ngǎ njí ní fúddiy chú sà bbalè viy ddíyà nǎngǎkkí hi njèy nì lò nì ndey fò
spontaneous-speech-led-64049.mp3	Ndaní à bbíy mà ró djùw ò lǎ ní nzǐ ma chǔw dhi ngengéy ní dhi jì nì ney fu ndèynì fú dda ò luw nì ndaní nzǐ mà chǔw fú dhi mà mbř fú dda à kwó mà ró jùw tsò lǎní ya nyi nì ney ngengéy ní dda jì nyâ ddrǒ à nì jǐ màtsǐ ŋánì cha màdho mbr nì ndèydho màró jǔw ó nga kwo lǎní mà kà ó nì	Ndaní à bbíy mà ró jǔw ò lǎní nzǐ mà chǔw dhi ngéyngéy ní dhi jìnì ney fu ndèy nì fú dda ò luw nì ndaní nzǐ mà chǔw fú dhi mà mbr fú dda à kwó mà ró djǔwtsò lǎní nya ney ngéyngéy ní dda jì nyá drǒ ne ji mà tsǐ ŋánì cha màdha mbr nì ndèydho màdho mà ró djǔw ónga kwa lǎní mà kà ó nì
spontaneous-speech-led-64050.mp3	Ma thì nji ma ɦîy mí nga ma ká dzá-nga tsùw ma njúw nò tsò nji gbělé ma ká dduwdzá cha ndèy tèy nì njuw ma gbú ma tsǔw bbayi djú nga ma fú sǎ nà ma mbr dda-líylíy ma ká màtsá djow tduw ma rǎ ddíyà nza ò	Ma thi nì nzǐ ma líylì mí ngǎ ma ká dzánga tsǔw ma njúw nò tsò nj bběléy ma ká ddudzá ha ndèy tèy nì njǔw ma gbú ma tsǔw bbey djónga fúsán ma mb ddalíylí ma ká màts djò úw mà rǎ ddíyà nzaò
spontaneous-speech-led-64051.mp3	À ji mà rř fú ndrǔ chuw ndaní fú ndrǔ mbr ì nì dǐchú dròdró ní bbalè à nì jǐ mà njěy fú ndrǔ dhí njí à nì jí mà njěy fú tdrà ní lò mà ngǔ mà fú ndrǔ ka ss̀tò ndaní nzǐ fú ndrǔ mbr ì gbè ìnì dùdú ànì ji fú ndrǔ mbr ì nì mà djùkpa ddǎ nì bbalè níchú gbè mà ngǔ mà fú ndrǔ koss̀tò lǎní lò rr̀dha nà ddí	Ni i mà rř fú ndrú cshǔw ndaní fú ndrǔ mbrǔ ì ì nì dè chú dròdró ní bbalè à nì i mà njěy fú ndrú dhí njí à nì ji mà njěy fú ndrú tdrà ní lò mà ngǔ mà fú ndrǔ kosstò ndaní nzǐ fú ndrú mb ì gbè ì nì dùú à nì ji fúndrú mb ì ì nì mà djùwkpa ddǎnì bbalè ní djú gbè gbè mà ngǔ mà fú ndrú kosstò lǎní lò rr̀dha nà ddí
