audio_file	reference	hypothesis
spontaneous-speech-sco-31044.mp3	Aye I’d’ve loved to have been a professional gymnast I used to when I was young do flips but- and cartwheels but no you know professional And years ago we- the opportunities are different nowadays you know we didnae have these kind of a classes to go to But anyway I did take the opportunity when I was in my forties A gymnastics coach of the kids told me I should go to an adult class in Bellahouston So I did I decided to go and um there was a great wee coach Hazel She was professional And she encouraged me- I s- I told her I’d love to do flips She says well you’ve got the physique you’ve got the energy So she was so good at helping me to visualise going into this ball pit- we’re on a trampoline so I’m jumping the trampoline and she's just visualise a dolphin and it helps you flip into the- so you’re flipping into the ball pit What a feeling She was so good you know that encouragement At first I was all over the place Anyway so that was great to get that opportunity	W y I loved o being a professional gimnas I used to t when I was yon do flips but and cart wals bit mo d you know professional and years ago we   the opportunities or different newerdas you know we dina have these kind of our classes to go to But anyway I did take the opportunity when I was in my forties a gymnastic coat e the kids told me as she got an adol class and belahustin So I dids I decided to go and them there was a great we coach hazol she was professional and she encouraged me as I told ar I’d livd o to flip she says whel youv got the fhysice youe got the inergy so she was so good it helped me to visualise gininto this bulpit wir on a trampling So ’me jumping the trampling she’s disvisualise adolphin and it helped she flip into the- so you’re flitting into the Bulpit what I feeling she was so good tyou know that encouragement and first I was all over the place anyway so that was great to get that oppo
spontaneous-speech-sco-31052.mp3	One of the stressful things I would experience in a workplace one of my jobs years ago was how people speak to each other You know the stress that people would feel because they had this fear of like a boss coming towards them or people in a different position- they would just crumble and that- I would be stressed for these young people so I would go and challenge them I'd think it was unnecessary I thought don't treat somebody how you don't like treated yourself So thankfully I did always have that courage in places of work where I just thought no- nobody's treating somebody like that- I could not tolerate it so- but it was stressful because you were taking risks as well	W nfthes stressful things a with the experience and I worke place bot an imagina  ears ago was how people speak to each other you know the stresse that people would feel because heyad dhis fear ayo like a bos comment towards them or people in a diffirint possission they woue just crumble and tha- that I would be stresse for these young people So I would go and challenge them I think it was unnecessary I thought don’t treat somebody how you don’t like treatag yourself So thankflke Id always have that courage and places I worke where I just thought- no- nobdys treating somebody like that an I could not tolerate it so but it was tressful becauseyou were taking rest
spontaneous-speech-sco-31055.mp3	I lo- I worked in this hotel years ago and honestly it was amazing ‘cause I’m a people person and it was so life-giving Anyway the thing I really loved aboot it was you know you’re seeing people happy you’re making them feel good But th- the other side what I didnae like was people that you worked with the employees Some of them had these titles right and they would abuse it It was like power trippers and I would always challenge them ‘cause I would look oot for the young and the underdog And that’s the thing I really did not like the way people thought they could treat people because they had this power ‘cause of some status to their title of the job	W Ilo I warked in this hotel years ago and honestly it was amazing because I my people person and it was so life givin anyway the thing I really loved i but it was you know yous seeng people happy yaund meet them feel good but the- the other side what I dinna like was people that you wat to wao the employees some of them had these titles right and they would abuse it it was like power trippers and a wouodd awa chalngings I would look at for the young and the under dog and that’s the thing I really did not like they we people fourhte to treat people because they had this power ‘cause you some statis to the type of the
spontaneous-speech-sco-31061.mp3	My favourite food is Minstrels so you dinna cook it but what you do is you tak yourself doon to the shop get a bag any of they bags that says “more to share” on it well it’s mair for me to stuff in my pus ‘cause I’ll no be sharing it with naebody So I get a big bag of them eh get a twa pinter of blue milk ‘cause you need to wash doon a’ that chocolate with milk coo’s milk it’s got to be coo’s milk and eh just get nice and comfy set up watching the TV whatever it is and just start battering your pus with a’ these Minstrels and eh dooning the milk basically So there’s no cooking but just maximum enjoyment	W favourite food is minstrils So you din a cook at but what you dois you tik yourself doin to the shop get a bag any of they bags at says eh moret a share on it well it’s mere for me to stuffin my puss ‘cause e’ll kno be sharein thit we need do So get a big bag of them eh get a twa point ar a blue milk ‘cause you need ta wash don a that choklit we milk coose milk’s got be coos milk and eh just get nice and cumfi set up watch ing the tv whatever it is and just start batter in your puss we are these minstrils and eh doning the milk besitly sSo thit’s noe a cookin but just maximumy
spontaneous-speech-sco-31069.mp3	I think there’s a lot of damage being done on the internet in the past um years to the world and you know false information’s been given and people have taken it literally They’ve not went really to the source They just take it as face value because- and it’s quick access to get this information and it’s ruined a lot of people’s lives and reputations Um and I think that is the sadness of how quick people can get that access	E think there’s a lot of damage being done in the internet in the past eh years to the world and you know false informations beeng givern an people ave taking it litterally they’ve not been reallaty the source they just take it as face value because ints quick access to get this information and it soned a lot of people’s lives and reputations Um and I think that is the sadness of how quick people can get that
spontaneous-speech-sco-31073.mp3	My favourite film’s Chicken Run and if you disagree with that then there’s something wrong with you ‘cause it’s quite clearly the best film in the world if you ask me Animated chickens I mean what else what else could you ask for that’s just fantastic it’s Aardman that do it so ken them that dae um Wallace and Grommit and eh it’s the struggle the strife and struggle of these chickens that are a’ cooped up and how they want to escape and- and have freedom and live their best lives and I just think it’s absolutely marvellous so yeah that’s my favourite	W my favourite films chickin run and ive you disagree with that hen there’s somthine rong with you ‘cause it’s quite clearan ly the best film in the world ive you asked me animate chickins I mean what else what else could you ask for that’s just fantastic it’s artmun that di it so kin them that dey um wallis and grom it and uh it’s the struggle the strife and struggle it ees chickens that are a cooped up and how thy want to escape and and have freedom and love their best lives and I just think it’s absolutely marvless So eh that’s my
spontaneous-speech-sco-31076.mp3	My job is being a- a voice director for audio books so we get voice talents in folk with nice voices eh to read millions of books and millions of stuff and I direct them and mak sure they’re pronouncing things right and sticking to the script and doing it at the right pace and no going too fast no going too slow making sure it’s just fine and eh I love it ‘cause it’s no that much effort but we get to hae a braw laugh ‘cause folk that are voice actors are a’ eh braw fun brilliant fun aye So I get to hae a laugh it’s aie a good laugh	W y job has being a voice director for audiobooks So we get voice talents and folt we nice voice is eh to read millions of books and millions of stuff in a directhem and macother pronouncing things right and stick into dhescript and din it at the right pace no going too fast no going too slow mykin share it’s just fine And eh alove it ‘cause it’s no that much effort but we get to ha a brad laugh ‘cause folt tet our voice actors har a eh Bra fun brilliant fun Eh So get to ha laugh asayo a goo
spontaneous-speech-sco-31080.mp3	A perfect weekend for me would be chilling Actually I’m an extrovert right and I’m a people person but see at the weekend because of where I’m at noo in my life I just love peace and tranquility and going a wee walk in the park you know seeing nature just chilling The silence is golden as they say and for me that’s an ideal weekend Just to enjoy nature going a walk and then chilling at night if- I love watching Strictly at the weekend when Strictly’s on	E  personly weekend for me would be chillin actually I’m an extravet right and I’m my people person woud see the weekend because of were I m atin in my life I just love peace  in tranquillity and going awee walk in the park you know see nature just chilling a- as the silence as golden as the say and for me that’s an ideal weekend just till enjoy nature going ta walk and then chillen at night if I love watching structuly a the weekend fan structlism
spontaneous-speech-sco-31124.mp3	I love spending my money on my kids and my grandkids knowing if I’m gonnae get something that makes them really happy I just love- I also love buying boxes because I always have this thing ‘cause I’m an organised person I love seeing containers that are neat and small that I can pack things away you know that’s just- it’s just got great space where-	W  love spentin my money on my kids and my grandkids no an if I’m going to gets something that makes hem really happy I just love I also love buying boxes because I always have this thing ‘ecause I’m an organised person I love ha seem containers that are neat and small that I can pack things away you know th it’s just- it’s just get great space wer
spontaneous-speech-sco-31127.mp3	Withoot a doobt the best technological advancement is when you go into (inc) which is what Dundonian’s call Tesco when you go into (inc) and you pick up that thing that gun thing when you walk in and eh you scan your shopping as you go roond the aisles you go roond the shops so you just zap it like it’s- it’s like something from Star Wars or something eh you just zap it put it in your basket put it in your trolly whatever it is and then aince you’re finished you dinna hae to go and speak to anybody at a till you just go wheech yourself right through they’ll check that you’ve no stolen nothing then that’s it brilliant	W tht ado the best technological advancement is when you going to tek unks which is what done d onions calle tesco when you goin to tek ulnks and you pick up that thing that gun thing when you wak in and e you scan your shoping as you go roind- the isles you go round the shops So you just zap it like it’s jus like someting f starwors or something a you just zap it put it in your basket put it in your trilly what ever it is and then ins your finishd you dinna hat o go and speak to anybody at a till you just go week your self right through They’ll check that you’ve no stolin nothing and that’s it l
spontaneous-speech-sco-31137.mp3	For me the ideal party would be one that’s starts at aboot half-seven eight o’clock I dinna like going oot early I like to go oot well depends how old you are if it’s early or not but half-seven eight o’clock that does for me I would go out at that time It would be if it was a party it would be someplace that’s got freezing cold Heineken on tap that’s my favourite and it would be playing eighties music a’ night loads of Prince eh one Prince- yeah one Prince song and then another song fae the eighties that’s what I would want and that would be ideal	W rme the ideal perty would be a one that stirts it about a half seven-eight o’clock I didna like going out early I like to go ot wor am I’ll depends I weld yo arof that’s arly t’ know But half seven-eight o’clock gat dos for me I would go out a that time it would be if it was a perty it would be some place that’s got freezing cold highnick and on tap that’s my favourite and it would be playing atas music a like lords of prince yeah ne prince yah one prince sang and then another sang fo the atas that’s what I would want and that would be da
spontaneous-speech-sco-31142.mp3	My biggest hope for the future would- is maybe the same as a lot of folks and it would be to win the lottery eh ‘cause a’ this working caper it’s no for me it’ll just no do so ken what no even to win the lottery I would like to win the EuroMillions cause then it’s aie mair money that way and if you were in Europe and you win it they get taxed whereas we dinna so gie me a’ the EuroMillions and I’ll just live my best life and I’ll just bugger off in the maist amazing campervan in the world and just cut aboot the place	W my biggest hope for the future would is mabe the same as a lot of oaks and it would be o win the lot or a Eh ‘cause a this work an kap er Its no for me I’ll just no da So akim wat no even to win te lot or a I would like to win the euro millions ‘cause then it’s y mar money that way and if you were in europe and you went ot they get taxed whar as we dinne So ga me a the euro millions and I’ll just love my best life and I’ll just bug ir off and the misd amazing camper vin an the world and just cat about the
spontaneous-speech-sco-31153.mp3	The maist stressful part of my job is when you hae to hae these meetings with folk that are full of eh hot air that’s how I’m going to say it to keep it PC Folk that just do a lot of speaking and ‘cause they love the sound of their own voice and they dinna really say nothing and they dinna really- it’s just a load of- it’s just a load of muck that they’re talking and that stresses us oot and people that do millions of speaking and dinna tak any action they dinna actually do anything that they say that they’re going to do that stresses us oot so that’s the maist stressful part of my work	W he my stressful pert of my job as when you h to ha these meetings with folk that are full e eh hot air That’s how I’m going to say it to keep it Pc folk ge just do a lot of speaking an ‘cause they love the sound of their on voice and they dinn really saynathin and they dina really s just a loda- just a lod amark that they’re talking and that stressis as otin people that do millions ase speaking and dinna tack any action they dinna actually do anyhin that they say they’re going to do That stressis as ut so that’s the my stressful pert ofmy
spontaneous-speech-sco-31158.mp3	One of my best holidays I’ve been on was taking all my kids to Florida ‘Cause all their birthdays fell in the month of April apart fae the older daughter that was February And see the ad-adventure of getting a' their passports and getting them prepared for this holiday- oh my god and their wee faces in the theme parks that was just for me made the holiday Just the happiness on their faces Every day we went to a theme park and they had a ball and I had a ball knowing that they were having a ball So that was priceless that holiday That was one of my best holidays	E nof my best holidis I’ve beend on was takenal my custo foride ‘cause o ther pafdies fall in the monthf april apart from the l t dougt itwas very bity and see the adventure te get no ther pasports and get them prepared for this haliday o my god and the re faces and the fhim parks That was just for me med e halde just the happiness on their faces every day we went to have im park and they had a bul and ad e bul gnowng at they vere having a bul So that was priceless at hade That was one of my best
