audio_file	reference	hypothesis
spontaneous-speech-tob-34711.mp3	Da laqtaxanaxaq so huau qalquionecpi eta Ietaqta ndoteq añaxaicpi qaica qa ivecteq qaiqa ca saha'non ndoteq da lasapachaxa na naa' cahuataguet na n'te nache uxute nottesheguem nañamaxateq ihehiamaxatiguiñe na loquianaxate l'cheqneq enauaq na lentaxanaqte caiqa ca l'lia cailaque ndoteq ualeq na nenaxa shiguiaqpiolec cataq napaxaguena na da huoo' qa adaqtq ioctaha da ahesa unoleq so laqtaca so qaitataleq ipaqchegue cata huoo' na canchiguiñe nache vanhuachegue camachaqatee' na nollecolec ca eca canclaxachegue cam machiguiñe lamaeeq so naa' caica so canbane so laceguee' ca la maeeq huoo'	Da laqtaxanac so hau qaquedoxoanecpi eeta' itaqta ndotec añaxaicpi qaica qem iuetac qaica ca eta sa'non ndoteq da lasapachaxahuo'o ya ana' qaitaguet na nte' nache hoxote notasheguem na ýamaxattac ýaamaxat rapiguiñe na lo quiaxanaqa'te lchequne enauac na 'onataxana npioleq qaiqa ca la qailaique ndotec nulec na nonaxa csheguayacpiolec qataq napaxaguena na da huo'o ca adaqtac nache oqtam eesa onolecc laqtac som qaiataqtalec nache ipaqchigue qata huo'o na qaiachiguiñe nache qamaxaachigue qamachaqca ata' qaiachiguiñi yat na na lecolec qaqa qanclaxatchigue qacqmachiguiñe huo'o ra namaic ya'tana' qaca saqaaua lca lasheuole qalaxaye namag lta'arac huo'
spontaneous-speech-tob-34712.mp3	'Aja' aso luaxai nche nacheso asa'aso nataq'en chec co'ollaxa na Qom asa'aso lqo qataq aso lacheugue nache lioxonaxaqui na alpi yi huaña da deioxon aso luaxai nche qaiauot cha' qaica ca yioqchigui aloq yi na'a'q nam Qompiolec	AAja' aso lhuaxai che nachaso se'eso nataq'en Cchec qollaxan qomasa'aso lqo qataq aso locheugue nache  lvioxonaxaqui nam alpi yihuaña ra dioxon qaso hhuaaxai ce aqaiauo chatna' cha'aqai ca cyoqchigue aloq nam qompiolecA
spontaneous-speech-tob-34713.mp3	ra qainataxalec so nallec nache qainat asa aso ilotegue ñi nmenaxanaxaqui ra neguetoñe lasheue ra ila'a ra nalotalec nache iache enauac ca qaiuetaique yem lma' cam lhuenec ca nallec	Da qainataxaalec so nallec nache qainna tasa aso ilotaigua ñe mmenaxanaxaqui da neguetoañe lasheue daqila'a da nalo talec nache ýiache enauao ca qaiueetaque yem lma' cm lhuene  ca nallec
spontaneous-speech-tob-34714.mp3	Hua' cam l-lla na'a'q huo' cam so'ot i'onatac cha'aye dam i'onataxanaxac naxa aýem ño'oxoosheguem na nma'pi noýicpi nacheda da ýi'onataxanaxac nache sehuatta'agueta que'ecaua na'axa'te da so'onataxan nacheda cam so'ot ýi'onatac	Hua' cam lla na'aq huo'o cam so'ot i'onatac cha'ayet dam ýio'onataxanaxa naxa aiem ño'oxosheguem na nmaa'pi noýicpi nache da da i'onataxanaxac nache seuattaguetac que ecaua naxa'te da so'onataxan nacheca cam so'ot i'onatac
spontaneous-speech-tob-34715.mp3	Eye imaa que eca alo chetaague da roc o' nache huoo' ca l'lia lcalya la nohole lasoro co latee nache enaguaq na da cailotegue ca aca roc o' da qaica qamchaca nachalataxaq	Yi ima' ca'aca alo da chetague deco'o nache huo'o acaca lla lqaýa lasodo lcote qolatee nache enaua naua paiguita da qailotague aca'aca alo da chetague deco' qailo'ogue da qaica camachaqca dam nachalataxac
spontaneous-speech-tob-34716.mp3	Da l'aqtaxanaxac som hua'au qadhuo'pi ecta' onoolec da látaq ñi'ñi qaiatalec nache qai'ot qatac qaica ca hua'axaia na doshe l'aqtaqa ndotec Qom	Da laqtaxanaxac som hua'u qa lhuo'pi eta' onolec da laqtac ñi'iñi qaýatalec nache qaiot qata qaica ca hooxaýa na doqshe laqtaqa ndotec QomD
spontaneous-speech-tob-34717.mp3	Aýem yiqopita da so'ot que'eca noýic da ño'oxosheguem qataq onaxaic dam dam eda onataxanaxac cam eca noýic l'o	Aiem yeqopita ra so'ot que'eca noýiq da ñoxosheguem qataq ponaxaic dam dam etda onataxanaxac cam eca noýic lo'o
spontaneous-speech-tob-34718.mp3	Aiem ra io'ot ca ilagaxayec qataq samachiguiñi ra huo'o na io'onatac yo'oqchigui so'onataxatac cha'aye re'era ionataxanaxac ñaquittaguet ra huo'o ca saconguet anoq lasheue	Aiem da io'ot ca ilagaxayec qataq samachiguiñi da huo'o na i'onatac yo'oqchigui so'onataxatac cha'aye dedaonataxanaxac ñaquitague da huo'o ca saconguet aaanoq lasheueA
spontaneous-speech-tob-34719.mp3	Qom aýem ýi nache sauotaique ñimatic ñisooñi cha'aye som eso i'onataxanaxac ýataqta sapa'atta so pa'atrec vi'i'ye	Qomaýem i nache sauotaque ñimatic ñi so'oñi chaye som eso ýi'onataxaaxac ýataqta sapata som patrec viye
spontaneous-speech-tob-34720.mp3	Qom ivita da aýem ýi nache sauotaique da aýem qaiatalec nam souaqta'a qadma'	Qomivita da aýem ýe  cha sauetaique ra aýem qaiatalec nam so huaqta'a qa lma''Q
spontaneous-speech-tob-34721.mp3	Aiem ca naa iataqta onaxaiq ña cashen da ivita ca iñoxoqui nache iallona na igualpi nache iquiaxahuapi	Aiem ca na' ýataqta onaxaic ñaqashen daivita que'eca ýañoxoqui nache yaiona't enaac na ihuarpi nache iqui ýaxauapi
spontaneous-speech-tob-34722.mp3	Comi na natannaxanaxapi comi huetaielo nache huetaie ñe aviac qaq naye da ñahuanaxa na doqshec nataqaen saxaua ñe natannaxaqui	Qomi na natanaxanaxatpi qomihueta aýilo nache huetaaie na aviaq qaq naýet da ñauanaxa' na doqshe nataq'en saxaua'aañe natannaxaquiQ
spontaneous-speech-tob-34723.mp3	Na lyia naqtahuo ñeñiamaqtaxaguet cha aye ñecoñaca na ioquiaxaneqpi maye qaiotta ye hueteña Ñamaqtec	Na lla na'aq natauo ýaýamaxattaguet cha'aye ñiqonac ca iqaiañicpi maye qoiot tayivueta'a ñamaqtac
spontaneous-speech-tob-34724.mp3	Ayem iataqta ñeqopita ra salectaua ca laponaxac na qom huo'o na laponaxac na rasotaxaicpi qataq na iaiaten ana nviquepi	Aiem yetaqta yoqopita ra  saletaua ca laponaxac na Qom huo'o na laponaxac na dasotaxacpi qatac na ýaýaten ana nviquepiA
spontaneous-speech-tob-34725.mp3	Aja' so pa'atec naxa'ate ra salleta'a se'eso naniguishe cha aso naiñic llale mashe sogote huo'o na lauoxo taq huo'o so naniguishecpiolec iottat'at nam lauoxo	NaAja so patec naa'te da salletas 'eso naniguishet chaso naeñec llale mashoxote huo'o na lauoxo taq huo'o so na nguiyecpioleq iotta nam lahuoxo
