audio_file	reference	reference_raw	hypothesis
spontaneous-speech-koo-50679.mp3	Omulhume amathahya omukali mughuma erihulhukya liwe likakeha neryo kandi erihika liwe likabya mwe ngulhakulhana kandi omulhume amathahya omukali mughuma obutheke bwiwe bukanabyamu obuholho sibulibya mwetsughuru baitu omulhume amathahya abakali banene eka eyo mukabya erihali abakali bakabya ibane mulhwa nabandi iba lhoghana nabandi ibabya ibabya bakatoka erilhabangania kwebinya neryo likaleka obuholho ibwa bulha omu muyi	Obusama bukaleka abandu abomo bulhambo ibaghana erithunga ebindu ebiwene ibaghana erisoma ndeke ibaghana erirya ndeke ibaghana nerihimba ndeke neribya omwa buholho bwabo ngoku batholere	Tia a a a a aka nianana a a na a a ana aba a ba a a ia aga ba ana ana iba ana a a e ana a a a a ana aha a ania a a a a
spontaneous-speech-koo-50680.mp3	Obulhwere bwe corona mubwaleka esyosente isyabulha neryo abana be sukuru effizi yabo muyabulha eyikabasomesaya kandi muyaleka abana bamakulira omu malhambo esya sukuru musyimana neryo nabandi mubasagha erithasyasuba omwa sukuru kundi babya ibabirikulha nabandi mubabatweka neryo ekiaomo kyabo kyamaghana erilholha embere	Byamabirileka abandu ibabya banakwa kandi ibaghana erithoka erikolha ebyabanzire omwa buyingo bwabo.	Tia saia i ia a a ai a a a a iana ana a eba a a a a a aka akana aka a
spontaneous-speech-koo-50681.mp3	Erikangirirya abana abomo bulhambo bwayi okwa mighaneghane eyebya kera yikawathikaya abana eriminya ebya abakera babya bakakolha kandi nuko ibabighiramu erithunga esyo ngeso nerighendera okwa ebya babyabakakolha neryo ekyi ikyikabawathikaya okwi kulha ndeke ibanayisikirye omwa bandu ngabakera ngoku babya bakakolha	Yikabeghesaya emitse eyitiwene kandi eyaleka ebikala nabandu omwabulhumi	Tia niana a aka a ana a a a a anana a a aiakaia a k ia aka a a a a i iaia
spontaneous-speech-koo-50682.mp3	Emisabe omwa mughulhu thukathunga erisurusutha omughulhu thukathunga esyonyuhi yikathuwathikaya omwihumulikana emyeyo yethu iyathunga erithekana Kandi yikawathikaya erihighitha emyeyo mibi eyikabyayiri omwabandu omughulhu bakathunga esyonyuhi yikawathikaya nabandu ababi abakaletha esyonyuhi erithunga omuthima oweri yisubamu	Ghukabitakanizaya ndeke iwabitheka kwaliko iwalinda ibyahya ndeke iwabihukulha iwabirya	Tia a ha anata a a a a a ia ata ataia aia a a a a a ataia a at a a a a a a ana a a nia a a
spontaneous-speech-koo-50683.mp3	Obukoni bwekorona mubwanzingamia esyasuburo syo mouganda omwamibere minene mubwaleka akathali akebirimwa kamakeha mukasubibira ahisi nero ebisuburire muyana emibere eyerithwalira omo ebirimwa nebyobusubure byosibyosi mubyakalha kandi nesyasente musyabulha eeeh	Wukabya imuwamathunga obuthuku obuwene erikoleramu ebya wanzire. 	Tia ania aia ana a ana a a a a a a a a a a ia
spontaneous-speech-koo-50684.mp3	Abanyauganda batholere ibayitsunga akabonde bakakolesya esyokondomu ibakabanangana kandi ibayirinda obutswatswa kandi ibayisighangana	Thukakoleseya amaghetse  irihaghu okwa syanyusi isiri hakuhi nethu eryuthangirara gho mo malima omo mughulhu thukabya ithunemulima	Tia ba a ana a a akana ba iba ba a a nan ba ia
spontaneous-speech-koo-50686.mp3	Emyatsi erisambukaniayo rundi erilhalhania yo okwa binimba yabirike abatheke ibabya bakakopa ebindi bindu ebiri omwa wandi matheke neryo ibabiretha omwa mtheke wabo neryo kikaletha akattabanguko omwa maka kundi bakabya ibanemuleberya oku byabandi bakakolha neryo ibighamo emitse mibi esyongeso mbi ibaghana erisikangania ikyaleka obutheke ibwasambukalha	Iwalya ebyalya ebiri mo ekyirisya kandi ibwaleka erirya ebyalya ebiri mo maghutha manene kutsibu iwalya ebyalya ebya ghukayirimira omo malima waghu	Tia ana ia a a aka a a ata aka ikia a a a a ana na a ina a a aka aka a iia
spontaneous-speech-koo-50688.mp3	Esyo dini Omo Uganda syamatawatikya abanya uganda okwamibere mibuya eya batolere ibambaliramu esyangimba esibuya Kandi nemibere eyabatolere ibambaliramu esyongimba syabo nomwamwanya owaliteghere	Bakabulhawa esyosente esyeribawathikya neru ibathwamo ibakolha obusingiri ibwatsandya emibere yabo	Tia ana a a baia ba a na a a a ana a ba abiba aia
spontaneous-speech-koo-50689.mp3	Ngabya ingatsumba ebyalya ebyo nganzire ngatsuka bwanaba okwa byalha ingoya enyungu inga engoya ne bindu ebyangikolesya nge byalya ebyonyinenyine ingoya nga mabya ini ngatsumba omukyeri ingoya ebitunguru ne sya nyanya na maghutha ingabithekatheka ndeke neryo ingatsumba	Rikaleka omundu inayiponakandi imibiriyiwe iyaghana nerighenda ngokwayisunzire kundi ibwa akabya inamathebwa	Tia a a ia a a ana ahna ana ata anana a a
spontaneous-speech-koo-50691.mp3	Epindi byethu irilhangira thuthi bikabya ibinemo obulho thutholere ithwaghendera okobyabembembetya bathi bakathuhabulha Kandi ithwaghendathukakania emyatsi iyakaletha obuholho Kandi ithwikalha ithunemulhangira thuthi thukakoleranira ebindu ebithendithulethamo etsughuru omobulhambo bwethu	Bakakolangana ne gavumenti I bathuhikyaku obubalya hakuhi ne wethu Kandi ibaletha amalwaliro hakuhi	Tia a at athatha hata a ata at a atha a a a at aka ataha a ia a tiata ha a a a a a a a atha iga t a a a
