audio_file	reference	hypothesis
spontaneous-speech-koo-50679.mp3	Omulhume amathahya omukali mughuma erihulhukya liwe likakeha neryo kandi erihika liwe likabya mwe ngulhakulhana kandi omulhume amathahya omukali mughuma obutheke bwiwe bukanabyamu obuholho sibulibya mwetsughuru baitu omulhume amathahya abakali banene eka eyo mukabya erihali abakali bakabya ibane mulhwa nabandi iba lhoghana nabandi ibabya ibabya bakatoka erilhabangania kwebinya neryo likaleka obuholho ibwa bulha omu muyi	Emulhume amathahia omukalimughuma erighulhukyaliwe erikakeha eryo kandi eriyikal iwerikabya magulhakulhana kandi omulhummathaha omukali mughuma obutheke bwbobukaneebya mw obuholho semuliebya itsuru betamaomulhumya mathahya abakali ibanene omwa butheke mukabyierihale kundi abakali ibakabana mulhwa bakalhra omulhunabandi ibalhogana nabandi ibabibakaibabakatoka erila erilabangania kw ebinyae erilekaleka obuma nobuholhu ibaulha omamuyi
spontaneous-speech-koo-50680.mp3	Emisabe omwa mughulhu thukathunga erisurusutha omughulhu thukathunga esyonyuhi yikathuwathikaya omwihumulikana emyeyo yethu iyathunga erithekana Kandi yikawathikaya erihighitha emyeyo mibi eyikabyayiri omwabandu omughulhu bakathunga esyonyuhi yikawathikaya nabandu ababi abakaletha esyonyuhi erithunga omuthima oweri yisubamu	Emisabe omamugulhu thukathung erisrusuthaomughulhu thukathunga esyonyhe ikathuwethikaya okwirihumul okwahumualikana emiyyathuyathunga eritheka kandi ikawathikaya eriheghitha emiyomibi yikabya eira omwa bandu omumulhubakathunga esyonyohe yikaweathikaya nabandu ababi abakaleha esyonyuhe erithunga outhima oweriye subaoAE
spontaneous-speech-koo-50681.mp3	Thwamabya ithukakolesaya eh intaneti okwilhalhania emyatsi ithwalhangira thuthi emyatsi eyathukalhalhanaya rundi eyathuka lebeka eyabya eyinendeke kandi iyanganalethera abandu bemitse emibuya Kandi iyaghana eribalethera akatabanguku ko mwaka Kandi siyiri mwa mabehi ekyindu ithwa ithwaghana eribya thukatheka mwa mabehi ekyi kyikendithuwathikya okwilhalhania emyatsi okwi intaneti emyatsi eyiri ndeke	Ehamabya ithukakolesaya eintaneithi okwilerani myatse ithwalhangerathuthhenetsya thukaeleenayalhulyethukalebeka iyabigyinendeke kandi iyanganaletherabandu bemitsembuya kandi yani baletherakathabangokungo mamakakandi siri mwamabehiithwaithwn bithukathekamambiekyindua eyi kyikithuwathikya okulalania emyatsi okoahitenithi emtsegerindeke
spontaneous-speech-koo-50682.mp3	Abembembetya bathuhabulha okomibiri mibuya eyobuyitsotse nakutsibutsibu okunaba okubyala nesabuni ibathuhabula okubya thukogha nabandi bathuhabulha eribya thubirya amathala wethu nokuthakula obubbine omo miyi yethu	Ebembembethya bakathuhabulha okw emiebiri emibuya ebybuyitsotse nakutsibutsibu oknabukwa byra kwisabuni ibathuhabulha okok ebyaithukowa nabandi bakathwuhabulha kb ithukabirya amathalha wethu nokwithakulha obubine omwaomwamiyiyetuaAE
spontaneous-speech-koo-50683.mp3	Ngamabya isingali ahangakolera omwabuthuku bwayi obwa ngabya isingawithe omubiri owangakolha nganza ingabya ingane mulima omwa lirima lyaghe nerikolha ebindi bindu ebyosi ebyanganyikulhakulhania ngerikolha e buzinesi nuko nganasasathunga akandi kasente akakayongera okwa musara wayi	Egamambya isingalihangakolera mabuthukubuy wangabisigawithmgubiri angakolha nganza ingabya ingana mulima omalirimalyaghe nerikolha ebinda ebnduo ebyosi ebyangaenyikulhakulhane ngerikolha ebyzinesie nuhunganasathunga andikasenti ebikayongera oko musaiwaghe
spontaneous-speech-koo-50684.mp3	Erikehya erinywa esukali omwa maghalha wethu likathuwathikaya okwithendithunga amalhwere nge pressure rundi obulhwere obukalethebawa esukali eribya nyinene omwa mubiri neryo thukikalha ithunawithe amaghalha mabuya	Erikehya erinyw sukaliomumalha wuithuikathuwathikaya okaithendi thungamalhwere ngepuresya thundi obulhwera obukalethebawa esukaleraebyanyineno omamubire nerithukakalha ithunawithe amalha mabue
spontaneous-speech-koo-50686.mp3	Kiwithe omubungo munene abambesa alerere irihiribwa omomandekero bakathunga amange nerithunga amalengekania mabuya okobikabya omokihoghu Kandi erisoma kikaleka ibashathunga emiri embere omokihogho	Eyiwithamwa bongo munene bambesabalre eriyiribwa mamathendekiro kubusana bakathunga amenge nerithunga amali ngekania mabuya oku bandu bukabya oma kyihuu kandi erisoma likasabawathikaya erisabane emibiri embere
spontaneous-speech-koo-50688.mp3	Abandu bakulhu omwa malhambo wethu ithukendi basikya thwamabya omwa mibere eyeribya ithuka bahulikirira ebyabaka thuhana thwamabya thukahulikirira ebya bakathuhana ithukendibya ithwamabiribasikya kandi thwamabya ithukabaha ekyitsumbi kyabo ngabakulhu	Ebandu bakulhu omwa malhambo wethu ithukindibasikya thwumabya omwamiberieribaithukabahulekirira ebya bakathuhana thmaithukabulekirieya bakathohana ithukiendi byaithomabiribsikya kandi homaithukabahekitsuumbikyabu ngabakulhuAE
spontaneous-speech-koo-50689.mp3	Omundu amathebwa likaleka anasulusutha omwamalengekania wiwe kandi likaleka ebyalwe aka thekatheka ibyatengesibwa omwa malengekania wiwe	Emundu amathebwa likaleki inasuorosutha omamala eyikanyiawiwkandi likaleka ebyalho nabiripulaninga undi byalhakathekathek ibya tengesibwa omamalkienawi
spontaneous-speech-koo-50691.mp3	Eripima akabonde okwa abandu abahikenye likawathikayabo erikalha ibanasene emibere eya oghundi ikaliremo okwa mibere eyo buyitsotse kandi kyikabawathikaya erithasya yirinda	Eripimakabundi abanduokwa bandu bahikenilikawathikayao erikalha ibanasene emiberiyaundi ikaliremu okwamiokwamibere eyobuitsotse kan kyikaboeithikaya eritha syayirinAE
