audio_file	reference	hypothesis
spontaneous-speech-kcn-22106.mp3	Ana agder akul akil baraa baraa Akili Milan	Akil al agr akul ya akil yote alam aan milan akil gi akia fi barabraal gijib aan fi gildu as akil an agr akana gir akul akil al biibu afi ayan alma gijib nana ayan ot f gildu jn klatu ayan al gjib amafgifi  afi ti al gi jibu gildu maknu kwesyan gidu kun tan zamankudu akil al bikn tamanf ya akil al tena almn jidijidi tena kn yam d iwenena akil l gitala fi shmba akil al m gitala fi al gi duluma ida akil n al gitala fi shamba tena tmn jidiidi te
spontaneous-speech-kcn-22127.mp3	Ina endis te wedi te dawa dudu ne ya ne nyereku dawa dudu de na endis te wedi ne fi yal al duga yal al duga al min al yal ab duga lakin ina endis te wedi ne omon bada sha dawa de wai bada shar talata	Ana endista wedi daa dudunaya rukkalakidawa duu de nendistawedi nfiyal al duayalabdua al  a ya lab uga lakin kinendiste wedin badahdawa de a badashar talataA
spontaneous-speech-kcn-22154.mp3	Teriga al awun ya taalim awun fi namna ta geeru fikira yani mindset tana batna be fi umma ta tinin amurugu min omon fikira al bara bara gi amurugu fikira al awaja ja mfano ja kelem gal ah governmenti al fi fi bambara de uwo aju ina ma yani kutu omon fi school saa kulu komon kun busy komon kun creative komon kun yan anas ab gi soo sunu gi soo kalam ab bi wedi omon gidam ab kede amurugu fikira bara bara	Aeriga al aun ya ttali nfi nama t giru fikra yan mdisetya bana bef uma tasenin amurminmn fikra al barabaa k  fik lwaj a fa a keegal gamet al ff bbarade waji nama ya kwtmon fi ks kul kmon kun bize kmon kun kt kmon kun yannass isk na al edmn idaa fed amm fikra barabara
spontaneous-speech-kcn-22169.mp3	Adil yal batna be ya teriga qb ab kede azol soonmo kede kede ab bi awun min mashakil yan adib yal batna be weri nomon sun ya aju uwo sun ya fa al saba bi ja raba omon na usra ab bi ja gidam omon	Aib  ayal balabe aerilga b fa kede azols kede eal aun e mashakya ajibal banabe w nomon snya mon ju sunyaa  al saba bijarabmn m usr al bia gida mmon
spontaneous-speech-kcn-22190.mp3	Madrasa ta mahal fi namna al taalim athar to jib geeru yani jib geeru fikira te anas yani badul fikira ta anas min kun fi awiri arija omon gi noor yani amurugu omon min duluma jib omon fi noor de ya atha ma ma mastakbal fi umma	Aarst mal m tli atar to ib eru yan jib geru fikra tanas ya baul fikra ta aas min kunfair arjmo fi i nuryan min amrgma min duluma jimaf nrde aar tmmmstabal fi uma
spontaneous-speech-kcn-22227.mp3	Wakti tayi te faraag ana gasma bes ana aju nuum ana baada akul kala ana aju nuum wu ana aju gum baada ana num kala ana aju gum kede ana so sente kana so tujar tayi kalam kede ana ligo sente ke ja kun me sente ne anas ne yal tayi wu kaman ana gi feker fikra al kebir fu ummah me yal tayi	Aakti tai te frju ana gasma besn au  ana bada akul kal ana ajunan ju gum kan ana nm kal an au gum nassntkanastuar ta kal kad ana ligo nte keyakm beente naananayal ta u kman ana gi  feker fikr al kebrfmmayal ta
spontaneous-speech-kcn-22260.mp3	Gen madrasa geeru anas anas geeru fikira jibu change mindset te anas al kan aju kidima ma mon ligo kidima al kan gi num gum min num yani geeru fikira hal te anas tena fi umma tena	An ma ageru fikayan b  sal kan aj kidi mama n lon dial kan gunun ger fi hatfi umat
spontaneous-speech-kcn-22290.mp3	Ah akil wesif teriga te akil al ita gi beri ya akil yoyote al gi awun nafsi taki gi mma bi jib neta madhar yoyote ama bi jib neta ayan fi gildu ama bi jib neta ayan yoyote ab bi jib neta problem fi gildu yani akili al gi awun afiya taki al mma bi jib neita athar al batal	Aakil wsterig t akil aal ita gi fadu ya akilote al gun nafsitakigi ma bijimneta aara yote ama bijmneta ayan fi gildu ma biineta yan ot al bijirbtafi gildu yn akil al g un afitakial ma bi jimneta aal al batal
spontaneous-speech-kcn-22307.mp3	Ana safir fi bele baraubarau aa bele ta aulan ya ana ruwa fi Nairobi bele ta tinin ana ruwa fi tanzania yaani bele barua bele tinein dolde ya ana ruwa fogo ma fi sudan al sabab tou jere gus maisha al bi geeru hald tayi ma ans tayi ta batna bee	Ana safr bele barabarau bele taulan ana raf nrbi bele ta sin anarafitnzaya an bele baraele tdol ra fogo ma fi sudan al sabab t jere gusmaisha al bigeru hal tai ma nas taibna be
spontaneous-speech-kcn-22386.mp3	Fi youm kidima ana gi soo saa aruba an gi tumiya saa aruba bada kidima ana endi te amula safa ana endi te akulu wu ana endi ta soo ibaada ta sidu tai al kalagu ana fi dunia	A kidima b s s auba nea sa ruba ada kidma ani taml safa ani ta a w anita so ba tasidu tlala gna fl
spontaneous-speech-kcn-22429.mp3	Ana gi hafidh akili tai logo ana gi kati rakab kwesi wu an gi hafidhi ligo ana gi Kati Kalam kan te Kati akil de te juru te Kati uwo ya kul ina gi endi jenina ne kutu fi missile kutu fogo ne kati	Ana gi afiataalbgana gi krakab kwes  an gi afii lgana gi kati kalam kan te kati akil dete hgo te kat akun  nagendijna e kutu fogo l kutu ogo nekat
spontaneous-speech-kcn-22446.mp3	Usra tayi ligo faida fi taalim kalam maisha taumon kun rai raisi kila kalam ja seme seiseide kalam mon ligo taalim fi ummah ya fi jedde usra kun furayi zaidi hmm fi life hal taumon kun ta faida	Asora tai ligo faida fita alim kalam maisha tmon kun raraisi kila kalam jaessde kalam mon ligota alim fi umma afi jede usra kun fra zaidi mon flaf t hal tmon un ta faida
spontaneous-speech-kcn-22515.mp3	Usra bes endis te te abus samam akili bes ma rakab akili kwesi dukur tan te Kati akil akil endis te kati de abus te samam	Ausura bes endis tte abus sama akil bes maakab akilkweluu tn te kati akil akil endis tekati de abus tsam
spontaneous-speech-kcn-22543.mp3	Akil tai al gi furaisha ya kisira ya kisira ma gurusa me luguma sasi me ma mula kofta ma mula korofo gwanda ma mula lam ma bamia	Ade i isha a kisra a kisra arsa asemla fta mmla rfo gna mla laa da
spontaneous-speech-kcn-22569.mp3	Ai ke kaharaba fi kariya tai fi wu de wai sokol de ya wai min sokol de ya so wai min sokol ab raba area ma bele	A karabafi ya taii   de aisokol da wa m skl uda s waim skraba edia mabele
spontaneous-speech-kcn-22584.mp3	Taalim seme zaidi taalim sokol taulan gi geeru kariya de wai min alama al gi geeru hal te binadum uwo geeru hal ta umma uwo gi geeru hal ta mujtamiya uwo geeru hal ta bele	Alim seme zaid taalim so t w gerual e  amin aar fu geru halta binadu w ger hal ta uma w g ger hal ta mutm wo ger halta bele
spontaneous-speech-kcn-22599.mp3	Yani loun ta uganda loun ta uganda fi talata fi aswed fi ahmar ma kurukum	Ai lnta uganda lonta ugda fi talatafi aswtfi aarkurkum
