audio_file	reference	hypothesis
spontaneous-speech-kcn-22106.mp3	Ana agder akul akil baraa baraa Akili Milan	Akil al anager akul ya akil ote kalam ayan milan wakil gijakila fi bara barau al gi jib ayan fi gildu as akil al anager akanager akul akil al bi jibu afi ayan al ma gi jib nana ayan yote fi gildu janskilatu aan al gi jib gamrafi s afiya tai al gi jibu gildu mai kun kwes yan gildu kun taban zaman kulu akil al bi kun tamanfaa a akil al tena al min jidijidi tena kan yamda gi wenena akil al gitala fi shaba akil al ma gitala fi al giadulu ma ida akil yan al gitala fi shaba tena ta min jidijidi tea
spontaneous-speech-kcn-22127.mp3	Teriga Al kweis ya ta aulan akul akil al bi awunu gildu tou yaani akil Al ma gi jibu Ayan baraa baraa Al bi jaa jib no Yani shida Ta tinein yaani kutu sokol AlSaba akan uwo jaa ajusi Yani kuto sokol Al bi jib gurush Al bi ja awunu fi y'all Al Lisa mma agara au Al Lisa gibagara Yani	Aeriga al kwesi ya taulan akul akil al ba gildu to ya akil al ma bi jib n ayan bara barau al bija jib n yani shida fi ajust ta tinim yakutu teriga andi lgo sokl al saba kanwja ajus bija aun fi jusi tyan namna ya t yaa  kusokol yd al gi jib n gurush al saba kan  bija ajus uruj bja naf fi ajus to al bija sg fi mustash f albaun mayal abbdisa marua fi madrusamayal al fi gaagal de aA
spontaneous-speech-kcn-22154.mp3	Al milan tomon ma endis kubaniya kalam fi umma nas sia yan ya azol seme anas milan ma aju neta mandeleo yani seme ya kubaniya fi umma milan tomon gi aju ita logo ita endis kan youm ab rabbana nongus min ita kalasi te kun sunu batal yani gi aju ita fi saa al ta fi batal Kan fi rabbana fata neta le uwo fata neta ja munu jibu Kalam milan ya wai min sabab al gi nongus kubaniya fi umma taki tai	Amilan dmon men kbaniya kalam fi uma nassia ya giaju  azol sen nas milan ma ajunita mandlyan sena a kubaniya fi uma milan dmon gaajita loge tende kan ma arab ala nongus ninita kalash te kunsunu batal an giajita fi saa alta fi batal kan raba na fataneta l u fataneta jatamn jib kalam milan ya wai misba bal g nnguskubania fi uma tat
spontaneous-speech-kcn-22169.mp3	Barnamij ta alim anas kubar awun waze fi aruf stamil me sim mon saade agder wonus me yala tomon fi be te bara	Asofaala kede ana s yani abus boda min adiana fzamna alum ya lgo daw ama yani gavmenti na teriga ta abus bda yaadimina musktnt yani katimba al gi abus boda min galgal al fgo dawa l gavmnti  fg dawa kalas anamna al ana ager abus mo bda min adiana zaman ta lumA
spontaneous-speech-kcn-22190.mp3	Lib al yal gi alab fi ummah tayi libu al gi amsuku badu ma terebiya tomon yani ma terebiya tomon ma dasturi tomon yani lib al gi alim omon terebiya tomon sun ya aju fi terebiya tomon terebiya tomon gi raba kefin ma hafiz lib ab gi jib hafiz terebiya tomon ma dasturi tomon fi ummah tomon	Alibu al yal gi alafuma tai libu al gaiskub al ma terebia tmon yan ma terbiya tomon ma dasr tomon yani llibal gi a alim mon terebiya tomon lkssuniya ajif terebia tmon terebia tomn gi giraba kefin ma hafiz libu al gi jibal gi wer namada hafiz terebiya tomon ma dasr tmon fi uma tamon
spontaneous-speech-kcn-22227.mp3	Adil yal batna be ya teriga qb ab kede azol soonmo kede kede ab bi awun min mashakil yan adib yal batna be weri nomon sun ya aju uwo sun ya fa al saba bi ja raba omon na usra ab bi ja gidam omon	Aadib  aal bandabe aa teriga abfa kede azol soo kede eal bi awul min mashakil yan adib yal banna be wede nomn suniyamon aju suniyafa al saba bijarab omon a usra al bijaa gidam monA
spontaneous-speech-kcn-22260.mp3	Madrasa ta mahal fi namna al taalim athar to jib geeru yani jib geeru fikira te anas yani badul fikira ta anas min kun fi awiri arija omon gi noor yani amurugu omon min duluma jib omon fi noor de ya atha ma ma mastakbal fi umma	Aadrasa ta mahal abalamd taalim aar too jib gru yani jib geru fikra ta anas yan badulikra ta anas min kunf awir arju omon fi fi nuran min amrigo ma min duluma jia finurdea asar mamaa mastabal fi uma
spontaneous-speech-kcn-22290.mp3	Ah akil wesif teriga te akil al ita gi beri ya akil yoyote al gi awun nafsi taki gi mma bi jib neta madhar yoyote ama bi jib neta ayan fi gildu ama bi jib neta ayan yoyote ab bi jib neta problem fi gildu yani akili al gi awun afiya taki al mma bi jib neita athar al batal	Ah akil wes teriga ta akil ta al ita gi fadu ya akil ote al gi awun nafsi taki gi ma bijib neta madara yote ama bijineta ayan fi gildu aa bi jibneta ayan yta al bijib problm neta fi gildu yan akil algi awun afiya taki al ma bijib nesa asar al batalA
spontaneous-speech-kcn-22307.mp3	Taalim gi raba be gi jib fahma naa muja fi mujtamiya mujtamiya yan gi raba anas anas gi wasa fi sika al ma al mma gi raba anas al gi arija anas wara yani gi amurugu a anas min fikira te awiri gi wedi anas fi fikira al gidam al bi raba anas anasbi raba bele al gi raba	A taalim gi raba be gi jibfahmana mujita fi mujitamia itamiya yan gi raba anas ana gi wasab fikra al ma gi raba anas fikra al garja anas warayan gi amurg anaz gn fikra ta awiri g wede anas fikra al gidam al biraba anas al biraba bele akaal bi raba
spontaneous-speech-kcn-22386.mp3	Ayi ana endis ham kalam alim terebiya bara bara gi weri nana sunu ya ana aruf sunu ya ana aruf ma wu sunu bi aju ke ana awun sunu ya bi aju ke ana zidu ana bi aruf ma ana kabila kam barau barau ma terebiya tomon fi bele al ana fogo	Ai ana endi ham kalam alim drbia bara bara guwerinana sunia ana aruf suniya ana aruf ma usuniya biaju kana amurgu u suniya baju kana zidu ana bi aruf ma ana kabila kam bara barau ma terebiya tomfi bela al ana fg
