audio_file	reference	hypothesis
spontaneous-speech-el-CY-37427.mp3	Η άποψη μου η τεχνολογία την τελευταία δεκαετίαν αναπτύχθηκεν αρκετά σε σημείον που μπορεί να βελτιώσει την καθημερινήν ζωήν των πολλών ξεκινώντας που την ιατρικ΄ην μαζίν με τες διάφορες μηχανές που μπαίννουν μόνον η βελόνα μέσα στον άνθρωπο εεε χωρίς να χρειαστεί κάποια επέμβαση τζ̆αι φτάννοντας μέσα στο σπίτιν του καθενός Εεε για παράδειγμαν οι συσκευές που καθαρίζουν μόνες τους ή η γνωστή Αλέξα που αν έσ̆εις την κατάλληλην επένδυσην σε έξυπνες στα εισαγωγικά ηλεκτρικές συσκευές μπορεί να τες λειτουργήσει με απλά την φωνήν σου ή ακόμα σε βιομηχανίες εεε όπου εργασίες παλιά έπρεπε να γίνουν που έναν άνθρωπον πλέον γίνουνται πολλά πιο αποτελεσματικά τζ̆αι πολλά γλήορα εεεμ που απλά μιαν μηχανήν το οποίον όμως φέρνει μας στον κίνδυνον της τεχνολογίας ο οποίος είναι η μείωση ανθρώπινου δυναμικού σε χώρους εργασίας Έναν αρκετά καθημερινόν τζ̆αι συχνόν παράδειγμα εν' οι τράπεζες που κάθε εβδομάδαν κλείει τζ̆' άλλη	εποψήμου η τεχνολογία την τελευτίαν δεκαετία αναυσύθτι γι να σκετά σε σημείον που μπορεί να βελτιώσει την καθημερινή ζωή των πολλών ξεκινώντας που τιν ιατρική μαζί με τες διάφορες μηχανές που μπαίνουν μόνον νιπελλώνα μέσα στον ανθρωπο χωρίς να θειαστεί κάποια ετέμπαση ζ̆αι φτάνυντας μέσα στο σπίτιν του κάθ ενός για παράδειγμα ν ι συσκευές που καθωρίζουν μόνες τους ή γνωστή λέξα που αν έσ̆ι την κατάλληλην επίνδησης σε έξιπνες στα ισαγωγικά ελεκτριές συσκευές μπορεί να τες λειτουργήσει να πλατιφωνίσουν ή ακώμα σε βιομηχανίες όπου εργασίες παγιά έπρεπεν να γίνουν που έναν άνθρωπο πλίον γίνουνται πολλά πιο αποτελεσματικά τζ̆ι πολλά γλίορα που απλά μια μιχανή το οποίο νομοσ φίρνι μας των κινδίνον της τεχνολογίας ο οποίος είναι η μίωση ανθρώπινου δυναμικού σε χώρους εργασίας έναν αρκετά καθημερινών ται συχνόν παράδειγμα εν ι τράπεζές που κάθε εβδομάδα κλίτζ̆ι άλλι
spontaneous-speech-el-CY-37434.mp3	Εεεμ μια τεχνολογία η οποία κάμνει με να ανησυχώ έτσι λλίον ιδιαίτερα εν' το γνωστόν το ΑΙ Ο λόγος που με ανησυχεί έννεν' επειδή εσ̆ει καταχωρημένες τζ̆είνες ούλλες τες πληροφορίες μέσα αλλά επειδή ο κόσμος νομίζω μαθαίννει πλέον τζ̆αι πάει απευθείας σε τζ̆εινον εννοώ χάννουσιν τες δεξιότητες στο να κάμουσιν μιαν έρευναν στο να μπορούν να ξεχωρίσουν τες καλές τζ̆αι τες έγκυρες πληροφορίες που τες μη έγκυρες εεεμ νναι ανησυχεί με παραπάνω το γεγονός ότι ο κόσμος πλέον εξαρκιέται που το ΑΙ αποκλειστικά για ό τι ερώτησην έσ̆ει	ε μια τεχνολογία η οποία καμνιμεν ανησυχώ έτσι λίον ιδιαίτερα εν το γνωστόν το ιι ο λόγος που με ανησυχεί εννεν επειδή έσ̆ει καταχορημένες τζ̆ινες ουλίς τες πληροφορίες μέσα αλλά επειδή ο κόσμος νομίζώ μαθίννει πλέον τζ̆αεμ πάει απευθία σε τζ̆εινον ενώ χαννούσιν τες δεξιώτητες στο να κάμύσιν μιαν έρευναν στο να μπορούν να ξεχωρίσουν τες καλές ζαι τες ένκυρες τες πληροφορίες πούτες μη έγκυρες εμ ναι ανησυχείμαι παρα πάνω το γεγονός ότι ο κόσμος πλεον εξαρκίτι που το Ει αποκλίτικά για ότι η ερώτησιν έσι
spontaneous-speech-el-CY-37442.mp3	Πραγματικά εν ι-ξέρω κατα πόσον οι τράπεζες όντως κρατούν τα λεφτά ασφαλισμένα διότι υπήρχαν περιπτώσεις όπου έκλεισεν μια τράπεζα τζ̆αι στην ουσίαν τα λεφτά των ανθρώπων εχαθήκασιν εχτός αν την είσ̆εν αγοράσει μια άλλη τράπεζα τζ̆αι τότε μεταφέρονταν οι λοαρκασμοί των ανθρώπων που την μιαν στην άλλην Αλλά γεννικά αν δεν κάμνω λάθος οι τράπεζες γυρίζουν τα λεφτά των ανθρώπων εννοώ γυριζουν τα κάμνουσιν αγοράζουν κάμνουν μετοχές εννοώ έτσι φκάλλουν τζ̆αι οι ίδιοι λεφτά με το να έχουν τα λεφτά τα δικά σου κρατούν- κρατημένα μέσα	πραγματικά εν ξέρω κατα πόσον οι τράπιζες όντως κράτουν τα λευτά ασφαλισμένα διότι υπήρχαν περιπτώσεις όπου έκλιξεν μια τράπεζα τζ̆αι στην ουσίαν τα λευτά των ανθρώπων έχα θύγασι εχτώς αν δεν είσ̆αι ν αγοράσειν μια άλλη τράπεζα τζ̆αι τότε μετα φέρούν ταν ηλοαρκασμοί των ανθρώπων που τιν μια στην άλλη αλλά γενικά δεν κάννουν λάθως οι τράπεζες γυρίζουν τα λευτά των ανθρώπων ενώ γυρίζουν τα κάμνωσι ν αγοράζουν μετοχές ενώ έτσι φκάλλουν ζ̆αι ίδι λεφτά μι το να έχουν τα λευτά τα δικά σου κράτουν κρατιμένα μέσα
spontaneous-speech-el-CY-37445.mp3	Που ήμουν μιτσ̆ιά εεε περίπου στην ηλικίαν του δημοτικού άρεσκεν μου να θκιαβάζω παιδικήν λογοτεχνίαν συγκεκριμένα είσ̆εν μιαν συγγραφέαν η οποία άρεσκεν μου πάρα πολλά η οποία έγραφεν κάτι παρόμοιον εεε με το βιβλίο «το ημερολόγιον ενός σπασίκλα» αλλά στο γυναικείον δηλαδή ήταν το ημερολόγιον μιας κοπέλας εεε ή διάφορες εγκυκλοπαίδειες αυτά	που ι μυ μιτσ̆ια περίπου στην ιλικι αν του δηματικού αρέσκεμυ να θκιαβαζω παιδική λογοτεθνία συγκεκριμένα ίσεν μια σύνκραφι αν η οποία Αρέσκε μού πάρα πολλά η οποία έγραφεν κάτι παρώμιον με το βιβλίον το ημερολογιον ενώς παθίκλα αλλά στο γινικείο πλάαν το ημερολόγιον μιας κοπέλλας ι διάφορες υνκεκλοπίδιες αυτά
spontaneous-speech-el-CY-37447.mp3	Το online banking θεωρώ ότι ευκόλυνεν τες ζωές των πολλών πλέον απλά εσ̆ει τζ̆αι το αρνητικόν του ότι λόγον του online banking πλέον κλείουν οι τράπεζες εν χρειάζεται το ανθρώπινον δυναμικόν τζ̆αι επίσης οι άνθρωποι οι πιο μεγάλοι ηλικιακά ε δυσκολεύκουνται ακόμα να προσαρμοστούν σε τούντην αλλαγήν	Το ονλιν πανκινΚ θεωρώ ότι ευκόλινεντι ζωές των πολλών πλέον απλά έσ̆ιζι το αρνητικόν του ότι λόγον του ονλιν πανκινΚ πλίον κλείουν οι τράπεζεςε χρειάζεται τ ανθρωπινον δυναμικόντζ̆ι επίσης ι ανθρωποι πιο μεγάλα ηλικιακά δυσκολεύκουνται ακόμα να προσαρμοστούν σι τούν την αλλαγή
spontaneous-speech-el-CY-37461.mp3	Εν θα έλεγα ότι υπάρχει άχρηστον ζώον σίουρα ούλλα τα ζώα συμβάλλουν με τον δικόν τους τρόπον εεεμ στην τροφικήν αλυσίδαν τζ̆αι γεννικά στο οικοσύστημαν της φύσης εεεμ το πιο άχρηστον ζώον εννά έλεγα ότι ίσως να 'ν' εν ι-ξερω ή... τα πάντα τα πάντα το ζώον	ν θα έλεγα ότι υπάρχει άχριστο ζώ σύγορά όλλα τα ζώα συμβαλούν με τον δικόντους τροπο ε στην τροφικην αλησίδαν τζ̆ιο γεννικά στο ικοσύστημα της φύσης  το πιο άχριστο ζώ ν έλεγα ότι ίσως ναν μεν ξίρωή τα πάντα τα πάντα το ζώ
spontaneous-speech-el-CY-37464.mp3	Μιλώντας για την παιδικήν μου ηλικίαν εεε θθυμούμαι ότι η μάμμα μου για έναν μεγάλον διάστημαν ήταν άνεργη ο παπάς μου συνέχειαν έλειπεν που σπίτιν Εεε τζ̆αι γεννικά ήταν αρκετά αυστηροί τζ̆αι οι θκυο μαζίν μου έκλαια σχεδόν κάθε μέρα για τα μαθήματα που έπρεπεν να κάμω	μιλώντας για την πιδική μου ηλικία θίμωμι ότι η μάμα μου για ένα μεγάλο χρονικο διάστεμαν ήταν ανέρχι ο παπάς μυ συνέχεια λίπεν πυ του σπίτιε τζ̆αι γενικά ήταν αρκετά αυστηρή ζωήθηκι μαζί μου έκλια σχεδόν κάθε μέρα για τα μαθήματα που έπρεπεν να κάμωεμ
spontaneous-speech-el-CY-37468.mp3	Τα Χριστούγεννα συνήθως εννά κάμουμεν αρκετά παραδοσιακά φαγιά τζ̆αι που τες θκυο κουλτούρες δηλαδή εννά κάμει τζ̆αι η μάμμα μου κάτι παραδοσιακόν αλλά επίσης εννά κάμουμεν τζ̆αι σούβλαν ή σουβλάκια Αλλά το΄υτον εχτός που το τραπέζιν εν καμνουμε κάποιαν άλλην δραστηριότηταν τα Χριστούγεννα	τα χριστοίενα συνήθως εννακάμουμεν αρκετά παραδοσιακά φαγιάζι που τεσκιο κουλτούρες δηλαδή εννα κάμι τζ̆αιμμα μου κάτι παραδοσιακόν αλλά επίσης εννακάμουμεν τζ̆ισούπλαν ι σουπλάκιαν αλλά τούτουν εχτός που τραπίζι είνι εν καμνομεν κάποιαν άλλη δραστηριότητα τα χριστούενα
spontaneous-speech-el-CY-37469.mp3	Αν μιλούμεν για συγκεκριμένον κομμάτιν ρούχων εεεμ έσ̆ει έναν πουλόβερ που μου αρέσκει πάρα πολλά το οποίον εν' μαύρον τζ̆αι έσ̆ει εν' πλεχτόν επίσης τζ̆αι έσ̆ει άσπρα λουλουδάκια πάνω τζ̆αι γεννικά εν' πολλά μεγάλον εν' ζεστόν εν' πάρα πολλά άνετον	αν μιλούμε για συγκεκριμένον κομμάτι ρούχων έσ̆ει έναν πουλόβερ που μαρέσκι πάρα πολλά το οποίο νι μάβρο τζ̆αι έσ̆ει εμπλεχτών επίσης τζ̆αι έσ̆ι ας πραν πλουλλυδά κι απάνω τζ̆αι γενικά αν πολλά μεγάλο νετζεστώνεν παρα πολλά ν ετώ
spontaneous-speech-el-CY-37470.mp3	Θεωρώ ότι για να μπορούσεν να καταφέρει έτσι πράμαν η παιδεία τζ̆αι γεννικά τα σχολεία εννά έπρεπεν να ενσωματώσουν μαθήματα ευαισθητοποίησης των μαθητών αλλά τζ̆αι κυρίως να υπενθυμίζουν στους γονιούς πόσον σημαντικόν ένι το να έχουν μιαν παιδεία στο σπίτιν	θεωρώ ότι για να εν μπορούσι να καταφέρει έτσι πράμανη παιδία τζ̆αι γενικά τα σχολεια εν έπρεπε να εσοματώσουν μαθήματα εβεστητοποίησης των μαθητών αλλά τζαι κυρίως να υπενθυμίζουν στους γωνιούς πώσο σημαντικόν ενι το να έχουν μιαν παιδία στο σπίτι
