audio_file	reference	hypothesis
spontaneous-speech-el-CY-37427.mp3	Δυστυχώς εν γνωρίζω τι προγράμματα πρόνοιας προσφέρει η κυβέρνηση αλλά που τα λεγόμενα του κόσμου ξέρω ότι έννεν' πολλά ευχαριστημένοι	Δυστυχώς εγνωρίζω ότι οι πρόγραμματα πρόνοιας προσφέρει η κυβέρνηση αλλά που τα λεγόμενα του κόσμου ξέρω ότι έννεν' πολλά ευχαριστημένοι
spontaneous-speech-el-CY-37434.mp3	Προσωπικά αρέσκουν μου τα ρούχα τα οποία κάμνουν με να νιώθω άνετα Συνήθως τούτον περιλαμβάννει κάποιον παντελόνιν τžαι μιαν λλίον πιο μεγάλην κοντομάνικην ή μακρομάνικην φανέλλαν	Προσωπικά αρέσκουν μου τα ρούχα τα οποία κάμνουν με να νιώθω άνετα Συνήθως τούτον περιλαμβάννει κάποιον μπαντελόνιν τζ̆αι μιαν λλίον πιο μεγάλην κοντομανικήν ή μακρομανικήν φανέλλαν
spontaneous-speech-el-CY-37442.mp3	(Σ)τα γενέθλια μου όταν ήμουν πιο μιτσ̆ιά εκαλούσεν η μάμμα μου τους συγγενείς μας σπίτιν για να φάμεν αλλά που μιαν ηλικίαν τζ̆αι μετά εμ εγιόρταζα τα μαζίν με φίλες ή απλά εν έκαμνα τίποτε	Για να εκλαιμώταν ήμουν πιο μιτσ̆ιά εκαλούσεν η μάμμα μου το συγγενείς μας σπίτιν για να φάμεν αλλά που μιαν δικείαν τζ̆αι μετά εμ εγιόρταζα τα μαζί με φίλες ή... απλά εν έκαμνα τίποτε
spontaneous-speech-el-CY-37445.mp3	Εν μπορώ να φανταστώ για ούλλες τες επιχειρήσεις τι δυσκολίες ή προκλήσεις εννά αντιμετωπίσουν όταν εννά ξεκινήσουν μιαν επιχείρησην εεεμ αλλά για παράδειγμαν όταν εσ̆ει να κάμει με φαΐν τούτη η επιχείρηση σίουρα εν' ούλλες οι άδειες που πρέπει να φροντίσουν να φκάλουν πριν αννοίξει το εστιατόριον ή η καφετέρια επίσης ένι το να έβρεις προσωπικόν το προσωπικόν το οποίον να μπορείς να εκπαιδεύσεις τζ̆αι να δουλεύκει έτσι όπως το θέλεις εεεμ τα έξοδα που εννά 'ν' αρκετά δύσκολον να αν δεν έσ̆εις κάποιον κεφάλαιον ήδη μαζεμένον ενν΄΄΄΄΄΄΄΄΄΄΄΄΄΄΄΄΄΄α 'ν' πάρα πολλά δύσκολον νομίζω να επιζήσει η επιχείρηση	Πορώ να φανταστώ για ούλλες τες επιχειρήσεις τι δυσκολίες οι προποιήσεις εννά αντιμετωπίσουν όταν εννά ξεκινήσουν μιαν επιχείρησην εεμ αλλά για παράδειγμα όταν έσ̆ει να κάμει με φαΐν του την επιχείρησην συγκεκριμένα εν' ούλλες οι άδειες που πρέπει να φροντίσουν να φκάλουν πριν αννοίξει το εστιατόριον ή η καφετέρια
spontaneous-speech-el-CY-37447.mp3	Να μάθω να παίζω κάποιον μουσικόν όργανον απλά δυστυχώς εν έτυχεν ποττέ Το μόνον πιο κοντιν΄ον πράμαν που έχω σε τούντον τομέαν εν' το ότι τραγουδώ κάποιες φορές στον ελεύθερον μου χρόνον	Να μάθω να παίζω κάποιον μουσικόν όργανον απλά δυστυχώς εν έτυχεν ποττέ Το μόνον πιο κοντινόν πράμαν που έχω σε τούντον τομείον εν' το ότι τραγουδώ κάποιες φορές σε έναν ελευθέρωμον χρόνον
spontaneous-speech-el-CY-37461.mp3	Η άποψη μου η τεχνολογία την τελευταία δεκαετίαν αναπτύχθηκεν αρκετά σε σημείον που μπορεί να βελτιώσει την καθημερινήν ζωήν των πολλών ξεκινώντας που την ιατρικ΄ην μαζίν με τες διάφορες μηχανές που μπαίννουν μόνον η βελόνα μέσα στον άνθρωπο εεε χωρίς να χρειαστεί κάποια επέμβαση τζ̆αι φτάννοντας μέσα στο σπίτιν του καθενός Εεε για παράδειγμαν οι συσκευές που καθαρίζουν μόνες τους ή η γνωστή Αλέξα που αν έσ̆εις την κατάλληλην επένδυσην σε έξυπνες στα εισαγωγικά ηλεκτρικές συσκευές μπορεί να τες λειτουργήσει με απλά την φωνήν σου ή ακόμα σε βιομηχανίες εεε όπου εργασίες παλιά έπρεπε να γίνουν που έναν άνθρωπον πλέον γίνουνται πολλά πιο αποτελεσματικά τζ̆αι πολλά γλήορα εεεμ που απλά μιαν μηχανήν το οποίον όμως φέρνει μας στον κίνδυνον της τεχνολογίας ο οποίος είναι η μείωση ανθρώπινου δυναμικού σε χώρους εργασίας Έναν αρκετά κα	Η τεχνολογία την τελευταίαν δεκαετίαν αναπτύχθηκεν αρκετά σε σημείον που μπορεί να βελτιώσει την καθημερινήν ζωήν των πολλών ξεκινώντας που την ιατρικήν μαζί με τες διάφορες μχανές που μπαίννουν μόνον η πελώνα μέσα στον άνθρωπον χωρίς να θεαστεί κάποια τέμβαση τζ̌αι φτάννοντας μέσα στο σπίτιν του κάποιενός για να δημιουργήσει τέχνονες τεχνολογίες
spontaneous-speech-el-CY-37464.mp3	Ως εν ι-μπόρω να απαντήσω σε τούντην ερώτησην διότι εν πληρώ τις απαιτήσεις λόγον του ότι εν έκαμα ακόμα οικογένειαν	Εννά' πολλά πιο σημαντικόν να μιλήσεις για τούτον τζ̆αι να το πεις εεε τζ̆αι να το πεις εεε τζ̆αι να το πεις εεε
spontaneous-speech-el-CY-37468.mp3	Η αγαπημένη διασημότητα τον τελευταίον τζ̌αιρόν εν' η Μαρίνα Σάττι ο λόγος που μ’ αρέσκει ένι διότι συνδυάζει διάφορα είδη μουσικής στην δισκογραφίαν της τζ̌αι γεννικά νομίζω λόγον τούτου έσ̆ει έναν τραγούδιν για τον καθέναν μας	Η μόνη μου διασημότητα τον τελευταίον τζ̆αιρόν εν' η Μαρίνα Σάκτιν Ο λόγος που μου αρέσκει εν' η διότι συμπιάζει διάφορα είδη μουσικής στην δισκογραφίαν της τζ̆αι γεννικά νομίζω ο λόγον τούτου έσ̆ει έναν τραγούδιν για τον καθέναν μας
spontaneous-speech-el-CY-37469.mp3	Που ήμουν μιτσ̆ιά εεε περίπου στην ηλικίαν του δημοτικού άρεσκεν μου να θκιαβάζω παιδικήν λογοτεχνίαν συγκεκριμένα είσ̆εν μιαν συγγραφέαν η οποία άρεσκεν μου πάρα πολλά η οποία έγραφεν κάτι παρόμοιον εεε με το βιβλίο «το ημερολόγιον ενός σπασίκλα» αλλά στο γυναικείον δηλαδή ήταν το ημερολόγιον μιας κοπέλας εεε ή διάφορες εγκυκλοπαίδειες αυτά	Που ήμουν μιτσ̆ιά εεε περίπου στην ηλικιάν του δημοτικού άρεσκεν μου να θκιαβάζω παιδικήν λογοτεχνίαν συγκεκριμένα είσ̆εν μιαν συγγραφέαν η οποία άρεσκεν μου πάρα πολλά η οποία έγραφεν κάτι παρόμοιον με το βιβλίον το ημερολόγιον ενός παθύκλα αλλά στο γυναικείον πράβημαν έτσι που έσ̆εν μιαν συγγραφέαν που έσ̆εν πάρα πολλά πολλά πολλ΄υντην εμπειρίαν
spontaneous-speech-el-CY-37470.mp3	Την τεχνολογίαν βρίσκουμεν την παντού Εεε εγώ προσωπικά χρησιμοποιώ πιο συχνά το κινητόν μου ή κάποιαν άλλην συσκευήν με μιαν πιο μεγάλην οθόνην για να μπορώ να θκιαβάσω για το Πανεπιστήμιον ή μπορεί να χρειαστεί να μαειρέψω κάτι μαζίν με κάποιαν έξυπνην συσκευήν ή ν' ακούσω μουσικήν αυτά	Την τεχνολογίαν βρίσκουμεν την παντού Εγώ προσωπικά χρησιμοποιώ πιο συχνά το κινητόν μου ή κάποιαν άλλην συσκευήν με μιαν πιο μεγάλην οθόνην για να μπορώ να θκιαβάσω για το πανεπιστήμιον ή μπορεί να χρειαστεί να μαειρέψω κάτι μαζί με κάποιαν έξυπνην συσκευήν ή να μεγαλώσω κάτι για το πανεπιστήμιον
