audio_file	reference	hypothesis
spontaneous-speech-el-CY-37427.mp3	Η άποψη μου η τεχνολογία την τελευταία δεκαετίαν αναπτύχθηκεν αρκετά σε σημείον που μπορεί να βελτιώσει την καθημερινήν ζωήν των πολλών ξεκινώντας που την ιατρικ΄ην μαζίν με τες διάφορες μηχανές που μπαίννουν μόνον η βελόνα μέσα στον άνθρωπο εεε χωρίς να χρειαστεί κάποια επέμβαση τζ̆αι φτάννοντας μέσα στο σπίτιν του καθενός Εεε για παράδειγμαν οι συσκευές που καθαρίζουν μόνες τους ή η γνωστή Αλέξα που αν έσ̆εις την κατάλληλην επένδυσην σε έξυπνες στα εισαγωγικά ηλεκτρικές συσκευές μπορεί να τες λειτουργήσει με απλά την φωνήν σου ή ακόμα σε βιομηχανίες εεε όπου εργασίες παλιά έπρεπε να γίνουν που έναν άνθρωπον πλέον γίνουνται πολλά πιο αποτελεσματικά τζ̆αι πολλά γλήορα εεεμ που απλά μιαν μηχανήν το οποίον όμως φέρνει μας στον κίνδυνον της τεχνολογίας ο οποίος είναι η μείωση ανθρώπινου δυναμικού σε χώρους εργασίας Έναν αρκετά καθημερινόν τζ̆αι συχνόν παράδειγμα εν' οι τράπεζες που κάθε εβδομάδαν κλείει τζ̆' άλλη	ποψήν μου η τεχνολογία την τελευταίαν δεκαετίαν αναφσυχθεκεν αρκετά σε σημείον που μπορεί να βελτιώσει την καθημερινήν ζωήν των πολλόν ξεκίνοντας που την η ιατρική μαζί με τες διάφορες μηχανές που μπαίννουν μόνον οι πελώνα μέσαν στον άνθρωπον ε χωρίς να θιαστεί κάποια ατέμβαση τζ̆αι φτάννουντας μέσα στο σπίτιν του κάθενόςεε για παράδιγμαν ι συσκευές που καθωρίζουν μόνοες τους ή η γνωστία λέξα που αν έσ̆ει στην κατάλληλην επίνδησης σε έξυπνες στα ισαγωγικά ηλεκτρικές συσκευές μπορεί να τες λειτουργήσει να πλά τηνφωνίσου ή ακόμα σε βιομηχανίες όπου εργασίες φαλιά έπρεπεν να γίνουν του έναν άνθρωπο πλέον γίνουνται πολλά πιο αποτελεσματικά τζ̆αι πολλά γλήωρα που απλά μιαν μηχανή το οποίο ομοσφέρνει μας των κινδίον της τεχνολογίας ο οποίος είναι η μείωση ανθρώπινου δυναμικού σε χώρους εργασίας έναν αρκετά καθημερινόν τζ̆αι συχνόν παράδειγμα εν' οι τράπεζές που κάθε εδωμαδα κλίει τζ̆αι άλλοη
spontaneous-speech-el-CY-37434.mp3	Δυστυχώς πάνω σε τούντο θέμα εν κατεχω πολλές πληροφοριές λόγω του ότι τζ̆αι ο παππούς μου τζ̆αι η γιαγιά μου που τη πλευρά του παπά μου δηλαδή στη Κύπρο επεθάναν πρίν γεννηθώ Αλλά που τζ̆ίνα που ξέρω με βάση άλλους στην ηλικία μου ξέρω οτι λόγο του πολέμου και τα λοιπά δίνουν μεγάλη έμφαση σε τούντο θέμα Δηλαδή θ΄ελουν να διασφαλίσουν οτι οι πιο μιτσ̆ες γεννιές εν να θυμούνται τζ̆ίνο που έγινε	Δυστυχώς πάνω σιτούν το θέμαν εν' κάτε έχω πολλές πληροφορίες λόγον το ότι τζ̆αι αβαπφός μου τζ̆αι γιαγιά μου που την πλευράν του παπά μου δηλαδή στην Κύπρον εε έπαιθα ναν πριγεννηθώ εμ αλλά που τινοο ξέρω με βάσιν άλλο στην ηλικίαν μου ξέρω ότι λόγον του πολέμου και ταλιπά δίννον δίον μεγάλην έφφασην πάνω σιτούν το θέμα δηλαδή θέλουν να διασφαλίσουν ότι πιο μιτσ̆ιες γενιές εννά θθυμούνται τζ̆είνο που έγινεν
spontaneous-speech-el-CY-37442.mp3	Στον τελευταίον εργασιακόν χώρον που εδούλευκα εκάμνασιν εκστρατείες μιαν φοράν κάθε εξάμηνον ή μια φοράν κάθε τρίμηνον όποτε εχρειάζετουν τέλος πάντων τζ̆αι επηαίννασιν σε δημοτικά ή κυρίως νηπιαγωγεία τζ̆αι εκάμνασιν ανακαίνισην των αίθουσων στο κτήριον τζ̆αι εχρειάζουνταν εθελοντές κάθε φοράν οπότε είχα δηλώσει συμμετοχήν τζ̆αι επήαμεν εφκάλαμεν ούλλα τα έπιπλα που την αίθουσαν διδασκαλίας των μωρών τζ̆αι εκάμαμεν την ανακαίνισην του χώρου με την βοήθειαν τους	Στον τελευταίον εργασιακόν χωρον που εδουλεύκα έκαμνα σιν εξτρατίες μιαν φοράν καθε εξάμηνον ή μιαν φοράν καθετρήμινον οπότεν χρειάζετον τελοςπάντον τζ̆αι πήαννασει σε δημοτικά ή κυρίος νηπιαγωγίαν τζ̆αι έκάμνα σην ανακενήσην των έθουσον στο χτήρίον τζ̆αι χρειάζονταν εθελοντές κάθε φοράν οπότε είχα δηλώσι συμμετοχήν τζ̆αι έπήαμεν φκάλαμεν δούλα τα επιπλά που την έθουσαν διδασκαλείας των μωρόν τζ̆αι έκάμαμεν πριτην ανακινήσιν του χόρου με την βοήθειάν τους
spontaneous-speech-el-CY-37445.mp3	Προσωπικά αρέσκει μου πολλά το χρώμαν πράσινον μια συγκεκριμένη απόχρωση του πράσινου το κυπαρισσίν το οποίον χρώμαν αρέσκει μου παραπάνω να το βλέπω ή να αγοράζω αξεσουάρ με το χρώμαν τζ̆είνον Όσον αφορά για άλλα χρώματα που μ' αρέσκει να έχω στον προσωπικόν μου χώρον αρέσκει μου το καφέ το μπες̆ εεε τζ̆αι το μαύρον Αυτά	προσωπικά άρέσκει μου πάρα πολλά το χρώμαν πράσινο μια συγκεκριμένη απόκρεση του πράσινου το κιβαrσι το πιον χρόμαν αρέσκει μου παραπάνω το βλέπω ή να αγοράζω αξεσουar με το χρώμαν τζ̆είνο όσον αφορά για άλλα χρώματα που μου αρέσκει να έχω στον προσωπικόν μου χώρον αρέσκει μου το καφέ τον πέςh ε τζ̆αι το μαδρον αφτά
spontaneous-speech-el-CY-37447.mp3	Λόγον έλλειψης χρόνου θεωρώ εγώ ότι οι τεχνολογικές εξελίξεις που εννά εβελτιώνναν την δικήν μου ζωήν εεεμ εννά ήταν τα αυτόματα ήδη καθαρισμού όπως η σκούπα η εννοώ η ηλεκτρική σκούπα που ξεκινά μόνη της ή κάποιον πλυντήριον πιάτου εμ σίουρα τζ̆αι πολλά άλλα απλά τούτα μπορώ να σκεφτώ	λόγον έλλιψης χρόνου θεωρώ εγώ ότι οι τεχνολογικές εξελίξεις που εννά εβελτιώνναν την δικήν μου ζωή εμ εννά ήταν τα αυτόματα ίδη κάθαρισμου όπως η σκούπα ή εννώ η ελεκτρική σκούπα που ξεκινά μονι της ή κάποιον πλητήριον πιά του εεμ σκερώ τι πολλά αλλά απλά τούταν πορά σκεφτώ
spontaneous-speech-el-CY-37461.mp3	Τωρά όσον αφορά ραντεβού με γιατρόν αννέν' κάποιος ειδικευμένος γιατρός πρέπει πρώτα να μιλήσεις μαζίν με τον προσωπικόν σου γιατρόν αννέν' μέσον του ΓεΣυ Αν δέννεν' μέσον του ΓεΣυ πιάννεις απευθείας τον εξωτερικόν γιατρόν αλλά στην Κύπρον πρέπει να επικοινωνήσεις πρώτα μαζίν με τον προσωπικόν σου γιατρόν να πάεις να σε δει τžι αφού σε δει τžι επιβεβαιώσει ότι όντως έσ̆εις κάποιον θέμαν το οποίον εν ι-μπόρει να λύσει ο ίδιος τότε γράφει σου παραπεμπτικόν τžαι πάεις στον γιατρόν που θέλεις	Τωρά όσον αφορά εράντε που με γιατρόν ανν εν κάποιος ειδικευμένος γιατρός πρέπει πρωτά μιλήσεις μαζήμαν προς επικόσιο γιατρόν ανν εν μέσον του γεσί αδενν εν μέσον του γεσί πιάννείς απευθίας στον εξωτερικόν κιατρόν αλλά στην Κύπρον πρέπει να επικοινωνήσεις πρωταματιςμόν προς επικόσ̆ιο γιατρόν να πάεις να σεδί τζ̆ι αφού σεδί τζ̆αι επιβεβαιώσει ότι όντως έσ̆εις κάποιον θέμαν το οποίον εν' ι μπορίν άλλησι ο ίδιος τότε γράφεις σου παραπέμπτικόν τζ̆αι πάεις στο γιατρόν που θέλεις
spontaneous-speech-el-CY-37464.mp3	Η δημόσια παιδεία στην Κύπρον έννεν' η καλλύττερη γενικά λείφκουνται πολλά πράματα για να θεωρηθεί ότι παρέχει μιαν σφαιρικήν παιδείαν στους μαθητές αλλά όσον αφορά στα κτήρια επειδή στην περιοχήν που μεινίσκω τωρά εν' λλίον πιο εεμ σύγχρονα σίουρα σαν κτήριον εν' πολλά εντάξει	Η δημόσια παιδία στην Κύπρον εννεν ι καλλύττερι γεννικά λυφκουνται πολλά πράματα για να θεωρηθεί ότι παρέχει μιαν σφερικήν παιδία στους μαθητές αλλά όσον αφορά στα χτήρία επειδή στην περιοχήν που μεν ισχωτορα ελλίον πιο σύγχρονα σύγουρα σαν χτηρίον εν' πολλά εντάξι
spontaneous-speech-el-CY-37468.mp3	Μιλώ τέσερις διαφορετικές γλώσσες οι οποίες εν' Αγγλικά Ελληνικά Ρωσσικά τζ̆αι λλία Γαλλικά Τα Ελληνικά που μαθαίννουμεν στο σχολείον αλλά τζ̆αι τα Κυπριακά λόγον της κοινότητας τζ̆αι της χώρας Τα Ρωσσικά επειδή εν' η μητρική μου γλώσσα τα Αγγλικά που το φροντιστήριον τζ̆αι το ίδιον τζ̆αι τα Γαλλικά	Μιλώ δέσσερες διαφορετικές γλώσσες οι οποίες εν' αγγλικά Ελληνικά ρωσσικά τζ̆αι έλλία γαλλικά εε τα Ελληνικά που μαθαίννουμεν στο σχολείον αλλά τζ̆αι τα κυπριακά λόγον της κοινότητας τζ̆αι της χώρας τα ρωσσικά επειδήαεν η μητρική μου γλώσσα τα αγγλικά που το φροντιστήριον τζ̆αι το ίδιον τζ̆αι τα γαλλικά
spontaneous-speech-el-CY-37469.mp3	Τα Χριστούγεννα συνήθως εννά κάμουμεν αρκετά παραδοσιακά φαγιά τζ̆αι που τες θκυο κουλτούρες δηλαδή εννά κάμει τζ̆αι η μάμμα μου κάτι παραδοσιακόν αλλά επίσης εννά κάμουμεν τζ̆αι σούβλαν ή σουβλάκια Αλλά το΄υτον εχτός που το τραπέζιν εν καμνουμε κάποιαν άλλην δραστηριότηταν τα Χριστούγεννα	Εε Τα Χρηστούγίννα συνήθως εννά κάμουμεν αρκετά παραδοσιακά φαγιά τζ̆αι πουτες κιο κουλτούρες δηλαδή εννα κάμει τζ̆αι μάμμα μου κάτι παραδοσιακόν αλλά επίσης εννά κάμουμεν τζ̆αι σούπλαν ι σουβλάκια αλλά τούτουν εχτός που το τραπέζιν εν' κάμνουμεν κάποιαν άλλη δραστηριότητα τα Χριστουγαίννα
spontaneous-speech-el-CY-37470.mp3	Θεωρώ ότι για να μπορούσεν να καταφέρει έτσι πράμαν η παιδεία τζ̆αι γεννικά τα σχολεία εννά έπρεπεν να ενσωματώσουν μαθήματα ευαισθητοποίησης των μαθητών αλλά τζ̆αι κυρίως να υπενθυμίζουν στους γονιούς πόσον σημαντικόν ένι το να έχουν μιαν παιδεία στο σπίτιν	θεωρώ ότι για να εμπορούσεν να καταφέρει έτσι πράμαν η παιδία τζ̆αι γεννικά τα σχολεία εννά έπρεπεν να ενσωματώσουν μαθήματα εβεσθητοποίησης των μαθητών αλλά τζ̆αι κυρίως να υπενθυμίζουν στους γονιούς πόσο σημαντικόν ένι το να έχουν μιαν παιδία στο σπίτι
