audio_file	reference	hypothesis
spontaneous-speech-lth-28172.mp3	Anyira nwongo pëkö më nwongo kwan n'opore ënë nï pëkö më cïlïng më cülö kwan pëkö më jami calö jami kwan calö kalam böngü ekapu wör kalam buk ope gïn cïdhö tic ï udi ka jïï më nwongo cïlïng më cülö kwan pol mërë jö nökënë tio kamë auc gal më nwongo cïlïng më cülö kwan	Knyira nongo pëkö më nongo kwan n'opore ënëï pëkö më cïln ë colö kwan pëkö më amicalöjyami kwan calö kalam böngo ekapu ör kalam buk ope gin cïdhötic idikajï më nongo cïlïn bë colö kwan pol mërë jö kënë tio kame aucgal me nongo cïling më cul kwan
spontaneous-speech-lth-28440.mp3	Jö më pacöna ëka wegi peci cwakö ëthïnö ï köp kwan më pwonyeregï tero gïnï ëthïnö ï cukul mïö gïnï ëthïnö gin na amyero ëmïï më kwanërëgï ëka mïtïng mökö na nongo könyö gërö cükül ëka tïmö tic mökö na mïö cukul döngö	K meë pacöna eka wiieci wakö ëthïnö ï kö kwan më pwonyeregï tero gïn ëthïnö ï ckul mïögï ëthïnö gia myero ïmëkwan ërëgï ëka mïtn mökö na nwongo könyö gro cukul ëka tïmo tic mökö na mïo ckul döngö
spontaneous-speech-lth-28489.mp3	An amarö camö cem calö amalakwang ayëta böö ringo dhyang ringo dyël ringo ringo gwënö kï nyig yen na papath calö abolo ëpaïpaï ëka aëmbë	Kn amarö  camö cem calö aalakwang ayët bö ringodan ringo ël ringoringo gwënö k nyi yet na paatcalö abolo ëpa paëka ëbe
spontaneous-speech-lth-28491.mp3	Ï kabedowa kany peki na mon onyo ëthïnö anyira nwongo n'adit rwök ope pïën ëgwökö ëgwökörök na röm aröma nen calö ka mën n'obedo tic më pwodho onyo tic më pacö ënë nwongo obedo tic na ünögï rwök caa mörö naka mïö caa më gïn cïdhö ï cukul onyo ï kwan nwongo ope	Kkabedo wakkany pekinamon ënyi ëthïn nyira nongona dit rwök obe pïën ëgwökö ëgwökörök na röm roma nën calö kamënö obedo tic më pwodho onyo tic më pacö ënë nwongo obedo tic na unögïn rwök caa mörö naamïö ca mëgïn cïdh ï cuku onyo cih ï kwan nwongo pewK
spontaneous-speech-lth-28550.mp3	Ï thum ka cabït ni aa onwongo atye ayelara më nënö nï ayübö ëthïnö më cïdhö ï cukul ayübö dhakö më cïdhö ï cukul pïën kï para jö kiduc tye gïnï ka kwan an mene atye amïtö nënö nï adök ökö ï cukul cabït na bino ni nwongo pol gina wan ëtïmo kiduc obedo lok kom cukul	Kthum ka cabit nï anwongo aty yelo ramë nënönï ayubo ëthïnö ëcïo ï cukul ayubodhakömë cïd cukulpïën kïpara ök o tyekakwan a mën aty amedo nënö nï adök ko cukul cabit na binoni nwongo pol in na wan atmö luc otko cukul
spontaneous-speech-lth-28559.mp3	Kwan ömïa ryëkö më gwökö kwöna onyo lökö kwöna nï anwongo tic aa agërö pacöna agërö thon cukul n'ëthïnö n'ökënë kwanö ïë ëka acülö thon ëthïnöna ï cukul	Kwan ömï ryëkö më gwök kwöna unyo lökö kwöna nï anwongo ticgeëropacöna agëro thon cukul nëthïnönkënë kwan ïë ëka acl thonethïnönacukul
spontaneous-speech-lth-28566.mp3	Dhanö römö nwongo two awöna apïö nï ka ngat mörö na two two awöna apïö tye cë önywakö ködë gi önywakö ködë jami calö okopo caa mörö ï caa më madhö köngö marüa inwongo nywakö gïnï öcëkë acël two awöna römö köbërë ëka myero kothi jö nön ecibogï ökö path kür örïbërë gïnï	Kanrömö nwongo two awonapiöo nï kanga mörö natwo t awn apio tie cë önywak kedeginywakö kede jamï calö okopo caa a mörö caa më madho kongo arrwa ïnwongo nywakö gïncëa acël two awon arömö kobere ek amyero i kothi ja non ecibogï ököpat kur aribëregï
spontaneous-speech-lth-28570.mp3	Gina rac kï nywakö jami na thïnöthïnö calö olyedi ënë nï olyedi köbö two Ka in ïngölö kï cingi ëka dök aa onyo dök ïkwanyö olyedi ni acël nï dök̈ ïlyëlö kï wii athïn de ekob nï in itwo inwongo do ïköbö two jönjö ökö ï kom athïn nwongo ba bër më nywakö gina thïnöthïnö nonu calö olyedi ni	Kinnarakïnywakö jami nathïnö thïnö calo olyedi ënë nï olyedi ïköbo two ka inï ngölö kicngi eëk adök onyodök ̈ kwanyö olyedi nï acëlïdökï lyelö ki wi athïn dëkob nïni two nwongoï köbo two janyökö ï kom athïn nwongo babër më nywak gïnathïn thïn non cal lyedini
spontaneous-speech-lth-28576.mp3	Cïdhö ï öd yath mïtö obed caa mörö këkën ka ïnwongo nï kom ba tye na bër cë ka ïnwongo nï komi tye na bër cë ïmïtö nënö ka ayela mörö ba tye ï komi ïrömö cïdhö inge dwe acël onyo dwe arïö cë ëmïö ëtïmö gïn elwongo nï general cek më nënö nï itye na bër	Kidhoö i dyahth mito obeth cëa mörö ëkën k inogon komi batye naber cëkk ka inongo ni kom tye na bër cë mïto önënökaayelamorbatye komi mene ïromo ciho ng dwe acël lnyo dwe arïö ce mö eëtïmö in lwon jenrol cëk ë nënö ni itye na bër
spontaneous-speech-lth-28592.mp3	Ngat na tye kï two par më acël nwongo kome tye ka dök pïny rwök tye amogere amoga na kadï ëcïdhö ï öd yath cë ëcïdhö epimo enwongo kit two mörö ope ëntö nwongo dhanö tye ka mogere amoga ënë pol mërë par ënë kelo koth mogere nön	Kat atye it two par ë acël nongokome tyek adök peny rwök ty amogera amoga nakede cidhö öath të cïdhö epimo enwongo kit two moro ope ët nwongo dhano ty amoger amoga eënëpol mërë par ën ëkelokoth moger anon
