audio_file	reference	hypothesis
spontaneous-speech-aln-44299.mp3	Jo pwr nder nuk kena nuk di gja C asht ai nuk kena jo nuk kena asnjw gja pwr zotin ju nuk e di Ca wsht fjala po nuk e kuptoj kwt gja pwr zotin Ca me t than tash nukw ashtu po po jo nukw s e kuptoj nuk e kuptoj...	jo mena nuk kjena nuk tigjaC ashta nuk kjena jo nuk nuk kjonsigja pwrzot nuk kjena jonuk e di qased pojk nuk e kuptoj kegja nuke pwr zote Ca pe talta shuk ashtu po jo uke kuptoj luke kuptajet
spontaneous-speech-aln-44300.mp3	Po kur isha i vogwl m pwlqejshin kang dhe ashtu kang dhe kukllash kuklla kang kshu pwr fmij kto m pwlqejshin ma shum kang e fmijve t vogla ashtu kuklla	po kurisha e vokwl pwqeshe kang e ashto kange kuklash kukla e kang su pwr fmi to pwqeshe mashama kang te fmi vet vogla  kukla
spontaneous-speech-aln-44301.mp3	gjaja ma e bukur ka shum gjana si jan te shpia ime t mira po kam bufen e kam telvizorin e frigoriferet e pwr shemull kam komodinat... qw ulem karriket kam ble nja dy karrika t bukra...	gjjama bukur ka shum gjana se jane shpaji me mina po kam bufene kam televizorin e friferet pwrshemu kam komodina ce ulem karri kam lenadj karrikat bukura
spontaneous-speech-aln-44302.mp3	Mana s kam nevoj pwr rroba se rrobat s mw qesin se kam fmij kam tre fmij... nuk e kam pwlqim rrobash ca t jen sill njw pal rroba t thjeshta nuk kam asnjw problem	umanas kam ne voj po rrobas se se nukrroba aqe se kam fmi me mj kam traj fmij me mj nuk e kam m pwlqim rrobash Ca en qjeni por robat thjesht as kam mat nuk mas en problem se kam traj fmi me mj nuk kam ka rrobai
spontaneous-speech-aln-44303.mp3	po muzik m pwlqen Cdo lloj muzike nuk ka a kupton nuk ka... po tana llojet e muziks m pwlqejn nuk asht nanj gja se... po ne na pwlqen shum muzik e veriut fshatit ton fshat po Dava Gjergji na pwlqen pwr shemull gjanat muzikat me Cifteli po Cdo gja me Cifteli kam qejf	po muzik pwlqen C doj muzike nuk ka kumto nuk ka po tonadojte muzik pwlqejn nuk ashnj gjsepo dena pwlqejn shum muzik te viriut fshati tut fshat o dava gjergjina pwlqen po shemulgjanat muzikat me Cefteli po gjogja me Cefteli kam Ceft
spontaneous-speech-aln-44304.mp3	un me ta thwn t drejtwn nuk m pwlqen jo jo nuk mw pwlqejn qent as mocet djal i vllait ka qen nuk m pwlqejn qent jo me thwn tw drejtwn As qent as macet	u metkatu drejten nuk m pwlqen Cajt nuk ju nuk m pwlqen Cajtastmacat se gjol i vlajt kashqen nuk m pwlqejn nuk m pwlqejn qajt jo me ktu drejtwn as Cejt as matat ja nuk m pwlqejn e folkot
spontaneous-speech-aln-44305.mp3	Shpresa ime ma e madhe mw t ardhmet asht t jem mir pwr fmijt t kem mir jetwn mos smurem C tw m pwlqej ma shum e madhe me thwn tw drejtwn... mos smurem mos bahem po po	shpesaime me madhem tarme tasht kje mir thmit je mir jeten mos fmuhem Cto pwlqen mashum e mae t kt drejtin pobo mos ba o
spontaneous-speech-aln-44306.mp3	Pwr shwndetin tim kujdesem... s ka njeri qw nuk kujdeset pwr shwndetin e vet po un kujdesem se s ha pwr shembull s ha gjana ambwlsiina nuk ha gjana qw nuk mw pwlqejn a kupton dhe pwr ruhem shwndetit	pwr shwndetin tim kwjdesim skanjejs nuk kujdes pwr shnetin e vet po un kujdeswm se sa pwrshembul sa gjana amisina e gjana nuk i hauk  pwlqejna uptaln edhe pwrruhem shnetit
spontaneous-speech-aln-44307.mp3	Po edhe telefonin nuk e pwrdori iC djali i vllait e pwrdor telefonin djali i vllait se e kam si meqen djalin tem e kam djali i vllait kam djalin e vllait qw ka njw ai fon edhe ktu se un telefonin e kam pa asnjw send telefon kshtu t thjesht kam po e marr me e pa	ret telefonin nuk u pwrtur i gjoli vlajt e pwrdor telefonin gjoli lajt se e kam stimiqwn gjolin tjem me kam gjol e vlajt kam gjolin e vlajt se ko njaj fon errejtu s un pwrvjet e kam telefonin pa kamwr pr se se telefon shut tisht kam pa mar me e pas
spontaneous-speech-aln-44308.mp3	smun-ja ime qw ka qwn ma shum e madhe qw ka qwn ka qwnw kur kur ka pas ra koronojoja ktu n Greqi dhe m ka m ka mbajtur di jav Di jav kam qen dek pa pa dek	shmunja ime si ka qon ma shum e ma si ka qon ka qon kur kur ka pastra kur n joja ktu ngreqi dhe  nga majtwr dia dia kamqan tek pa dek
