audio_file	reference	hypothesis
spontaneous-speech-koo-50679.mp3	Omulhume amathahya omukali mughuma erihulhukya liwe likakeha neryo kandi erihika liwe likabya mwe ngulhakulhana kandi omulhume amathahya omukali mughuma obutheke bwiwe bukanabyamu obuholho sibulibya mwetsughuru baitu omulhume amathahya abakali banene eka eyo mukabya erihali abakali bakabya ibane mulhwa nabandi iba lhoghana nabandi ibabya ibabya bakatoka erilhabangania kwebinya neryo likaleka obuholho ibwa bulha omu muyi	Amulhume amathahi omukali mughuma erighulhu kyaliwe erikakeha neryo kandi eriyiliwa erikabya mkulhakulhana kandi omulhme amthaa omukali mughuma butheke bukabya ma obuholho semulibya etsughhuro baitomulhume amath abakali banene omwa butheke omaaby erihali kundi abakali ibakbnamlhwa ibakalhra omulhume nabandi ibalhoghana nabandi ibbibbakatoka erilwa erilaanganiakw ebinywe nerylikaleka obughuma nobuholho ibabulha omwa muyi
spontaneous-speech-koo-50680.mp3	Obulhwere bwe corona mubwaleka esyosente isyabulha neryo abana be sukuru effizi yabo muyabulha eyikabasomesaya kandi muyaleka abana bamakulira omu malhambo esya sukuru musyimana neryo nabandi mubasagha erithasyasuba omwa sukuru kundi babya ibabirikulha nabandi mubabatweka neryo ekiaomo kyabo kyamaghana erilholha embere	Ebulhwire obwekorona mubwaleka esyosente sybulha neryo abana bisukuru efiza miulha eyikabasomesya kandi ulyaleka abana babakulir oomwa balhambo kundi esyasukura omwasiman neryo nabandi omubsagha erissasba oma sukuru kundi baababirikulha nerybandi mubabatweka abaayisangana ibabbabakule neyo ekyiomakykyamola emberaA
spontaneous-speech-koo-50681.mp3	Erikangirirya abana abomo bulhambo bwayi okwa mighaneghane eyebya kera yikawathikaya abana eriminya ebya abakera babya bakakolha kandi nuko ibabighiramu erithunga esyo ngeso nerighendera okwa ebya babyabakakolha neryo ekyi ikyikabawathikaya okwi kulha ndeke ibanayisikirye omwa bandu ngabakera ngoku babya bakakolha	Erikangirirya abana bo omwa bulhambo bwaghi oka mighangane eyebyakerea yikawathikaya abana eriminya ebyabakere bbakakolha kandi nuku ibabighiramu erithunga esyongesu nerighendira ookw ebyababya bakakolha neryo ekyi kyikabawathikaya okwkulha ndeke ibana yisikirye omwa bandu ngabakeraoku b bakakolhaE
spontaneous-speech-koo-50682.mp3	Emisabe omwa mughulhu thukathunga erisurusutha omughulhu thukathunga esyonyuhi yikathuwathikaya omwihumulikana emyeyo yethu iyathunga erithekana Kandi yikawathikaya erihighitha emyeyo mibi eyikabyayiri omwabandu omughulhu bakathunga esyonyuhi yikawathikaya nabandu ababi abakaletha esyonyuhi erithunga omuthima oweri yisubamu	Emisabe omwa mughulhu thukathunga erisirosuthaomughulhu thukathung esyonyuhe yikathuwathikaya kkwihumulikana emiy ythubyathunga erithekan kandi yikawathikaya erihighitha emiyo mibi eyikabya yiri omwa bandu omwomughulhu bakathunga esyonyuhe yikawathikaya nabandu ababi abakaletha esyonyuhe erithunga omuthima owerighisubakuE
spontaneous-speech-koo-50683.mp3	Obukoni bwekorona mubwanzingamia esyasuburo syo mouganda omwamibere minene mubwaleka akathali akebirimwa kamakeha mukasubibira ahisi nero ebisuburire muyana emibere eyerithwalira omo ebirimwa nebyobusubure byosibyosi mubyakalha kandi nesyasente musyabulha eeeh	Ebukunyu bwkorona mubwasingana esyosubura syamayukanda omwumibere minene mubaleka akathali akebirimwa kamakeha mukasubirira hisi neyo emisuburire mwayaghana emibere yerithwalera mbirimwa bynbnebyabusubure ebyosi byosiubyakalha kandi esyasente omusyabulha
spontaneous-speech-koo-50684.mp3	Abanyauganda batholere ibayitsunga akabonde bakakolesya esyokondomu ibakabanangana kandi ibayirinda obutswatswa kandi ibayisighangana	Abanya yuganda batholere bayitsunga akabonde ibakakolesya esyakondomu omwa mughulhu ibakabanangana kandi batholere ibayirinda okwa busatswa kandi batholere omundu omughulhu amathunga omwinyoni wiwe tholere inamuyisigha okwa bindu ebya oka ngyingo inanibya kamuthimbA
spontaneous-speech-koo-50686.mp3	Emyatsi erisambukaniayo rundi erilhalhania yo okwa binimba yabirike abatheke ibabya bakakopa ebindi bindu ebiri omwa wandi matheke neryo ibabiretha omwa mtheke wabo neryo kikaletha akattabanguko omwa maka kundi bakabya ibanemuleberya oku byabandi bakakolha neryo ibighamo emitse mibi esyongeso mbi ibaghana erisikangania ikyaleka obutheke ibwasambukalha	Emyasi erisambukaniayo rndi erilelhanya okwa binimba yabirileka abatheke ibbakakopa ebindi bindu ebiri omwa bnda matheke neryo ibabiretha omwa matheke wabu neryo kyikaletha akathabanguku omwa makakundi bakabaibanmuleberya okwa bbn bakakolha neryo ibighamu emitse mibi nesyongesombi ibahandi sngania ekyaleka obutheke ibwasabukalhE
spontaneous-speech-koo-50688.mp3	Esyo dini Omo Uganda syamatawatikya abanya uganda okwamibere mibuya eya batolere ibambaliramu esyangimba esibuya Kandi nemibere eyabatolere ibambaliramu esyongimba syabo nomwamwanya owaliteghere	Esyodini omwa yuganda sikammathawathikya banya yuganda okwi bahabulha okwa mibere emibuya eyabatholere ibambaleramu esyongyimba kandi nemibere yabatholere ibambaliramo esyongyiba asirebe nemna miribe ebyabatholere ibabaliram bakabahabulha okwabisyebyoE
spontaneous-speech-koo-50689.mp3	Ngabya ingatsumba ebyalya ebyo nganzire ngatsuka bwanaba okwa byalha ingoya enyungu inga engoya ne bindu ebyangikolesya nge byalya ebyonyinenyine ingoya nga mabya ini ngatsumba omukyeri ingoya ebitunguru ne sya nyanya na maghutha ingabithekatheka ndeke neryo ingatsumba	Egabya ingatsumba ebyalya ebyngnzire ngasukoba abo okwa byalha ingoya enyungo ingoya nebindi ebyangikolesya k ebyaly ebibyanyinnyini ingoya ngangatsumba gomukyeri ingoya ebitungra esyonyanya namabutha ngabyatheka theka ndeke neyo ngatsumba
spontaneous-speech-koo-50691.mp3	Epindi byethu irilhangira thuthi bikabya ibinemo obulho thutholere ithwaghendera okobyabembembetya bathi bakathuhabulha Kandi ithwaghendathukakania emyatsi iyakaletha obuholho Kandi ithwikalha ithunemulhangira thuthi thukakoleranira ebindu ebithendithulethamo etsughuru omobulhambo bwethu	Embipindi byethu erilhangira huti bikabya ibinemu obuholho thutholere ithwaghndaokabbbembetya bethu ibakathuhabulha kandi twayathukakanimyasi eyikaletha obuholho kandi ikalha ithunemalhangira thuthi thukakola eramira ebindu ebithendi ithulethamu ensubghuru omwa bulhambo bwethu
spontaneous-speech-koo-50692.mp3	Abandu bakulhu omwa malhambo wethu ithukendi basikya thwamabya omwa mibere eyeribya ithuka bahulikirira ebyabaka thuhana thwamabya thukahulikirira ebya bakathuhana ithukendibya ithwamabiribasikya kandi thwamabya ithukabaha ekyitsumbi kyabo ngabakulhu	Abandu bakulhu omwa malhambo wethu ithukendi basikya thwamabya omwa mibere eribthukabahulikirira ebya bakathuhana twamabyathukahuliirra bakathuana ithukendbthwamabi basikya kandi itwamathukabaha ekyitsumbi kyabu ngabakulhuA
