audio_file	reference	hypothesis
spontaneous-speech-sco-31044.mp3	Aye I’d’ve loved to have been a professional gymnast I used to when I was young do flips but- and cartwheels but no you know professional And years ago we- the opportunities are different nowadays you know we didnae have these kind of a classes to go to But anyway I did take the opportunity when I was in my forties A gymnastics coach of the kids told me I should go to an adult class in Bellahouston So I did I decided to go and um there was a great wee coach Hazel She was professional And she encouraged me- I s- I told her I’d love to do flips She says well you’ve got the physique you’ve got the energy So she was so good at helping me to visualise going into this ball pit- we’re on a trampoline so I’m jumping the trampoline and she's just visualise a dolphin and it helps you flip into the- so you’re flipping into the ball pit What a feeling She was so good you know that encouragement At first I was all over the place Anyway so that was great to get that opportunity	Aye d I love to ben a profascional anase I used to be when I was young tothe flaps but and Cart-wels bit mo you know profestional and years ago wit the opportunities are different eeys you know we dinnae have these kind of a classies to go to But anyway I dida take the opportunity when I was in my forties a Jimnastic coate the kids told me a su go t an adot class ind beila hosten So a guds I decided to go and te therewas a great wee coath hasle She was profestional and she encorraged me I- I toled her I’d loved to e flap she says we you’ve got the fhasic you’ve got the energy so she was so good at helpeg me to visualise ging into this balpeat wern on a Tramplean so I’m jumping the tramplin she’s dis-vesialise Adoalfhin and it help syou flapp into the so yur flitting into the baolpat what a feeling She was so good oyou know that encouragement first I was all over the place Anyway so that was great to get that opportunity
spontaneous-speech-sco-31052.mp3	Best holiday I’ve ever been on was in Finland I went up to Finland in February a couple of year ago to see ain of my pals and eh it was just the maist peaceful and relaxing- oh it was marvellous The maist relaxing holiday I’ve ever been on We went curling and it turns oot I’m brilliant at curling I think if you’re Scottish it’s in the bones aye eh brilliant at curling we did loads of hiking but difficult to hike because of the sna’ of course eh and then we went ice fishing and I was sitting in the middle of this big frozen lake minus twenty-seven degrees ice-fishing and I’ve never been mair at peace in my whole life	Best holiday I’ve ever been on was in Finland I went up to Finland in February a couple year ago to see an o my pals and eh tat was just the maist peaceful and relaxing oh it was marveloss The maist relaxing holiday I’ve ever been on We went Corling and it turnes oot in brilliant at Corlin I think if your scottish s in the bons aye eh Brilliant at Coarlin we didlwads of hieeen bought difficult hite because of the snaw of course eh and then we went ice fishing and I was sitting in the middle of this big frowsen leake minus twenty-seven degreese Iice fishing and I’ve never been mar pasin my hol life
spontaneous-speech-sco-31055.mp3	A typical day for me is- so I watch the grandsons every noo and again and honestly they keep me fit So I get up every day and what a typical day for me is- I’m in a wee routine you know I get up I keep myself active you know I’m an organiser so I’m always on top of everything And then I’ll go and get the grandkids fae school or nursery and then I’ll go to the skateboard park and then I sometimes think I’m still twenty and I skateboard with them- gave myself concussion the last time I was there so I’m no doing that in a hurry And I go to the swing park with them and I run ab- y-you know it’s really lovely just to have the- the time to spend with your grandkids that there’s no pressure You’re there and you’re at ease you’re at peace So that’s my typical day	A tappicle day for me is so I watch the grandsons every-noung again and honestly they keep me fitt So I geot up every day and my- a tappicle day for me is I’m in a wee routene you know I get up I keep myself active you know I’m an organiseor so I’m always in top of everything And then I’ go an get to grandkids fae school or nursery nd then I go to theskeapebord park nd hen I sometimes think I’m still twenty and a sceapeboard with them Gave me sal If cn cuath on the last ting I was ter sto no doing that n horry And I go t ths foin park with them and I run aboty you know it’s really lavefly just if the- the time to spend with your grandkids that theres no pressiur you’re there and you’re at eas you’re at pece so that’s my tappical day
spontaneous-speech-sco-31061.mp3	I like to try and save some money on things that are- like say for example eh heating’s very expensive the noo but I just feel I’ve got a big onesie I’ve got jogging troosers with fur inside Do you know that way I know it sounds crazy but I just feel- Also I think people go over the top buying too much I always say less is blessed so I’m very economical that way And I think a- again it’s because when you’ve been brought up with a big family you’ve had a big family you appreciate the small things in life so I’m quite good at saving	I like to try and save some money on things that are like seye fore example eh Heating’s very expensive in e but I just feel I’ve got- a big wonzeI’ve got jocking two ils with forn ta To that way I know it’s someings crasy but I just feel- Olso I think people go for the top bind too much I always say a lase is blessed So I’m very economical that way and I think- again it’s because when youve been brought up with a big family d you’ve had a big family you appreciate the smal fins in leafe so I’m quite good at e saveit
spontaneous-speech-sco-31069.mp3	Maist precious object I own is eh ain of my guitars it’s um it’s a guitar I’ve wanted since I was a wee boy eh maybe for aboot twenty-five year or something I’ve wanted this guitar and eh ain of my pals bought it for us for my thirtieth birthday ain of my pals won a bit of money and he thought ken what I’m just going to buy that guitar for him and that’s what he did surprised us with it and I couldnae believe my eyes eh and if my hoose was burning doon that’s the one thing I would run back in and get would be that guitar It’s beautiful it plays amazing and it’s got a lot of sentimental value as well ‘cause my pal bought it for us aye	Mist precious oubject I own as eh in of my guitars It’s um- as retar I’ve wanted since I was a wee boy eh yeah maybe for aboot twenty-five year or somehin ’ve wanted this guitar And eh in my pals bought it for is for my thirtye orthy- in o my pals wonning a bit of money and he thought ken whnt hem just gon to buy that guitar for him And that’s what he did surprysed as wee and I couldnae believe my is Eh and if my hoose was burning doon that’s the one thing I would run back in and t would be that gitar it’s beautiful it plays amazing and its got a lot of sentimental value as well case my pal bought it for as aye
spontaneous-speech-sco-31073.mp3	Worst technological advancement or piece of technology I would say is these daft smartwatches or smertwatches if you’re being funny Smartwatches that eh tell you how you’ve slept cause what a load of keech that is a load of keech and folk buy them and think its dead important to ken how you sleep and ken if you’re getting a good rest and a’ that well what- what do folk do with that information after that ken what I mean it tells you didn’t sleep well last night and then that reprogrammes folk’s minds and they think right well I’ve no slept well so I’ll be tired the day rather than just seeing how they actually feel for the day So smartwatches load of keech	Whaorse technological advancement or pecz of technology I would say as these daft smart watches or smert watches haf you’ been funny Smart watches that eh tell you how you’ve slepe ‘cause what a load he Kich ay is a load of kih and folk bi them and they think o noh it’s ded important tho ken how you sleep and ken if you’re getting a good rest and a’ that Well what what do folk do witha information after it Kan what I’m eain it tells you you didna sleep wthll last night and then that re program’s folk’s minds and they think wright welll I’ve no slep whill so yo’ll be tired te doy rather than you see an how te actually feel for the day So Ssmart watch as load of Kich
spontaneous-speech-sco-31076.mp3	One of my favourite books I loved was The Astonishing Powers of Emotions My doctor recommended it years ago and one of my daughters found it for me We couldnae get it but she got it on Amazon Once again thanks for the internet Anyway this book was priceless She says to me “the book’s for you mum and only you” ‘cause when I read a book it’s no aboot the person that I- that I’m putting up that’s wrote the book it’s aboot I get the person ‘cause they understand how I’m wired And The Astonishing Powers of Emotions it’s upstream come downstream and float your boat	ne of my feavouriite books I lovfed was the astonishing powers of emotions My daughter recommended it years ago and one of my daughters found it for me we couldnae gett it but she go it on amasone once t ha game fink a them turni Anyway this book was praceless she says to me the books for you mum and only you ‘cause when I read a book it’s no abot the person that I’mputtng up its rote the book is aboot git the person ‘cause they understand how I’m whired and the astonishing power of emotions ats pstream come down streame and flow t your boat
spontaneous-speech-sco-31080.mp3	AI’s- what’s my thoughts on AI It’s a good ain ‘cause eh- it’s taking over the world and abody’s feared of it and I dinna think really there’s anything to be feared of Folk are like scared of haeing Alexa devices in their hoose and that ‘cause she’s aie listening well of course she’s aie listening but what’s anybody saying in their hoose that’s interesting enough for Mr Bezos and the rest of them to listen to and get your- what are you up to ken what I mean what’s folk up to that they think’s so interesting that Bezos or the rest of them are going to- are going to gie a hoot ken what I mean So AI that’s the way it’s going bring it on let’s do it if you cannae beat them join them eh	AIs- what’s my thoughts on AI It’s a good in ‘cause eh it’s taking over the world and abody’s fairde t And I dinna think there’so anything really to be fairde folk are like scared e haeing al exid devices and they’r hoos and that ‘cause she’s aie listening- cure he’s aie listening but what’s anybody saying hen they’r hooe that’s intrested enough for MierBazos and the resto them to listen to and get you- what are you up to ken wht I man What ar- what’s folk upto that they thinks so interesting that Bazos or the rest th’m ar goingto- are goingta gieyo a whoot kan hat I man So AI that’s the way it’s going bring it on lets do it if yo cannae bit them joine them eh
spontaneous-speech-sco-31124.mp3	The job I’d really like to have where I’m at just now is- over all my experience over the years you know I’ve got so many skills but the main thing for me would be helping people mentally that cannot let go of things Like I’d be a declutterer expert put it that way ‘Cause I’ve always- I’ve always hated clutter I think it’s a statement of mind and I know people struggle with it and it can cause depression and different things but I would love to have a group- a team of people ‘cause I’m good at delegating to help them to help people that cannot um declutter They’ve just got clutter in their life	The job Id ally like to have wetre Im atst now is over alm experience over the years you know I’ve got so many skows but the main thing for me would be helping people mentally that can not let go things like be a de clitter r expert put at that way ‘cause I’ve always- I’ve always had tae clitter I think it’s a statment of mind and I now people strok awiy and he can cause depreation and ifferint things but I would love to have a gruop- a tam of people ‘cause I’m good at delgating to help them to help people that can not eh doe clotter they’ve just got a clitter in their life
spontaneous-speech-sco-31127.mp3	The skill I would maist like to learn would be just to be a mechanic that’s what I would like to d- to ken athing there is to do with cars athing there is to do with motors ‘cause I seem to aie just be spending millions of money millions and millions of money on my motor and eh there’s aie stuff going wrong with it and then you’ve got to book it tak it to the garage and then they charge you through the nose for a’ the work that needs done to it And I just think if I could do this myself I’d save millions of time and millions of money so that’s what I would like to- that’s the skill I would like is to- to ken athing that there is to ken aboot motors Basically be a mechanic	skill I would maist like to learn would be just to be a mcanic That’s what I would like to do to ken ahen ther is to do with cars Ahin ther is to doy with motors ‘cause s my i just be spending millions o mone millions an millions of money on my motor Eh there’s aie stuff going rong with it and then ou’ve got a buockey in tacket to the Garrage and then they chare you through the nose for a’ the work than he’s done to it and I just think if I cound do this mysell It save millions of time and millions a onne So that’s what I would like to- e that’s the skill I would like is to- to ken athing that theris to ken aboot motors basically be a mcanic
