audio_file	reference	reference_raw	hypothesis
spontaneous-speech-bew-20800.mp3	Kalo ayé sering membacé atau mendengarkan sejaré-sejaré pahlawan-pahlawan kité maupun nasional maupun yang orang-orang Bétawi yang dahulu-dahulu kite memperjuangkan bangsé negaré indonesia ini cukup dan cukup menyentuh hati Kité sebagai penerus-penerus bangsenyé jangan sampe keluar dan engga mau tau sejaré-sejaré untuk bangsé dan pahlawan-pahlawan kité Kadang-kadang pada di zaman sekarang hari ini banyak-banyak orang yang gamau tau dengan sejaré dari dulunya hingga sekarang ini sampe sekarang ini kita bisa begini Kadang-kadang anak sekarang gamau tau dan memikirkan diri sendiri Siape kité dari mané kité dan tanpa perjuangan mereka kité juga engga akan bisa seperti ini engga bisa akan merdeka dari pendahulu-pendahulu kité yang membawa kemerdekaan Indonesia dan lebih maju lagi	untuk kegagalan kitè jangan merasè diri kita terpojok atau terpuruk.. karena kegagalan èntu melangkah kitè lebih maju lagi.. dan untuk belajar lebih semangat lagi dari kegagalan-kegagalan yang sudah kita lalui.. tètèp semangat untuk menjalani hidup ini.. jangan takut.. hidup kitè èntu ngga sendiri.. sekeliling kite banyak kawan kitè dan yang telah menciptakan kitè juga.. tètèp semangat.. semangatt..	Kalo ayé sering membace atau mendengarkan sejaré-sejaré pahlawan-pahlahawan kité maupun nasional mau pun yang orang-orang betawi yang dalah dahulu-dahulu kite ya meperjuangkan bangse negare indonesia ini cukup dan cukup menyentuh hati kité sebagai penerus-penerus-bangsenye jangan sampé keluar dan gak mau tau sejare-sejaré untuk bangsa-palaan-pahlawan kité kadang-kadang pada dijaman sekarang hari ini banyak banyak orang yang gak mau tahu dengan sejaré dari dulunye hingga sekarang kita ini sape sekarang ini kita bisa begini kanang kan anak sekarang gak mau tahu dan memikirkan diri sendiri siape kité dan di mana kité dan tampa  perjuangan mereka kité juga gak akan bisa seperti ini gak bisa akan merdeka dan pada dahulupan dahulu kité lah yang membawa kemerdekaan indonesia dan lebih maju lagi
spontaneous-speech-bew-20805.mp3	Kalo untuk wisate kita sih kemane aja sih udêh seperti kayak Cibodas terus ape namenye daerah-daerah Bandung terus daerah-daerah pantai Daerah mana aje yang penting buat nyénéngin hati Untuk wisaté kita harus bener-bener mempersiapkan diri untuk perginya Banyak wisata di sini apalagi di jaman sekarang ini wisata-wisata itu memangnya kita harus datengin dan harus tau Paling kebanyakan wisata di sini mah di Bekasi juga ade banyak dan bagus-bagus itu	Kalo ayé sering membacé atau mendengarkan sejaré-sejaré pahlawan-pahlawan kité maupun nasional, maupun yang orang-orang Bétawi, yang dahulu-dahulu kite memperjuangkan bangsé negaré indonesia ini, cukup dan cukup menyentuh hati. Kité sebagai penerus-penerus bangsenyé jangan sampe keluar dan engga mau tau sejaré-sejaré untuk bangsé dan pahlawan-pahlawan kité. Kadang-kadang pada di zaman sekarang hari ini, banyak-banyak orang yang gamau tau dengan sejaré dari dulunya hingga sekarang ini sampe sekarang ini kita bisa begini. Kadang-kadang anak sekarang gamau tau dan memikirkan diri sendiri. Siape kité dari mané kité, dan tanpa perjuangan mereka kité juga engga akan bisa seperti ini engga bisa akan merdeka dari pendahulu-pendahulu kité yang membawa kemerdekaan Indonesia dan lebih maju lagi. 	Kalo untuk wisaté kita ke mané ajé sih udéh piti kaya sibodas terus apa namenye da-daerah bandung terus daera-daera pantai daerah mané ajé yang penting buot nyenangin hati untuk wisaté kita harus bener-bener mepersiakan diri untuk perginya banyak wisaté di sini apalagi di jaman sekarang ini wisata-wisata itu memangnye kita harus datangin dan harus tau itu paling kebanyakan wisata di sini mah dipekasi juga adé wisate banyak dan bagus-bagus itu
spontaneous-speech-bew-20807.mp3	pendidikan itu sangat penting nantikan kalo kité udéh sekoléh kan bisa baca tuh bisa tulis jadi kalo kita kémana tuh jadi kita tau oh ini nih kité mao késini nih naék mobil ini jurusan ini térus kité kalo mau beli barang-barang ini nih oh ini ni sekian hargényé sekian terus kita kalo mau jalan-jalan oh ini nih wisata ini nih itu tu kan begitu mangkanyé penting kité sekoleh ya begitu ya mangkanyé itu anak dari sekarang tuh dari kecil-kecil kita sekolahin dari SD SMP SMA apélagi kité kalo bisa punya duit ampé sekoleh perguruan tinggi tuh biar anak kité jangan kayé kité nih sekoléh cuma SD doang yang taunyé cuman bangku sekolahan SD doang itu éngga tau pengalaman ini itu	Untuk jenis taneman yang ayé pernah tanem. Itu ada pohon manggé, terus pohon peté, nah kalo pohon peté itu emang kesukaannye orang-orang Bétawi gitu. Itu ciri khasnyé terus pohon jambu, pohon singkong, dan pohon pepayé. Itu ajé mungkin tanem-taneman yang pernah ayé tanem.	pendidikan di sekolah dup sanga penting nanti kan kalo kita udah sekola kan bisa baca tuh bisa tulis jadi kalo kita kemana-manah tuh jadi kita tau oh inini kita mau kesinini naik mobil ini jurusan ini turus kita mau beli barang inini oh inini harkanya sekian harkanya sekian terus kalo kita mau jalan-jalan oh inini wisata ini ni jadi kita begitu mangkanya penting kita sekolah ya begitu mangkanya tuh anak dari sekarang tuh kita didik dari kecil kita sekolain dari Sd  SMp SMA aplai kalo kita bisa punya dui ape sekolah puku ruanting itu biar anak kita jangan kayé kite nih sekolahnya cuman Sd doang yan taunya cuman bangku sekolan sd doang itu na ngak tau pengalaman ini itu
spontaneous-speech-bew-20809.mp3	untuk kegagalan kitè jangan merasè diri kita terpojok atau terpuruk karena kegagalan èntu melangkah kitè lebih maju lagi dan untuk belajar lebih semangat lagi dari kegagalan-kegagalan yang sudah kita lalui tètèp semangat untuk menjalani hidup ini jangan takut hidup kitè èntu ngga sendiri sekeliling kite banyak kawan kitè dan yang telah menciptakan kitè juga tètèp semangat semangatt	kalo untuk tidur, kita ada di atas jam 10 malem, itu sebenernyé kurang bagus untuk kesehetan kité, apelagi kité yang sudah umur di atas 40, itu biasanyé [ééé]  itu adé ajé lah, kena masuk angin lah, terus kena, apalah, semuanyé, itu, ga baik, kalo untuk tidur dari di atas jam 10. Kalo tidur itu jam 9 atau jam 8 untuk seumur-umuran di atas 40 itu bagus, dan untuk kité dan kesehatan kité juga.	untuk kegagalan kité jangan merase diri kita terpojok at terfuruh kemungkinan kegagalan itu melangka kita lebih maju lagi dan untuk belajar lebih semangat lagi untuk dari kegagaan-kegalan yang suda h kita lalui tetap semangat untuk menjalani hidup ini jangan takut hidup kita itu nggak sendiri sekeliling kita banyak kaon-kawan kité  dan yang telah menciptakan kita juga tetap semangat semangat
spontaneous-speech-bew-20811.mp3	Permasalahannya biasa itu ibu-ibu pada berantem berantem masalah anak anak-anaknya pada berantem ibu-ibunya pada berantem Apalagi kalo tuh denger berita maling weilah ibu-ibu ibu-ibu mah langsung pada nyumpahin maling tega amat tuh maling ngambil itu Padahal jangan diambil tuh nggak punya apa-ape itu Emang dasar maling mampus dikatain nyumpah-nyumpahin dah tuh Jadinya ibu-ibu emang kerjaannya begitu kalo udah begitu dia mah emang begitu uplek kongkow dah tuh bareng-bareng jadinya nyeritain maling nyeritain temen berantem nyeritain anaknya berantem	Kalau untuk pendidikan itu penting banget kalau untuk kité yé. kérna apé ? Pendidikan itu memang yang dicari kalau di zaman sekarang ini. Memangnya zaman dulu? Kalau zaman dulu mah kité cuman baca nulis ajé udéh hebat gitu sekolehnyé juga kita umpét-umpétan dulu kalau zaman dulu. Tapi kalau zaman sekarang? Emang harus penting dan sangat penting  karena sekoléh itu memang satu untuk pegangan buat kité nuntut ilmu untuk apé ajé itu penting apalagi buat kité kerjé itu sangat penting jangan sampé éngga sekolê di zaman sekarang ini rugi, rugi banget kalo untuk kalau bagi ayé méh. 	permasalahannya biasa itu ibu-ibu pada berantem berantem masalah anak anak pada yang berantem ibu-ibu pada berantem apa lagi kalo denger tu berita maling lah ibu-ibu ibu ibu mau langsung ga tu pada nyumpain maling attegok ama tu maling pagé mambil itu pada hal yang diambil tu nggak punya paput tu madu acara emaling mampus sepetapa yang nyumpa nyumpain detuh jadinya ibu ibu ma kerja na begitu kalo udah namanu ga udah di ma begitu uplak ko ngko date barang-barang jadinya di tan maling di tan temen berantem di tan anak berantem
spontaneous-speech-bew-20813.mp3	Hemat liburan ya itu kita bawa dari rumah kita beli di rumah Jadinya kita hemat kan kalo beli di tempat liburan kan banyak tu yang mahal-mahal jadinya kita olok Nah mangkanya kita beli di rumah tu seperti kaya cemil-cemilan terus kaya popmie terus bawa dah tu aer panas pake termos Sekalian bawa nasi bawa lauknya bawa tiker Daripada di sono tempat liburan bayar nyewa mendingan kita buat jajan yang laen	Kalau untuk peran ane di keluarga ane, itu sangat penting dan penting banget untuk menjaga daerah, bahasa daerah apalagi bahasa betawi ye kadang-kadang kebanyakan betawi itu [eee] ape namenye orang-orang pengen tau dan sangat pengen tau. Itu memang penting banget kalo untuk ngejangenye jangan sampe punah bahase kite warisan leluhur kite kan gitu. Betawi, terus untuk [eee]. Silat-silatnye itu jangan sampe [eee] terbawa oleh zaman sekarang ini, sekarang kan anak-anak engga mau tau bahasa Betawi, untuk seni-seni budayanye itu ga akan mau tau anak sekarang mah tapi kite sebagai penerusnye jangan sampe kite [eee] apa terbawa zaman sekarang ini ayo kita tingkatkan lagi, kita kembangkan lagi itu [eee]. warisan leluhur nenek moyang kite.        	hemat-liburan ya itu kita bawa dari rumah kita beli di rumah jadinya tu kita hemat kan kalo beli di tempat liburan kan banyak itu yang mahal mahal jadinya kita olok naman kanya kita beli di rumah tuh seperti kayé cemel-cemilan tum terus alma pokmi tuh bawa detu aer panas pake termos kalian bawa nasi bawa launye bawa tiker dapadadusuna tempat liburan kita bayar nye wut meningan kita buat jahajan yang laen
spontaneous-speech-bew-20814.mp3	Mendidik anak di rumah tuh ya itu biasê kalo orang kampung mah ibu-ibu Satu ya bangun pagi-pagi suruh sêkola Pulang sêkola makan Habis makan tuh istirahat Biarin dêh tuh dia main sebentar Habis pulang maén kita suruh ngaji tuh habis johor dia ngaji siang Habis ngaji siang nah baru dia main lagi dêh tuh sono dêh Namanya orang tua mah biarin dêh terserah anak yang penting dia udah ngaji sekola udah dilakuin ya udah dêh	Kalo kité untuk berjalan, semisalkan kité mau pergi kemané gitu, itu tanam kan di hati sebelum kita jalan yaitu tujuan kita  arahnye kemane ya kita harus berdoa dulu ya paling penting, supayé kita dijauhi dari marabahaya di jalan semoga selamet sampe tujuan yang terpenting itu yakin pada diri sendiri dan kita harus berdoa dan berdoa.	menini ka anak de rumah yaitu biase kalo orang kampung mah ibu ibu satu bangun pagi pagi suruh sekola nah pulang sekola makan abis makan tu istirahat biarin dah di main tuh sebentar nah abis pulang maen lagi kita suruh ngaji tuh abis cohor dia ngaji siang abis ngaji siang nah di baren di main lagi d ke sunuh deh Na namanya orang tuh mah biarin deh setera anak yang munting dia udah ngaji sekolah di lelakuan ya uudah deh
spontaneous-speech-bew-20816.mp3	Jambu aér jambu biji salak trus buah nangka semangka melon banyak déh buah-buahan di sini yang sering dimakan tapi tu yang yang buah buahan yang dulu itu tuh yang sekarang udéh suseh juwêt juwét sekarang nyarinyé susah banget jaman dulu wéilêh juwét banyak bener itu tinggal mungutin doang di kebon orang dikantongin dêh ampê padê gêtaan ituh	Kalo untuk wisate kita sih kemane aja sih udêh. [umm] seperti kayak Cibodas, terus ape namenye daerah-daerah Bandung, terus daerah-daerah pantai. Daerah mana aje yang penting buat nyénéngin hati. Untuk wisaté kita harus bener-bener mempersiapkan diri untuk perginya. Banyak wisata di sini apalagi di jaman sekarang ini wisata-wisata itu memangnya kita harus datengin dan harus tau. Paling kebanyakan wisata di sini mah di Bekasi juga ade, banyak dan bagus-bagus itu.	jambu aer jambu biji sala terus bua nangka semangka melon banyak deh bua-buan si yang sering i makan tapi tuh  y yang bua-buan yang duluh itu tuh yang sekarang deh susah juut juut sekarang nyarinya susah banget jaman duluh elu juut banyak benerip tuh tinggal mgukin duang di kebuan orang di kanton uni api pada getaan itu
spontaneous-speech-bew-20817.mp3	Buah yang sering dipaké di masyarakat salak pisang yang murêh-murêh itu biasanya nyari yang murêh yang banyak isinya kan biar kêbagian semua Kayak semangkê tu mureh tu cuman sekilonya goceng Salak apalagi tu seiketnya cuman goceng sêpanggulan maleh Orang kampung mah begitu emang nyari yang murêh banyak yang penting kebagian semuanya Kan enak tuh jadi tetangga-tangga kebagian ngerasain	biasanyê kalo perempuan itu.. kalo untuk olahragê yê itu biasanyê senam sih kebanyakan ya kalo perempuan.. dan juga badminton adê.. terus voli juga adê..	buageh yang sera ya pake di masyarakat salak isan yang mureh-mureh tu biasa nyari yang mureh banyak isinye kan biar kebuagian semua kaya semangke tu murêh itu ma sekilonye goceng salah kapelan itu seiketnye enang goceng sepanggulan maling orang kamu gitu ya mang nyari yang mureh banyak ya nting kebuagian semuanye kan enak tu jadinya tutuetange kebuagian rasain
spontaneous-speech-bew-20817.mp3	Kalo untuk masyarakat untuk mendongkrak atau membangkitkan êêê usaha-usaha kita memang harus guyub dan bersama Usaha apa yang kalo kité tidak lakuin bersamé itu nggak akan bisé Dikarnakan itu butuh kekompakkan	biasanyê kalo perempuan itu.. kalo untuk olahragê yê itu biasanyê senam sih kebanyakan ya kalo perempuan.. dan juga badminton adê.. terus voli juga adê..	Kalo untuk masarakat untuk mendong krak atau membangkitkan usaha-usaha kita memang harus guyup dan bersama usahapa yang kalo kita tidak lakuin bersama itu gak akan bise di karnakan itu butuh kekompakan
