audio_file	reference	hypothesis
spontaneous-speech-aln-44299.mp3	Jo pwr nder nuk kena nuk di gja C asht ai nuk kena jo nuk kena asnjw gja pwr zotin ju nuk e di Ca wsht fjala po nuk e kuptoj kwt gja pwr zotin Ca me t than tash nukw ashtu po po jo nukw s e kuptoj nuk e kuptoj...	Jo mana nuk kena nuk tigja ashta nuk kena nu nk kos gj pwr zotin kela J du e tia shqele pwrjk nuk kuptoj ket gja du pwr zotin a me thalshtu shto po Jo lusi kuptoj luk kuptoe
spontaneous-speech-aln-44300.mp3	Kopshtin e mbolla kopshtin e kam mbjell domata mallator speca do qep m pwlqen kopshti me kallzu t drejtwn por edhe ktu n Greqi kam ndreq jam n shpi private e baj nji kopsht t vogwl e baj do mallator do speca i baj	e kap shiKop shtin kop shtikam lel do molator d peca do qip m pwlqen ko shqime talzu drejtwn po edhe tongreshi kamnd jam shpipwrevate e bj nn i kop vogwle baj do madhator do peca do gjanan baj..
spontaneous-speech-aln-44301.mp3	Un pwr zotin me thwn tw drejtwn shqetsohem shqetwsohem i emi asht ma i madh si me ta shpjegu ti kur s kam nonjw gja pwr shembull kam nonj problem nonjw gja shqetsohem shum edhe nuk m pwlqen pwr shembull kur kam probleme e gjana shum...	n pwr zotin et w tjnsht soshitshetsohem she te sohemeiash maimal si me tash eguti kus kam nanj gja pwr hemul ka nj pwrble nnj gj shtso shum edhe nuk m pwlqe kushe kur kam pwrble me gjana pwlshup pwgja
spontaneous-speech-aln-44302.mp3	Po kur isha i vogwl m pwlqejshin kang dhe ashtu kang dhe kukllash kuklla kang kshu pwr fmij kto m pwlqejshin ma shum kang e fmijve t vogla ashtu kuklla	Pokurisha e vokwlm pwlqesh kande asto kande kuklash e kukla keanshu pwr fmi to pwlqeshemashma ka de tijve t voglazo kuk la
spontaneous-speech-aln-44303.mp3	Po nuk jan t kwqia micat na pwlqejn si s na pwlqejn micat Po kur ish njw her njw mic shum e bukur me t kallzu tw drejtwn micat shum nuk jan t kwqia po na pwlqejn na pwlqejn micat shum po na pwlqejn po po po	Po nu jan qia micat mir jn na pwlqejn sam pwlqen mica po kur ishiiher nimi iiherniica shu bukure drejtn micat shumnu jan qia Pona pwlqejna pwlqejn migjat shm pona bwlqejn po po popo
spontaneous-speech-aln-44304.mp3	gjaja ma e bukur ka shum gjana si jan te shpia ime t mira po kam bufen e kam telvizorin e frigoriferet e pwr shemull kam komodinat... qw ulem karriket kam ble nja dy karrika t bukra...	gjoja ma bukur ka shum gjana s je keshpia ime mira Po kam bufen e ka tel vizorine fritherete pwr shemul kam komudina se ulem kari kam blena dy karika t bukura
spontaneous-speech-aln-44305.mp3	Pwr zotin s mw ka taku me pas pwr avokat edhe njw gja aht se nuk kam probleme me njerzit e nuk dua gja avokat po kur du nanj avukat futem e ma gjwjn njerzit tu pyt me pyt njerzit se kur... nuk kam nanj problem me avokat...	Pwrzoti s ata ku gjamee paspwravokat asidhj gja se nuk kam pwrblememenjerzt e nuk nd gja vokat po kurdunanjevuka futw e ma gj njrzi tu pit me njerzt dis nuk kam nonj pwroblem ma vokat
spontaneous-speech-aln-44306.mp3	Po makinws di me i dhwn se s kish nga me msu kam marr patendwn e kam marr n Greqi patendwn ka nanj tet vjet qw e kam marr patendwn po di mir me i dhan makins mirboll mir por ruhem di me i dhan makins po po	Po ma kinw dimi dha esha kamsu ka marpatedhe knonj Casha kam ar ngreqi patedhe n t vjett e kamar patedwn po dim i grem makins marboll mir po ruhem dim idhan makins po po
spontaneous-speech-aln-44307.mp3	Jo ore n teatwr nuk kam ik se nu kena pas teatwr ater n Shqipri Tash kam ardh unw n Greqi dy vjet kam qw jam n Greqi un ater kena pas ndenj n fshat tu punu jam prej fshatit un katwrdhet e nant vjeC mw bwri fshati katwrdhet e nant vjeC	ore sn ttwr nuk kam hik e nuk kena e pasoatr tiher m shqipsm shqipri Cjash ka mar un na dyvjet kamars ga mam shingrei dyj vjet kam sjem gresion Aterkna pas n fshat to punu jam prifshat i tn katrthnan veqehojnprifshotet katwrndann ve
spontaneous-speech-aln-44308.mp3	Po kujdesem pwr Parlamentin kujdesem se Parlamenti asht qeveria jon a kupton Parlamenti i mir merr venime t forta pwr Cdo gja pwr ne i merr vendimet a kupton po mu nuk mw pwlqen Parlamemti n Shqipri nuk mw pwlqen n Greqi m pwlqen se ktu n Greqi jam tu jetu	Po kujdesem po palamentin kj des mse palomenti qeveija ju nakupdon plmnti mi mr merven nimet fota por do gja pwr porne mer von nime t a kupton po duk m pwlqen m pwrndisqipr pwlqen ngreqi m pwlqen tu ngreqi jam tu jotu
