audio_file	reference	hypothesis
spontaneous-speech-lke-30007.mp3	Nsobola okuwona nti indwanisya embera mu'kusaba no kuyimbya nabakulembeze abandi oba tebakulembeze ne'bantu abalina endoboza ensa mukitundu bayinza okunyamba ne endoboza eyindi awo nisobola okulwanisya ebizibu nga ebyo kale awo endoboza nga eyo nensobola ebyo nsobola okulwanisya ebyo mubulamu bwange nadala okuyimbya na'bamumaka bona oluisi ekizibu ekyo kiza nga ninze omweiza zenka	Onsobola okubona nti nanisa mbera ywa okusaba nookwimbiya nabakulembeziya abandi obitibakulembezinabantu ababaindi bona bbalina ndbzensa bamukituntu bainza okunyamba ne ndobz eyindi aw ninsobola okulwanmisya ebizibo ng ebyo kalawo mbere ngeyo di nsobola okwola ebyo sobola okulwanisya nga ebyo mubulamu bwange dala okwimbiyanabamaka ona olisi zekyo ekiza nga nins omwiznka
spontaneous-speech-lke-30008.mp3	Nsobola okwelowozaku okutyama nga nelobozaku okubona nti nsobola okulowaza nti natandika ki lero oba mbera yakufuna emere oba kulowoza ku byakukola kaisi zena ntindikire awo oba kuwujula ku ndola oba nakolere ino nimpumula ku endolo kale awo kiba kinyamba ino mukifo kyasirikirira mba nga nsirikirire ndina okulowoza kyakukola	Osobola okwera owoza au tiyama nga dero obwozaku kubona nti nsola kulowoza nti natandikira pi lere obambea yaokufuna emere bakulowoza aku ebyakukola aisizena nta ndikirawo obakuwomulaku ndolo obanakolera ino nenp omulak endolakale awo okiba k nyamba ino mukkya kisiriamba nsirikirire ngnanga ino okulwoza kyakukolaO
spontaneous-speech-lke-30009.mp3	Abawala abandi baba nebizibu eneino nga kisera kye nga bali mubulwaire obwa obwa obwabakali babula pads egibayamba era ndowoza kisa ino abawala bano okubayamba babe ne pads nga ebatuka mukisera ekyobulwaire nga basobwoire okuba okumasomero	Obabala abangi baba na ebizibu einw eino nga kisera kyenga balimu obulwaire oababakali abula opdisi egibayamba era nto owoza kisa ino ababwala awana okubayamba bab nae padisi inga abatuka omukisaya kyobulwaire nga basobola okuba kkumasomero O
spontaneous-speech-lke-30010.mp3	Ebireta sirimu okufuniwa omukulitundu kiyange Nikyo abantu omungira omukwana nga tebamulikisire omusayi okutegera embera yaibwe ekyokubiri Nikyo abantu okutaka esente eino okwetunda eineinu kusaidi eyabawala ekyo kiretere eki akauka akasirimu inga keyongeria ino	Oebiretasilimu okokufuniba omukitundu kyange nikyoabantu okwngira kumukwano nga tbatbaabera okwemulika omusai okutegera embera ybe ekyo okubiri nikyo abantu okutaka esente eino okwetunda kubaen eno okusaidiyabawla ekyo kiretere kkuka akakkakaslimu ngakeyo ngera ino mukitundukyangO
spontaneous-speech-lke-30011.mp3	Kiba kyangu okutukirira abo lwakuba kale takozesya esente enyinji okutambula okutuka omubanka ejindi egyo ejili ewala na'wandi kimuyamba nti amanyuwa omukitundu kale bayinza okumuwa esente ejitandikra ku ebizinesi ejatakale kale ekyo kimuyamba eino lwakuba nti okwilyayo esente kyona kimuyamba eino oba avuga akagali kamuyamba	Oiba kyangu oktukirira bola okuba kaita kozesenta eind okutambula oktuka banka egind eejo jiriwala nawandi kimuyamba nti amanyibw omugitundu kale byenza okumwesente egitanikira ejatanikraka ebisinesi jatatire kale kyo kimujyamba ino ola okuba nti ali kmpat oitukya okwiriayesentonatakozesakayente amubla olisiyasente abugaka gala akali maka nkamuyamba
spontaneous-speech-lke-30012.mp3	Ekiraga nti omwana wange tafuna okulya okutufu oluisi aso aba mwana nga aluwala luwala ino echokubiri omubiri gwo mwana teguba nga gugugugu guli kusa ino embera ye nekida kinene ino oluisi neziri okumutwe giri ngeringeri echo kiraga nti omwana oyo tafunire okulya okutufu	Okilaga nti omwana wange tafuna okula okutufu asobl isa aba ka umwana nga abalwala lwala ino ekyo okubiri omubiri gwo omwana ti guba nga guli kusaingatali kusaino oembera ye oluwisi nga alin ekidakine ne ino oulisina enziire okumutwe giringeringeri ekyokilaga ntu omwana oyo tafunira okuliya okutufuO
spontaneous-speech-lke-30013.mp3	Kuwona nti bakuuma obulamu bwabwe kusa bayonja engoye jaawe nokuwona nti okusoma basobola okusoma nibafunaku amagezi agandi nabasobolaku okweeyambisiaku omubulamu bwabwe bona basobola okutyamangaku nabakali abandi abakulu nibabawaaku ebirowozo ebisowola okubawa nokwekuma obulamu bwaabwe	Okubona ntu bakuma obulam bwabwekusa nabaona okona nti bayonje ngoeyejawe noona nti okusoma abasobola okusoma abona nibafunaka amagiza agandi ebasobola k kweyambisiya mbulamu bwabwe obonaribasobola okutyamanga kknabakala abandi abakul olwaokubawaku ebiroozo esobl kbabona op kumia obulamu bwakwiO
spontaneous-speech-lke-30014.mp3	Okubintu okatonda ebyampaile omumaka gange oba kasente oba enkoko eyo buli kimu ekyebona nti nsobola okugema zena ninyaba nitayo nga ekirabo omukeleziya nobona nti abantu bo'mumaka gange nsobola okubakobera nti twabe okusaba olwati lwa sa lwa sabiti awo wensobola okukola omumaka gange	Oubintu katondu ebyampaire amaka agange ebakasenti obakukeyo bulikimukembwona nti nsobola okugema zena nijabanintayo nga ekirabo mukereziya nimbona nti abantu abamaka ganga ensobolakubakobera ditwaba okusaba wati wasa lwasabiti awa nsobola okola maka gangeO
spontaneous-speech-lke-30015.mp3	Okusoma kuwaire amaka gange okuba gamani kubanga amaka gange gasoboire okuba nga oku okulima okusa okulima ebintu nga enyaya kabeji era nga biwaire amaka gange okubanga galana amani mukitundu kyange	Ookusoma kuwaira amakaganga okuba gamani kubanga amaka ga nga gas gasobira okubanga gasobolaokuba n ebyokulima okusa okulima ebintu nga enyanya kabej era nga waire ne omakaga nga okubanga galina amani kitundu kyange
spontaneous-speech-lke-30016.mp3	Osobola okubayamba na'magezi agandi naah okubayamba nakasente abandi mukitundu bayinza kuba nga embera yaiwe eliwansi ino oyinza okubamba ku nakasente oba amagezi ago gainza okubayambisya olwisi okwejanjabya nokufuna eeh embera okutandikiramu oluisi oba ebuzinesi gendi yena nafuna nti yena abaawo nga omuntu wa'omukitundu	Osobola okubayamba na amagezi agandi nkubayamba nakasenti abandi mukitundi oubainza okubanga embera yaberi bwansino ainza kubayamba akuna akasente abana amagez ago bainza kubayambisya oleesaokwejanjabya nokufuna eembere okutandikiramu olisa aa bznezi gendi yena nafuna nti yenabawo nga omuwa mukitunduO
