audio_file	reference	hypothesis
spontaneous-speech-aln-44299.mp3	Jo pwr nder nuk kena nuk di gja C asht ai nuk kena jo nuk kena asnjw gja pwr zotin ju nuk e di Ca wsht fjala po nuk e kuptoj kwt gja pwr zotin Ca me t than tash nukw ashtu po po jo nukw s e kuptoj nuk e kuptoj...	P  s s s sh s sh s  sn s sen  s s s  sa sh ph sa pn nppnn
spontaneous-speech-aln-44300.mp3	Mana s kam nevoj pwr rroba se rrobat s mw qesin se kam fmij kam tre fmij... nuk e kam pwlqim rrobash ca t jen sill njw pal rroba t thjeshta nuk kam asnjw problem	P  s s p pn n p ph s  s s s s s s s  p s p snn s s sh sw pw s sa s p sa  p  pn n s
spontaneous-speech-aln-44301.mp3	Pwr zotin s mw ka taku me pas pwr avokat edhe njw gja aht se nuk kam probleme me njerzit e nuk dua gja avokat po kur du nanj avukat futem e ma gjwjn njerzit tu pyt me pyt njerzit se kur... nuk kam nanj problem me avokat...	Pp sh s s s s p s p s sh  s  sn pn nn sa p s pa s s p
spontaneous-speech-aln-44302.mp3	Jo ore n teatwr nuk kam ik se nu kena pas teatwr ater n Shqipri Tash kam ardh unw n Greqi dy vjet kam qw jam n Greqi un ater kena pas ndenj n fshat tu punu jam prej fshatit un katwrdhet e nant vjeC mw bwri fshati katwrdhet e nant vjeC	P   s s n s se s s s  p  s ph sh  n sh p s s sh s ph s   s s  s     p
spontaneous-speech-aln-44303.mp3	Radio ndjek kam qef kur t jem n makin pwr shembiull radio me dwgju muzik pwr shembull dwgjoj muzik... e Coj radion mwngjes kur iku pwr pun edhe ndij muzik mw pwlqen nw radio me ndi muzik ma mir se n televizor	P p ss m  s  p p p p pw s s s s sh sh s pn pwn sh p s s
spontaneous-speech-aln-44304.mp3	un me ta thwn t drejtwn nuk m pwlqen jo jo nuk mw pwlqejn qent as mocet djal i vllait ka qen nuk m pwlqejn qent jo me thwn tw drejtwn As qent as macet	Pp sh sw s s s sw p sw p s s m s s s p p snnnnnn s
spontaneous-speech-aln-44305.mp3	Pwr zotin kam pwlqy C do me than tash un mw ka pwlqy s kam shku un se m ka pwlqy m ka pwlqy Sandorini Sandorini kam qwn njw her qesh me tw tre fmit qe m pwlqen se diku tjetwr s kam qwn n Shqipri n Greqi s kam qwn kund tjetwr jo s kam qwn kwrrkund vetwm deri nw Santorin kam qwn	P ph s sw sh pw ph p ph sh s sh s pw  sa pw p sa pn s sh s sa  s
spontaneous-speech-aln-44306.mp3	eee filmat e mia q jan t preferume Ca t thom tani kush jan t preferume filmat si preferoj preferoj shum filma... me t thw tw drejtwn Cdo lloj filmi un e shof nuk kam nanj lloj filmi t preferum film Ca t jet	P p s p s s p p s sh s s s sn pn p ph
spontaneous-speech-aln-44307.mp3	Ca do msoj do msoj n pun do msoj avash avash pwr shembull nwse tw pwlqen me msu diCka Ca do mwsoje Pwr zotin msojm po e msojm pwr s mbari msojm gjana msojm gjana t vogla gjana t mdhaja po po mwsim po po	P  s s sh  sa s sw se sw she  so s p shn  p ph s
spontaneous-speech-aln-44308.mp3	po e pwrdori... nuk pwrdori kompjuter s di nga kompjuter un telefonin pwrdori ma shum kompjuterin nuk e pwrdori se nuk e disha punwn... po kompjuterin nuk e pwrdori shpesh jo jo nuk e pwrdori shpesh me thwn tw drejtwn kompjuterin jo kompjuterin jo	P s p p p p s s s p s  p s s sw sh s  p s  s s p s ph p s s snn p p p
spontaneous-speech-aln-44309.mp3	Po pushime s mw pwlqen kurrkun se nuk kam lek me shku pwr pushime me kto lek qw marr ke puna pwr me hangwr me pi ku kam koh t shkoj pwr pushime xhanwm Jo me kallzu t drejtwn s kamw s kam shku pushime as kam ndwr mwnd tw ik me pushime	P sh ph p p p ph ph s  pw s  phn n sn sa s s sh sh pe sh sh sa  ph p sh p sh p p
spontaneous-speech-aln-44310.mp3	Shpresa ime ma e madhe mw t ardhmet asht t jem mir pwr fmijt t kem mir jetwn mos smurem C tw m pwlqej ma shum e madhe me thwn tw drejtwn... mos smurem mos bahem po po	Pnnnn s s s sh s s sh s s snpn n p
spontaneous-speech-aln-44311.mp3	Pwr zotin Ca kam me than historin e shokve ... tash s maj men gja se un pwrpara kam qen n koperativ kur kam qwn tu punu n Shqipri n kooperativ n ora nxhana nw Shqipri kur isha kur pata ardh n Greqi kur kam daln Greqi e mrapa kam qen martue kam...	P p s s ph sh sa p s s s s s sh sann s s shn p pw p p s s p p p p pnn sh
spontaneous-speech-aln-44312.mp3	Po tani asht ashtu e veshtir po un nuk e kam ndwrmend me shku n ven tim kam shtru punwn ktu n Greqi edhe s du me hik vet edhe me m than nuk hik un se kam tre fmijt e mdhej un jam tu u ba gjysh tani...	P s p p snn sh s s s s s s p s sn  s s sh s sh s pnn
spontaneous-speech-aln-44313.mp3	Autori jon autori jem i preferum se un jam i vjetwr jam shum i vjetwr ashtw Kazan ai si kam pa njw film ka qwn ai si e ka emrin ai eee Stathi Stathi ai filmi i Stathit besoj pwr Stathin besoj se pwr Stathin mw pwlqente shum me pa film me Stathin	P sh s s p s  p  sa p p s p sh sh s ph  p pnnpa  p p m pn s s sh p s s
spontaneous-speech-aln-44314.mp3	Durt tona i lajm se duhet me i pas t pastra durt a kupton po s i lave durwt durt lahen gjith kohwn pas bukws kur t mbarojsh bukwn se pastwrtia duhet t jet tan kohwn e mir	P m s s s s s s s s s s p p sn
spontaneous-speech-aln-44315.mp3	noti di si me ta shpjegu tashti notin po po po not po po not dim not not pate notwww...	P sh sh sh  sh  s sh s n
spontaneous-speech-aln-44316.mp3	Po kur kam ditlindjen un nuk kam Ca me bo Thash jam shtatdhet vjeC nuk baj ma ditlindje nuk baj ditlindje kalamajve jua kam pas ba kur kan qwn t vegjwl nuk bwj ditlindje... pwrpara asnjwher un pwr vete s e kam bo asnjwher po kalamajve jua kam bo...	Pnnnnnnn s s s p s s s s s s sh s s sn s s m s s s s
spontaneous-speech-aln-44317.mp3	jo me avjon nuk kam shku asnjwher se nuk kam hip nw avjon nanjwher nuk m ka ra rruga jo jo nuk e di as si asht avjoni kam qejf me shku njw her me avjon pwr qejf po nuk kam koh nuk kam koh... pun e kshtu kam met pa shku	P m s p s s s s s s s s p s ss s s s pn  p s m p p
spontaneous-speech-aln-44318.mp3	t jet shok i mir t jet shok i bes t jet shok kur do i thush atit shok t jet shok jo tjetwr po t jet shok shok i mir edhe shok wsht do t jet shoku ma i mir i ngusht	P pnn sh s s ph s sh sh sn sh sh s s s s
spontaneous-speech-aln-44319.mp3	Por tash qw kto ushqime nuk jan...	P p shnnn n  n n s phnn sh p  s s sh s sh p sh sh s   p
spontaneous-speech-aln-44320.mp3	votojn njerzit pwr shembull voton un kam votu se kam votu ngahera qysh me Enver Hoxhwn se jam i qysh me Enver Hoxhwn kena pas votu me Enverin athere katwrdhet vjet katwrdhet e pes vjet pwrpara kam pa e ashtu i maj mend tw votojn njerzit votojn pwr partia Cdo lloj partie tash tash kan dal shum parti	P s ph p ph sw  ph ph s p p  ph p ph pn ph s s sh p sh  p s p p swn nh ph s  p p ph  m sh sh p sh ph  .
spontaneous-speech-aln-44321.mp3	Po n shkoll shkojn n shkoll kalamajt shkojn n shkoll msojn vijn n shpi mirboll mirboll mwsojn po po pwr zotin mwsojn mirboll mirboll msojn por jo me m ba qefin nuk ma bajn	Pnnnnn nnnn pn m p p p s s s snn n n s s s p s s s p s
spontaneous-speech-aln-44322.mp3	Po kafsha e preferume e emja wsht qeni a kupton qeni m pwlqen thash jan t bukur kto t vegjlit m pwlqejn me kallzu t drejtwn kto qenjt e vogwl m pwlqejn shum po po m pwlqen se jan qen tw bukur mw kupton dhe qen shum tw mir	Ps s s  s s snn sn s s s s s p p s s s sn p s p p s s p s p s p s p p
spontaneous-speech-aln-44323.mp3	A po Nuk di Ca me t than se kshi kshillat qw kisha me dhan shokve po shokt t jen mir Ca kshilla qw me u dhan shokve t jen mir pwr veti zoti i rujt Ca me than... Po	P sh ph sh s s s s s snn nn k s s sh s p n s
spontaneous-speech-aln-44324.mp3	Mish kam marr ditwn e di her nw jav marrim mish pwr shembull me tre fmij ku ke ma mish marr t ejten ham mish e t hanwn si ham mish dy her n jav dy her n jav ham mish	Pp p sh p s s snnn ns s s
spontaneous-speech-aln-44336.mp3	Takim me doktora kena pas njw doktor atje m fshat m fshat kena pas njw doktor mbyllsha takimin kur ishnja pwr shembull shum t smur atere kam pas djalin e vllait un n Greqi edhe i thoshnja a kupton...	P sh pw pw sw s s p n p s pn s p sh pe s sh sn s sa sh s p s
spontaneous-speech-aln-44337.mp3	Ekonomin mir e kena pwr zotin me thwn tw drejtwn	P p p s s s snn
spontaneous-speech-aln-44338.mp3	Un pwr zotin me thwn tw drejtwn shqetsohem shqetwsohem i emi asht ma i madh si me ta shpjegu ti kur s kam nonjw gja pwr shembull kam nonj problem nonjw gja shqetsohem shum edhe nuk m pwlqen pwr shembull kur kam probleme e gjana shum...	P s s s  s p sh sw s p sn nn s sn s nn nn shn n n s s s
spontaneous-speech-aln-44339.mp3	Ato tw shkretw jan mosh e madhe njerzit qw kan mosh... po mosha asht shum e vwshtir mosha e madhe...	P s s s sn nwnnnnn
spontaneous-speech-aln-44340.mp3	Po tashti qw ma thon ti deti ka ngjyrwn blu un mendoj se asht blu se sa her shkoj ke deti e shikoj duket se ka ngjyrwn blu Cashtu mendimi im a kupton mendimi im asht Cashtu po se ngjyra wsht blu	P ph p ph s s p sw s p sn pn p p
spontaneous-speech-aln-44341.mp3	e ke doktori shkosha po ke doktori edhe mbrapa u vizitojsha po kur isha fmij Ca me than tani jam mosh e vjetwr tash un a kupton nuk e mbaj mend mor kur isha fmij fort shum gjanat po po po Cdo gja mir ka pas shku	P sh sh s sh s s sh p k p snn
spontaneous-speech-aln-44342.mp3	gjaja ma e bukur ka shum gjana si jan te shpia ime t mira po kam bufen e kam telvizorin e frigoriferet e pwr shemull kam komodinat... qw ulem karriket kam ble nja dy karrika t bukra...	P pw p s p p p sa  p p p sn n sh s m s  s s  p
spontaneous-speech-aln-44343.mp3	Po kujdesem pwr Parlamentin kujdesem se Parlamenti asht qeveria jon a kupton Parlamenti i mir merr venime t forta pwr Cdo gja pwr ne i merr vendimet a kupton po mu nuk mw pwlqen Parlamemti n Shqipri nuk mw pwlqen n Greqi m pwlqen se ktu n Greqi jam tu jetu	P p p p pw p p pnan n sh s s ph pw p p s ps p s s p p p  p ms  p p s m  s p
spontaneous-speech-aln-44344.mp3	Po C tw... si me ta shpjegu tash pallati pallat ka Cdo lloj pallati e kupton tet kat llogarite qw nw Shqipri ka pallate peswmbwdhjetkatshe Cdio lloj pallate jan shum t mira	P sh sn s s sn s s shn phnn n p ph sh
spontaneous-speech-aln-44345.mp3	Po kush jan ato ushqimet pwr shwmbull qw bwjn mir t mbajn n jet grosht supa peshku kto jan ushqimet qw t mbajn nw jet t mbajn pwr s mbari e kupton qw na pwlqejn ne ne t mwdhenjve	P s s s s ss sn s s s swns s s
spontaneous-speech-aln-44346.mp3	Po m pwlqen me ec mor pwr shembull mw pwlqen me ec n kamb a kupton edhe me mator po n kamb m pwlqen ma shum ma se ecjen wsht knaqsh me ec do t... Cdo lloj njeri duhet me ec pak Cdo lloj njeri duhet me ec po	Pnnnnnnnnn sh pw p s s s s s p p s sw sa s nn pn n s
spontaneous-speech-aln-44347.mp3	Sporti na pwlqen sporti na pwlqen sporti m rregull a sport tash shofim sport tash jam bo i madh un sho sport Olimbiakosi a ktu n Greqi jam n Greqi Olimbiakosin e shof Olimbiakosin me t thwn tw dtrejtwn Olimbiakosin e shoh po Po po Olimbiakosin po	P   s sh s ph p sh  sn s  s sh  sh pa s  sa nn  s s p sh p sh
spontaneous-speech-aln-44348.mp3	Jo jo nuk kena ktu ktu afwr nuk ka jo Ktu afwr nuk kena Po po me thwn tw drejtwn ktu afwr nuk kena asnjw gja ktu afwr	P s sh  s p nnn
spontaneous-speech-aln-44349.mp3	Pwr zotin Ca me ba rri pwr smari nuk lodhem shum dhe kur s lodhem shneti rri mir ndjehem shum mir kur rri Clodhesh e s bwn gjw je pwr s mari...	P p s ph sh s s pnn sn n
spontaneous-speech-aln-44350.mp3	Pwr shwndetin tim kujdesem... s ka njeri qw nuk kujdeset pwr shwndetin e vet po un kujdesem se s ha pwr shembull s ha gjana ambwlsiina nuk ha gjana qw nuk mw pwlqejn a kupton dhe pwr ruhem shwndetit	Pnnnnnn sh p p s sn s p s pw s ph p ss s s p p pw pnn
spontaneous-speech-aln-44351.mp3	Ka vene si nuk kap telefoni pwr shembul kur t shkoj nw njw mal nuk kap telefoni n male malet nuk m pwlqejn malet nukw nuk kap telefoni nuk nuk kA sima nuk ka hiC boll me nodh me ashtu me kap val po nuk kap val	P sh s sh s s p sh s s s p s ph shnn s s s p p sh
spontaneous-speech-aln-44352.mp3	ushqimi jem kur isha i vogwl pwr zotin s'kena pas ushqime atere se ushqim ater ka qwn nuk kishim sa m ushqimi si fukaraj buk e lakna hashna lakna t regjme ashtu lakna buk e lakna hashna zushna lakna hashna po po po kena qen i vogwl ater	P ph p pw p ph p p p sh pa  ph  s sh sa pa s s sh s  sa sh s s n sh s s s p sh  s   s ph
spontaneous-speech-aln-44353.mp3	Po ku rri ti un tash Ca me t thwn tash vendi ku rri ti Vendi ku rri un wsht vend i mir po wsht pak i ... ka punt e pun shum pun neswr pun mbasneswr pun pwrdit ka shum pun si me ta shtu shum pun lloje at pun poo	P   sh p p ph  s sw pha  sh s sh nan p s n n shn sh sh sh ph sh sh ph sh sh ph  s pa sn sh
spontaneous-speech-aln-44354.mp3	po tw di i kam pwr... tw di mwsojn mir s mwsojn keq pwr shwmull as as nana as baba msojn mir nuk msojn keq me thwn tw drejtwn ato po dwgjove nanwn e babwn sot asht mir nuk asht gja e keqe me ngju nanwn e babwn nanwn e babwn duhet t' i ngjojsh	P s s sw s p pnnn pn s s p s  s  s s sn sw sw n s sn s pn s p p
spontaneous-speech-aln-44355.mp3	Ca jemi tash A dini nonjw emwr yllit apo ylli Po dim po Ca me t than tash un Ca kam me t than un ty tash a din pwr me dit dim po po Ca	P p  p s s s s sh n nn n sn p s san
