audio_file	reference	hypothesis
spontaneous-speech-cgg-51557.mp3	Okuguma nitubyoza kandi nitureeba ngu twamara kubikozeesa twashukamu amaizi ningashi byaba bitari by&amp 'amaizi kugira ngu buri kanya harimu ebintu byokukozesa n&amp 'okubyoterera omuri ebyo ebitari by&amp 'okushukamu amaizi obaase kubireka biri ebiyonjo	Okuguma notubyozya kandi natureeba ngu twamarakubikozesa mtwashukamu amaizi ngashibaba etariobi amaizi kugira ngu oburkaanya harmu ebintibyokukozesa n'okuboaterera omkbabetaribabokushukamuamaizi kugira ngu tikibaase kuikureubirekabiri biyonjo
spontaneous-speech-cgg-51559.mp3	Obwegyese ni burungi ahabwokuba omuntu ku arikuba ayegire naaba naamanya kushoboorora obumwe atarikwetaaga kugira ngu haaba haine eki yaaba naayetaaga kukora abanze yaaza kukibuuza ha ndiijo muntu yaaba naabaasa kushoma naabaasa kwehandiikira we naayetegyereza	Obwegesene burungi ahabwokuba omuntuar kubahigire naaba naama nakushogoa m atarikwetaaga pugrangu haabahaine ekyaaba naetagakuora abaza yaaza puikibozaahndia muntu naabasa kushoma naabasa kuwehandikira aba nahetigrezO
spontaneous-speech-cgg-51561.mp3	Ebyokurya byaitu ebyobutoosha ebitasiikire n'emboga zaitu eza guriinizi n'emere yaitu y'obutoosha ebitookye ebitakuri n'amuhogo omuntu ku arikuba naakozesa ebyo naagira amagara marungi	Ebyokuriya byaitu ebiobutoosha ebitasiikire n'mboga eziitu eztuza guiinz n'emereitiobu toosha ebitakebi takurinamhogo muntukwara kubanaakozese ebi nahagira amagara marungi
spontaneous-speech-cgg-51564.mp3	amapapaari emiyembe ovakedo ebyo nibyo bijuma ebiboniire ebirikuhingwa omu Uganda	Aama papaari emiyeembpe ovakedo ebando boijuma ebibaniire ebiruuhingwa omu Uganda A
spontaneous-speech-cgg-51566.mp3	Okushutama hamwe tukagamba hamwe tuk'etegyerezangana tukahurizingana tukahurikirizana ebizibu bya buri omwe kandi tukabyetegyereza nk'okumaraho obuzibu tutabaasize kuhaajaana	Ookusitamahamwe tukagamba amwe tukeetegyerezangana tukahurizingana tuktukahurikerezana ebizibu byabur omwe kandi tukabetegeerza ibasa utiamakumarahzou tutabaasazekuhaajan
spontaneous-speech-cgg-51567.mp3	Endeeberera y'abantu abakuru omu byaro ekateganisibwamu niba niba niba nibabonabona kubura ow'okubareebereera ahabwokugira ngu abantu baingi bakairukira omu matawuni kuronda oku bareebeho n'okuronda emirimo	Obeeraabantobakurimugaro katianiam nanaonaabkuaaahabakugabaanaibauanioou matawuni kbaraaan
spontaneous-speech-cgg-51574.mp3	N'okuboreka rukundo kandi n'okuboreka ngu kuba n'akakooko ka siriimu tikoyobuhemu kandi tugwomuheru gwensi kandi kubahamiza ngu nibabaasa kubaho kumara obwiire bwingyi omunsi tukiirira hiihi nabo tukabakunda	Nokuboore ekarukundo kandi n'okubore kangkubanaakaokooko kakiriimu hemu kandi igemuharugenti kandi uamza nobabasa kubaho mara ouireim irheihinaoekaakunda
spontaneous-speech-cgg-51580.mp3	Ekyo nikiyamba omwebembezi kumanya ebirikuteganiisa abantu abarikwebembera aronde eki arabaasa kukora kugira aba bantu baakwebembera babone nk'oku baayanguhigwaho omu mirimo zaabo ezi barikukora	Ekyo nkiyamba omuwebembezi kumanya ebirikutiganisa abantu abarikwebembera aronde ekyarabaasa kukora kugira abantwakwebembera nabone kokubaaya nguhigwaho omirimozaabo ezi barikukora
spontaneous-speech-cgg-51581.mp3	Ahabwokuba ebintu ebi barikuba nibakugambira nibaaba baabirabiremu kandi barikubimanya obumwe nikiyamba kubahurikiza kugira ngu obundi kikaakutangira obuta obutaraba omuri ebyo ebi baarabiremu barikukura	Ahabwaokuba ebii ebarakuba nobakugamea naramukandi obarakuba mana oumnmakuba huriiakugiramu ouniaakutangira oututaraa mureo eaaabemubaraokua
spontaneous-speech-cgg-51582.mp3	Abantu banti bagizire amasiko kandi nibateekateeka ngu emigisha [UNK][UNK] ahari 100 omu tahuni kireeteire abantu kuruga omu kyaro bakeiju bakeija omu matahuni ngu babaase kuronda ekyokukora n'okubaasa ...	Abantubeingebagizra amasiko kandi nobateekatekangu nigishaagyenda naomuenda ahareigana  mutawuni iertir abantu okuruga omu kyaro basukbakaijou matawuni kubasa uondaoukora uasa ukahanmike
spontaneous-speech-cgg-51585.mp3	Akakungu ni kabi munonga ahabwokuba nikeegyesa abamwe nibeegyeramu okureesa engyaga abamwe beegyeramu eby'obushambani abamwe beegyeramu eby'obwibi so akakungu nikareeta obuzibu bwingi omu byanga byaitu	Akakungu nakabe munonga ahabwokuba nakegyesa niceri aamwebeegeramu kuresa ndaga aamwbeegeramu eb'obushambani abamuebeegeramu ebobuibi oakakungu nakareta nobzobwingi omu byanga byaitu
spontaneous-speech-cgg-51587.mp3	n'okukwatana na bakuru b'eishomero okabashobororera kandi okabeeshengyereza kugira ngu obundi bakukwatireho kugira ...	Nokwatagna akujemero okazaanirkoikandikaseiranankwatra iananshar
spontaneous-speech-cgg-51600.mp3	N'eky'okwegendesereza munonga na munonga ogwe muntu yaba atakiriho omumagara g'ejensi kandi n'okukuratira ebyo ebiyasigire yagamba ahabikwatirine n'ebintu bye n'okubarabitwarize	Nkyopwegendeseriza munonga namunonga ogomunti yaaba atakrho makaragiginsi kandi n'omukuraterura ebyo ebiaasigireya gamba ahantahabikwaterine n'ebintubi n'okubarabitwariz
