audio_file	reference	hypothesis
spontaneous-speech-sco-31044.mp3	Aye I’d’ve loved to have been a professional gymnast I used to when I was young do flips but- and cartwheels but no you know professional And years ago we- the opportunities are different nowadays you know we didnae have these kind of a classes to go to But anyway I did take the opportunity when I was in my forties A gymnastics coach of the kids told me I should go to an adult class in Bellahouston So I did I decided to go and um there was a great wee coach Hazel She was professional And she encouraged me- I s- I told her I’d love to do flips She says well you’ve got the physique you’ve got the energy So she was so good at helping me to visualise going into this ball pit- we’re on a trampoline so I’m jumping the trampoline and she's just visualise a dolphin and it helps you flip into the- so you’re flipping into the ball pit What a feeling She was so good you know that encouragement At first I was all over the place Anyway so that was great to get that opportunity	I t e e e te te e oe ee t e e te t t t te e t te e e e e te e t t e t e t e e te oe t te te t t t t t t e e e e e e te t t te e ee t t t e te ae t t t te oe o t t e e t oe o o e e t e oe e t e e ae t t e t t oe e oe e e e e
spontaneous-speech-sco-31052.mp3	I love Glasgow I’ve got to say right Edinburgh’s the ca- eh the eh the capital of Scotland but see Glasgow for me being a Glaswegian as we call ourselves weegies I would say they’re the most friendliest people they’re the most down to earth people Glasgow at times has had a bad reputation but everywhere’s got you know its good points and bad points But in Glasgow you get people that would be there to help one another They’re just the salt of the earth So for me the city of Glasgow is the best	e e a ae t t t te te e t e t te t t oe o te te te oe oe t oe te t t t t oe e t oe t e e e te t t t t t t te e o te t t tee t t e e t e ete e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e
spontaneous-speech-sco-31055.mp3	My favourite food is Minstrels so you dinna cook it but what you do is you tak yourself doon to the shop get a bag any of they bags that says “more to share” on it well it’s mair for me to stuff in my pus ‘cause I’ll no be sharing it with naebody So I get a big bag of them eh get a twa pinter of blue milk ‘cause you need to wash doon a’ that chocolate with milk coo’s milk it’s got to be coo’s milk and eh just get nice and comfy set up watching the TV whatever it is and just start battering your pus with a’ these Minstrels and eh dooning the milk basically So there’s no cooking but just maximum enjoyment	o a te ee t a t oe o t oe e ae ae te ae te e t tee e e t t t o e tee te e t e e oe e e t te ae o ae te t ae ee t tee e e e e e t e te e e
spontaneous-speech-sco-31061.mp3	Typical day in my life is get up as late as possible as late as is humanly possible eh try and start work on time eh get through what needs to be done try and no tak things too seriously there’s an awfie lot of serious folk at my work so I try and inject a wee bit of banter try and hae a laugh finish work hae my tea get awa’ out get a bit of walking in various pubs and that go and see pals eh and then definitely watch some crap on the TV Love Island these sorts of mingin' programs that are low-brow but that’s what I need after a difficult day	e a ae e e ae e e t o e e t t oe te t e e e ae oe o e ae oe oe e oe t t ae ae t ao oe ee e e e ae te e e t e e e te t te oe oe o eteteteteteteteteoeoeIeIeIe
spontaneous-speech-sco-31069.mp3	One of the times in my life I felt a real moment of joy was when um- there’s been so many things but this one stands oot for me My friend asked me to do this live play and I’m thinking oh my god the monologue was so long thinking how am I gonnae get that into my head these lines And do you know it was amazing the joy that I felt because I’ve no got a photographic memory you know so I had to have a Dictaphone- read Dictaphone listen and somehow I got that monologue in And it- that- just- see just that feeling of joy that I accomplished something that I thought I couldn’t do that was amazing	e e e e t t oe te te a e oe e e e te t oe oe e t t aee t e e e e t te oe t t t e te t o t t t oe oe t t e e oe e t t ae a t e e
spontaneous-speech-sco-31073.mp3	My perfect weekend like ideal dream weekend would be going up to Shetland my favourite place in the whole world eh doing a bit of hill walking bit of- bit of hiking that’s my dream eh right along the cliffs there unbelievable and eh chilling oot in my campervan taking it easy chilling oot peace and quiet naebody bothering us just suiting mysel and then eh Prince the singer comes back fae the dead and gies us a- a private concert That would be perfect for me	I ao ae a t t e t oee e t oe e o te oe e ae aee t t a t t ae t te ae e t te e e e t e e t t e t o e t e
spontaneous-speech-sco-31076.mp3	One of my f- favourite teachers was in primary school She was so cool She’d take no nonsense right but I loved her ‘cause she had a motorbike She would c-come to school every day in her motorbike and I loved- she was just a pure rock star but she was elderly but I had this- I’m no- I’m- this sounds like ageism here but ‘cause you’re young you think somebody in their forties is really old or fifty so you’re young and you think oh my god she is so cool but she was great She was good at encouraging you I always remember that but she would- I- I would look up to that teacher She was so good	e e e e e e e oe e te t ete e t e e t e t e e t e e oe te e e t oe a e o t t t t e e t te e t te te t e oe e oe t t e t t e e e e e e
spontaneous-speech-sco-31080.mp3	My favourite film’s Chicken Run and if you disagree with that then there’s something wrong with you ‘cause it’s quite clearly the best film in the world if you ask me Animated chickens I mean what else what else could you ask for that’s just fantastic it’s Aardman that do it so ken them that dae um Wallace and Grommit and eh it’s the struggle the strife and struggle of these chickens that are a’ cooped up and how they want to escape and- and have freedom and live their best lives and I just think it’s absolutely marvellous so yeah that’s my favourite	a o ae e t ae e e te e oe e oe oe e tee e oe eee e ae t e e e te oe ae oe oe e o ae ae t ae e te e teee ee ae e e e e eeeete
spontaneous-speech-sco-31124.mp3	Growing up with my parents when I was young there was a lot of good memories but my twin was my mammy’s favourite so she was a bandit to me right But see my daddy I was his sweet pea he loved me He made up for the love that my- ‘cause my mother- you’re trying to find your identity when you’re young right you’ve got a mother telling you she wants you to be like your twin and I’m like oh my god it’s hard enough trying to find your own identity never mind wanting to be like somebody else But my daddy he made up for that- but I’ve got really good fond memories of my parents you know they did d- they were just lovely They tried their best	e e e e t t oe te e te e te t t te te t t eee e t e e e e t t t te o e e o t t e t t t o te t t t t e e e t t te e oe t te e
spontaneous-speech-sco-31127.mp3	I’ve no got any children and I dinna want any children ‘cause I couldnae eat a whole ain Simple as that Eh I dinna like the idea of haeing a baby that’s greeting a’ the time and keeching in its nappy and then weeing a’ over the place and you- and then you dinna sleep for the first however many years ‘cause the bairn’s aie greeting and then it grows up to be a teenager and you get a’ the sass and attitude and I couldnae bear it Eh I also dinna want to spend my money on anybody else would rather just spend it on myself So nah no for me no bairns thank you	a ae ae e e e te a te oe e o o e t aee t oe e e ae oe t t t t ae t oe oe oe oe e e ae ee oe e ae e eeteoeoeoe
spontaneous-speech-sco-31137.mp3	For me the ideal party would be one that’s starts at aboot half-seven eight o’clock I dinna like going oot early I like to go oot well depends how old you are if it’s early or not but half-seven eight o’clock that does for me I would go out at that time It would be if it was a party it would be someplace that’s got freezing cold Heineken on tap that’s my favourite and it would be playing eighties music a’ night loads of Prince eh one Prince- yeah one Prince song and then another song fae the eighties that’s what I would want and that would be ideal	e t ee te ae ae t e e e te ae t oe t t t o o ae e ae t t o t oe e e e e ot eee t ee t ae oe e oe e t t e
spontaneous-speech-sco-31142.mp3	What’s my best film Midnight Express (inc) I love Midnight Express It’s based in Istanbul but what a story Honestly it captures you And I remember telling my son about it and he did it for his media His teacher told him that’s the (inc) you had to watch films and that film just came back to me Midnight Express It’s an old film but there’s a lot you can take from it So that’s one of my films I would say is on the favourite list	I te ae t oe te e te t ae e ae te t oe t te e t t te t e t t t t t e e e te oe t e oe o e t e te e oe e t t e te t te e etetete e e
spontaneous-speech-sco-31153.mp3	One of the best nights I've ever had in my life was amazing right So I’ve got my big friend eh no mentioning names but he’s just- I love him and we go roller discoing And we actually went for roller disco lessons so we could go for the night oot at the weekend it’s like an eighties music night And eh we just love it that you know it’s just so much fun and the music it’s everything aboot it it’s just- and people are just dead freeing You don’t y-y-you know you don’t need to be a professional but to go to a night- that night was amazing me and my friend roller discoing	e e e t t e e e t ee te oe te te t t oe t e ae ae t t t e t t t t e e te e e t t e te t toe oe t e e oe e e e e te t
spontaneous-speech-sco-31158.mp3	My best pal when I was at the school is still my best pal to this day eh we’ve kent each other since we were five we’ve never no been in each other’s lives eh and he’s the maist- what is he like- well he’s the maist musical man on earth you put any instrument doon in front of him and he can- he’s mastered it in next to no time and it does my nut in eh ‘cause I’ve got to put in a bit of effort to these things and a bit of practice and he can just pick up anything and just play it right away So it’s no fair but he’s awfu' talented and eh I’m only very slightly jealous of him ken	I ae oe ae ae oe e e e e o o t oe ae ae t t ae o ae e e e e e oe e o e o a e e t te t t t t o t a t e oe oe e e eeeteteteeeete
spontaneous-speech-sco-31165.mp3	One of the most expensive things I bought- it- it probably wasnae the- the one but I always remember I got these doors oot of nextdoor co- com and they were stunning and honestly they were so beautiful And see when I moved fae that house I wanted to take them but they didnae fit the other hoose I moved to so I was gutted because I loved these doors Anyway they were really expensive eh so that- I would say that was one of the most expensive things	e oe e e te e t o o t oe oe oe t t oe te tee o te ae te tete t o e e e oe t t t e e t e te oe oe e e e e
spontaneous-speech-sco-31168.mp3	I’ve got this precious object- I do- I treasure it Um it was when I was expecting my fourth child eh my friend that I knew she was really lovely she gave me this as a gift and it was a Black Madonna It was wooden the- the way it was a' carved oot was stunning And it’s the Black Madonna with her wee baby in her arms and I thought- it just always- you know I’ve always treasured it It’s just lovely	t ae o o t t e e e e e ae te ae t t e e t e o t t t t oe e t t t te ae t e te eoe t t e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e e
spontaneous-speech-sco-31175.mp3	My next day off to be polite I’d do sweet F all Because I’m always busy busy but anyway it’s nice when you’ve got a wee day off just to know that you can get oot of that routine It’s good being in a routine but to get oot of a routine is actually quite good you know just to go with the flow take it easy and just chill	t e t t oe t t e t t t t e te e oe e te e ae te e te oe oe t t ete t t e
spontaneous-speech-sco-31180.mp3	My biggest hope for me in the world would be peace and unity The wars would come to an end the poor innocent kids that are getting traumatised and innocent people Also I know this is another one that they would reduce the plastic because what it’s doing to the environment you know it actually gives me anxiety	t te e t e e oe t t e e ee t e e e e ae oe e t o te t te e e e o t e e e e e e e e e e
spontaneous-speech-sco-31184.mp3	I’m proud of my weans See my kids they have done theirself proud and me proud They have rised above so many challenges in life and honestly it blows my mind because it’s no been easy Especially the education that they got Um they were up against a lot of different classes in life And to fit in and to pr-pretend that you’re this person that you’re no And they had to face that in life and that wasnae easy so I could not be more prouder than what I put my kids into and they taken it on board and um they have achieved so much	e t e e e tee te e te e e t ae t e e e e o t t t e te te te te t e te t t e t te e e e t te oe te e e t o e t t t t t e ae oe t te oe e e etetete e e e e e e e e eI eIe e eIe eIe e e eIe Ie eI e eIe eIe e e e e eIe eIe e e eIe Ie eI e eIe eIe e e e e eIe eIe e e eIe Ie eI e eIe eIe e e e e eIe eIe e e eIe
