audio_file	reference	hypothesis
spontaneous-speech-ruc-24730.mp3	Kubanga olugendo luba lunyamulai jenkwaba nenzira ebba jibi namafuta enzira olugendo jenkwaba luba lunyamulai nobweruba olumpi naye enzira ebba jibi ebina bingi omunzira amafuta gabeeyi nebintu ebyakolesya omwekka yoyo akuntwala yabeyi eeh engeri njena mbiba ebyabeeyi kuba njena mba nkumanya ebeeyi yabyo naye yena omusasira kubanga ebintu byabeeyi namafuta gabeeyi olugendo ebina birimu enzira zibi nolwekyo emotoka jo e transport joba otambulireku yona nojisasira nti ekituffu kubanga yena akolesya ebintu byabeeyi omwekka yamwei	Aaaaaaa aa aaa aaamaaaa aam mmmmmaaaaaaaa aaaaaa a
spontaneous-speech-ruc-24747.mp3	Enteekateeka naye e Gavumenti elwawo okwikayo kubanga oba gabbawo oba enzira nizo zibba ezibbi awo naye nsaba nti goona galyeitekereitekere k'eri ga mu tawuni ne gavumenti goona negongeramu abasomesa nibabateerawo alawensi ku owanga kubanga boona obasaasira alina e famire bakeera boona kuluma te kubanga tebabba na alawensi nikyo nkumanya naye baalibawaire alawensi boona nibabbaku n'esente zibakulabiri okulabirira nga e famire yamwe nga takulinda nga mbe musaala gwonka kuba nalinda omusaala ayaba okufundikira era nga omusaala tegumaale nikyo okubona nga ebyanyegesya bibba bidyooli	Eaa ammmamammmmmmama aaaa a mmaaaaamam mammaaaaaaa maaa aaba
spontaneous-speech-ruc-24774.mp3	Kumbanga mba nga tendina security ezikuuma wange abaibi baingi nempiiya gyokuma omu bank olwawo ogyikolesya nogilya oyinza ogyendya naye niyabayo nga gyigale era bank gyisai oku nkumira empiiya zange kubanga nobwifuna ekizibu oyinza okufuba nokimala omu weekend nga e bank tekore naye te noba nayo empiiya oyinza ogikolesya era nogimalawo nga ndowo kyokoremu kyamakulu naye oyinza okwendya okugula ekintu noyabayo nezikuwa naye te noyendya ozijjajjama noyabayo omu bank nezikwima e bank gyisai okunkumira e sente zanga era ngyebalya	Eaaaaaaammama ma aa aaaam mmm aa ma aaaamaaa
spontaneous-speech-ruc-24852.mp3	Omusaiza alina okulya emmere okwomboka omubiri okugeza encwi oba ebyenyanja ebinyeebwa n'ebijanjaalo ennyama amawuli n'emmere ekuleeta amaani okugeza omwogo omuceere amatooke ebiaata aaa alina okulya okubintu ebya vitamini okugeza ebibala ebyo	Emmama
spontaneous-speech-ruc-24875.mp3	Abakali beegere okuliisya nga bakwakala omu kwegesebwa ni bafuna empiiya ati abaana ba bwala tibacaafuna nda nga tibacaali kwekira kubba bakumanya buzibu ki obuyinza okuligamu nga bafunire enda nga bacaali bato	Emamma
spontaneous-speech-ruc-24928.mp3	Zibakwata olwa bujama obwakaliriirye nga takwefaaku kunaaba abandi nga n'ewakuraara nga tayonjezeewo naye abantu ni beega obuyonjo obwekyo obwikiririire okunaaba n'okwesaairyaku akiri n'onaaba n osaairya wokusula nje nkukoba enjunzai zini twabba tuzetangiire	Eaaaammma
spontaneous-speech-ruc-24964.mp3	Atandikira oku myezi mukaaga nayaba omu dwaliro natandika okunywa edagala era na abasawu nebatandika omulabirira okutandikira oku myezi mukaaga era ayabayo emirundi innai kubanga aba ayina baba bayina okumukubiriza nokumupimanga omwana ali atyai ali kusai oba okunywa edagala eryo eryamuyabaku ogondya omubirir gwamwei okubyala okusai	Ea mma a
spontaneous-speech-ruc-24998.mp3	Enkola ya byanyegesya eni etumbukire omu ngeri ya kuteekawo byakuroorwaku tugeze okwegesya oku kulima okusai ni bateekawo omusiri ogwa kuroorwaku okugeza pampa nk'oyo ni bateekawo omusiri ogukwegesebwaku oba ente z'amatai niwabbaawo ente ezikuroorwaku oba embuzi naye ng'ezo za kuroorwaku ng'abantu bakukumbaana ni baiza ni beega	Emmmoma
spontaneous-speech-ruc-25025.mp3	Ebyanyegesya bisai era binyamba okubba ombiseera byange ebya maiso nemba kusai kuba nenta noba nga toyina byanyegesya oba tokwakuba kusai kubanga ebyanyegesya okwakufuna omusala ne famire yamu ebe nga eyemereire kusai wenate omusingi gwamu guba gusai n'abaana bamu oba okw'abawerera kusai ate bona obawe enyegesya ejisai omaiso bonate babeku kusai ombufumbo omirimu nombulamu bwansi muni	Ebaama mm mma aa a aaaaaa
spontaneous-speech-ruc-25127.mp3	Okutandika ebiseera bya mabeega enyegesya yali bisai naye enaku zini enyegesya yeyongaire muno naye beyongere okusomesya olulumi lwaiswe iswena lwetubaza omumasomeero kubanga abaana baiswe bazweeka nga tukolesya olulimi lwaiswe naye nibaika okusomero endimi nizikyuka mbaire nkusaba bikyukeemu babegesyengeku endimi zaiswe zetubaza ekka kyaba kyamaani muno obyenyegesya yaba ekyukire nyo dala	Emmommmmmammmmma
