audio_file	reference	hypothesis
spontaneous-speech-koo-50679.mp3	Omulhume amathahya omukali mughuma erihulhukya liwe likakeha neryo kandi erihika liwe likabya mwe ngulhakulhana kandi omulhume amathahya omukali mughuma obutheke bwiwe bukanabyamu obuholho sibulibya mwetsughuru baitu omulhume amathahya abakali banene eka eyo mukabya erihali abakali bakabya ibane mulhwa nabandi iba lhoghana nabandi ibabya ibabya bakatoka erilhabangania kwebinya neryo likaleka obuholho ibwa bulha omu muyi	Omulhume amathaha omukali mughuma erighulhukya liwe erikakeha neryo kandi eriikalwa erikabya mwngulhakulhana kandi omulhume mathahya omukali mughuma obutheke bwabo bukanabya mobuholho simulibya etsuru beitama omulhume amathahya abakali baneni omwa butheke mukabya erihali kundi abakali bakabai mulhwa ibakalhwera omulhumi nabandi ibalhoghana nabandi ibabya baibabakatoka erilhwa erilhabanganiakoebinywe eryo rikaleka obughuma nobuholho ibabulha omwamuyi
spontaneous-speech-koo-50680.mp3	Emisabe omwa mughulhu thukathunga erisurusutha omughulhu thukathunga esyonyuhi yikathuwathikaya omwihumulikana emyeyo yethu iyathunga erithekana Kandi yikawathikaya erihighitha emyeyo mibi eyikabyayiri omwabandu omughulhu bakathunga esyonyuhi yikawathikaya nabandu ababi abakaletha esyonyuhi erithunga omuthima oweri yisubamu	Emisabe omwa mughulhu thukathuna erisirosutha omughulhu thukathunga esyonyuhi yikathuwathikaya okwhumulikana emyo yethuyathunga erithekana kandi yikawathikaya erihighitha emeyo mibi eyikabya eyirya omwa bandu omwamughulhu bakathunga esyonyuhi yikawathikaya nabandu abami abakaletha esyonyuhi erithunga omuthima oweriyesubako
spontaneous-speech-koo-50681.mp3	Thwamabya ithukakolesaya eh intaneti okwilhalhania emyatsi ithwalhangira thuthi emyatsi eyathukalhalhanaya rundi eyathuka lebeka eyabya eyinendeke kandi iyanganalethera abandu bemitse emibuya Kandi iyaghana eribalethera akatabanguku ko mwaka Kandi siyiri mwa mabehi ekyindu ithwa ithwaghana eribya thukatheka mwa mabehi ekyi kyikendithuwathikya okwilhalhania emyatsi okwi intaneti emyatsi eyiri ndeke	Khwamabya ithukakolesaya eyintaneti okwillana emyatsi ithwalhangera thuthi ematsi yathukalelelanayaalhundya thuklebeka iyabayine ndeke kandi iyanganaalethera abandu bemitse emibuya kandi iyani ibalethera katha banguku ngomamaka kandi siyiri mwaamabehi ithwa ithwanir ithukathekamamabehi ekindu ekyikikiithuwathkya okwilhlana emyatsi okwa eyitaneti emyatsi eere ndeke
spontaneous-speech-koo-50682.mp3	Abembembetya bathuhabulha okomibiri mibuya eyobuyitsotse nakutsibutsibu okunaba okubyala nesabuni ibathuhabula okubya thukogha nabandi bathuhabulha eribya thubirya amathala wethu nokuthakula obubbine omo miyi yethu	Abemembetya bakathuhabulha okw emibiri mibuya yobuyitsotse nakutsibutsibu okwnaba kwa byalha kw sabuni ibathuhabulha ookwbithukowa nabandi bakathuhabulha okbithukabirya amathalha wethu nokwithakulha obubine o omwmiyi yethu
spontaneous-speech-koo-50683.mp3	Ngamabya isingali ahangakolera omwabuthuku bwayi obwa ngabya isingawithe omubiri owangakolha nganza ingabya ingane mulima omwa lirima lyaghe nerikolha ebindi bindu ebyosi ebyanganyikulhakulhania ngerikolha e buzinesi nuko nganasasathunga akandi kasente akakayongera okwa musara wayi	Ngamamba singalyahangakolera omwabuthuku bwaghi bwangabyasangabuthangubra wyangakolha nganza ingabya ngana mulima omwalirima lyaghi nerikolha ebindi bindu byosi ebyanganyikulhakulhani ngerikolha ebizinesi nuko nganasathunga akandi kasenti akakayongera oko musara waghi
spontaneous-speech-koo-50684.mp3	Erikehya erinywa esukali omwa maghalha wethu likathuwathikaya okwithendithunga amalhwere nge pressure rundi obulhwere obukalethebawa esukali eribya nyinene omwa mubiri neryo thukikalha ithunawithe amaghalha mabuya	Erikehya erinywa esukali omwa maghalha wethu likathuwathikaya okwithindithunga amalhweri ngepuresya lhundi obulhwere obukalethibawa esukali eribya nyineno oma mubiri nerithuk ikaali thunawithi amaghalha mabuya
spontaneous-speech-koo-50686.mp3	Kiwithe omubungo munene abambesa alerere irihiribwa omomandekero bakathunga amange nerithunga amalengekania mabuya okobikabya omokihoghu Kandi erisoma kikaleka ibashathunga emiri embere omokihogho	Kyiwethu oma bongo munene abambesa abalere eriyiribwa mamathendekero kubusana bakathunga amenge nerithunga amalingikani amabuya okwabinu bikabya omakihugho kandi erisoma likasabawathikaya erisabana emibiri embere
spontaneous-speech-koo-50688.mp3	Abandu bakulhu omwa malhambo wethu ithukendi basikya thwamabya omwa mibere eyeribya ithuka bahulikirira ebyabaka thuhana thwamabya thukahulikirira ebya bakathuhana ithukendibya ithwamabiribasikya kandi thwamabya ithukabaha ekyitsumbi kyabo ngabakulhu	Abandu bakulhu omwa malhambo wethu ithukindibasikya thwamabya omwamibere eribya ithukabahulikirira bya bakathuhana thwamaythukahulikir bya bakathuhana ithukindi ibithwmabiribasikya kandi ithwamaythukabaha ekyitsumbi kyabo ngabakulhu
spontaneous-speech-koo-50689.mp3	Omundu amathebwa likaleka anasulusutha omwamalengekania wiwe kandi likaleka ebyalwe aka thekatheka ibyatengesibwa omwa malengekania wiwe	Omundu amathebwa likaleka inasurusutha omwa malengikania wiwe kandi likaleka ebyalanabiripulhaningaa kundi ebyalakathekatheka ibyatengesibwa omwamalengikaniawiwe
spontaneous-speech-koo-50691.mp3	Eripima akabonde okwa abandu abahikenye likawathikayabo erikalha ibanasene emibere eya oghundi ikaliremo okwa mibere eyo buyitsotse kandi kyikabawathikaya erithasya yirinda	Eripima akabonde aadokwabandu abahikenie likawathikayabo erikalha ibanasene emibere yaghundi ikaliremo okwa mibere eyobuyitsotse kandi kikabawathikaya erithasyayirinda
