audio_file	reference	hypothesis
spontaneous-speech-lke-30007.mp3	Omukali alikida atandika okwaba omuidwaliro inga ekida kyemiezi isatu	Omukali alikida atandika okwaba omwidwaliro nga ekida ekyemiezi nesatu
spontaneous-speech-lke-30008.mp3	Abowala na bakali bafuna abizibu nga okutulugunyizibwa omaka gaibwe ejebafumbiruwe oba nabazaire baibwe nga baliwaika	Abawala nabakali bafuna ebizibu nga okutulugu nzibwa omumaka gawo ejibafumbiibwe oba nabazaire bawe nga bakali bali eika
spontaneous-speech-lke-30009.mp3	Okusoma kwabantu abakulu kuyamba abantu okufuna amagezi inga mukutunga chalani oba okusiba eviri omuntu oluvanyuma nafuna esente ejasobola okukozesia okukulankulania amakage	Okusoma kwa abantu abakulu kuyamba abantu okufuna amagezi nga omukutunga ekyalani oba okusiba enviiri omuntu oluvanyuma nafuna esente ejasobola okwosoka okulwa kulwa amakage
spontaneous-speech-lke-30010.mp3	Ekyaalo kyange kisobola okwekumba neki ni ni nibeterekera esente omumagurupu ante nibasobola nokulima deni oluvaanyuma nibatunda ebibarimire nibasobola okuyamba abasomi na'maka gaawe	Ekyalo kyange kisobola okwekumba ne ne ne ne nebaterekere esente obumagurupu ate nebasobola nokulima ne oluvanyuma nebatunda ebibalimire nebafuna esente okuyamba basomi na'maka gabu
spontaneous-speech-lke-30011.mp3	Omuntu aweiremu amaaa amaizi asobola okuba nakawomero inga emimuwa mikalu ate nga omubiri gwona gubulamu amaani	Omuntu awairemu amaizi asobola okuba nakawonero nga eminu wamikali atyenga omubiri gwo nagubula mu amaani
spontaneous-speech-lke-30012.mp3	Tusobola okweeta abantu mukitundu kyaisu netubegesia engeri yoku yokukozesia echoloni ate nokujikuma nga chinyirira	Tusobola okweta abantu omukitundu kyaisu nitubegesya engeri yoku yokukozesa ekyolooni ate nokukikuma nga kinyirira
spontaneous-speech-lke-30013.mp3	Amasomero gakubirizirye abaana abatobato okwaba okusoma aate nigaye nigabeegesia omugaso gwakusoma	Amasomero gakubiriziria abaana abatobato kwaba okusoma ate nigaye nigabegesya omugaso gwa kusoma
spontaneous-speech-lke-30014.mp3	Omusaiza asanire okukola obulimu obwiriam omubiri amani nga okwiruka okuwuka okutambula muku oba nokwaba mwidwaliro okwekebezia nga omubiri gulimu oburwaire	Omusaiza asanire okukola obulimu obuwirya mu omubiri amaani nga okwiruka okuuka okutambula muku oba nokwaba omwidwaliro okwekebeza nga omubiri gulimu obulwaire
spontaneous-speech-lke-30015.mp3	Bulinmuntu omukitundu alina omugaso gwokuokuma omwinaye	Buli muntu omukitundu alina omugaso gwa kukuma omwinaye
spontaneous-speech-lke-30016.mp3	Nsobola okugaba obuvunanyizibwa omubaana ebemba nabo owaika	Nsobola okugaba obuvunanyizuwa omubaana be mbaana be owaika
spontaneous-speech-lke-30017.mp3	Nsobola okukobera omuzaile oyo okufunira omutabani we omulimo gwo'kolanga okusinga okwaba okuba omugurupu egyo embimbi	Nsobola okukobera omuzaire oyo okufunire omutaaba nibwe omulimu gwa'ukolanga okusinga okwaba okuba omugurupu ejendubbi
spontaneous-speech-lke-30018.mp3	Amaka gayisu gasobola okulima no okuyaya ebisolo kayisi oluvanyuma ni tutunda nitufuna esente nitusoma	Amaka gaisu gasobola okulima no okuyaba ebisolo kaisi oluva ino nga nitutunda nitufuna esente nitusoma
spontaneous-speech-lke-30019.mp3	Asobola okuzu... ka nalamusia abantu abaliwo abakulu	Asobola okuzuka nadamisia abantu abaliwo abakuli
spontaneous-speech-lke-30020.mp3	Okutaba nebina biyegasiya mukitundu kiyaiswe kiyona kireta ogsiya okuba nga asulibwa ino omukitundu kiyaiswe	Ovitaba nebinabiya gasia mukitundu kyaiswe kyona kireta gasia okuba nga asubuliwa ino mukitundu kyaiswe
spontaneous-speech-lke-30021.mp3	Amaizi amabibi gabamu obubuka obuleta obulwaire obwa kolera	Amaizi amabibi gabba nobubuka obuleta ekiruaire kyakolera
spontaneous-speech-lke-30022.mp3	Abantu bamumaka gange begere amagezi nga agokuwandi okusoma okusiba enziri okubita omuporoguram ejokusoma ejizire mukyalo kyange	Abantu bomaka gange begere amagezi nga agokuwandika okusoma okusiba enziri okubita omuprogramu ejokusoma ejizira omukyaalo kyange
spontaneous-speech-lke-30308.mp3	Iyee intaka okwega ebiyamawanga gandi	Iyee ntaka okweega ebyamawanga agandi
spontaneous-speech-lke-30309.mp3	Mbe amaizi tegatonya emaku jino mukyaalo kyange	Mimbe amaizi tigatonyona ku jino mukyalo kyange
spontaneous-speech-lke-30310.mp3	Nsobola okulya eiva lyebikoola nga doodo ikubi no'bwita na'matooke okufuna amaani bulikisera	Nsobola okulya eivali ebikoola mbo dodo eikubi nobuinta namatuke okufuna amaani buli kisera
spontaneous-speech-lke-30311.mp3	Abawala abamukyalo etibasobwere okusoma ebye mukibina babakwaiteku nebabegesia okusoma okwemikono nga okutunga ekyalaani oba okusiba enziiri	Abawala abamukyaalo ekibasobwoire okusoma ebya mukibina owebakwaiteku ne'babendesya okusoma okwemikona nga okutunga ekyalani oba okusiba enzire
spontaneous-speech-lke-30312.mp3	Amaizi agatali amaijanjabie gabamu obuwuka obuleta obulware okolera nitaifodi oba nokuidukana	Amaizi agatali maijanjabye gabamu obuwuka obuleta obulwaire nga okolera taifoidi oba echidukano
spontaneous-speech-lke-30324.mp3	Abantu abamalire okusoma basobola okufuna emirimu oluvanyuma nebaba sasula esente ejo nejiyamba obulamu bwaibwe	Abantu abamalire okusoma basobola okufuna emirimu oluvaino mani bo abasasula esente jo nijo nga obulamu bwabwe
spontaneous-speech-lke-30325.mp3	Ndina okweewala okutambulira omumaizi aga gatengaime omukkifo ekimu atenga makkyaafu	Indina okwewala okutamulira omumaizi aga agatengaime omukife kimwo notenga makyafu
spontaneous-speech-lke-30326.mp3	Omuntu omaka gange asobola okwaba musenta natandika akabizinesi nga okuba kyapati oluvanyuma owafuna amagoba ago asobola okusasula omusolo okwi'somero nasoma	Omuntu omaka gange osobola okwaba omusenta natandika akabizinesi nga okuba ekyapati oluvainamu awafu namagoba go osobola okusasula emisobola okwisomero nasoma
spontaneous-speech-lke-30327.mp3	Imbe timbangaku munsi yobweru	Mbe tinyambanga kumusi ya'bweru
spontaneous-speech-lke-30328.mp3	Yee inyumira okusisinkana abantu abayaka era ntaka okukola emikwago nabo	Iye inimira okusisinkana abantu abayaka era intaka okola emikwago nabo
spontaneous-speech-lke-30329.mp3	Ekitundu kyange kikubirizia abana okwaba okumasomero okusoma okutasigala eyika bulikasera	Ekitundu kyange kikubiriza abaana okwaba okumasobera okusoma okutasigala eika bulikasera
