audio_file	reference	hypothesis
spontaneous-speech-mmc-21692.mp3	À jñíñi mí b'üb'ü ná ná ndíxu ñe ná b'ë̌zo yá mí xîrabi mí sìpji ná xútǐ'i pézheji k'e nú b'ë̌zo jyâsm'a má mâ'a k'o k'a të́jë mí pá'a dyá tjǜ'ü zà'a k'a rá dyä̀t'äji ngǔm'ü jé mí pë́pji k'a të́jë Nú ndíxu mí kjë́jmé à k'a ngǔm'ü mí 'ä̀t'ä jñôna mí pà'a k'a ndáreje pa pédye b'íjtu pero 'ë́jë ná pá'a k'a mânk'a nú b'ë̌zo rá mâ'agö k'a të́jë rá má pë́pjigö pero rí né'egö rá... rí pó't'ü rá ñgôñi rá ndájmé k'a rá síbi má yá sä̀kjü rá jñônabi k'a nà xí'i k'a nú ndíxu já'a má pë́pji 'e rá jó'o rá pó't'ü nú ngôñi 'é gó 'ë́jë k'a nú pá'a dyá k'o jyâs'ü gú kjö̌gü dyéje ndíxu k'o mí pá'a k'a ndáreje má pédyebi k'a ná xí'i k'a nú ndíxu jmó'o k'a ndáreje má péjñi b'íjtu k'a nà mâ'a k'a nú ndíxu nú b'ë̌zo í'o dyá rá mâ'agö tä̂'tk'o jñôna porque rá 'éñi xí'i rá mí jñôna Mójo nà ndájme dyá rá mêts'i kjâ'a ná... má nú ndíxu pero dyábi mbó'te k'a nú ngôñi k'a ró jyês'ü k'a ná jyês'ü k'a nú síbi k'a nú s'ä̌b'ä k'a ná só'o k'a ná móji k'o yó mí ri xúdyo má péjñí k'a ndáreje ná rá mój 'ë́je k'a nú ndíxu gú chó'tk'a nú s'ä̌b'ä dyábi dyábi ñéjme porque nú jñóna gú síbi gú ñó'o k'a má ndá nú ndíxu Ah pjéxôra ngó dyá 'íxi rá má sä́jä dyá 'ṓjtjō nú ngôñi k'a ró pó't'ü jé gó máma k'e mí né'e rú sà'a nú ngôñi ngék'o rá pó'tp'ü nú ngôñi Ná ngá'a ná ngá'a nú xé'xo rá kjâ'a dyá k'a pjéxora 'ùña má rá sä́jä rá sângü rá mbéjkue pjék'o rá xípji k'a ná má'a nú ndíxu k'a ná ch'éch'e nú jñá'a k'a nú tíjue'e k'a mí b'ǚb'ü nánk'a k'a rá mbájtu k'a nú tíjuezhi pjék'e xêr k'a ñé'e pa xá'a 'éjk'e í í ndzhôñi k'a xêmpk'e í séñi nânk'a nú ndíxu dyábi sígö ná jó'o mó'ne 'o dyójpjk'ü nú ndôñi k'a nú tíjué'e xípji s'óstü pa ín ndzôñi ngék'o rá 'éjpk'e í jñí'i k'a rá jñé'e gá xútǐ'i gú ngós'ü k'â'a nú zák'a nú ndôñi nú jñǘ'ü nú mó'n'e núx... ndíxu dyójk'ü nú ndôñi nú nú tíjué'e k'a ná jyês'ü k'a ná jyês'ü k'a síbi para que dyá ró mbǘtji nú jmó'o nú tíjué'e para que ró 'ù'u k'a nú sódya ró sí'i Má mú sä̀'ä k'a nújnú b'ë̌zo k'a nú xîra nú juíñi yó 'ùnga nú jmó'o kja ná xípji jñôña mientra rá má ndûgö ó ndéje k'a méje dyá rá méts'k'o porque 'ṓjtjō ndé k'a rí sí'i nú ngé já gú dyä̀tk'ä k'a nú ngé'e k'a nú mójmo k'a nú mbéjchin'ü o mbǚrü rú ñônk'a nú b'ë̌zo nânga jó'o gá nú tíjué'e pjé 'ṓjtjō jânga mâ'a nú ndó'o jā́ndā mâ'a k'a ngôxti nânk'a mânk'a k'a nú b'ë̌zo 'ṓjtjō k'a ín ch'íjué'e xé gá má dyá dyá bá kích'i rá ñôjmé Nánga kjâ'a nú xânga nú b'ë̌zo né'e ró ñójk'a nú ngé'e k'a ná máma Pájpa jé mbǚrü b'ǘnk'o má'a tá'a dyá gí ñójk'o züngü ñes'k'o ín ch'íjué'e k'a ná jyó'o k'a nú tíjué'e nú b'ë̌zo jyés' k'a nú jmó'o gú jyôd'ü k'a ná'a dyá gú chójt'ü dyá rú mbára ngé k'a nú tíjué'e k'a dyábi 'ùnü rá mǜ'ü rú zí'i Kja ná mújte k'a nú b'ë̌zo ró jyón'i k'a nú ndíxu o pójtk'a nú ndíxu gó mâ'a k'o dyájtk'a nú ndzhôgü mí xíbu mbári jângé rá mbá'a jé go jók'ü të́'ë k'o mí jôrü para pjék'o gú mbéx k'a nú ndíxu 'ú jmá'a k'a nú ndíxu nú k'a gú chôjtji gú 'ṓjtjō dyájkja gú chôjtji k'a nú ndíxu Ngéjnu jñá'a k'a pézhi à jñíñi k'a nú jñá'a e Juliana	' ' kk kkkkkk kk ' ' ' ' ' kkkkk k ' ' ' ' ' ' ' k kk kkkkkk ' ' ' ' ' kkk kkk ' ' ' ' ' ' ' ' ' k ' ' ' ' ' ' kk ' ' ' k kkkkkkkk ' k k kkk kkkkk k k k k ' ' ' ' ' kkkk ' ' ' ' ' ' ' k k ' ' ' ' ' ' ' ' ' k kkkk k ' k kk kkkk k kk ' ' kk ' ' kk k ' ' kkkkkk ' ' kkkkkkk ' k ' ' kkk k k k kkkk ' ' ' ' kkk kkkk k k kkk kkkkk k k ' ' ' ' ' kkkk kk kk k kkk ' ' ' ' ' kkk k kkkkkkkk kkkkkk ' ' ' ' ' ' kkkkkk ' k ' ' ' kkkkk k kkkkkkk k k ' ' ' kkk kk kkkk k kkkkk kkkkkk kk k k k kk k kkkk ' ' ' k kkkk k ' ' k kkkkkkk k kk k ' ' ' ' ' kkkkkkk ' ' kk kk ' ' kkk k k k k k k k kkk ' ' kk ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' k k k ' ' ' ' ' ' kk ' ' ' kk kkkkkkkk k kkkkkk ' ' kkkkkkkkkkk ' ' kkkk ' k kkkkk ' ' ' ' ' ' ' kk kk kk k kkkkk kkkkk kkkkkkk k kkk k k ' k kkkkkkkk kk ' ' ' '
spontaneous-speech-mmc-21716.mp3	Hângé gá yët'ji nú séncho k'a síjàjñini 'ät'i kjṓ'ō ndécho k'a ná s'íb'órëcho ñé'e k'a ná ndzíró's'a chámbaji 'ötü rá ts'âpji rá tedyü dyà m'ará të́'ë yó dyü'ü 'éxíspjiji jiâsmaji 'ispiji ndéje para t'ë'ëza kídyü'ü Ke se té'e k'o rá dyù 'ët'ëji k'a jiârü dyàm'a nòdya hó'o dyéró ngünüji dyá ró jiês'eji ná xôma pa ji'ó'o nájp'a hök'ü zájk'o 'ngóraji para que ná ndárajo m'ayájtja ná hó'o yágá kjíjmi yágá yá n'êrází yó té'e dyàró mbás'äji k'a 'añéjp'üji nú tújk'ünú k'a ná té'jto k'a rá t'á'a nú kjára ts'âpji yó 'íxpji kjonújiârü Dyàm'ará xí'ichi k'a mügü séncho k'a yándá'a rá ts'âpji rá ts'âts'aje rá së́dyi	' ' ' kk ' ' ' k k kk ' ' ' ' k kk ' kk ' ' ' ' ' ' ' ' ' ' ' ' kkk ' ' ' ' ' k k k k k ' k kk k k k k k k k k k kk k kk ' ' k ' ' ' kkk ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' '
spontaneous-speech-mmc-21720.mp3	K'á jñíni b'ǚb'ü ó lugar kò sagrado pa ndá ó pa xôrüji nú ts'ák'á'a k'a níts'imi 'ö̀ngéje k'a o ts'ícapilla 'ä̀tp'äji yó mbáxua ñéhe jângó pë̀dyëji yó b'íjtu yó sí'iño b'ǚb'ü ná jó'o juájm'a k'a pë́s'e ndéje... dyà hë̌si rá sí'i ó animále k'a ndéje 'ok'ejo k'o rá para m'ámbíño b'íjtu nâxto yó b'íjtu yó siño gó p'émbeji m'ádyagúzü yó mbáxbaji Ñéje k'a b'ǚb'ü ná të̌hë k'a 'ä̀t'i nîxa 'ë́ñë pa 'ö̀rüji pòho k'a dyàra xū̀'ūt'i yó porque 'éñe míxi ró 'ö́ndéje para ngó nú téje m'áráxû'u mbéje nú dyä̀rä rá pjántëjë gó m'ajñíni ñë'ë rá ts'ǜntü yó të'ë ngéko 'ä̀tp'äji nú míxa míjingóme 'ä̀t'pjüji k'a mí k'ǜgü pero gúdyà dyàjk'a 'ä̀t'äji porque tu mirá juínch'i ngéka m'ajñíni dyàjk'a rí mângo dyàjk'a rá pö'ö ndéje k'a ná p'ônkü	' ' k kkkk ' ' ' ' k k k ' ' k kkk k ' k kkk ' ' k kkkkk k ' ' ' k kkkkkk k k k k ' ' ' ' ' ' ' kkkkkkk k ' ' ' ' ' k kkk k k ' k k k k ' ' ' ' ' k k ' k ' ' kkk ' ' ' ' '
spontaneous-speech-mmc-21721.mp3	M'á kjá mí t'síjkegö m'a rá kjá gó í bëts'a é rá kajma k'óyó juítjo e máko ts'íretazo í pònk'ü hângo mí juë̌'ch'i... eh... rá tsündk'o rá tungu yá 'ögü m'a kja mbö́rü pjam'a pjórü ndë̌ch'i Rá juë̌zhi yá nujmu ná mbürü dyé rú síjke ya mbàra mí ts'unt'a torga jüngü ngépjo para que rá xônda juë̌zhi rá... rájmü kja rósa k'o mí pjörü rá m'ákja mṑ'ō eh... nú mbàra m'amborá zângo mbora xískome ná mbéts'a kja rí tojtje k'a rígö y m'éphi yó rí 'ät'ä mbéske ga mbé'em'agö ígö dyajk'a rá sögü Ts'akjama mí jatk'a ngéko dyàró xôrü dyà kja xút'i'igö kja ro xôrgö dyà m'âno kju'ugö mayàbi mí jä'ä töpjü para juntu ts'ájíñi 'unt'u k'o rá gú págo ngérá kjo í mbéts'a kjo mí kjârá ts'íjke	' ' ' ' ' k ' kk k kk ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' k k k k k kkkk ' ' k k k k k kk ' kkk k ' ' ' ' ' kkk k ' k kkkk ' ' ' ' k k k kk k k k k kk ' k k kkkk kkkkk k ' ' ' ' ' ' ' ' ' ' ' ' '
spontaneous-speech-mmc-26534.mp3	K'á nájo ka ri mbèñe go ngéka ko híts'i mi nána ro jñâtjo jñâtjo ngéko ri pára ra jñâtjo jñâtjo y ri ñángistia ngéko ri jích'i yo yèjio té'e ñěe ka ro xö̂ri mi máma mi ch'èb'e mi ch'èb'e yo b'ítu yo a San Mateo y ndèro xö̂ri ye káro teb'e yo b'ítu ri mbèñe ka mi nána ka mi p'èch'i ngéko mi nájo'o ka ri mbèñe ka mi p'èch'i yo b'ítu nde ngéko ndéro xö̂ri ri ch'èb'e y ri jñâtjo jñâtjo ñěe ka ri něme pa sóra ma yǎrgo něme ko ri mbèñe mi nána ka mi p'èch'i ndèxi yágo	' k kk ' kk ' ' ' ' kkk k k ' k kkkkk k ' ' ' ' ' kkkk ' ' ' k k ' ' ' ' ' ' kkk k k ' k k k k k k k k k k kkk k ' ' ' k ' ' ' '
spontaneous-speech-mmc-26535.mp3	Yó ndä̂jnä k'o té à jñíñi ngéjo... ó alcatraz ñéjo róxaxí de Castilla ñeje ná k'a xîji mûxa ndä̂jnä Ndé té ó... ó kjṓntjo k'a ngǔm'ü k'a ná jó'o para 'äpjäjmé yé má gí sentío Ngéko té nú... à... b'ûnk'o yá té k'o ndé yó ndé'me ó lad'yo la kja yó tjí'i kja yó tū̀jmuji kja nú tjí'i para yó gástots'ats'éji kjânt'i k'a síño ngéko té à jñíñi k'o yó ndä̂jnä	' ' ' ' ' ' ' ' ' ' kkk k kk k ' ' kk ' ' ' k k k k k k ' ' ' kkkk ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' '
spontaneous-speech-mmc-26537.mp3	Nú ñěch'e k'andàp'ágö àjñíni ngé nú kṑjtṑ k'a ná hó'o pára 'àñátja ñem'a senti kònája dyé má k'a mbéjkue mí nà 'üm'ü péjme Nú kás'ôra ndônt'i rá mbéye nú ts'írë̀jë k'a rá ndébiji 'ka ná xálo Máji yó rá jiës'eji yéré ná síji ts'ímp'a ngék'o rá jögü k'a nú pénk'aná'ü k'a náha Mi ná jó'o nú ñéch'e ñú'u 'ókṓtjō	' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' kk k ' kkk ' ' ' ' ' '
spontaneous-speech-mmc-26538.mp3	Jângé rí sä̀'t'ä àjñíni rë̌'ë té'gü ré ch'á'a zǐndzi gá m'ân'u àjñíni	' ' k ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' '
spontaneous-speech-mmc-26540.mp3	Yó b'íjtu k'o jë̂gi à jñíni jñō̂'ō China tóji à Bṓndo ngé à Xônxua eh... rá dyójki este... gá dyä̀tpjäji yó tíjmi ñé nú dyísk'a 'ä̀tpjäji k'aj jñó'o nó guénta eh... k'óspoji ná b'íjtu k'a mâño color ñéje k'a ná ngôspjüji xîk'a ndéxe ndé yá párte dya ró jmū́'ūji rá dyä̀tpjäji nú pjólsa rá dyä̀tpjäji nú gargantilla k'a nú tíjmi dya ró dyä̀tpjäji dyá ró ch'ë̌pk'iji nú... nú cinta k'a depende k'a ná nâ'a nójo nú të́'ë pero k'ospjaji xîk'a ndéxe ndéxe k'a nú tíjmi 'ä̀tpjäji nú khèzhe ñé' nú pájna ñé' nú delantal k'a nú delantal ndé ró jö̌spjüji xîji k'a dya ró dyä̀tpjäji yó ngúxa k'a nú ngúxa 'ä̀tpjäji ndé k'ö̌spjüji xîk'a jö't'a dyätji rá tándë̂'ëji yó jrú'u nújnù nú kjèzhe ñé' nú delantal ndés'e k'o dyá ró planchaji para que rá ñíts'e ná só'o jyá dyä̀tji k'o nú b'íjtu à jñíni	' ' ' ' ' ' ' kkk ' ' ' kk ' ' ' k kkkk ' ' ' ' ' ' ' kkkk kkk k ' ' ' kkk ' ' ' ' ' ' ' ' k kk kk kk ' ' ' kkk ' ' ' ' kkkkkkkk ' k k kkkkk k kk kkkkk k kkk k k k k ' ' ' kkk ' ' ' '
spontaneous-speech-mmc-26541.mp3	K'o jích'í yó xútǐ'i rá k'ǚn'üji ñájñú ti xë́dyi májñú tí xë́dyi ná xá kjâgü ñé k'o mi jǒtjo ná xînch'i ná ñúnú k'a ná mö̌gü Ñé kjâ'a jích'iji rá juë̌zhi rá dyä̀t'ä kjö́s'u rá dyä̀t'ä mândras'i xích'iji ná ndǜjnü ó xídyo ngéko má yá rá ts'íb'ùs'ü dyágí páraji k'e pjéko pjéko má... má ndágo kja 'í kja ngǔm'ü yó ndíxu Ngéko jích'i yó xútǐ'i ñe k'a rá xîño s'émiji pa yá nà xûndoñoji ná jö̌rga gá kǚnüji pa dyá rá ndó'iñíxtji pa ró kjǘ'ü jñé kjâ'a yó xë́dyi jích'i rí má mbéñoji tjúji rá péjch'iji mândago ó kjâ'a í k'a ngǔm'ü Nú k'ót'o k'a yó... yó nána rá jích'i yó xútǐ'i y yó tǐ'i ngéjnú t'ák'a rá xôrü rá má t'ū́s'á'a rá dyé 'ùndá para pë́pji k'a juā̌jmā ngek'o jích'i yó xútǐ'i ñéjyo tǐ'i kja jñíñi	' ' ' ' ' kkkkkkkkkk ' ' ' ' ' ' ' kkkk ' kk k ' ' ' ' ' ' k k ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' kk ' ' kk kk k k k k kkkkkkkk k k ' ' kkk ' ' k k k kkk ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' '
spontaneous-speech-mmc-26544.mp3	M'a rí mbüngó k'a tëhë... rá m'ájma o que... rá 'öjk'ü ínkuá'a k'ásó'o rá ndzhürü kja tëje xím'i büntjo pjíño k'o rá só'o ná jǒguzü jângo ró m'ā́jmā... Eh... rí mángó que rá... rí mbéñe ná jôrü ná sà'a kja rá ndzhäjä kjo í mbóne kja rí nüjüji kja 'ī́ji espada para que rá ch'üjü o que rá mbízhio míño manera pjíjts'i ngéko rá sǒ''orü rá mbób'ü rá m'ajó'o rí ñëch'e k'a rá 'äjk'äts'ü jârá ngó... já'a ngóra 'äjk'ü o rá ngó ró xâxü y dyàró panka màjñini m'ádyérgá párna ngéko rá m'aküzaji pjòrá mbóxkü rá jôrüji ko rá mbóxkü porque kja tëje ndé ndzhôd'ü k'o pa jôrü k'o ó ngéjo ó s'à'a para jôrü tízhi... m'a rá majma ka tëje ko rá màpjü rá majó'o jônko nú kja tëje kja má rá mbépjü m'a jônko rá xôrü jókorá mböxkü ngéko ngé só'o rá pó'o rá so'm'a àjñíni	' ' ' kkk ' ' ' kk k ' ' kkkkk k kkkk ' ' ' ' ' ' ' ' ' ' kkkkkk ' ' kkkkkk kkk ' ' k kkkk k k ' ' ' ' ' ' k k ' ' ' ' ' ' kk kkkkkkkk kk ' ' ' ' '
spontaneous-speech-mmc-26547.mp3	Yó Santiaguero k'o nêm'e à San Mateo este yá mbíb'ë̌zoji ñejo tántë́'ë k'o yá ná së̌zhi gá pès'ü ñe tǐ'i Pjë́b'iji ná ná flauta ñeja támbo í b'ǚb'üji nú capa k'a pǘb'üji k'a ná mbája ndó kjèzheji kjèzhe k'a ná mbája núji ó espada ngé yá k'o zä̌näk'o í ñejo tjū́s'ü núji ná bandera k'a b'ǚb'ü ná Siño të́'ëji ná Siño k'a xíji Santiago ngék'o ñóji Santiaguero nêm'eji má má mbáxua k'a mbéjchujn'ü yá mí b'ë̌zo k'o nêm'e ñe tǐ'i	' ' ' ' ' ' ' ' ' ' ' ' k kkkkkkkkk k k kkkkk kkkk k ' ' ' kk ' ' ' kkkk ' ' ' ' ' ' ' ' ' ' ' ' kk ' k k ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' '
