audio_file	reference	hypothesis
spontaneous-speech-pne-15186.mp3	Amik pitah kelunan mipe amik tong penusah ineh tai ngan ketua kampung amik tai ngan ireh jau tuak umerk amik ineh tai pani menyuk yah pani menyuk eh barak ngan kat kelunan mipe amik tolong monak dan neh sen dan neh rigit nak kurek nak lomah pelusen jah rigit jah use ineh jalan ineh cara ayuk mani tolong menyuk amik pepipe ngan kelunan	Amik pi tah kelunan mik pun amik tong pun usa ieh tangan tukapung mik taganireh jau tuaumk amik yuneh tai panikmunuk yah panik u munuk eh barak ngakat kelunan mik puamik ton long monak dan neh sen dan eh rigit n kur n m esen ne a rigit pi jah userineh yalan ineh sar yuk manik to long mmani pun pi punah punan
spontaneous-speech-pne-15191.mp3	Akouk kira'k yeng yeng kat barang lobuk sukat manouk kelunan bawai sekulah tetap eh pun jin tinen tamen neh eh mipe eh menyuk eh tai sekulah perajin eh sekulah berajan ineh baruwk neh mojam ineh baruwk neh rajin yeng eh jah barang lobuk	Akouk kirak yong yeng kat baran louk sukat manouk kelunan bbai sekulah ton taeh pun jin tineh tamen eh mi pun mennu eh tai sekulah perajin neh sekulah berajan neh baruk nemojam inouh aruk nohrajin yeng ja baran loukeeeeeaeaeaeaeaeaeaeaeaeaeaeaeaeaeaeaeaeaea
spontaneous-speech-pne-15193.mp3	Dan tai melakau- tai melakau ineh ayuk tai nevalau konep sat konep yeng jian konep pane Ngan neh awu panouk nek tajak keh tai pitah yak jalan ayuk mukuk sedirik ayuk mukuk petiken Menyalau konep sat ineh konep pane ineh Ineh pukuk ayuk tai melakau	Aan tai lakau i lakau n tineh anu knep sat konep yeng jian knep pane gan nek auk panouk ne taja beta i ja jalen yeng mukuseiri ayun muku petiken menalauknep sat ineh konep pane nehineh puku a teim lakau
spontaneous-speech-pne-15197.mp3	Yeng pun inak boken yah ayuk tai nyelogen ayuk mukuk tai peteken pani ngan kelunan ngan sik yah anak yah lakeik dan amik Juk petiken sumak tai lak Juk lah lak than lak tanak lak bek tai duah amuh keh toleuk use amik ineh keh tai	Aeng pun inak boken ayu yuku t u ue taien upai e tulan ua sik a k la da amik yuk ktiken uma tai lak nuklahla tean uktaak lak burek taiduaamutale usamik yuk puaik ineh teeee
spontaneous-speech-pne-15200.mp3	yeng pun le'terk konak le'terk eh tan kik siget langit eh bi mengase tong awa tong tilung pe'pauk ngase tong lasan Pun ate ireh main bon pun ate ireh main takraw ineh peh bareng de'kuk ireh lalek mojam	Anpu lehtek konak leterk eh tan kik sige langit nhehbimenasu tongaa ong kilupopuk ngase tonlasanpuate ireh maun bon puate reh maun taklau ineh pueh bareg duku ireh lalek moyam
spontaneous-speech-pne-15202.mp3	Akuek pogeng ayuk ijin mopuk ayuk ijin- ayuk tv ayuk pon ayuk speka ayuk ineuk Jah yah boken konak tok solar ineh semua Yah ineh bii pongah ayuk kik	Akuk pokengayuk ijin mopuk ayuk jin yuk tv ayuk ponayuk spika ayu yenukjaheh boken petogsola inehin bi ponga ayuk kik
spontaneous-speech-pne-15202.mp3	Akeuk pongah maneuk beg pongah maneuk bukui Bukan naneuk kik tinen kik maneuk Akeuk suma manyam Keh kek borat keh kek taleik beg ineh abin vey beg vey bukui ineh pongah nanyam kik pongah neuk kik	Akouk pongah manouk beponga manouk bukui mknanouk kik tinem kik manouk aouk suma manyam kih ke borat ki ke talik b neh in vebeyah bukuineh pongan anyam kik pongan ouk kik
spontaneous-speech-pne-15207.mp3	Tai lak banget ineh yeng ineh lalek jiak DeKuk neh lipag bareng sukat pelangui bareng sukat keleterk dalem dan yeng melakau dirin be'ek tuek Pun Dan neh lak be'ek be'ek ineh sukat menoset sukat pelangui dalem Bareng pun lipag neh	Aalak banget ah yeng yeng nh alek iauuk nlpa parengsukat pelnreh sukat lt pnal da yng lakudirin betuepu anh lak bk buk neh ukat menoe suka plnuinle areh pun lipa neh
spontaneous-speech-pne-15211.mp3	Ijin daven tv pon Kat barang ineh kebosau kik bi neh ateg neh Dekuk neh pun karen Karen ineh sukat mematai kelunan Makin inouk dan ireh anag ayuk pon ayuk tv ayuk barang ineh bi	A yin davun tivi pn barang inehkebosau kik bieatek nh dukuk neh pukaren karen ineh sukaumatai kelunan makikinouk darhnag ayuk pun ayuk tii ayuk barang ineh pi
spontaneous-speech-pne-15218.mp3	Nak pun bengosak ulouk bengosak amik tai daleh ireh roti neh yah jiak yah sukat yah mojam...ineh du'kuk neh avik tong daleh ireh niah neh set yeng eh avik daleh ireh urip kik la dalem konep kik eh jiak neh ineh...	A u ungsak ulouk enosak amik telk dale ireh iroti neh yah giak yhsukat yah mojam eh ehdukuk navik tong dal ireh neh sat ah ai lah dale ireh nurot kiklah dale konep kikehia neh n
