audio_file	reference	hypothesis
spontaneous-speech-led-64034.mp3	Uganda ó màdhó silimu mí nyádha rr ŋǎchú à kà mà bbǎ sádyì ní ddiy lidha mà kà ó	Uganda ó mà dho liymí mí nyádha rr̀ ngǎchú à kà mà bbǎ kdha djìlíy dhi lìdha mà kà ó
spontaneous-speech-led-64042.mp3	Ya nyi nì ngǎ nyùdha ní ddiy nà cha ŋà ndèy kâ nì nyi njey ní ddu ma bbi nì nza	Ya nyi nì ngǎ nyùdha ní ddiy nà cha mù nà ndèy kâ nì nyi njey ní ddu Ma bbi nì nza
spontaneous-speech-led-64044.mp3	Tsùwdha ngǎjìní njuwdha mí lidyási kà ó nì mí lò dhó nà ŋá ngǎjì ní nga mbà màdhí bba ó à dho gbu nya màdhí bba ó	Tsuwdha ngǎjìní njuwdha mí li dyasi kàó nì ní lò dho ŋá ngǎjìní nga mbà màdhí bba ó à dho gbu nya màdhí bba ó
spontaneous-speech-led-64045.mp3	Mbwa mí lò tdrǎdha ndeyli dhò ndeyli mbǔ ndèy ŋǎchú ndèymí à dho ndèyli thíy mí nga ddéydha pèy ŋǎchú À dho li ndòdha mbà fú ndeyli mà kàó	Mbà mí lò tdràdha ndeyli dhò dho ley ndeyli dhǔ ndèy ŋǎchú ndèymí à dhó ndeyli thíy ní ka ddéydha pèy ŋǎchú à dho li ndòdha mbà fú ndeyli mà kà ó
spontaneous-speech-led-64046.mp3	Li gwíydha mí lǎní nga ní ddu nyìdhí bba ó à léy nì nga dhiy nì ndèymí à léy nì bba ó nzòw nyú pu nì ndèy	Ddiy gwíydha mí lǎní nga ní ddu nyìdhí bba ó À léy nì nga dhiy nì ndèymí à léy nì bba ó ndèy nyú ku nì ndèy
spontaneous-speech-led-64047.mp3	Mà dhó njí njèy ŋǎchú intànèt nà màdhí njanja nì déydha ó À ka mà déy wánì nga nà MB léydha nà màdhí sǐmù ó	Mà dhó njí njèy ŋǎchú dhi intanet nà màdhí njanja nì déydha ó À kà mà déy wá nì nga nà MB zz̀ léydha nà màdhí simu ó
spontaneous-speech-led-64048.mp3	Nyi ní ddu nà bbǔbbúnga mí chǎy mbr̀dha dho kwíy ndèymí làli	Nyí ní ddu nà bbǔbbú nga mí déy mb gò Kwíy ndèymí lò li
spontaneous-speech-led-64049.mp3	Nyi njey ní ddu nyi dhí déydha mí sâ ó ma nja nì filimu ndèymí ma bbíy nì	Nyi njey ní ddu nyì mí déydha mí sâ ó Ma nja nì filin ndèymí ma bbiy nì
spontaneous-speech-led-64050.mp3	Nyi njey ní ddu ya nyi nza ro Ma gbú nì marónga ndèymí ma hiy nì	Nyi njey ní ddu ya nyi nzà ro ma gbú nì ma rónga ndèymí ma híy nì
spontaneous-speech-led-64051.mp3	Ddudhò à ní lǎní kpaní ndrǔ dhò ndèymí dhì ní ndrǔ nà wá ndrǔ ddéy ì silímù róddù Ndaní ndrǔ tsǐ ì za ónga nì ŋǎchú ddiy	Ndrǔ dhò à mí lǎní kpa ní ndrǔ dhò ndèymí dhì ní ndrǔ nà wá ndrǔ ddey ì silimu róddù Ndaní ndrǔ tsǐ ì za ó nga nì ŋǎchú ddiy
