audio_file	reference	hypothesis
spontaneous-speech-aln-44299.mp3	Po mana dokumenta kena po more bajm dokumentat e gjanat i bajm pwr s mari po po marrim adhja dhjamonis edhe punojm punojm i bwjm tana letrat i kena ba letrat krejt nw greqishten e vjetwr po po po	Po mana dokumenta kena po more mbaj dokumentat e gjana qw i bwjm pwr s mari po po mbajm madhjet e munis rejt me punojm punojm i bwjm tana letrat kur i kena bo letrat krejt gjat e gjyshme letrat po po po
spontaneous-speech-aln-44300.mp3	po mor a mson gjuhn e huj e si s e mwson gjun e huj po pwr zotin e msojn gjun e huj kan msu... Un nuk kam kam dy fmij e tre fmij kam tre tre t mdhej kam dhe jam katwrdhet e nant katwrdhet e nant vjec jam e i msojn fmija katwrdhet e nant vjeC Ca me ba me msu	Po mora msojn gjuhwn e huj e si s e msojn gjuhwn e huj po pwr zotin e msojn gjuhwn e huj e kam msu un nuk kam ve kam dy fmij tre fmij kam tre tre ndonj kam ndonj un fmijt jam jam katwrt e nan katwrt e nan vjeC katwrt e nan vjeC jam e i msojn fmija katwrt e nan vjeC ka qef a pa e mwsu
spontaneous-speech-aln-44301.mp3	Jo pasha zotin nuk luj muzik jo pasha zotin jo nuk luj muzik se muzika nuk mw shkon muzika se eee... un pwr veti qw kur kam luj muzik njw her kam qen... jam njw mosh e madhe more... jam katwrdhet e nand vjeC nuk lu kam nipat kam nepat e senet e kam djalin e vllait e gjanat... jan nepat...	Jo pasha zotin nuk luj muzik se muzika nuk mw shkon muzika se un pwr vete qw kur kam luj muzik njw her kam qwn njw jumi mosh e madh e mor jam nw katwrdhet e nand vjeC kam nipat e kam nepat e senet e kam djalin e vllait e gjanat jam nipat
spontaneous-speech-aln-44302.mp3	Po pasha zotin e di se kur hasha un kur hasha at-here se un kam jam katwrdhet e nand vjeC kur hasha ushqim e hasha ashtu ushqimin me... thuje mor ushqimin e buk me groosh e me grosh ushqim me grosh at-here ka qwn grosha... e mblidhsha n arr groshwn ere e mblidhsha e hashna groshwn pwr s mari groshwn si a	Po pasha zotit di se kur hashna un kur hashna at-her se un kam jam ktu tw drejtwn vesh kur hashna ushqim e hashna ktu ushqimin me tuja me ushqimin e buk me grosh me grosh ushqim me grosh at-her ka qwn grosh a mblidhsha nor groshwn ere mblidhsha hashna groshwn pwr s mari groshwn qw as hashna
spontaneous-speech-aln-44303.mp3	Jo ore n teatwr nuk kam ik se nu kena pas teatwr ater n Shqipri Tash kam ardh unw n Greqi dy vjet kam qw jam n Greqi un ater kena pas ndenj n fshat tu punu jam prej fshatit un katwrdhet e nant vjeC mw bwri fshati katwrdhet e nant vjeC	Jo re nw teatwr nuk kam hik se nuk kena pas teatwr nw Shqipri si asht ka marr un dhe nw nw dy vjet ka marr n Greqi dy vjet kam si jam n Greqi un ather kena pas nonj fshat tu punu jam prej fshati ton katwrdhjeten and vjeC qw thojn prej fshati katwrdhjeten and vjeC
spontaneous-speech-aln-44304.mp3	Kanga jeme e preferume asht ajo e atere qw kam qwn i madh i vogwl kur isha i vogwl qe muzik muzik kshtu muzik m pwlqen kto muzik me Cifteli po m pwlqen shum me kallxu t drejtwn atere kam pas qwn muzikant i fort po	konga im e preferume asht ajo at-here se kam qwn njw ma njw vogwl n krysha e vogwl e muzik muzik e kshtu muzik m pwlqen ktu muzik me Cifteli po m pwlqen shum me kallzu t drejtwn at-here kam pas qwn muzikant i fort po
spontaneous-speech-aln-44305.mp3	ushqimi jem kur isha i vogwl pwr zotin s'kena pas ushqime atere se ushqim ater ka qwn nuk kishim sa m ushqimi si fukaraj buk e lakna hashna lakna t regjme ashtu lakna buk e lakna hashna zushna lakna hashna po po po kena qen i vogwl ater	USHTIM im kur isha i vogwl pwr zotin s kena pas ushqim at-her se ushqim at-her ka qwn nuk isha Ca me ushqimi s isha n fukaraj buk e lakna haqna lakna t rrejt qw ashtu lakna buk e lakna haqna zyshna lakna haqna po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po po
spontaneous-speech-aln-44306.mp3	Takim me doktora kena pas njw doktor atje m fshat m fshat kena pas njw doktor mbyllsha takimin kur ishnja pwr shembull shum t smur atere kam pas djalin e vllait un n Greqi edhe i thoshnja a kupton...	takim me doktora kena pas njw doktor atje nw fshat nw fshat kena pas doktor me ndosha takimi kur isha pwr shembull shum t smun at-here kam pas gjanin e vlajtwn se asht tash n Greqi edhe isha...
spontaneous-speech-aln-44307.mp3	Sporti na pwlqen sporti na pwlqen sporti m rregull a sport tash shofim sport tash jam bo i madh un sho sport Olimbiakosi a ktu n Greqi jam n Greqi Olimbiakosin e shof Olimbiakosin me t thwn tw dtrejtwn Olimbiakosin e shoh po Po po Olimbiakosin po	sporti na pwlqen sporti na pwlqen sporti n rregulla sport tash shofim sport tash jam bo njw mall ksha sport olombiakosin shof ktu n Greqi jam n Greqi olombiakosin e shof olombiakosin me kallzu t drejtwn olombiakosin e shof po po po olombiakosin po
spontaneous-speech-aln-44308.mp3	Autori jon autori jem i preferum se un jam i vjetwr jam shum i vjetwr ashtw Kazan ai si kam pa njw film ka qwn ai si e ka emrin ai eee Stathi Stathi ai filmi i Stathit besoj pwr Stathin besoj se pwr Stathin mw pwlqente shum me pa film me Stathin	Aktori jon aktori jam i preferu un jam i vjetwr jam shum i vjetwr ashtw ka qwn ai si s kam pa njw film ka qwn ai si e ku ajo men ai eee Stathi Stathi ai filmi Stathi mw pwlqen pwr Stathi mw pwlqente shum me pa filme Stathi
spontaneous-speech-aln-44309.mp3	Ca do msoj do msoj n pun do msoj avash avash pwr shembull nwse tw pwlqen me msu diCka Ca do mwsoje Pwr zotin msojm po e msojm pwr s mbari msojm gjana msojm gjana t vogla gjana t mdhaja po po mwsim po po	Ca do mwsojn do mwsojn pun do mwsojn me avash avash pwr shembull Cdo tw pwlqen me mosu di skwp Ca do mwsojn Cdo mwsojn pwr s moj msojn gjana mwsojn gjana t vogwl po po si msim po
spontaneous-speech-aln-44310.mp3	votojn njerzit pwr shembull voton un kam votu se kam votu ngahera qysh me Enver Hoxhwn se jam i qysh me Enver Hoxhwn kena pas votu me Enverin athere katwrdhet vjet katwrdhet e pes vjet pwrpara kam pa e ashtu i maj mend tw votojn njerzit votojn pwr partia Cdo lloj partie tash tash kan dal shum parti	votojn njerzit pwr shembull nuk kam votu si kam votu njw her qysh me Enver Hoxha qysh me Enver Hoxha kena pat votu me Enverin atere katwr vjet katwrt e pes vjet pwrpara ashtu ima e mend t votu njerzit votojn po partia Cdo lloj partie tash kan don shum partia
spontaneous-speech-aln-44311.mp3	Ekonomin mir e kena pwr zotin me thwn tw drejtwn	Ekonomin mir e kena pwr zotin me thwn tw drejtwn
