audio_file	reference	hypothesis
spontaneous-speech-el-CY-37427.mp3	Η άποψη μου η τεχνολογία την τελευταία δεκαετίαν αναπτύχθηκεν αρκετά σε σημείον που μπορεί να βελτιώσει την καθημερινήν ζωήν των πολλών ξεκινώντας που την ιατρικ΄ην μαζίν με τες διάφορες μηχανές που μπαίννουν μόνον η βελόνα μέσα στον άνθρωπο εεε χωρίς να χρειαστεί κάποια επέμβαση τζ̆αι φτάννοντας μέσα στο σπίτιν του καθενός Εεε για παράδειγμαν οι συσκευές που καθαρίζουν μόνες τους ή η γνωστή Αλέξα που αν έσ̆εις την κατάλληλην επένδυσην σε έξυπνες στα εισαγωγικά ηλεκτρικές συσκευές μπορεί να τες λειτουργήσει με απλά την φωνήν σου ή ακόμα σε βιομηχανίες εεε όπου εργασίες παλιά έπρεπε να γίνουν που έναν άνθρωπον πλέον γίνουνται πολλά πιο αποτελεσματικά τζ̆αι πολλά γλήορα εεεμ που απλά μιαν μηχανήν το οποίον όμως φέρνει μας στον κίνδυνον της τεχνολογίας ο οποίος είναι η μείωση ανθρώπινου δυναμικού σε χώρους εργασίας Έναν αρκετά καθημερινόν τζ̆αι συχνόν παράδειγμα εν' οι τράπεζες που κάθε εβδομάδαν κλείει τζ̆' άλλη	Εμο συεν μου ήτεχναλον για την τελεφταιανδικάιτήαν ανα υτι θίγανα κε τάσεισηον ου μοίνα πες τιο ει την κάθημερινήζήτον πολλον ξεγίνον τας πουτενμιαν τρική νοζέμε τες σδιά φορεις ην χανες που παεννονμονο ι πελοόναμές σέναν θροπω εέχορείνα θεαστη κα τιέ τεν παση τζαι υτανουντας μέσας τους πίδηιν του κάθενοςε γιαπαλα δι μαν εσηι σκερές που τα φαρίζουν μόν ερτους ή ίβ νας στηα λεσα που άνεσ̆εις την κτά λλελνεπέδήσής εν ψιπννες στα α ογι κάλε τρικες σει σκέες μποι να τες λη τεήση να πλά την φονήσιυ ήακό μας επομιχαεες ε ό που εργάσει ες παλιά επρεπεν ναγίνουν το ναναν σρπου πλεον πινουν τε πολλά ποια ποτελες μα τιτά τζ̆αι πουλλά ίορα εε πο απλαν μιαν μιχαί το ποοννο μο ερνημα στον τυν διον τις στεχνολογίας οποίος η εην μουιασ νανσρπινο δηναν ι κούς σεχώόρουσερκάσίας εναν άρκει κάγαθυμαίτηννον τζ̆ις υχνον παράδιμα εν ήι τραπεσζε που κάθειν γομαγαμ κολι τζιάλλι
spontaneous-speech-el-CY-37434.mp3	Δυστυχώς πάνω σε τούντο θέμα εν κατεχω πολλές πληροφοριές λόγω του ότι τζ̆αι ο παππούς μου τζ̆αι η γιαγιά μου που τη πλευρά του παπά μου δηλαδή στη Κύπρο επεθάναν πρίν γεννηθώ Αλλά που τζ̆ίνα που ξέρω με βάση άλλους στην ηλικία μου ξέρω οτι λόγο του πολέμου και τα λοιπά δίνουν μεγάλη έμφαση σε τούντο θέμα Δηλαδή θ΄ελουν να διασφαλίσουν οτι οι πιο μιτσ̆ες γεννιές εν να θυμούνται τζ̆ίνο που έγινε	Εενδήστιχως πανο ε πυντον θεμαν εν κάτε χω πολλες ουλερούφορίές λο κυντοτί τζ̆αι βα πωζειμου τζ̆αι γαγιά μουν πουτην πλεβράν τ ποπάμου δηλα βις στην κιπρώ εεν επεέθαναν πρι γεννιθέ εεε αλλά που ταιν νο πξεραν μεβάσιν αλλος στηνολικιαν μου ξερω τι λόγων του πολε μο κε τα λιπά δηννον δίούν μεγάλημέρφάσι πάνο σε τουν το θέμαν διλαδί ελούυννα διας φαλίσυ οτι ππιομειτσ̆ες χενίςζεν να θημουντει τζ̆αι νον πο γινεΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕΤΕ
spontaneous-speech-el-CY-37442.mp3	Στον τελευταίον εργασιακόν χώρον που εδούλευκα εκάμνασιν εκστρατείες μιαν φοράν κάθε εξάμηνον ή μια φοράν κάθε τρίμηνον όποτε εχρειάζετουν τέλος πάντων τζ̆αι επηαίννασιν σε δημοτικά ή κυρίως νηπιαγωγεία τζ̆αι εκάμνασιν ανακαίνισην των αίθουσων στο κτήριον τζ̆αι εχρειάζουνταν εθελοντές κάθε φοράν οπότε είχα δηλώσει συμμετοχήν τζ̆αι επήαμεν εφκάλαμεν ούλλα τα έπιπλα που την αίθουσαν διδασκαλίας των μωρών τζ̆αι εκάμαμεν την ανακαίνισην του χώρου με την βοήθειαν τους	Εστόν τολευτέν έραγασια κο χθωρών πο τουλλέφκάν εκάμνασενατρατιές μιαν φραν καθεξαμείον ή μιαν φραν κάθε τρεμενονο ποτεν φριαςζε τον τελοσπαντον τζ̆αι πίαν νασις σε δημοτικά ήι κεριος νη πια πογίαν τζαι κάμνα σεινανακενήσιν τον έσουσ̆ιν στο χτιρίο τζα χρειαζουν τα νεθελοντες κάθεφωναν πτε ήθχαδηλόόσήση με τοχει τ̆αι πιαμαν υκαραμεν λτα πι πλά που θυίν έθυσ αδήίτα καλγιας στον μρον τζ̆αι κα μομεν πρλείπενανακενίσεν τ χόρο με τη βήθιαν τος
spontaneous-speech-el-CY-37445.mp3	Προσωπικά αρέσκει μου πολλά το χρώμαν πράσινον μια συγκεκριμένη απόχρωση του πράσινου το κυπαρισσίν το οποίον χρώμαν αρέσκει μου παραπάνω να το βλέπω ή να αγοράζω αξεσουάρ με το χρώμαν τζ̆είνον Όσον αφορά για άλλα χρώματα που μ' αρέσκει να έχω στον προσωπικόν μου χώρον αρέσκει μου το καφέ το μπες̆ εεε τζ̆αι το μαύρον Αυτά	Εο α πικάρε κει μου δάλ βολλά του χόμαν τράσηνο μια ση κεικενι απο χρέσει του πράσηνον τα κιβαλισήν ε τοβίιε χρον μαννν αρέσκεμου γαρα πάναν το δβλέπου ή να α ποραζα ξές οά μει ταν ρομαν τζ̆ειναο όσανα φορά γιααλλά χρμα τα δημαρέσκι ε να ειφός τον προσ̆ει πυ κο μυ θώρεον αρέσκι μου το κάθέ τον πές εε νε τζ̆ει το μαρον στα
spontaneous-speech-el-CY-37447.mp3	Λόγον έλλειψης χρόνου θεωρώ εγώ ότι οι τεχνολογικές εξελίξεις που εννά εβελτιώνναν την δικήν μου ζωήν εεεμ εννά ήταν τα αυτόματα ήδη καθαρισμού όπως η σκούπα η εννοώ η ηλεκτρική σκούπα που ξεκινά μόνη της ή κάποιον πλυντήριον πιάτου εμ σίουρα τζ̆αι πολλά άλλα απλά τούτα μπορώ να σκεφτώ	Ελά γονα λλξεισχρώνου θερώ γώ ότι τε χνολοηγες εξελιξις που εννα έπελ σπιον ναν την τική μου ζωί εεμ εννα ήταντα θτομαδα ηδι καθάζιζμου οπως ήσκουπάν ή εννομειλλε τριγήσκου παπξεκιναμονήτις ή κάποιο μιτηριονκιά του εε σιρα ζ̆ι πολλάλλά ππλά το ταν ποράσκευτ
spontaneous-speech-el-CY-37461.mp3	Τωρά όσον αφορά ραντεβού με γιατρόν αννέν' κάποιος ειδικευμένος γιατρός πρέπει πρώτα να μιλήσεις μαζίν με τον προσωπικόν σου γιατρόν αννέν' μέσον του ΓεΣυ Αν δέννεν' μέσον του ΓεΣυ πιάννεις απευθείας τον εξωτερικόν γιατρόν αλλά στην Κύπρον πρέπει να επικοινωνήσεις πρώτα μαζίν με τον προσωπικόν σου γιατρόν να πάεις να σε δει τžι αφού σε δει τžι επιβεβαιώσει ότι όντως έσ̆εις κάποιον θέμαν το οποίον εν ι-μπόρει να λύσει ο ίδιος τότε γράφει σου παραπεμπτικόν τžαι πάεις στον γιατρόν που θέλεις	Εοραόσωαν θορα εεραν τε ου μειγιατρώναννεν κάποες δικενυμενοζ γατρώς πρεπι προυταμε λίσης μαζηνον προύσειπου ποτς σο γιατροναννεν μέσον τοιγεσί αδαννα μέσεν τοιγέση κιαννείς α πυςθθίας στον ιξο τε ρικογιατρο αλλά στην Κυπρονν περέπι να επικιρονίσεις πράτομαζημεν προσει πηι ζ̆ει γκατρο να βπάέίς νασεδήν τζ̆ι φουσεν διήτζ̆αι πιβεβέοσειτιόντοςσε σ̆εις καποιν θεμντο ποιον έν ην ποζη ναλήσιοήδίος το τεγραφισιποραπεμτικόν τ̆αι πάις το για τρο πουθέρε
spontaneous-speech-el-CY-37464.mp3	Η δημόσια παιδεία στην Κύπρον έννεν' η καλλύττερη γενικά λείφκουνται πολλά πράματα για να θεωρηθεί ότι παρέχει μιαν σφαιρικήν παιδείαν στους μαθητές αλλά όσον αφορά στα κτήρια επειδή στην περιοχήν που μεινίσκω τωρά εν' λλίον πιο εεμ σύγχρονα σίουρα σαν κτήριον εν' πολλά εντάξει	Εή δημοσει α βεδιάς τυν γκυ προν εννεν εκαλλτερίν γεννικά τ λειύκοντεν πολλά πραμα τα γιανα θεωρίσιτη παρέχε μιαν σφέρικίν πεδία σους μαθιταές αλλά όσονον φορά σταχτηρία πειτίστην πέρεχει που μενε σιποταρά ελειονπιο ε σιχρόνα σει ορας σαν χτηριον εν πολλά εντασιν
spontaneous-speech-el-CY-37468.mp3	Μιλώ τέσερις διαφορετικές γλώσσες οι οποίες εν' Αγγλικά Ελληνικά Ρωσσικά τζ̆αι λλία Γαλλικά Τα Ελληνικά που μαθαίννουμεν στο σχολείον αλλά τζ̆αι τα Κυπριακά λόγον της κοινότητας τζ̆αι της χώρας Τα Ρωσσικά επειδή εν' η μητρική μου γλώσσα τα Αγγλικά που το φροντιστήριον τζ̆αι το ίδιον τζ̆αι τα Γαλλικά	Εμιλο ός ε τε σθεριζεφοτιγχες ολόο σές σι επίες εν αν γλικά ελληνικά ρο σσικά τζ̆αι λλια γαλλικά ε τελλυνκά που μανθεννουμεν στος χολίοναλλά τζ̆αι τα κει πριακά λογον τεισκευνοδιτας τζα τισχορας ταρον σι κάπειδίενη μήτρκήμουγλοσα ταεν κικά πουτον φιονστεριο τζ̆αι τα ήπεν τζαι τα γαλλικάΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕ
spontaneous-speech-el-CY-37469.mp3	Τα Χριστούγεννα συνήθως εννά κάμουμεν αρκετά παραδοσιακά φαγιά τζ̆αι που τες θκυο κουλτούρες δηλαδή εννά κάμει τζ̆αι η μάμμα μου κάτι παραδοσιακόν αλλά επίσης εννά κάμουμεν τζ̆αι σούβλαν ή σουβλάκια Αλλά το΄υτον εχτός που το τραπέζιν εν καμνουμε κάποιαν άλλην δραστηριότηταν τα Χριστούγεννα	Εε τα χριστεγαννα συννήθως εννα κάμουμεν αρκετα παλαδε ια κάφαγιά τζ̆αι που τζεσκιε κουρλτουρές δήλαδεν να κάμει τζ̆αιμαν μναμυ κατη παρο δο σ̆ικων ναλλά επίσεη σεν να κάμούμεν τ̆αι σούγλάν ισουβλά κιάν αλλά του τονέχτος πο τραπέζινεν καμνου μεν κάποιανάλλυδρε σθερίοτηταν ταχρειστιγενναν
spontaneous-speech-el-CY-37470.mp3	Θεωρώ ότι για να μπορούσεν να καταφέρει έτσι πράμαν η παιδεία τζ̆αι γεννικά τα σχολεία εννά έπρεπεν να ενσωματώσουν μαθήματα ευαισθητοποίησης των μαθητών αλλά τζ̆αι κυρίως να υπενθυμίζουν στους γονιούς πόσον σημαντικόν ένι το να έχουν μιαν παιδεία στο σπίτιν	Εθέρώ τι γιαναν ποροσ̆εν να κατα φεριετη πραμαν η παεδια τζ̆α γεννικάτος χολια εννα επρεπεννα έσ̆ωματό ουν μα θιματα βές σθιτοπίσεις τν μαθιτόν αλλά τζαι κεριως να πένθυμίζουν ζους γον ιος ποσο σιμαντηκκόνενι τοννα έχουμιαν πεδίας συ σπίτηΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕΈΕ
