audio_file	reference	hypothesis
spontaneous-speech-kcn-22106.mp3	Ana agder akul akil baraa baraa Akili Milan	Akil al ana agder akul ya akil a yote kalam ayan milan wu akil gi ib akil a barabarau al gi jib ayan fi gildu as akil al ana agder ana agd akul ak al bi jib afia ayan al maa gi jib nana ayan yote fi gildu au ayan al gi ji gamru gi u aia tai al gi jibu gildu mai kun kwesi yan gildu kn taban zaman kul akil al bi kun ta manfa yaa akil al tena al min jid jd tena kan yam da gi wed na akil al gi tala fi shamba akil al ma gi tala fi al gi adul ma ida akil yan al gi tala fi shamba tena ta min jidjd te
spontaneous-speech-kcn-22127.mp3	Ina endis te wedi te dawa dudu ne ya ne nyereku dawa dudu de na endis te wedi ne fi yal al duga yal al duga al min al yal ab duga lakin ina endis te wedi ne omon bada sha dawa de wai bada shar talata	Ina endis te wedi dawa dudu ne ne yereku lakin dawa dudu de na endis te wedi ne fi yal al duga yal ab duga al min al yal ab duga lakin ina endis te wedi nomon bada shdawa de wai bada shar talata
spontaneous-speech-kcn-22154.mp3	Teriga al awun ya taalim awun fi namna ta geeru fikira yani mindset tana batna be fi umma ta tinin amurugu min omon fikira al bara bara gi amurugu fikira al awaja ja mfano ja kelem gal ah governmenti al fi fi bambara de uwo aju ina ma yani kutu omon fi school saa kulu komon kun busy komon kun creative komon kun yan anas ab gi soo sunu gi soo kalam ab bi wedi omon gidam ab kede amurugu fikira bara bara	teriga al aun ya taalim u ama te gieru fikra yani ma endi e tyal bana be fi umma ta tinin amurugu min omon fikra al barabaa mon i fi lawaja ja umfanu ja kelgal gavimant al fi babara de aina a yani kutu omon fi saa kulu komon kun bize komon kun kmon n ya ana asogi so Kalam al wedi umon gidam al kede amuru mon fikra bara bara
spontaneous-speech-kcn-22169.mp3	Adil yal batna be ya teriga qb ab kede azol soonmo kede kede ab bi awun min mashakil yan adib yal batna be weri nomon sun ya aju uwo sun ya fa al saba bi ja raba omon na usra ab bi ja gidam omon	Adib yal banna be Ya teriga ab kede azol soo kede al bi awun min mashakil yani adib yal batna bee wedi nomon sunu a omon aju sun ya fa al saba bi ja raba omon ma usra al bi ja gidamu omon
spontaneous-speech-kcn-22190.mp3	Madrasa ta mahal fi namna al taalim athar to jib geeru yani jib geeru fikira te anas yani badul fikira ta anas min kun fi awiri arija omon gi noor yani amurugu omon min duluma jib omon fi noor de ya atha ma ma mastakbal fi umma	Madrasa ta mahal a taalim atar coo jib geeeru yani jib geeru fikira ta anas ani badul fikra ta anas min kun fa awiri arju omon fi fi nurian min amurugu uma min duluma jib mo fonor de ya athar a mastambal fi ummah
spontaneous-speech-kcn-22227.mp3	Wakti tayi te faraag ana gasma bes ana aju nuum ana baada akul kala ana aju nuum wu ana aju gum baada ana num kala ana aju gum kede ana so sente kana so tujar tayi kalam kede ana ligo sente ke ja kun me sente ne anas ne yal tayi wu kaman ana gi feker fikra al kebir fu ummah me yal tayi	Wakti tayi te hraju ana gi asuma bes ana aju numm ana bada akul kan ana ajunum ana aju gum kan ana num kan ana aju gum kanana soo sente kaana soo tujar tayi kalam kede ana ligo sente ke ja kun bes sente na anas na yal tayi wu kaman ana gi feker fikira al kebir fi umma me yal tayi
spontaneous-speech-kcn-22260.mp3	Gen madrasa geeru anas anas geeru fikira jibu change mindset te anas al kan aju kidima ma mon ligo kidima al kan gi num gum min num yani geeru fikira hal te anas tena fi umma tena	e maz geeru hal geeru fi yan jib cna ma anas al kan aju kidima ma nnligo gidimAl kan ginum guo geeru fke hal te fi ummah tena
spontaneous-speech-kcn-22290.mp3	Ah akil wesif teriga te akil al ita gi beri ya akil yoyote al gi awun nafsi taki gi mma bi jib neta madhar yoyote ama bi jib neta ayan fi gildu ama bi jib neta ayan yoyote ab bi jib neta problem fi gildu yani akili al gi awun afiya taki al mma bi jib neita athar al batal	Ahh akil wesi fi teriga ta akil a al ita gi e a akil yote al gi awun nafsi taki gi ma bi jib neta madhara yote ama bi jib e ta ayan fi gildu ma bi jib ne ta a yote ab bi jib proem neta fi gildu yan akil al gi awun afiya taki al ma bi jib nesa athar al batal
spontaneous-speech-kcn-22307.mp3	Ana safir fi bele baraubarau aa bele ta aulan ya ana ruwa fi Nairobi bele ta tinin ana ruwa fi tanzania yaani bele barua bele tinein dolde ya ana ruwa fogo ma fi sudan al sabab tou jere gus maisha al bi geeru hald tayi ma ans tayi ta batna bee	Ana safir bele baraubarau ah bele taulan ya ana ruwa fi nairobbi bele ta tinin ana rua fi tanzania yani bele barau bele tinin dole yazade ana ruwa fogo ma fi sudan al sabab to jere gusu maisha al bi geeru hal tayi ma anas tayi batna bee
spontaneous-speech-kcn-22386.mp3	Fi youm kidima ana gi soo saa aruba an gi tumiya saa aruba bada kidima ana endi te amula safa ana endi te akulu wu ana endi ta soo ibaada ta sidu tai al kalagu ana fi dunia	Youmm kkidima so saa aruba tumia saa arbabaada kidima an in ta amula safa an in ta akul wu an in ta soo iada ta sidu tai al kalagala fi umiaA
