audio_file	reference	hypothesis
spontaneous-speech-bxk-47921.mp3	A eliwo bitima birambisyibwa nende kamani ke inchini yani kamafura aa chabawo chi chindika necho chabombile ebyo nabyo byosi bikhola biryo sikila binyala khucha mubyalo khungila chintiti esi emotoka ekhaba taa pili sekenyikhana yanyola batecha bakali neya niyarura musifwo taa wakhaba mulala nekhusuta mala yasuta nebisu bisutwa byowo	Baybitimaa bila mbisba nende kamani kekeyinjini yani kamafura habawchindika nech chabombile nee nobyosibikhola biryo sikila binyala khwcha mubyalo mungila chinditi esimutukekhabataa pii ikenyikhana yanyola ba techa bakali noyanyuyaruloamusifutaa wakhabamulala nekhusuta ala yasu ta nib bibisi twabyoo
spontaneous-speech-bxk-47928.mp3	Musyalo khukhwikhoya chisiku necholile chefuraa aaa nga krisimasi nende chichindi chifwanakho chiryo yani bandu balala bachichanga mubukhino babandi khwechanga busa mumatuli kefwe nekhunywakho kamalwa matiti babanywakho babandi bacha mumakanisa bacha baa bekhoyela eyeyo	Busyalo khukhwikhoya chisikunicholele chefra anga krisimasi nene chi chindi chifwana khuchiryo yani bandu balaba chichanga mubukhino babandi hwi changa busama tuli kefwe nekhunywakho kamalwa batiti babanywa abandi bacha makanisa achibaekhoyele yeyo
spontaneous-speech-bxk-47933.mp3	Mubirekere aa khulome khuri byebulamu ekhoyele bandu nebasaba mukhono mala beyika byebulamu nebili lufu nga lwa-covidi lukendela mumbewo lufula yani nga sikhololo bandu bamanya nga nebelinda nebacha mwitalilo ne-enya khwasimula watilakho emunwa	Bmubirekire akhum khuryi abyebulamo akhole banu nebasaba mukhuma akaye bula mune bili holufhunga akobitilkenda mumbe wo fule yaniukhsikhololo bandu bamanye nge ye belinda achimwundwalilo nenya khwasimola tilekh emumwa
spontaneous-speech-bxk-47955.mp3	Aaa kamasomelo khubindu byekhuu byebaleme oba babandu bakhenyala nabi mubulanu tawe mungeli yekumubili buleme bwekumubili aaa balikho nende basomesi babasoma khukhola oba khulolelela ababandu be babemenyelesya ne babayeta mukhuwamba nemubulamu bwabusyele	Bkamasomelo khubindu byekhwbyebaleme bandu ba khenyala nabi mubulamutaawi mungilye komubili buli bwekumubili abalikho nende basomesi basma khukhola obwa khulolelela babandu bakibabemenyelesa ela babayeta mukhuwamba nebulamu bubusy
spontaneous-speech-bxk-47959.mp3	Bilyo bino aa bandu bafurisya lukali bibechanga byesizoni mala nga yolile khulima yee sebabechanga nechisendi chekhulima tawe mala bumicho bwosi beyi kali emboleya yosi beyikali mala chisendi sechibawo taa	Bilo bino banu ba rsa kali bibeha nga byesisoni mala nga yole hulima asibabecha na chisenme chekhulima tawe mala bomicho bwosibeyikali mbolayosibeyikali atisendi ichi bawo ta
spontaneous-speech-bxk-47967.mp3	Bamayi bawa lukosi lukali bawebwa lukosi lukali nono lukosi chana balwonakisha nga baninilila basakhulu babwe khulukosi yani serekari ekhoya yarawo nayo engeli esikhureke-esibarekeresha bakosi khukhwilocha khwabwe esi bakelema	Bamayi bawalukosilukali bawe bwo lukosi lukali nono lukosisha na balona kisa nga ba ninilila basakhulubabwe ulukwosi yanesirekali ehoeyarawo nayengeli isikhurekesbarekerese bakosi khwilo cha khwabwe sibakeemo
spontaneous-speech-bxk-47971.mp3	Omusali womwana ofwana aryo emulanga imuwa kamakesi indi alole bakansala bayete omwana omusoleli wewe nakhalolile bakansala taa ayile omwana yuno mwisikuli sye aleyi amurusye busa mu mu mubikosi bisyalimo bisyamanyanile ninabyo	Bmusali wumwana fwa nali emwlaemuwa kamakisi nde aeloleba kansala bayete omwan omusore lyo nakhalolele bakasala taa ayile omwana yuno is sikuli saleyyamuruse busamo mumubikosi bisali m bisamanya nile nendabi amwyelekhatayikho mala anyoli bikosi bilayiBB
spontaneous-speech-bxk-47978.mp3	Ebukanda chitini chindala chibola chili semwenya mwachanja omwana taa sasa basawo ebukanda bafuna esyida engali sikila	Bebukanda chitinichinala chibola chir semgw nya wa chanja babana ta sasabaisa ubamu ibwkanda bafuna ishidengai sikila chinduwale chinda la chichila khubandu babakha kan baba chancha babachancha ta sasa bandu bafwa lukala sikila bandu balana bayekisa sebenya bacha atibaputa
spontaneous-speech-bxk-47983.mp3	Eee khusoma khwarungilekho khuchowachowana khwekhusyalo khwefwe babana ari basi si basoma bamanya kimilimo kyekhukhola nga kyekamakhono kyekhulima khulayi nende khufuyilila bilyo byefwe nekamalesi	Behusama khwarugibekho khucho wachoana khue khusyale khwefwe babana ri basoma bamanya kimilimo kyehukhola ngekyekamakhono kyekhulima khulayi nekhufilila biyo yefweni kamalesi
spontaneous-speech-bxk-47994.mp3	Babami kumulimo kwabwe khukhupilisya babekhali babona bari khusyalo buli mundu buli mungo mubamo a echoo mubamo byebulamu birumikhilwa yani nende buchafu lwekhubusyanisya abundu alala tawe babona endeli yekhumwata buchafu obwo engeli yili safi	Babami kumuimu kwaa ukhupilisa bebekhali babuna baerekhusyalo bulimundu bulimungo mubamo a echo ubamw bye bulamu bilomukhila yanende buchaf wolba khusanisa abundu alala tawe abo nengeli nyekhumwata buchafu mungeli  sa
