audio_file	reference	hypothesis
spontaneous-speech-hch-31312.mp3	Maana tepɨyekɨka San Martín eh eh camióntsie tren manuyeyeikatsie tepekɨká Zapopa pai tɨ paɨ tepɨtekɨkɨka	Maana tepɨyakɨkátsa martine camióntsie treni manuyeikatsie tepekɨkátsa paɨ paɨ pai paɨ tepɨtekɨkɨka
spontaneous-speech-hch-31313.mp3	ʼUuwa pɨkatixuawe eh takie timieme ʼuuwa tepɨtehayeʼeriwa eh te... te... te... te... paapá ʼik... ʼik... ʼik... ʼikú paapayari mɨɨkɨ te... tepayeʼeríetɨkɨka pero ʼuuwa eh pɨkatixuawe ʼuuwa pɨtiumawe Paɨ xeikɨ́a ejem	'Uwa pɨkatixuawe takie timieme ʼuuwa tepɨtehayeʼeriwa tepɨte... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te... te...
spontaneous-speech-hch-31314.mp3	Hɨ tepɨkatemate teiwari mɨtiweewie eh mɨɨkɨ taweewiya rixɨ́a tepɨteʼakumaté eh ne nepɨtimate ʼetsiwa ʼɨpari nemutaweewíeni nepɨyɨwe y luego kuuka nemutatsaaní nepɨyɨwe Paɨ xeikɨ́a ejem	Huu tepɨkatemate teiwari mɨtiweewie mɨɨkɨ taweewíe hɨri xɨ́a tepɨte'akumaté ne nepɨtimate hetsiwa paɨ ri nemutaweewíe nepɨyɨwe y luego puka nemutaatsaní nemɨyɨwe paɨ xeikɨ́a
spontaneous-speech-hch-31315.mp3	Kwiniya puxuawe hiikɨ taʼiwaáma tepɨwatɨmaiya mɨɨkɨ eh tepɨkate... eh heuʼeríetɨ tetekwatɨ́ kwiniya pɨtatsikuwiwiya keʼuxa tep... tepɨkakwaʼá mɨɨkɨ eh pɨtiʼuayetɨkáikaku Paɨ xeikɨ́a	Kwinie pɨxuawe hiikɨ taiwá matewatɨmaiya mɨɨkɨ eh tepɨkate... eh heu'erietɨ tetekwatɨ́ kwinie pɨtatsikwiwiya kee'uxa tepɨkakwa'a mɨɨkɨ eh pɨti'uayetɨkai kakɨ paɨ xeikɨ́a
spontaneous-speech-hch-31316.mp3	Ne nekie nepanutɨa eh ʼixɨarari nepekuweewíetɨya muuwa nepeneʼiiriki eh eh ranierekaku 'ayumieme tepɨteʼayeʼatɨwa Paɨ xeikɨ́a	Ne nekie nepanutɨa mmm ʼixɨarari neme... nepekuweewíetɨya muuwa nepeneʼiriki y... y xaɨa nie reka'aku haimieme tepehayaʼatɨwa paɨ xeíme
spontaneous-speech-hch-31317.mp3	Hu méripaitɨ ne ejem ne... nepɨyɨwekai ne... ne... ke nemɨtiuyurieni hiikɨ rikɨ ri nepɨkayɨwe eh kwiniya pɨtatsikuwiwiya waʼaátɨ ʼipaɨ ʼi ʼi eh 'ayumieme ejem tepɨkayɨwawe ri Paɨ xeikɨ́a	'U'úme ri pai tɨ ne nepɨyɨwékai ne... nekie nemɨtiuyurieni hiikɨ rikɨ ri nepɨkayɨwe eh kwiiniya ta tsɨ pɨkuwiwíya waʼatɨ́ paɨ hi'i... hi... hayumieme tepɨkayɨwawe ri paɨ xeikɨ́a
spontaneous-speech-hch-31318.mp3	Ne watsu pɨnetsinake haxu watsuyari haɨtɨtɨ ha mayemaka mɨɨkɨ 'ayumieme pɨnetsikunanake	Ne waatsu pɨnetsinake haxu waatsuyaari haɨtɨtɨ hamayemaka mɨɨkɨ ʼayumieme pɨnetsikunanake
spontaneous-speech-hch-31319.mp3	Wixáritaari memɨkaʼukuxɨriwanikɨ eh waɨká pɨreuyewetsé eh tepɨkaʼanutiyɨwawe ri tumiinikɨ pareewiya heuyewetɨ́ payeika	Bixátaari memɨkakɨxɨriwanikɨ waɨká pɨreuyewe tse temɨkanutiyɨwawe ri tumiinikɨ pareewiya heuyewétɨ payeika paɨ xeikɨ́a
spontaneous-speech-hch-31320.mp3	Mmm... Ne ʼinɨari nepetima eh mɨpaɨ eh neʼikuxexeiyátɨ ke mɨreukuʼutɨká maana ʼetsiwa nepeitima ʼinɨári	Mmm neʼinɨari nepetima eh mɨpaɨ ne... ne'ikuxexeiyatɨ ke mɨreukuʼutɨká maana ʼetsiwa ne... nepeitimaʼinɨari
spontaneous-speech-hch-31321.mp3	Mmm keʼuxa ʼitsaariyari ne... nepɨweewíwe mɨɨkɨ eh ʼaatsí pɨkaʼuyɨne mɨɨkɨ hakɨɨxari ta xeikɨ́a peikayení maana eh ta tsɨ ri pepɨtikwaʼá Paɨ xeikɨ́a	Eh kee'uxa'itsaariyari nepɨweewiwe mɨɨkɨ ah tsipɨkahɨyɨne mɨɨkɨ hakaɨxá ri ta xeikɨ́a peikáyeni maana eh ta tsɨ ri pepɨtikwa'á paɨ xeikɨ́a
