audio_file	reference	reference_raw	hypothesis
spontaneous-speech-ruc-24730.mp3	Kubanga olugendo luba lunyamulai jenkwaba nenzira ebba jibi namafuta enzira olugendo jenkwaba luba lunyamulai nobweruba olumpi naye enzira ebba jibi ebina bingi omunzira amafuta gabeeyi nebintu ebyakolesya omwekka yoyo akuntwala yabeyi eeh engeri njena mbiba ebyabeeyi kuba njena mba nkumanya ebeeyi yabyo naye yena omusasira kubanga ebintu byabeeyi namafuta gabeeyi olugendo ebina birimu enzira zibi nolwekyo emotoka jo e transport joba otambulireku yona nojisasira nti ekituffu kubanga yena akolesya ebintu byabeeyi omwekka yamwei	Akiri ati buni omuntu omukulu akusobola okuwandika weki wekiwetagisa nawandika ekikumukwataku oba ekikumuluma natasokatte kulinda nani eyampandikiira  nadala omubantu abakulu.	Ekubanga olugendo olubba lunyamula gyenkwaba nenzira eba gibi n'amafuta enzira olugendo gyenkwaba luba lunyamulai nowe luba olumpi neye enzira eba gibi ebiina bingi omu nzira amafuta ga beeyi nebintu ebyakukolesya omweka yoyo akuntwala bya bbeeyi ngeri njena nebibe bya bbeeyi kuba ngenamba nkumanya ebbeeyi yabi naye yena omusasira kubanga ebintu byabbeeyi amafuta ga beeyi olugendo ebiina lirimu enzira zibi nolwekyo emmotoka goetransipoti goba otambulireku yona nogisaasira nti ekituufe kubanga yeena aukolesya ebintu byabeeyi omweka yamwe
spontaneous-speech-ruc-24747.mp3	Ti ti bisai kubanga abasomesa baika late ate bebulungutanya baba bize baluma basoka mirimu zabwe okwiza nolwekyo ebyanyegesya tibyemereire kusai omukyalo bayina okucusamu abasaomesa baikenga letti nokubaterawo okubawanga aka alawensi kebakufunangaku ekya bureke nekya musana kubanga omusomesa yena omusasira ayina e famire teka kyova okubona nikizwireku nti enyegesya teyemereire kusai ombitundu bya mukyalo nti nolwekyo nolwa nsonga eyo baterezeemu baikenge babawenge e gavumenti eba bonengemu nebawa ak'alawensi awo ebyanyegesya omukyalo nimwo byaba okusai era nimwo byaterera	Zibakwata olwa bujama obwakaliriirye nga takwefaaku kunaaba abandi nga n'ewakuraara nga tayonjezeewo naye abantu ni beega obuyonjo obwekyo obwikiririire okunaaba n'okwesaairyaku akiri n'onaaba n"osaairya wokusula nje nkukoba enjunzai zini twabba tuzetangiire.	Ei tibisa kubanga abasomesa baika leeti ate bebulungutanya abababize baluma basooka meremu zabwe okwiza nolwekyo byenyegesya tebyemereire kusa omukyalo balina okukyusa mu basomesa abaikenga leeti nokubaterawo okubawanga akalaa w ensi keba kufunaka ekya bureke nekya misana kubanga omusomesa yeno omusasira ainefamire ate ba koba kubona nibe kinziireku nti enyegesya teyemereire kusaimu bitundu bya mukyalo nti nolwe nolwansonga eyo baterezemu baikenge babawenge gavumenti ebabone mwe bawengeye akalaa wensi amwe nimwe byanyegesya omukyalo nimwo byabba okuseera nimwo byatereera
spontaneous-speech-ruc-24774.mp3	Omusaiza era niye alina okufo okujanjaba omuno abaana okuteekamu e sente o maama nayaba nabba naye oku kitanda kubanga niiwe e keya ekusinga eka niwe olina okugiteekamu we taata no taatekemu yete o maama akola mulimu ki I maama abba eka kusumbira nakulongoosa eka k'omuzadde omusaiza noyaba n'okola notetenkanya embeera gimwabaamu akati waamu n'omukyala wamu na baana baamu no maama wa baana baa maama wa baana baamu niwa niwamuleka te notaamufeeku famire yamwe eyemeera ku musaiza	Nje n'ekka yange waliwo benyi nyambireeku okutwala weba kwegeserya abandi nimbaguura okubimwei ebikwetagisirya oba olyawo ebyandiremeserye  okugeza nk'ebitabu, ekalamu.	Emusaiza era niyayina okufakk okujanjaba muno okubaana okutekamu esende omama nayaba nabanaye okukitaana kubanga niwe ekeye esingeeka niwo ina ogiteekamuwo taata tateke muto omaama abakola mulimuka mama abeeka kusumba na kulongoosaeka bomuzade omusaiza nayaba nokkola ntote nkanya embeera jemwabamu akati wamu n'omukyala wamu n'abaana baamu n'omaama wabaana ba omaama wabaana baamu uba wetonwewamulekate nitamufeekwe abaya bajanja ba famire yamweri emeera ku musaiza
spontaneous-speech-ruc-24852.mp3	Ekka yange eyina kurara ku kitanda ekiriku akatimba akagemeibwe nomubazi oguita ensiri ekka yange eyina kulongosa bisiko ebitwetoloire oku lubuuga ekka yange eyina kukomakomawo biccupa oba bintu byona byona ebyatika atikire ebiyinza okubika amaizi	Erangi zaiswe zita isatu,eimyuki,eyakyenju neiraguzu nizo langi zaiswe ezita oku bendera eyaianga lyaiswe elya Yuganda	Eeka yange eyina kuraara kukitandikiri ku akatimba akagemeibwe n'omubazi ogwita ensiri eka yange elina kulongoosa bisike ebitwetoloire kulubuga eka yange eyina kukoma akomawo bicupa oba bintu byona byona ebyatikatikire ebiyinza okubiika amaizi
spontaneous-speech-ruc-24875.mp3	Abakali beegere okuliisya nga bakwakala omu kwegesebwa ni bafuna empiiya ati abaana ba bwala tibacaafuna nda nga tibacaali kwekira kubba bakumanya buzibu ki obuyinza okuligamu nga bafunire enda nga bacaali bato	Mbe nkyali kutandika kuzibika mu banka olwakuba nti ebanka wenyikaara yindi alai tindiraine nayo. 	Ebakali beegere okuliisya nga bakwakala omukwegesebwa nebafuna empiya ate abaana ababwala tibakyafunanda nga tibakyali kweikira kuba bakumanya buzibukya obuyinza okuligamu nga bafunire enda nga bakyali bato
spontaneous-speech-ruc-24928.mp3	Kinyambireku nti nkusobola okwemeera e saawa zini nimbaza oku kintu ate nga kituufu okugeza okubaza okumaizi okunywa amaizi agatali gasumbe nti galwaza enda ate nga kituufu mu bantu benkwanuruuramu ensonga eyo nga waliwo abaali balumiibwe enda oluvanyuma lwakunywa amaizi agatali gasumbe	Biyambireeku nti ensonga ezimwei niziba ziziire omukitundu tugeze okusoma nkokwo nti ati buni omuntu takyasobola kukoba nti ebyo tibikunkwataku lwakuba akiri akuba yakyulireku oba yakisomereku omuntu ati buni akusobola okusoma oba okwewandikiira tibikumala gamwakalaku.	Einnyambireku nti nikusobola okwemera esawa zini nimbaza oku kintu ate nga nga kituffu okugeza okubaza okumaizi okunywa amaiza agatali gasunge nti galwazenda ate nga nga kituffu mu bantu benkwanulura mu ensonga eyo nga waliwo abaali balumi rwenda oluvanyuma lwa kunywa amaiza agatali gasumbe
spontaneous-speech-ruc-24964.mp3	Nziganywirwemu okugeza nti abantu beeyo... beeyongeire okujumbira ebyanyegesya e bajumbiire muno okusigikira oku bibegeserye abantu abakulu baingi ati buni bakujumbira abaana tibacaakonziba nka budi nibaakonzibanga olwa kubba nti abantu beegere endiisya egituufu gyolina okuliisyamu omwana omuto	Emmere ya kaita n'oncwi byangu byakufuna byangu byakusumba ate bimpoomera muno n'ekikulu omuno ani omu buduuli niyo yaali emmere.	Eiziganyiirwemu okugeza nti abantu be beyongeire okujumbira ebyanyegesya ebibajumbiiremu nokusigikira okubibeegesere abantu babakulu bainga ati bonibakujumbira abaana tibakyakonziba nkabudini bakonzira nga lwakubba atibini abantu begere endiisya eitufire nogulisyamu omwana omuto
spontaneous-speech-ruc-24998.mp3	Atandikira oku myezi mukaaga nayaba omu dwaliro natandika okunywa edagala era na abasawu nebatandika omulabirira okutandikira oku myezi mukaaga era ayabayo emirundi innai kubanga aba ayina baba bayina okumukubiriza nokumupimanga omwana ali atyai ali kusai oba okunywa edagala eryo eryamuyabaku ogondya omubirir gwamwei okubyala okusai	Omuntu omweiniki taendesya omuntu omweiniki ekisai kimuluma kale ye buli buli kisai kyamuntu owondi  kyafunire kimwakalya kubi	Etandikira oku myezi mukaaga naye aba omudwaliro natandika okunywa eddagala era nabassawu nibatandika okumulabirira okutandikira oku myezi mukaaga era yabaye emirundi inai kubanga abaina oo babba balina okumukubiriza n'okumupimanga omwana aly aty ali kusaa oba n'okunywa eddagala ery ery amuyambaku ogondya omubiri gwamwe okubyala okusai
spontaneous-speech-ruc-25025.mp3	Abaana abaala baina okubba okwisomero lwansonga nti boona balina okubba omumbeera egisai emyaka zaabwe ezikwiiza omu maiso wesanga nga ainza okufumbirwa omwojo nga tiyasomere ate ye yasomere n'olwekyo yeena kimunyumira omu fyuca yamwe eya mumaiso kubanga nataabbe nataasome yabbaawo atyai guni omulembe gwa buli muntu kusoma no pulezidenti yeena asobola okubba nga mwana mwaala ati n'olwekyo n'abaana abaala boona babe okusomero kintu kisa nyo nyo ddala	Kubona ku bamikago bange nitubbaku eyo oba kwaba ku kuramya......ntyo.	Ebaana abaala balina okubba okusomera olwansonga nti boona bayina okubba omumbeera egisai emyaka zaabwe zikwiza omumaiso wesangaiza okufumbira omwojo nga teyasomere ateyenga yasomere nolweky era yena kimunyumira omufyuca yamwei omumaiso kubanga natabe nataasome yabaawo ati guno omulembe gwa buli muntu okusoma nobu pulezidenti yena asobola okubba nga mwana mwala ate nolwekyo abaana abaala boona babba okusomera okintu kisanyo nyo dala
spontaneous-speech-ruc-25127.mp3	E government eyina okuba nga ekugula amatakali buli kitundu singa kikwetagisibwa buli byalo bisatu nekubaku esomero awo ebyanyegesya biba bikwaba kwikira kyarumwei oku mwanjo nti nokongera abasomesa abangi kyikwetagisya nti buli somero lirina okubaku abasomesa abakusoba omwikumi okwira eyigulu wadde kuliku ebibiina mwenda oba ikumi naye kuyina okubaku abasomesa abakwika eikumi ebyanyegesya biba oku	Embeera eni yaali ya yakufuna mpiiya era empiiya zini nazifunire luzwanyuma lwa kutunda bitugwa byenali maare eibbanga lya mwaka gumwe nga nkuliisya,nabitundire nenfuna empiiya ezikkanya.	E gavumenti eyina okubba nga egula matakali buli kitundu singa kikwetagisibwa buli byalo bisatu nekubbaku esomero awo ebyanyegesya bibba bikwaku kikira kyarume okumu ku mwanjo nti nokwongera basomesa abaingi nkeri kikwetagisa nti obuli somero yina okubbaaku abasomesa bakusuka omu ikumi okwira igulu yadde ekulika ebibiina mwendo ba ikumi nekuina okubba ka basomesa abakwika ikumi yanyegesya biba okumu
